"Code","PC1","PC2","PC1_variance_pct","PC2_variance_pct"
"MS51-01",6.09040103718724,8.97396453617908,39.93,22.65
"MS51-02",5.28136526089931,9.99044820825653,39.93,22.65
"MS51-03",10.2253561640067,7.09888156679297,39.93,22.65
"MS51-04",12.3923542033881,4.61438955797594,39.93,22.65
"MS51-05",7.92127114686898,7.28365904543656,39.93,22.65
"MS51-06",-2.55454679382233,-8.28755459631441,39.93,22.65
"MS51-07",0.565922734001922,-4.4368064540894,39.93,22.65
"MS51-08",5.43809227963814,-9.15067890426671,39.93,22.65
"MS51-09",3.10884843071473,-7.09174534772918,39.93,22.65
"MS51-10",4.8226176633951,-8.16350193693352,39.93,22.65
"MS51-11",-3.31623900707316,-1.68515676811147,39.93,22.65
"MS51-12",-5.69863038192015,0.969595955568763,39.93,22.65
"MS51-13",-5.87395833193038,0.922426419686479,39.93,22.65
"MS51-14",-7.55232708245622,1.98212049540326,39.93,22.65
"MS51-15",-9.01375645093874,3.36077320623547,39.93,22.65
"MS51-16",-7.09473104849574,1.16613037275328,39.93,22.65
"MS51-17",-4.72988055053523,-0.730889177185624,39.93,22.65
"MS51-18",-8.04020312594467,1.65730753524583,39.93,22.65
"MS51-19",-8.28355961115848,2.38255600723782,39.93,22.65
"MS51-20",-4.4730821115749,-0.740475177053079,39.93,22.65
"MS51-21",-9.43060927149937,2.37333150024109,39.93,22.65
"MS51-23",-3.01485096920294,-2.11402424066229,39.93,22.65
"MS51-24",-1.12007035932168,-3.17940841286188,39.93,22.65
"MS51-25",-5.23710540666624,-0.100167126562877,39.93,22.65
"MS51-26",-1.32237501621147,2.12795138109567,39.93,22.65
"MS51-27",1.65250617273087,-0.384619554762664,39.93,22.65
"MS51-28",5.60679653559294,-2.68803675963336,39.93,22.65
"MS51-29",4.4750586835647,-1.6932499756315,39.93,22.65
"MS51-30",2.41129349281716,0.522963367593401,39.93,22.65
"MS51-31",0.930629843611474,1.6248101335069,39.93,22.65
"MS51-32",3.77873310338161,-1.15666560578701,39.93,22.65
"MS51-33",6.46457666317753,-3.0326040330077,39.93,22.65
"MS51-34",3.19707158565099,-0.205230673512404,39.93,22.65
"MS51-35",6.97473782438858,-3.02422624795794,39.93,22.65
"MS51-36",-4.16273545915797,1.82234315274438,39.93,22.65
"MS51-37",0.611471392722439,-0.70280691623176,39.93,22.65
"MS51-38",-2.05362198786452,0.888911254168423,39.93,22.65
"MS51-39",-0.752382594316904,0.0557414767531362,39.93,22.65
"MS51-40",4.95556431030579,-4.49130088986269,39.93,22.65
"POOL2",-0.694042195806062,0.29209295063979,39.93,22.65
"POOL3",0.525120349924019,-0.160822130466802,39.93,22.65
"POOL4",-0.414203622139057,0.527335139071756,39.93,22.65
"POOL5",-1.70239493522304,1.55445328866114,39.93,22.65
"POOL6",-0.894482564709095,1.02778437737663,39.93,22.65
