CHEBI,PotentialAdditionalIDs,AllIDs
10642,NA,10642
10983,"17066, 20067, 37054","17066, 10983, 20067, 37054"
111,NA,111
1127735,"20106, 27622","1127735, 20106, 27622"
1148,"50613, 73709, 64552","50613, 1148, 73709, 64552"
11596,17084,"17084, 11596"
1178,35128,"35128, 1178"
11892,18261,"18261, 11892"
1305691,17151,"17151, 1305691"
131924,"73794, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
132962,32636,"32636, 132962"
132983,"37371, 171760","37371, 171760, 132983"
132996,"16990, 72719","16990, 72719, 132996"
133066,133067,"133066, 133067"
133067,133066,"133066, 133067"
133147,73632,"73632, 133147"
133370,"27820, 184988","27820, 184988, 133370"
133435,133438,"133435, 133438"
133438,133435,"133435, 133438"
133469,NA,133469
133545,45658,"45658, 133545"
133657,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
133662,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
133732,83058,"83058, 133732"
133734,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
13389,"44215, 15846","44215, 15846, 13389"
133983,"15721, 57483","133983, 15721, 57483"
134344,4828,"4828, 134344"
136591,37655,"37655, 136591"
1387,NA,1387
138881,139419,"139419, 138881"
139419,138881,"139419, 138881"
13997,15584,"15584, 13997"
140999,27931,"140999, 27931"
141438,NA,141438
142590,27389,"27389, 142590"
143163,73514,"73514, 143163"
143180,28808,"143180, 28808"
14321,"18237, 29987","18237, 14321, 29987"
143243,"17858, 167606","143243, 17858, 167606"
14336,231935,"14336, 231935"
143877,74640,"74640, 143877"
143879,21553,"21553, 143879"
144643,43355,"43355, 144643"
145970,NA,145970
14648,"16171, 14649","14648, 16171, 14649"
14649,"14648, 16171","14648, 16171, 14649"
147392,5729,"5729, 147392"
15428,57305,"15428, 57305"
15440,NA,15440
15468,NA,15468
15551,606564,"15551, 606564"
15584,13997,"15584, 13997"
15589,"30797, 6650, 15595","30797, 15589, 6650, 15595"
15595,"30797, 15589, 6650","30797, 15589, 6650, 15595"
15603,"57427, 25017, 28225","15603, 57427, 25017, 28225"
15611,57433,"15611, 57433"
15614,"28379, 35146","15614, 28379, 35146"
15641,NA,15641
15671,30924,"15671, 30924"
15674,30929,"15674, 30929"
15682,"184023, 57472","15682, 184023, 57472"
15699,57476,"15699, 57476"
15721,"133983, 57483","133983, 15721, 57483"
15728,57486,"15728, 57486"
15729,"46911, 16176, 18257","15729, 46911, 16176, 18257"
15741,30031,"15741, 30031"
15746,45725,"15746, 45725"
15756,7896,"15756, 7896"
15784,57513,"15784, 57513"
15801,32796,"32796, 15801"
15843,32395,"15843, 32395"
15846,"44215, 13389","44215, 15846, 13389"
15887,356010,"15887, 356010"
15891,507393,"15891, 507393"
15901,NA,15901
15903,"4167, 42758","15903, 4167, 42758"
15908,"49060, 57561","15908, 49060, 57561"
15919,57567,"15919, 57567"
15927,NA,15927
15940,32544,"15940, 32544"
15954,"4170, 57584, 61548","4170, 15954, 57584, 61548"
15960,"57589, 73024","57589, 73024, 15960"
15963,NA,15963
15966,"29986, 16015, 18237","15966, 29986, 16015, 18237"
15971,"57595, 32513, 27570, 27947","15971, 57595, 32513, 27570, 27947"
15978,57597,"15978, 57597"
16000,57603,"16000, 57603"
16002,30612,"16002, 30612"
16015,"29985, 15966, 18237","16015, 29985, 15966, 18237"
16016,NA,16016
16020,NA,16020
16027,456215,"16027, 456215"
1606,NA,1606
16070,NA,16070
16077,"29042, 58601","29042, 16077, 58601"
16084,57634,"16084, 57634"
16113,NA,16113
16150,30746,"30746, 16150"
16157,20912,"20912, 16157"
16171,"14648, 14649","14648, 16171, 14649"
16176,"57668, 15729, 18257","16176, 57668, 15729, 18257"
16196,30823,"16196, 30823"
16199,NA,16199
16235,NA,16235
16238,NA,16238
16244,NA,16244
16259,57702,"16259, 57702"
16283,"35491, 17376, 35494","16283, 35491, 17376, 35494"
16335,NA,16335
16338,32812,"16338, 32812"
16344,57742,"16344, 57742"
16347,"17126, 3424","16347, 17126, 3424"
16349,"57743, 18211, 49007","16349, 57743, 18211, 49007"
16359,"81308, 29747","81308, 16359, 29747"
16383,32805,"32805, 16383"
16393,57756,"16393, 57756"
16411,30854,"16411, 30854"
16414,"57762, 27266, 27477, 87977","16414, 57762, 27266, 27477, 87977"
16440,29083,"16440, 29083"
16467,"32682, 15816, 29016","16467, 32682, 15816, 29016"
16523,"35247, 17115, 17822","16523, 35247, 17115, 17822"
