Metabolite,Log2FC,AveExpr,t.val,p.val,p.adj,B,log2(MS55_01),log2(MS55_02),log2(MS55_03),log2(MS55_04),log2(MS55_13),log2(MS55_14),log2(MS55_15),log2(MS55_16),log2(MS55_17),log2(MS55_18),log2(MS55_19),log2(MS55_20),log2(MS55_29),log2(MS55_30),log2(MS55_31),log2(MS55_32),log2(MS55_33),log2(MS55_34),log2(MS55_35),log2(MS55_36),log2(MS55_45),log2(MS55_46),log2(MS55_47),log2(MS55_48)
valine-d8,0.18943027342287877,30.940996145301764,6.807692969619343,1.7355897514468337e-8,3.784840301347915e-8,7.830339666435151,30.831031416164876,30.919472967418507,30.898759341172976,30.876661257673792,31.017606452154325,31.06400182420296,31.034683712219287,31.172623755221927,30.778758107844656,30.818680190168603,30.75472791891658,30.811660397979225,30.98454885888011,31.00358614731327,30.922457387624835,30.92782448846609,30.825052264203496,30.706978509779056,30.766743382467787,30.824862588593685,31.001594748439196,31.03138437024152,30.9288170678757,30.9974228108186
5-aminovaleric acid*,0.2078683877529599,25.810407402442454,3.756522481090278,4.818521150542776e-4,8.00139750686461e-4,-2.2683697597832824,25.742145843224687,25.72586553762681,25.626846901039077,25.56552355871968,25.84063929302152,25.875325966785393,25.790205728278192,25.82511263679168,25.5744261421722,25.496764948977773,25.617836271843704,25.656578633470094,25.656507464960256,25.96739326448021,25.86865613725096,25.968401096027932,25.520500184612278,25.417209965001295,25.491728590805497,25.455666442864025,25.650059601732945,25.69881563579185,25.57689952690051,25.667497321371155
hypoxanthine,-0.7410511750319912,21.586038355736672,-2.0975545988749085,0.04144425144560219,0.05396697490398558,-6.410140370894446,22.300118380071652,21.479558726984145,21.223123938296098,20.805117099995556,21.278154636014083,21.71677593518064,21.293254903865602,21.56377061851953,20.807178659538895,21.691585859315616,21.42942508904428,20.818743176547617,20.99546110472142,21.022750011016782,20.756018535971865,21.134354075612343,23.130268660682,23.046585217851685,23.504444027734795,22.770644912806247,22.33363399694862,21.365740792973796,20.166441416030647,20.487823621629406
IMP,-0.18792932845289556,19.15404053890756,-1.3104235207285813,0.19653040386144072,0.2371466873261385,-7.695171906015212,19.48315246488914,19.213304274830758,19.232472971949985,19.315798182423933,19.138401181231618,19.57215335549933,19.00145254008953,19.298960527282357,18.994259113001394,18.784355757401887,18.594659999114874,18.920465160302484,18.37721571887804,19.119708174197925,18.958015397538627,18.950025310115894,18.379856736845966,18.601222292206558,18.881630536091397,18.807647968655704,17.850828602836387,18.680133225428534,17.874146353605333,18.132633129575712
indole,-0.7936052220871126,19.34993260170537,-9.05477426883203,8.344250928658052e-12,2.157584882981582e-11,15.512800749730168,20.363004939466258,20.36446842626329,20.423903718660203,20.186483911804093,19.39884176640311,19.09527031521938,19.21514774886919,18.917079388453217,19.94936725806621,19.848711096761974,19.84161077006378,19.984393988832785,19.589667812915124,19.62375807221782,19.375529069010664,19.451698170642175,20.12690138152145,19.93877372742197,20.12086572986241,20.001727050288995,19.073859653366302,19.348340672433654,19.268020635801992,19.269736028635478
indole-3-lactate,-1.0603261693690023,18.529627773953198,-7.427394814043011,2.038476913925805e-9,4.555115079266305e-9,9.977404192329818,19.786255585830475,19.60240876764222,19.855689121204765,19.517128959006047,18.190740608624232,17.90963067630779,17.969027359464828,17.651070948573118,19.15734064719597,19.185911634390685,19.158335276764838,19.09260341700863,19.047812409529318,18.989412740764923,17.986379826182603,18.665441463561837,19.219223347382332,19.241705757116602,19.42898539549995,18.677180955991247,18.337626781462628,18.105667166097515,18.15797110918975,18.188073742847116
inosine,-0.33146273410374505,19.629570929041623,-2.5037969202400303,0.01588102218208518,0.022474853002929174,-5.554371720388232,19.915450892025714,19.944698385317558,19.858717327516523,19.773562126165604,19.84173095701035,19.991465024667644,19.2044953625623,19.904412851761204,19.314920238442426,19.577555673278148,19.362605746005386,19.566021859544964,19.123166368802238,19.55759227489719,19.63420026328875,19.418966967573425,19.864716454921844,19.56758853726503,21.0884061780265,19.672870624779005,19.405129421925448,19.20862260346709,18.94035038649026,19.2994287515979
isoleucine,-0.5020614878232372,28.656841317051825,-7.560896358989144,1.2881208775477603e-9,2.914373485451808e-9,10.438349165010482,29.301665095280246,29.282218656414994,29.25443628840357,29.06676640338369,28.587971179529724,28.519219282278385,28.433633340222098,28.567997113200523,28.954279718174476,29.026311757009527,28.990872756085103,29.02523672200831,28.933878076715633,29.026112403807044,28.700290142037048,28.87333815557718,29.250220727551667,29.150776183387514,29.374814894046466,29.1219434546174,28.55365039359605,28.54438631675958,28.5265427462901,28.507785652470762
isovalerylcarnitine,0.7690891559643482,24.786785066905583,8.167422871261065,1.625568341111409e-10,3.7721521761687825e-10,12.519844487730673,24.582817653616733,24.645421513910275,24.797542621811118,24.574820772479455,25.15150357882071,25.108382509173534,24.877818198253756,25.080174890297066,24.11176479831506,24.12934114551679,24.034364085236486,24.139007422094775,24.495950690356036,24.971529486112455,25.18773204253781,25.028912740203463,23.89124477755207,23.924268668015408,24.016594317434084,23.777741330680136,24.923599104897395,24.909180850101585,25.182262031261537,24.936952856219232
KMV,-0.09146753277140007,22.095917629876887,-0.7013647483492731,0.4865935674355133,0.5305628656977585,-8.306273510655613,22.439634201467715,22.21341018844484,22.24523142829968,21.84874571116211,22.169429825352733,22.04758568879162,21.753954905424635,21.990707393564662,21.38322962842488,21.81871183364354,21.73684299710967,21.80334789821672,22.44356998532018,22.388877722793808,22.252655185685267,22.523714362561186,22.685463841823367,22.721339095583335,23.03634706332745,22.517264782649036,22.056034933367794,21.975019729942186,21.92708959054751,21.82331895354402
