term,Metabolite,MetaboliteID,Description,pubchem,MetaboliteID_pubchem_from_ambiguity_bygroup,MetaboliteID_pubchem_to_ambiguity_bygroup,MetaboliteID_pubchem_ambiguity_bygroup,MetaboliteID_pubchem_from_ambiguity,MetaboliteID_pubchem_to_ambiguity,MetaboliteID_pubchem_ambiguity
Glycolysis / Gluconeogenesis - Homo sapiens (human),Pyruvate,C00022,Glycolysis / Gluconeogenesis - Homo sapiens (human),1060,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Pyruvate,C00022,Glycolysis / Gluconeogenesis - Homo sapiens (human),107735,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Acetyl-CoA,C00024,Glycolysis / Gluconeogenesis - Homo sapiens (human),444493,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Acetyl-CoA,C00024,Glycolysis / Gluconeogenesis - Homo sapiens (human),181,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Glucose,C00031,Glycolysis / Gluconeogenesis - Homo sapiens (human),64689,2,3,many-to-many,2,3,many-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Glucose,C00031,Glycolysis / Gluconeogenesis - Homo sapiens (human),5793,2,3,many-to-many,2,3,many-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Glucose,C00031,Glycolysis / Gluconeogenesis - Homo sapiens (human),107526,2,3,many-to-many,2,3,many-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Acetate,C00033,Glycolysis / Gluconeogenesis - Homo sapiens (human),176,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Acetate,C00033,Glycolysis / Gluconeogenesis - Homo sapiens (human),175,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Oxaloacetate,C00036,Glycolysis / Gluconeogenesis - Homo sapiens (human),970,1,3,one-to-many,2,3,many-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Oxaloacetate,C00036,Glycolysis / Gluconeogenesis - Homo sapiens (human),164550,1,3,one-to-many,2,3,many-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Oxaloacetate,C00036,Glycolysis / Gluconeogenesis - Homo sapiens (human),54675764,1,3,one-to-many,2,3,many-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Thiamin diphosphate,C00068,Glycolysis / Gluconeogenesis - Homo sapiens (human),1132,1,3,one-to-many,1,3,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Thiamin diphosphate,C00068,Glycolysis / Gluconeogenesis - Homo sapiens (human),15938963,1,3,one-to-many,1,3,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Thiamin diphosphate,C00068,Glycolysis / Gluconeogenesis - Homo sapiens (human),5431,1,3,one-to-many,1,3,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Phosphoenolpyruvate,C00074,Glycolysis / Gluconeogenesis - Homo sapiens (human),1005,1,3,one-to-many,1,3,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Phosphoenolpyruvate,C00074,Glycolysis / Gluconeogenesis - Homo sapiens (human),638308,1,3,one-to-many,1,3,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Phosphoenolpyruvate,C00074,Glycolysis / Gluconeogenesis - Homo sapiens (human),3674425,1,3,one-to-many,1,3,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Acetaldehyde,C00084,Glycolysis / Gluconeogenesis - Homo sapiens (human),177,1,1,one-to-one,1,1,one-to-one
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Fructose 6-phosphate,C00085,Glycolysis / Gluconeogenesis - Homo sapiens (human),69507,1,4,one-to-many,1,4,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Fructose 6-phosphate,C00085,Glycolysis / Gluconeogenesis - Homo sapiens (human),439160,1,4,one-to-many,1,4,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Fructose 6-phosphate,C00085,Glycolysis / Gluconeogenesis - Homo sapiens (human),23421195,1,4,one-to-many,1,4,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Fructose 6-phosphate,C00085,Glycolysis / Gluconeogenesis - Homo sapiens (human),21114947,1,4,one-to-many,1,4,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Glucose 1-phosphate,C00103,Glycolysis / Gluconeogenesis - Homo sapiens (human),65533,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Glucose 1-phosphate,C00103,Glycolysis / Gluconeogenesis - Homo sapiens (human),439165,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Glycerone phosphate,C00111,Glycolysis / Gluconeogenesis - Homo sapiens (human),668,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),Glycerone phosphate,C00111,Glycolysis / Gluconeogenesis - Homo sapiens (human),4643300,1,2,one-to-many,1,2,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Glyceraldehyde 3-phosphate,C00118,Glycolysis / Gluconeogenesis - Homo sapiens (human),439168,1,4,one-to-many,1,4,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Glyceraldehyde 3-phosphate,C00118,Glycolysis / Gluconeogenesis - Homo sapiens (human),729,1,4,one-to-many,1,4,one-to-many
Glycolysis / Gluconeogenesis - Homo sapiens (human),D-Glyceraldehyde 3-phosphate,C00118,Glycolysis / Gluconeogenesis - Homo sapiens (human),643984,1,4,one-to-many,1,4,one-to-many
