"Code","Conditions","Metabolite","Abundance","Pathway","core_HK2","core_786-O","core_786-M1A"
"MS51-09","HK2","hydroxyproline",-251977167.790648,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","lysine",-35719065763.9252,"Amino acid metabolism","Released","Consumed","Released"
"MS51-09","HK2","methionine",11358383920.9423,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","methylarginine",-6524943070.9775,"Amino acid metabolism","Released","Released","Released"
"MS51-09","HK2","N-acetylglutamate",-121878694.232243,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","ornithine",4506260102.64523,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","phenylalanine",112028245720.254,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","proline",-75414860829.0832,"Amino acid metabolism","Consumed","Released","Released"
"MS51-09","HK2","serine",405193307.594396,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","threonine",26591199850.2258,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","tryptophan",61104148706.4308,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","tyrosine",24686252589.0275,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","3-Dehydro-L-threonate",-203574855.165072,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","alanine",10243964757.5963,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","arginine",-144788909719.832,"Amino acid metabolism","Released","Released","Released"
"MS51-10","HK2","asparagine",1035357954.10981,"Amino acid metabolism","Released","Released","Released"
"MS51-10","HK2","aspartate",-805991287.961146,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","glutamate",-8588008208.95414,"Amino acid metabolism","Consumed","Released","Released"
"MS51-10","HK2","glutamine",-5964628944.5155,"Amino acid metabolism","Consumed","Released","Released"
"MS51-10","HK2","glycine",63934908.6880329,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","histidine",20918118963.8881,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","hydroxyproline",10843289490.6898,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","lysine",-12875475163.78,"Amino acid metabolism","Released","Consumed","Released"
"MS51-10","HK2","methionine",-4114946745.41365,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","methylarginine",-463185662.835975,"Amino acid metabolism","Released","Released","Released"
"MS51-10","HK2","N-acetylglutamate",42406350.1684512,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","ornithine",-7987864782.77029,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","phenylalanine",-45653264209.1942,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","proline",-30033518702.4589,"Amino acid metabolism","Consumed","Released","Released"
"MS51-10","HK2","serine",276191223.661822,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","threonine",-7427707792.05143,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","tryptophan",-14025092150.5996,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","tyrosine",15289524834.2408,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-11","786-O","3-Dehydro-L-threonate",-16721754061.5557,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-11","786-O","alanine",-71800945786.135,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-11","786-O","arginine",80330827907.2278,"Amino acid metabolism","Released","Released","Released"
"MS51-11","786-O","asparagine",-651479919.887062,"Amino acid metabolism","Released","Released","Released"
"MS51-11","786-O","aspartate",-14791795981.3702,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-11","786-O","glutamate",24284166230.3778,"Amino acid metabolism","Consumed","Released","Released"
"MS51-11","786-O","glutamine",280425122650.807,"Amino acid metabolism","Consumed","Released","Released"
"MS51-11","786-O","glycine",-149148119.141943,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-11","786-O","histidine",-62639070109.3275,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-11","786-O","hydroxyproline",-36873165674.5532,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-11","786-O","lysine",23235617091.8242,"Amino acid metabolism","Released","Consumed","Released"
"MS51-11","786-O","methionine",-59742391033.7307,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-11","786-O","methylarginine",9696355879.11461,"Amino acid metabolism","Released","Released","Released"
"MS51-11","786-O","N-acetylglutamate",-1273984999.10613,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-11","786-O","ornithine",-26178570280.6739,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-11","786-O","phenylalanine",-134265267349.486,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-11","786-O","proline",-97928227341.6496,"Amino acid metabolism","Consumed","Released","Released"
"MS51-11","786-O","serine",-8184379245.60366,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-11","786-O","threonine",-50807275727.9612,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-11","786-O","tryptophan",-115577693934.108,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-11","786-O","tyrosine",-88783762879.8668,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-12","786-O","3-Dehydro-L-threonate",-16349278172.2284,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-12","786-O","alanine",-63307331301.4477,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-12","786-O","arginine",191294103533.592,"Amino acid metabolism","Released","Released","Released"
"MS51-12","786-O","asparagine",693712299.404248,"Amino acid metabolism","Released","Released","Released"
"MS51-12","786-O","aspartate",-11527364397.5916,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-12","786-O","glutamate",24597416465.4274,"Amino acid metabolism","Consumed","Released","Released"
"MS51-12","786-O","glutamine",306759817691.426,"Amino acid metabolism","Consumed","Released","Released"
"MS51-12","786-O","glycine",-59635612.5770135,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-12","786-O","histidine",55466982854.3502,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-12","786-O","hydroxyproline",-16176968993.4076,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-12","786-O","lysine",27578336963.9612,"Amino acid metabolism","Released","Consumed","Released"
"MS51-12","786-O","methionine",-61582163919.3051,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-12","786-O","methylarginine",13835045688.5167,"Amino acid metabolism","Released","Released","Released"
"MS51-12","786-O","N-acetylglutamate",-1557893141.03711,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-12","786-O","ornithine",-22803944309.0257,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-12","786-O","phenylalanine",-124740269493.414,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-12","786-O","proline",150303897050.645,"Amino acid metabolism","Consumed","Released","Released"
"MS51-12","786-O","serine",-7634403225.52363,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-12","786-O","threonine",-43163928495.9399,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-12","786-O","tryptophan",-157617891997.496,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-12","786-O","tyrosine",-123332232833.375,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-13","786-O","3-Dehydro-L-threonate",-28131696536.1289,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-13","786-O","alanine",-65579813147.0969,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-13","786-O","arginine",130634093211.762,"Amino acid metabolism","Released","Released","Released"
"MS51-13","786-O","asparagine",1167140180.91871,"Amino acid metabolism","Released","Released","Released"
"MS51-13","786-O","aspartate",-15732186972.6975,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-13","786-O","glutamate",27829474014.2298,"Amino acid metabolism","Consumed","Released","Released"
"MS51-13","786-O","glutamine",289828171334.646,"Amino acid metabolism","Consumed","Released","Released"
"MS51-13","786-O","glycine",-284923617.096405,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-13","786-O","histidine",-49807411776.0691,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-13","786-O","hydroxyproline",-32072588285.7051,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-13","786-O","lysine",-9156280541.76088,"Amino acid metabolism","Released","Consumed","Released"
"MS51-13","786-O","methionine",-65076657483.5644,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-13","786-O","methylarginine",11380810810.0108,"Amino acid metabolism","Released","Released","Released"
"MS51-13","786-O","N-acetylglutamate",-1669064500.72948,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-13","786-O","ornithine",-25234417822.317,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-13","786-O","phenylalanine",-130148472985.998,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-13","786-O","proline",181279152708.172,"Amino acid metabolism","Consumed","Released","Released"
"MS51-13","786-O","serine",-8689850588.94145,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-13","786-O","threonine",-52494350481.4371,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-13","786-O","tryptophan",-164132228200.962,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-13","786-O","tyrosine",-137425258140.727,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-14","786-O","3-Dehydro-L-threonate",-26309877624.2821,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-14","786-O","alanine",-72343644289.0299,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-14","786-O","arginine",-171368346453.598,"Amino acid metabolism","Released","Released","Released"
"MS51-14","786-O","asparagine",734771618.932581,"Amino acid metabolism","Released","Released","Released"
"MS51-14","786-O","aspartate",-11944297993.5338,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-14","786-O","glutamate",32442732595.1451,"Amino acid metabolism","Consumed","Released","Released"
"MS51-14","786-O","glutamine",296401344352.396,"Amino acid metabolism","Consumed","Released","Released"
"MS51-14","786-O","glycine",-8969164.54855836,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-14","786-O","histidine",-23196014434.1519,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-14","786-O","hydroxyproline",-6468970426.50212,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-14","786-O","lysine",-37585584204.5142,"Amino acid metabolism","Released","Consumed","Released"
"MS51-14","786-O","methionine",-66028163155.9483,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-14","786-O","methylarginine",1166669546.95292,"Amino acid metabolism","Released","Released","Released"
"MS51-14","786-O","N-acetylglutamate",-1962365439.96255,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-14","786-O","ornithine",-33372511563.625,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-14","786-O","phenylalanine",-152276642701.931,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-14","786-O","proline",89338673069.5014,"Amino acid metabolism","Consumed","Released","Released"
"MS51-14","786-O","serine",-8090662000.62371,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-14","786-O","threonine",-52787568622.6337,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-14","786-O","tryptophan",-168673948995.931,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-14","786-O","tyrosine",-93684317877.0326,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-15","786-O","3-Dehydro-L-threonate",-40351828895.381,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-15","786-O","alanine",-80445060503.7891,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-15","786-O","arginine",55036556905.3851,"Amino acid metabolism","Released","Released","Released"
"MS51-15","786-O","asparagine",845590738.299305,"Amino acid metabolism","Released","Released","Released"
"MS51-15","786-O","aspartate",-16653746786.8261,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-15","786-O","glutamate",37685882866.4445,"Amino acid metabolism","Consumed","Released","Released"
"MS51-15","786-O","glutamine",307016878781.146,"Amino acid metabolism","Consumed","Released","Released"
"MS51-15","786-O","glycine",-107067900.443962,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-15","786-O","histidine",-75712083570.0197,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-15","786-O","hydroxyproline",-28375676892.389,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-15","786-O","lysine",-5423307753.98603,"Amino acid metabolism","Released","Consumed","Released"
"MS51-15","786-O","methionine",-60537092503.2487,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-15","786-O","methylarginine",8820932202.28247,"Amino acid metabolism","Released","Released","Released"
"MS51-15","786-O","N-acetylglutamate",-1718440873.10543,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-15","786-O","ornithine",-27943209459.1584,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-15","786-O","phenylalanine",-132538376984.633,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-15","786-O","proline",152950868158.38,"Amino acid metabolism","Consumed","Released","Released"
"MS51-15","786-O","serine",-8300197783.47313,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-15","786-O","threonine",-78347949999.5465,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-15","786-O","tryptophan",-141735966863.381,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-15","786-O","tyrosine",-141103635048.883,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-16","786-M1A","3-Dehydro-L-threonate",9905712215.07218,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-16","786-M1A","alanine",-86911310253.0758,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-16","786-M1A","arginine",216146922500.638,"Amino acid metabolism","Released","Released","Released"
"MS51-16","786-M1A","asparagine",3427679273.06523,"Amino acid metabolism","Released","Released","Released"
"MS51-16","786-M1A","aspartate",-20078854995.0056,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-16","786-M1A","glutamate",4545383626.40589,"Amino acid metabolism","Consumed","Released","Released"
"MS51-16","786-M1A","glutamine",273934030917.331,"Amino acid metabolism","Consumed","Released","Released"
"MS51-16","786-M1A","glycine",-381169106.727712,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-16","786-M1A","histidine",-105170590970.091,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-16","786-M1A","hydroxyproline",-34300129461.4823,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-16","786-M1A","lysine",13696479742.8454,"Amino acid metabolism","Released","Consumed","Released"
"MS51-16","786-M1A","methionine",-81013655097.3088,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-16","786-M1A","methylarginine",12684633648.1038,"Amino acid metabolism","Released","Released","Released"
"MS51-16","786-M1A","N-acetylglutamate",-1884367551.03782,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-16","786-M1A","ornithine",-21731478015.3022,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-16","786-M1A","phenylalanine",-138730087696.728,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-16","786-M1A","proline",111642587069.441,"Amino acid metabolism","Consumed","Released","Released"
"MS51-16","786-M1A","serine",-8129992417.08286,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-16","786-M1A","threonine",-93625066652.1355,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-16","786-M1A","tryptophan",-127422894031.439,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-16","786-M1A","tyrosine",-143040650638.714,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-17","786-M1A","3-Dehydro-L-threonate",-1871784882.89356,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-17","786-M1A","alanine",-72941035266.8869,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-17","786-M1A","arginine",123584771692.034,"Amino acid metabolism","Released","Released","Released"
"MS51-17","786-M1A","asparagine",2677073884.14552,"Amino acid metabolism","Released","Released","Released"
"MS51-17","786-M1A","aspartate",-23024873123.5331,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-17","786-M1A","glutamate",-227919854.934703,"Amino acid metabolism","Consumed","Released","Released"
"MS51-17","786-M1A","glutamine",281627252517.231,"Amino acid metabolism","Consumed","Released","Released"
"MS51-17","786-M1A","glycine",-300498518.824585,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-17","786-M1A","histidine",-148751027110.838,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-17","786-M1A","hydroxyproline",-37602156792.3215,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-17","786-M1A","lysine",11743468238.9064,"Amino acid metabolism","Released","Consumed","Released"
"MS51-17","786-M1A","methionine",-75024885917.166,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-17","786-M1A","methylarginine",9085197459.60418,"Amino acid metabolism","Released","Released","Released"
"MS51-17","786-M1A","N-acetylglutamate",-1741102504.402,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-17","786-M1A","ornithine",-25037441006.8336,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-17","786-M1A","phenylalanine",-183019882629.544,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-17","786-M1A","proline",123843613016.838,"Amino acid metabolism","Consumed","Released","Released"
"MS51-17","786-M1A","serine",-7675203627.61251,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-17","786-M1A","threonine",-65993933761.225,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-17","786-M1A","tryptophan",-140904067241.642,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-17","786-M1A","tyrosine",-123320914307.361,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-18","786-M1A","3-Dehydro-L-threonate",-12106631836.4609,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-18","786-M1A","alanine",-65809784272.2862,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-18","786-M1A","arginine",-184582255060.278,"Amino acid metabolism","Released","Released","Released"
"MS51-18","786-M1A","asparagine",4884996692.49289,"Amino acid metabolism","Released","Released","Released"
"MS51-18","786-M1A","aspartate",-23695204780.0114,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-18","786-M1A","glutamate",1395949094.10129,"Amino acid metabolism","Consumed","Released","Released"
"MS51-18","786-M1A","glutamine",277813965717.648,"Amino acid metabolism","Consumed","Released","Released"
"MS51-18","786-M1A","glycine",209481282.882469,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-18","786-M1A","histidine",-72768817924.5293,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-18","786-M1A","hydroxyproline",-13513059235.6923,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-18","786-M1A","lysine",-59683465021.9211,"Amino acid metabolism","Released","Consumed","Released"
"MS51-18","786-M1A","methionine",-88725803798.4258,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-18","786-M1A","methylarginine",103813135.928511,"Amino acid metabolism","Released","Released","Released"
"MS51-18","786-M1A","N-acetylglutamate",-2036063291.23656,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-18","786-M1A","ornithine",-34664953401.7258,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-18","786-M1A","phenylalanine",-176280142813.375,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-18","786-M1A","proline",139089761756.413,"Amino acid metabolism","Consumed","Released","Released"
"MS51-18","786-M1A","serine",-8072758178.00589,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-18","786-M1A","threonine",-104209512956.645,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-18","786-M1A","tryptophan",-180457790105.092,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-18","786-M1A","tyrosine",-132410377066.514,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-19","786-M1A","3-Dehydro-L-threonate",-15996801077.1522,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-19","786-M1A","alanine",-69635534717.7975,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-19","786-M1A","arginine",137947177033.691,"Amino acid metabolism","Released","Released","Released"
"MS51-19","786-M1A","asparagine",3124738477.66214,"Amino acid metabolism","Released","Released","Released"
"MS51-19","786-M1A","aspartate",-22469858974.0921,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-19","786-M1A","glutamate",14216122212.017,"Amino acid metabolism","Consumed","Released","Released"
"MS51-19","786-M1A","glutamine",280545730532.249,"Amino acid metabolism","Consumed","Released","Released"
"MS51-19","786-M1A","glycine",-268434949.061877,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-19","786-M1A","histidine",-120694264061.499,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-19","786-M1A","hydroxyproline",-58010087820.0047,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-19","786-M1A","lysine",8790269555.9707,"Amino acid metabolism","Released","Consumed","Released"
"MS51-19","786-M1A","methionine",-87791214163.3691,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-19","786-M1A","methylarginine",10076456256.7983,"Amino acid metabolism","Released","Released","Released"
"MS51-19","786-M1A","N-acetylglutamate",-1944323492.86009,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-19","786-M1A","ornithine",-24872176029.5341,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-19","786-M1A","phenylalanine",-172141345612.32,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-19","786-M1A","proline",39035731627.3196,"Amino acid metabolism","Consumed","Released","Released"
"MS51-19","786-M1A","serine",-8852935960.46773,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-19","786-M1A","threonine",-96675995112.2322,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-19","786-M1A","tryptophan",-172521140176.013,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-19","786-M1A","tyrosine",-161465549195.875,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-20","786-M1A","3-Dehydro-L-threonate",13695406410.5182,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-20","786-M1A","alanine",-65505064199.3271,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-20","786-M1A","arginine",239368985373.1,"Amino acid metabolism","Released","Released","Released"
"MS51-20","786-M1A","asparagine",3394232391.41509,"Amino acid metabolism","Released","Released","Released"
"MS51-20","786-M1A","aspartate",-20536091159.9377,"Amino acid metabolism","Consumed","Consumed","Consumed"
