"","Metabolite","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","CAS","PUBCHEM","KEGG","HMDB"
"1","1,3-dihydroxyacetone","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","35963","GC/MS","1263","103","62147-49-3","670","C00184","HMDB01882"
"2","10-heptadecenoate (17:1n7)","Lipid","Long chain fatty acid","33971","LC/MS Neg","5558","267.3","29743-97-3","5312435",NA,NA
"3","10-nonadecenoate (19:1n9)","Lipid","Long chain fatty acid","33972","LC/MS Neg","5775","295.39999999999998","73033-09-7","5312513",NA,NA
"4","16-hydroxypalmitate","Lipid","Fatty acid, monohydroxy","39609","LC/MS Neg","5232","271.3","506-13-8","10466","C18218",NA
"5","1-linoleoylglycerol (1-monolinolein)","Lipid","Monoacylglycerol","27447","GC/MS","2181","395.3","2277-28-3","5283469",NA,NA
"6","1-methylimidazoleacetate","Amino acid","Histidine metabolism","32350","LC/MS Pos","845","141.1","2625-49-2","75810","C05828","HMDB02820"
"7","1-myristoylglycerophosphocholine","Lipid","Lysolipid","35626","LC/MS Pos","5481","468.3","20559-16-4","460604",NA,"HMDB10379"
"8","1-oleoylglycerol (1-monoolein)","Lipid","Monoacylglycerol","21184","GC/MS","2181.1999999999998","397.4","111-03-5","5283468",NA,"HMDB11567"
"9","1-oleoylglycerophosphocholine","Lipid","Lysolipid","33960","LC/MS Pos","5700","522.4","19420-56-5","16081932",NA,NA
"10","1-oleoylglycerophosphoethanolamine","Lipid","Lysolipid","35628","LC/MS Neg","5928","478.3","89576-29-4","9547071",NA,"HMDB11506"
"11","1-palmitoylglycerol (1-monopalmitin)","Lipid","Monoacylglycerol","21127","GC/MS","2119.5","371.3","542-44-9","14900",NA,NA
"12","1-palmitoylglycerophosphocholine","Lipid","Lysolipid","33955","LC/MS Pos","5671","496.4","17364-16-8","86554",NA,NA
"13","1-stearoylglycerol (1-monostearin)","Lipid","Monoacylglycerol","21188","GC/MS","2186.6","399.4","123-94-4","24699","D01947",NA
"14","1-stearoylglycerophosphocholine","Lipid","Lysolipid","33961","LC/MS Pos","5844","524.4","19420-57-6","497299",NA,NA
"15","1-stearoylglycerophosphoethanolamine","Lipid","Lysolipid","34416","LC/MS Pos","5842","482.3","69747-55-3","9547068",NA,"HMDB11130"
"16","2-aminoadipate","Amino acid","Lysine metabolism","6146","GC/MS","1686.5","260.10000000000002","542-32-5","469","C00956","HMDB00510"
"17","2-aminoadipate","Amino acid","Lysine metabolism","6146","GC/MS","1686.5","260.10000000000002","1118-90-7","469","C00956","HMDB00510"
"18","2'-deoxyadenosine 3'-monophosphate","Nucleotide","Purine metabolism, adenine containing","40663","LC/MS Pos","1383.5","332.1","102832-10-0","1467",NA,NA
"19","2'-deoxycytidine 3'-monophosphate","Nucleotide","Pyrimidine metabolism, cytidine containing","40453","LC/MS Pos","1048","308","6220-63-9","3274948",NA,NA
"20","2'-deoxyguanosine","Nucleotide","Purine metabolism, guanine containing","1411","LC/MS Pos","1728","268","961-07-9","187790","C00330","HMDB00085"
"21","2'-deoxyinosine","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing","15076","LC/MS Neg","1700","251.1","890-38-0","65058","C05512","HMDB00071"
"22","2-ethylhexanoate","Xenobiotics","Chemical","1554","GC/MS","1210.5","201.2","149-57-5","8697",NA,NA
"23","2-hydroxybutyrate (AHB)","Amino acid","Cysteine, methionine, SAM, taurine metabolism","21044","GC/MS","1169.4000000000001","130.9","3347-90-8","440864","C05984","HMDB00008"
"24","2-hydroxyglutarate","Lipid","Fatty acid, dicarboxylate","37253","GC/MS","1576","247","40951-21-1","43","C02630","HMDB00606"
"25","2-hydroxyhippurate (salicylurate)","Xenobiotics","Benzoate metabolism","18281","LC/MS Neg","2252","194.1","487-54-7","10253","C07588","HMDB00840"
"26","2-hydroxyisobutyrate","Xenobiotics","Chemical","22030","GC/MS","1107.5","130.9","594-61-6","11671",NA,"HMDB00729"
"27","2-hydroxypalmitate","Lipid","Fatty acid, monohydroxy","35675","LC/MS Neg","5508","271.3","764-67-0","92836",NA,NA
