"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"PLATFORM";"RI";"MASS";"manual_correction";"correction_tbl"
"1";"1,2-propanediol";"57-55-6";"Lipid";"Ketone bodies";"38002";"259994";"C00583, C02912";"HMDB0001881";"28972";"GC/MS";"1041";"117";TRUE;"completely_incompatible_manual_with_cas"
"2";"1-heptadecanoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"37419";NA;NA;NA;NA;"LC/MS Neg";"6029";"466.3";FALSE;NA
"3";"4-hydroxyhippurate";"2482-25-9";"Xenobiotics";"Benzoate metabolism";"35527";"151012";NA;"HMDB0013678";"71018";"LC/MS Neg";"1439";"194";FALSE;NA
"4";"4-hydroxyphenylacetate";"156-38-7";"Amino acid";"Phenylalanine & tyrosine metabolism";"541";"127";"C00642";"HMDB0000020";"18101, 48999";"GC/MS";"1630.6";"179";FALSE;NA
"5";"4-methyl-2-oxopentanoate";"816-66-0";"Amino acid";"Valine, leucine and isoleucine metabolism";"22116";"70, 3527278";"C00233";"HMDB0000695, HMDB0000762";"48430, 17865";"LC/MS Neg";"2200";"129.19999999999999";FALSE;NA
"6";"5,6-dihydrouracil";"504-07-4";"Nucleotide";"Pyrimidine metabolism, uracil containing";"1559";"649";"C00429";"HMDB0000076";"15901";"GC/MS";"1505.2";"243";FALSE;NA
"7";"5-HETE";"73307-52-5";"Lipid";"Eicosanoid";"37372";"5280733, 9862886, 5283153, 5283165, 70678647";"C04805";"HMDB0011134, HMDB0002218";"28209, 60943, 65341, 90632";"LC/MS Neg";"5372";"319.2";FALSE;NA
"8";"5-aminovalerate";"660-88-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"18319";"138";"C00431";"HMDB0003355";"15887, 356010";"LC/MS Pos";"860";"118.1";FALSE;NA
"9";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"439234, 9825434, 135398561";"C00440";"HMDB0001396";"15641";"LC/MS Neg";"1838";"458.2";FALSE;NA
"10";"5-methylthioadenosine (MTA)";"2457-80-9";"Amino acid";"Polyamine metabolism";"1419";"439176";"C00170";"HMDB0001173";"17509";"LC/MS Pos";"2427";"298.10000000000002";FALSE;NA
"11";"5-methyluridine (ribothymidine)";"1463-10-1";"Nucleotide";"Pyrimidine metabolism, uracil containing";"35136";"445408";NA;"HMDB0000884";"45996";"LC/MS Neg";"1774";"257.10000000000002";FALSE;NA
"12";"5-oxoETE";"106154-18-1";"Lipid";"Eicosanoid";"38400";"5283159, 16061124, 1831";"C14732";"HMDB0010217, HMDB0246835";"52449, 65342";"LC/MS Neg";"5373";"317.3";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"13";"1-linoleoylglycerol (1-monolinolein)";"2277-28-3";"Lipid";"Monoacylglycerol";"27447";"5283469";NA;"HMDB0242115";"75565, 75568";"GC/MS";"2181";"395.3";FALSE;NA
"14";"5-oxoproline";"98-79-3";"Amino acid";"Glutathione metabolism";"1494";"7405, 439685";"C01879";"HMDB0000267, HMDB0000805, HMDB0060262";"18183, 16924, 57948";"LC/MS Neg";"744";"128.19999999999999";FALSE;NA
"15";"6'-sialyllactose";"35890-39-2";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"39795";"643987";NA;"HMDB0006569";NA;"GC/MS";"2071.5";"285.10000000000002";FALSE;NA
"16";"6-keto prostaglandin F1alpha";"58961-34-8, 58962-34-8";"Lipid";"Eicosanoid";"20476";"5280888, 5283044";"C05961";"HMDB0002886";"28158";"LC/MS Neg";"4180";"369.3";FALSE;NA
"17";"6-phosphogluconate";"921-62-0, 53411-70-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15442";"91493, 5459869";"C00345";"HMDB0001316";"48928, 58759, 16863";"LC/MS Neg";"588";"275.10000000000002";FALSE;NA
"18";"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";"115538-85-7";"Lipid";"Sterol/Steroid";"36776";"3081085";"C17337";"HMDB0012458, HMDB0062430";"83036";"LC/MS Neg";"5268";"429.4";FALSE;NA
"19";"7-alpha-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35692";"107722";"C03594";"HMDB0001496";"17500";"GC/MS";"2300";"456.2";FALSE;NA
"20";"7-beta-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35092";"107722, 473141, 3247057";"C03594";"HMDB0001496, HMDB0006119";"17500, 42989";"GC/MS";"2340";"456.4";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"21";"Ac-Ser-Asp-Lys-Pro-OH";"127103-11-1";"Peptide";"Polypeptide";"40707";"4409396";NA;"HMDB0247929";NA;"LC/MS Pos";"1767";"488.2";FALSE;NA
"22";"C-glycosyltryptophan*";NA;"Amino acid";"Tryptophan metabolism";"32675";NA;NA;NA;NA;"LC/MS Pos";"1912";"367.1";FALSE;NA
