"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"manual_correction";"correction_tbl"
"1";"1,2-propanediol";"57-55-6";"Lipid";"Ketone bodies";"38002";"GC/MS";"1041";"117";"259994";"C00583, C02912";"HMDB0001881";"CHEBI:28972";TRUE;"completely_incompatible_manual_with_cas"
"2";"1-heptadecanoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"37419";"LC/MS Neg";"6029";"466.3";NA;NA;NA;NA;FALSE;NA
"3";"4-hydroxyhippurate";"2482-25-9";"Xenobiotics";"Benzoate metabolism";"35527";"LC/MS Neg";"1439";"194";"151012";NA;"HMDB0013678";"CHEBI:71018";FALSE;NA
"4";"4-hydroxyphenylacetate";"156-38-7";"Amino acid";"Phenylalanine & tyrosine metabolism";"541";"GC/MS";"1630.6";"179";"127";"C00642";"HMDB0000020";"CHEBI:18101, CHEBI:48999";FALSE;NA
"5";"4-methyl-2-oxopentanoate";"816-66-0";"Amino acid";"Valine, leucine and isoleucine metabolism";"22116";"LC/MS Neg";"2200";"129.19999999999999";"3527278, 70";"C00233";"HMDB0000695, HMDB0000762";"CHEBI:17865, CHEBI:48430";FALSE;NA
"6";"5,6-dihydrouracil";"504-07-4";"Nucleotide";"Pyrimidine metabolism, uracil containing";"1559";"GC/MS";"1505.2";"243";"649";"C00429";"HMDB0000076";"CHEBI:15901";FALSE;NA
"7";"5-HETE";"73307-52-5";"Lipid";"Eicosanoid";"37372";"LC/MS Neg";"5372";"319.2";"5280733, 5283153, 5283165, 70678647, 9862886";"C04805";"HMDB0002218, HMDB0011134";"CHEBI:28209, CHEBI:60943, CHEBI:65341, CHEBI:90632";FALSE;NA
"8";"5-aminovalerate";"660-88-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"18319";"LC/MS Pos";"860";"118.1";"138";"C00431";"HMDB0003355";"CHEBI:15887, CHEBI:356010";FALSE;NA
"9";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"135398561, 439234, 9825434";"C00440";"HMDB0001396";"CHEBI:15641";FALSE;NA
"10";"5-methylthioadenosine (MTA)";"2457-80-9";"Amino acid";"Polyamine metabolism";"1419";"LC/MS Pos";"2427";"298.10000000000002";"439176";"C00170";"HMDB0001173";"CHEBI:17509";FALSE;NA
"11";"5-methyluridine (ribothymidine)";"1463-10-1";"Nucleotide";"Pyrimidine metabolism, uracil containing";"35136";"LC/MS Neg";"1774";"257.10000000000002";"445408";NA;"HMDB0000884";"CHEBI:45996";FALSE;NA
"12";"5-oxoETE";"106154-18-1";"Lipid";"Eicosanoid";"38400";"LC/MS Neg";"5373";"317.3";"16061124, 1831, 5283159";"C14732";"HMDB0010217, HMDB0246835";"CHEBI:52449, CHEBI:65342";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"13";"1-linoleoylglycerol (1-monolinolein)";"2277-28-3";"Lipid";"Monoacylglycerol";"27447";"GC/MS";"2181";"395.3";"5283469";NA;"HMDB0242115";"CHEBI:75565, CHEBI:75568";FALSE;NA
"14";"5-oxoproline";"98-79-3";"Amino acid";"Glutathione metabolism";"1494";"LC/MS Neg";"744";"128.19999999999999";"439685, 7405";"C01879";"HMDB0000267, HMDB0000805, HMDB0060262";"CHEBI:16924, CHEBI:18183, CHEBI:57948";FALSE;NA
"15";"6'-sialyllactose";"35890-39-2";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"39795";"GC/MS";"2071.5";"285.10000000000002";"643987";NA;"HMDB0006569";NA;FALSE;NA
"16";"6-keto prostaglandin F1alpha";"58961-34-8, 58962-34-8";"Lipid";"Eicosanoid";"20476";"LC/MS Neg";"4180";"369.3";"5280888, 5283044";"C05961";"HMDB0002886";"CHEBI:28158";FALSE;NA
