"";"original_row_id";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"manual_correction";"correction_tbl";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible"
"20";"9";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;FALSE;NA;9;"HMDB";"HMDB0001396";"PUBCHEM";"135398561";TRUE;"direct";5;TRUE
"21";"9";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;FALSE;NA;9;"KEGG";"C00440";"PUBCHEM";"439234";TRUE;"direct";5;TRUE
"22";"9";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;FALSE;NA;9;"KEGG";"C00440";"PUBCHEM";"9825434";TRUE;"direct";5;TRUE
"23";"9";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;FALSE;NA;9;"KEGG";"C00440";"PUBCHEM";"135398561";TRUE;"direct";5;TRUE
"24";"9";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;FALSE;NA;9;"PUBCHEM";"439234";"PUBCHEM";"9825434";TRUE;"secondary";5;TRUE
"25";"9";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;FALSE;NA;9;"PUBCHEM";"439234";"PUBCHEM";"135398561";TRUE;"secondary";5;TRUE
"26";"9";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;FALSE;NA;9;"PUBCHEM";"9825434";"PUBCHEM";"135398561";TRUE;"secondary";5;TRUE
"27";"10";"5-methylthioadenosine (MTA)";"2457-80-9";"Amino acid";"Polyamine metabolism";"1419";"LC/MS Pos";"2427";"298.10000000000002";"439176";"C00170";"HMDB01173";NA;FALSE;NA;10;"HMDB";"HMDB0001173";"KEGG";"C00170";TRUE;"direct";3;TRUE
"28";"10";"5-methylthioadenosine (MTA)";"2457-80-9";"Amino acid";"Polyamine metabolism";"1419";"LC/MS Pos";"2427";"298.10000000000002";"439176";"C00170";"HMDB01173";NA;FALSE;NA;10;"HMDB";"HMDB0001173";"PUBCHEM";"439176";TRUE;"direct";3;TRUE
"29";"10";"5-methylthioadenosine (MTA)";"2457-80-9";"Amino acid";"Polyamine metabolism";"1419";"LC/MS Pos";"2427";"298.10000000000002";"439176";"C00170";"HMDB01173";NA;FALSE;NA;10;"KEGG";"C00170";"PUBCHEM";"439176";TRUE;"direct";3;TRUE
"30";"11";"5-methyluridine (ribothymidine)";"1463-10-1";"Nucleotide";"Pyrimidine metabolism, uracil containing";"35136";"LC/MS Neg";"1774";"257.10000000000002";"445408";NA;"HMDB00884";NA;FALSE;NA;11;"HMDB";"HMDB0000884";"PUBCHEM";"445408";TRUE;"direct";2;TRUE
"31";"12";"5-oxoETE";"106154-18-1";"Lipid";"Eicosanoid";"38400";"LC/MS Neg";"5373";"317.3";"1831";"C14732";"HMDB10217";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";12;"HMDB";"HMDB0010217";"KEGG";"C14732";TRUE;"direct";3;FALSE
"32";"12";"5-oxoETE";"106154-18-1";"Lipid";"Eicosanoid";"38400";"LC/MS Neg";"5373";"317.3";"1831";"C14732";"HMDB10217";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";12;"HMDB";"HMDB0010217";"PUBCHEM";"1831";FALSE;"no_match";3;FALSE
