gene,pathway
A4GALT,1
A4GNT,1
AACS,2
AADAC,2
AADAT,2
AASS,1
ABAT,1
ABCA1,1
ABCB11,1
ABCB4,2
ABCC1,2
ABCC3,2
ABCC4,4
ABO,1
ABP1,7
ACAA1,1
ACACA,1
ACACB,1
ACAD10,1
ACAD11,1
ACAD8,1
ACAD9,1
ACADM,2
ACADS,1
ACADSB,2
ACAT1,2
ACAT2,1
ACHE,1
ACLY,1
ACMSD,1
ACO1,1
ACO2,1
ACOT12,1
ACOT2,1
ACOT8,1
ACOX1,1
ACOX2,1
ACOX3,1
ACP1,1
ACP2,1
ACSL1,1
ACSL3,1
ACSL4,1
ACSL5,1
ACSM1,1
ACSS1,2
ACSS2,2
ACY1,3
ACY3,1
ACYP1,1
ACYP2,1
ADA,1
ADC,1
ADCY1,1
ADCY10,1
ADCY2,1
ADCY3,1
ADCY4,1
ADCY5,1
ADCY6,1
ADCY7,1
ADCY8,1
ADCY9,1
ADH1A,6
ADH1B,6
ADH1C,6
ADH4,2
ADH5,4
ADH6,3
ADH7,6
ADHFE1,1
ADK,1
ADSL,2
ADSS,1
ADSSL1,1
AGA,2
AGL,1
AGMAT,1
AGPAT1,1
AGPAT2,1
AGPAT3,1
AGPAT4,1
AGPAT5,1
AGPAT6,1
AGPS,1
AGXT,3
AGXT2,3
AGXT2L1,3
AHCY,3
AHCYL1,3
AHCYL2,3
AICDA,1
AK1,1
AK2,1
AK3,1
AK3L1,1
AK5,1
AK7,1
AKR1A1,4
AKR1B1,4
AKR1C1,1
AKR1C4,5
AKR1D1,2
AKR7A2,2
ALAD,1
ALAS1,1
ALAS2,1
ALDH18A1,2
ALDH1A1,4
ALDH1A2,1
ALDH1A3,1
ALDH1B1,3
ALDH1L1,1
ALDH2,7
ALDH3A1,6
ALDH3A2,1
ALDH3B1,6
ALDH3B2,6
ALDH4A1,4
ALDH5A1,2
ALDH6A1,2
ALDH7A1,1
ALDH9A1,1
ALDOA,1
ALDOB,1
ALDOC,1
ALG1,1
ALG10,1
ALG12,1
ALG2,1
ALG3,1
ALG5,1
ALG6,1
ALG8,1
ALOX12,1
ALOX12B,1
ALOX15,1
ALOX15B,1
ALOX5,1
ALPI,1
ALPL,1
ALPP,1
ALPPL2,1
AMACR,1
AMD1,2
AMDHD2,1
AMPD1,1
AMPD2,1
AMPD3,1
AMT,1
AMY1A,1
AMY2A,1
AMY2B,1
AOC2,6
AOC3,5
AOX1,4
APRT,1
AQP8,1
AQP9,2
ARG1,1
ARG2,1
ARSA,1
ARSB,1
ASAH1,1
ASL,1
ASMT,1
ASNS,1
ASPA,1
ASRGL1,1
ASS1,1
ATHL1,1
ATIC,1
ATP10A,1
ATP1A1,1
ATP1A2,1
ATP1A3,1
ATP1A4,1
ATP1B1,1
ATP1B2,1
ATP1B3,1
ATP1B4,1
ATP2B1,1
ATP2B2,1
ATP2B3,1
ATP2B4,1
ATP4A,1
ATP4B,1
ATP5A1,1
ATP5B,1
ATP5C1,1
ATP5D,1
ATP5E,1
ATP5F1,1
ATP5G1,1
ATP5G2,1
ATP5G3,1
ATP5H,1
ATP5I,1
ATP5J,1
ATP5J2,1
ATP5L,1
ATP6V0A1,1
ATP6V0A2,1
ATP6V0A4,1
ATP6V0B,1
ATP6V0C,1
ATP6V0D1,1
ATP6V0D2,1
ATP6V1A,1
ATP6V1B1,1
ATP6V1B2,1
ATP6V1C1,1
ATP6V1C2,1
ATP6V1D,1
ATP6V1E1,1
ATP6V1E2,1
ATP6V1F,1
ATP6V1G1,1
ATP6V1G2,1
ATP6V1G3,1
ATP6V1H,1
ATP8A1,1
AUH,1
B3GALNT1,1
B3GALT4,1
B3GALT5,1
