PUBCHEM,PotentialAdditionalIDs,AllIDs
1,"7045767, 439756","1, 7045767, 439756"
100048,NA,100048
100094,NA,100094
1003,"1004, 1061, 3681305","1004, 1061, 3681305, 1003"
1004,"1061, 3681305, 1003","1004, 1061, 3681305, 1003"
1005,"638308, 3674425","1005, 638308, 3674425"
10140,5460316,"10140, 5460316"
1015,NA,1015
101541,219833,"219833, 101541"
10177002,168379,"168379, 10177002"
10204,6013,"6013, 10204"
10208382,NA,10208382
1023,"644102, 4097574, 4995","1023, 644102, 4097574, 4995"
10253,NA,10253
10258,NA,10258
10268029,NA,10268029
10357,439193,"10357, 439193"
10400369,25244216,"10400369, 25244216"
10413,3037032,"10413, 3037032"
10415542,"24779456, 24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467","24779456, 24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467"
10427569,NA,10427569
1045,NA,1045
10465,NA,10465
10466,NA,10466
10467,NA,10467
1050,NA,1050
1061,"1004, 3681305, 1003","1004, 1061, 3681305, 1003"
10634,NA,10634
1066,165390,"165390, 1066"
10690,NA,10690
107475,NA,107475
107526,"64689, 5793","64689, 5793, 107526"
107689,5460161,"107689, 5460161"
107722,NA,107722
107738,188824,"188824, 107738"
107812,NA,107812
1081,NA,1081
1088,NA,1088
10917,"288, 85","10917, 288, 85"
10972,NA,10972
10991489,NA,10991489
11005,NA,11005
1102,NA,1102
1103,NA,1103
111,6971254,"111, 6971254"
1110,160419,"1110, 160419"
111299,NA,111299
11163,NA,11163
112072,NA,112072
11215652,"53477713, 65359, 11767258","53477713, 65359, 11215652, 11767258"
1123,NA,1123
11266,440864,"440864, 11266"
1135,NA,1135
11367166,26613,"11367166, 26613"
115244,NA,115244
11671,4277439,"11671, 4277439"
1174,NA,1174
1175,NA,1175
11757087,"24779456, 24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467","24779456, 24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467"
1176,NA,1176
11767258,"53477713, 65359, 11215652","53477713, 65359, 11215652, 11767258"
118276,NA,118276
11865423,"5280360, 5283031","5280360, 5283031, 11865423"
1188,NA,1188
119,5460232,"119, 5460232"
11902892,NA,11902892
119389,379,"379, 119389"
12178130,5283468,"12178130, 5283468"
122045,NA,122045
122121,NA,122121
123409,NA,123409
12358756,NA,12358756
12358757,5289590,"12358757, 5289590"
123701,NA,123701
123796,44263371,"123796, 44263371"
123831,169148,"123831, 169148"
123874,NA,123874
123938,7059430,"123938, 7059430"
123979,NA,123979
1245,"736172, 23615482","736172, 1245, 23615482"
124886,448106,"124886, 448106"
12594,159663,"12594, 159663"
12647,NA,12647
126894,NA,126894
127,NA,127
12736,6991984,"12736, 6991984"
128145,NA,128145
13130,NA,13130
13341191,NA,13341191
134508,NA,134508
13489094,3710145,"13489094, 3710145"
134906,NA,134906
135191,NA,135191
135398561,"439234, 9825434","439234, 9825434, 135398561"
135398592,187790,"187790, 135398592"
135414246,NA,135414246
135437,NA,135437
135501639,92919,"92919, 135501639"
136487,NA,136487
137276,NA,137276
138,NA,138
13849,NA,13849
139506,NA,139506
14180,"14181, 23617374","14181, 14180, 23617374"
14181,"14180, 23617374","14181, 14180, 23617374"
145742,"8988, 614","8988, 145742, 614"
14598502,"33032, 23327, 611, 4179667, 5128032","33032, 14598502, 23327, 611, 4179667, 5128032"
1467,NA,1467
14900,NA,14900
14985,NA,14985
15047,NA,15047
150914,NA,150914
150964,NA,150964
151012,NA,151012
151023,NA,151023
151134,NA,151134
152198,NA,152198
152204,NA,152204
152306,618,"618, 152306"
1549073,"6322, 71070, 232","6322, 1549073, 71070, 232"
1549344,NA,1549344
1551340,NA,1551340
156391,NA,156391
15816,NA,15816
15938965,6083,"6083, 15938965"
15939608,"5960, 83887, 424, 4124657","5960, 15939608, 83887, 424, 4124657"
159659,NA,159659
159663,12594,"12594, 159663"
160419,1110,"1110, 160419"
160434,"222656, 5459792, 525","222656, 5459792, 525, 160434"
160556,NA,160556
16061124,5283159,"5283159, 16061124"
160636,"221493, 5283874, 5460314","160636, 221493, 5283874, 5460314"
16081932,NA,16081932
161166,846,"161166, 846"
16226475,53481619,"16226475, 53481619"
165007,"92042786, 616","92042786, 616, 165007"
165390,1066,"165390, 1066"
167945,"6613, 988","6613, 988, 167945"
168058,NA,168058
168182,NA,168182
168379,10177002,"168379, 10177002"
168381,NA,168381
169019,NA,169019
169148,123831,"123831, 169148"
16950,"439998, 46878376","16950, 439998, 46878376"
17106,439554,"439554, 17106"
182230,NA,182230
1831,NA,1831
185698,18950,"185698, 18950"
187790,135398592,"187790, 135398592"
188803,"5255, 6992083","188803, 5255, 6992083"
188824,107738,"188824, 107738"
189008,440549,"189008, 440549"
18950,185698,"185698, 18950"
190,NA,190
192826,"439586, 62698","439586, 192826, 62698"
193508,NA,193508
195,NA,195
196,NA,196
19648,NA,19648
1983,NA,1983
199,NA,199
2042020,65065,"65065, 2042020"
21145021,"5460407, 439535","5460407, 439535, 21145021"
21252250,"5280352, 5315454","5280352, 21252250, 5315454"
213144,439829,"213144, 439829"
21604863,440641,"440641, 21604863"
21604864,439284,"21604864, 439284"
21933914,"99823, 853180","99823, 853180, 21933914"
219833,101541,"219833, 101541"
221493,"160636, 5283874, 5460314","160636, 221493, 5283874, 5460314"
222285,NA,222285
222656,"5459792, 525, 160434","222656, 5459792, 525, 160434"
222786,NA,222786
2249,NA,2249
2266,NA,2266
22833583,91825606,"91825606, 22833583"
22885096,NA,22885096
23327,"33032, 14598502, 611, 4179667, 5128032","23327, 33032, 14598502, 611, 4179667, 5128032"
23421200,"439198, 65127","439198, 65127, 23421200"
23615482,"736172, 1245","736172, 1245, 23615482"
23616120,"5958, 439958","5958, 439958, 23616120"
23617374,"14181, 14180","14181, 14180, 23617374"
239,NA,239
24139,NA,24139
242,243,"243, 242"
243,242,"243, 242"
24417,NA,24417
24699,NA,24699
247,248,"248, 247"
24778482,446284,"446284, 24778482"
24778483,445580,"445580, 24778483"
24779456,"24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467","24779456, 24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467"
24779458,"24779456, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467","24779456, 24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467"
24779461,"24779456, 24779458, 460602, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467","24779456, 24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467"
