gene,term
GPT,Alanine and Aspartate Metabolism
GPT2,Alanine and Aspartate Metabolism
ACY3,Alanine and Aspartate Metabolism
AGXT,Alanine and Aspartate Metabolism
AGXT2,Alanine and Aspartate Metabolism
AGXT2L1,Alanine and Aspartate Metabolism
ASNS,Alanine and Aspartate Metabolism
ASPA,Alanine and Aspartate Metabolism
ASRGL1,Alanine and Aspartate Metabolism
DDO,Alanine and Aspartate Metabolism
GOT1,Alanine and Aspartate Metabolism
GOT2,Alanine and Aspartate Metabolism
SLC1A1,Alanine and Aspartate Metabolism
SLC1A2,Alanine and Aspartate Metabolism
SLC1A3,Alanine and Aspartate Metabolism
SLC1A4,Alanine and Aspartate Metabolism
SLC1A5,Alanine and Aspartate Metabolism
SLC1A6,Alanine and Aspartate Metabolism
SLC1A7,Alanine and Aspartate Metabolism
SLC36A1,Alanine and Aspartate Metabolism
SLC38A1,Alanine and Aspartate Metabolism
SLC38A2,Alanine and Aspartate Metabolism
SLC38A3,Alanine and Aspartate Metabolism
SLC38A4,Alanine and Aspartate Metabolism
SLC38A5,Alanine and Aspartate Metabolism
SLC6A14,Alanine and Aspartate Metabolism
SLC7A10,Alanine and Aspartate Metabolism
SLC7A2,Alanine and Aspartate Metabolism
SLC7A3,Alanine and Aspartate Metabolism
SLC7A8,Alanine and Aspartate Metabolism
SLC25A12,Alanine and Aspartate Metabolism
SLC25A13,Alanine and Aspartate Metabolism
AMDHD2,Amino and Nucleotide Sugar Metabolism
CHIA,Amino and Nucleotide Sugar Metabolism
CHIT1,Amino and Nucleotide Sugar Metabolism
CMAS,Amino and Nucleotide Sugar Metabolism
GALE,Amino and Nucleotide Sugar Metabolism
GFPT1,Amino and Nucleotide Sugar Metabolism
GFPT2,Amino and Nucleotide Sugar Metabolism
GNE,Amino and Nucleotide Sugar Metabolism
GNPDA1,Amino and Nucleotide Sugar Metabolism
GNPDA2,Amino and Nucleotide Sugar Metabolism
GNPNAT1,Amino and Nucleotide Sugar Metabolism
MANSC1,Amino and Nucleotide Sugar Metabolism
NAGK,Amino and Nucleotide Sugar Metabolism
NANS,Amino and Nucleotide Sugar Metabolism
PGM3,Amino and Nucleotide Sugar Metabolism
RENBP,Amino and Nucleotide Sugar Metabolism
TGDS,Amino and Nucleotide Sugar Metabolism
UAP1,Amino and Nucleotide Sugar Metabolism
UAP1L1,Amino and Nucleotide Sugar Metabolism
UXS1,Amino and Nucleotide Sugar Metabolism
PROSC,Arginine and Proline Metabolism
ABP1,Arginine and Proline Metabolism
ALDH18A1,Arginine and Proline Metabolism
ALDH4A1,Arginine and Proline Metabolism
AOC2,Arginine and Proline Metabolism
AOC3,Arginine and Proline Metabolism
DAO,Arginine and Proline Metabolism
GOT1,Arginine and Proline Metabolism
GOT2,Arginine and Proline Metabolism
NAGS,Arginine and Proline Metabolism
OAT,Arginine and Proline Metabolism
PRODH,Arginine and Proline Metabolism
PRODH2,Arginine and Proline Metabolism
PYCR1,Arginine and Proline Metabolism
PYCR2,Arginine and Proline Metabolism
PYCRL,Arginine and Proline Metabolism
SLC22A1,Arginine and Proline Metabolism
SLC22A2,Arginine and Proline Metabolism
SLC22A3,Arginine and Proline Metabolism
SLC25A15,Arginine and Proline Metabolism
SLC25A2,Arginine and Proline Metabolism
SLC36A1,Arginine and Proline Metabolism
SLC38A1,Arginine and Proline Metabolism
SLC38A2,Arginine and Proline Metabolism
SLC38A4,Arginine and Proline Metabolism
SLC5A1,Arginine and Proline Metabolism
SLC6A14,Arginine and Proline Metabolism
SLC6A7,Arginine and Proline Metabolism
SLC6A8,Arginine and Proline Metabolism
SLC7A1,Arginine and Proline Metabolism
