"Metabolite","Log2FC","p.adj","t.val","786-O_1","786-O_2","786-O_3","HK2_1","HK2_2","HK2_3","HMDB","KEGG.ID","KEGGCompound","Pathway"
"2-aminoadipic acid",0.417147325773676,0.0011281336600597,-2266898.14172583,8968347.01318168,9089987.11364781,9025705.66969693,5801815.74705842,7322390.02951672,7159139.59477378,"HMDB0302754",NA,NA,"Not assigned"
"2-hydroxyglutarate",0.916184155684464,7.60979767125969e-05,-197621682.671958,389934194.85894,463318717.033263,407917218.644035,188417804.988409,228825446.058535,251061831.473421,"HMDB0059655","C02630","2-Hydroxyglutarate","Citrate cycle (TCA cycle)"
"2-ketoglutarate",1.35899504609479,6.5521058497664e-06,-601515324.277071,887922451.721599,1057350517.88737,1012290077.51354,326367919.061234,366703618.382832,459945536.847224,"HMDB0000208","C00026","2-Oxoglutarate","Citrate cycle (TCA cycle)"
"2/3-phosphoglycerate",0.056682336044866,0.975004520457492,-1242256.50464733,36932025.9665155,30493038.7396439,29305325.9151203,30931592.1103972,32564866.7457721,29507162.2511684,"HMDB0060180","C00197","3-Phospho-D-glycerate","Glycolysis / Gluconeogenesis"
"4-guanidinobutanoate",-1.00990969405753,0.00032325318637938,2167896.54063905,2390740.73734836,2329025.01496257,1695489.30490138,4418820.27869222,4133882.63232599,4366241.76811126,"HMDB0003464","C01035","4-Guanidinobutanoate","Arginine and proline metabolism"
"4-hydroxyphenyllactate",-0.947229023593709,5.08006533506134e-08,1951444.42479523,2000373.754778,2113869.13984171,2193179.78763858,3963104.39631136,3971958.32748533,4226693.23284729,"HMDB0000755","C03672","3-(4-Hydroxyphenyl)lactate","Not assigned"
"5-aminolevulinic acid",-0.299854560898822,0.15591079951015,850254.1677508,3273419.1851125,3645631.31076703,4122240.7898835,4028434.89136234,4373206.79288048,5190412.1047726,"HMDB0001149","C00430","5-Aminolevulinate","Not assigned"
"5-aminovaleric acid*",0.763932047194524,0.00230929070151686,-28857876.8762516,75084364.7922979,74538969.2736732,60961297.1859146,39898613.116783,43445126.0143097,40667261.492038,NA,NA,NA,"Not assigned"
"5-methylthioadenosine (MTA)",-0.434182923178204,0.123072886809311,6508638.12539906,19881601.6693491,17155788.4552879,18568962.6464569,24864886.3691973,22428867.4318721,27838513.3462216,"HMDB0001173","C00170","5'-Methylthioadenosine","Cysteine and methionine metabolism"
"6-phosphogluconate",-0.484389827526726,0.718139076568601,353520.559303016,981659.661316769,872407.671585804,804021.617689153,1061037.69640013,1255715.29426535,1401897.63783529,"HMDB0001316","C00345","6-Phospho-D-gluconate","Pentose phosphate pathway"
