Metabolite,Log2FC,AveExpr,t.val,p.val,p.adj,B,log2(MS55_01),log2(MS55_02),log2(MS55_03),log2(MS55_04),log2(MS55_05),log2(MS55_06),log2(MS55_07),log2(MS55_08),log2(MS55_17),log2(MS55_18),log2(MS55_19),log2(MS55_20),log2(MS55_21),log2(MS55_22),log2(MS55_23),log2(MS55_24),log2(MS55_33),log2(MS55_34),log2(MS55_35),log2(MS55_36),log2(MS55_37),log2(MS55_38),log2(MS55_39),log2(MS55_40)
valine-d8,0.17370400557322085,30.940996145301764,6.401248060360673,7.231421316002248e-8,1.4227035415178336e-7,6.372794782757863,30.831031416164876,30.919472967418507,30.898759341172976,30.876661257673792,31.002237776653494,30.9272904561714,30.994317162901226,31.050862381321732,30.778758107844656,30.818680190168603,30.75472791891658,30.811660397979225,30.955976591158862,31.005840033384743,31.02381625977797,31.020612219291042,30.825052264203496,30.706978509779056,30.766743382467787,30.824862588593685,30.95004776300065,30.995688508361848,30.975351684528817,30.995795572710126
5-aminovaleric acid*,0.49783633476538824,25.810407402442454,9.038240955288359,9.16306879800373e-12,2.099386648656551e-11,15.389120325321443,25.742145843224687,25.72586553762681,25.626846901039077,25.56552355871968,26.33862696484187,26.28740008927433,26.247981285080215,26.25748712160118,25.5744261421722,25.496764948977773,25.617836271843704,25.656578633470094,25.97309680219057,26.07102361503344,26.126098606772835,26.064611318617484,25.520500184612278,25.417209965001295,25.491728590805497,25.455666442864025,25.88683269354568,25.875931394943485,25.83119560134899,25.90484354429172
hypoxanthine,-0.07994103231145644,21.586038355736672,-0.22582561573188512,0.8223374267048787,0.831525554377559,-8.563380739252894,22.300118380071652,21.479558726984145,21.223123938296098,20.805117099995556,22.048134884315047,23.12717952664444,23.34504904991902,22.235630079687855,20.807178659538895,21.691585859315616,21.42942508904428,20.818743176547617,21.014979851202696,23.528229114483054,22.245781231657997,21.432303418755666,23.130268660682,23.046585217851685,23.504444027734795,22.770644912806247,20.40552452113131,20.486911167900733,21.26547181468634,20.91230670074692
IMP,0.40795108422455684,19.15404053890756,2.841359964097367,0.0066732678200490565,0.009220316606327323,-4.790866897899219,19.48315246488914,19.213304274830758,19.232472971949985,19.315798182423933,19.11405151011767,19.026437571383035,19.362642929365702,19.025193202092584,18.994259113001394,18.784355757401887,18.594659999114874,18.920465160302484,19.578740689335202,19.625322795592272,19.455755560560345,19.42039791438017,18.379856736845966,18.601222292206558,18.881630536091397,18.807647968655704,19.415314261127353,19.540049109895275,19.358938649611936,19.18139427494719
indole,-1.2065413958966715,19.34993260170537,-13.773571794649248,6.191410628698752e-18,2.1973437721460274e-17,29.776085929785676,20.363004939466258,20.36446842626329,20.423903718660203,20.186483911804093,19.243446738375546,19.00265614155891,19.039195442478977,18.995825707843025,19.94936725806621,19.848711096761974,19.84161077006378,19.984393988832785,18.514646990958127,18.543342913156003,18.848691237494204,18.806388129125406,20.12690138152145,19.93877372742197,20.12086572986241,20.001727050288995,18.639634682578972,19.13586917995141,19.09764317992106,18.80437490481176
indole-3-lactate,-0.9191037475505368,18.529627773953198,-6.4308235687541835,6.527706086038301e-8,1.2983679138164092e-7,6.475047321211418,19.786255585830475,19.60240876764222,19.855689121204765,19.517128959006047,18.689746863620105,18.40520704281134,18.125422644204964,18.381711878271087,19.15734064719597,19.185911634390685,19.158335276764838,19.09260341700863,18.24100661979606,18.3705644806703,18.649153539190326,18.393206811359033,19.219223347382332,19.241705757116602,19.42898539549995,18.677180955991247,18.416313494771373,18.416521768950457,18.341866354659558,18.462802396122772
inosine,0.20892310434919636,19.629570929041623,1.5766211085135182,0.12173585667780859,0.15301520874085664,-7.353078143509269,19.915450892025714,19.944698385317558,19.858717327516523,19.773562126165604,20.251968930256105,20.269326076957167,20.096847624475707,20.122207174866098,19.314920238442426,19.577555673278148,19.362605746005386,19.566021859544964,19.844282445697548,19.852890223102268,19.96281610201708,20.234362146628648,19.864716454921844,19.56758853726503,21.0884061780265,19.672870624779005,19.75034895971934,19.948990500070252,19.713442727473534,19.966708384215302
isoleucine,-0.8114540144343145,28.656841317051825,-12.251230248239821,4.368007520266595e-16,1.363119588221127e-15,25.458437573401344,29.301665095280246,29.282218656414994,29.25443628840357,29.06676640338369,28.503749459446848,28.406054139469784,28.339938685454552,28.466722469408246,28.954279718174476,29.026311757009527,28.990872756085103,29.02523672200831,27.91980213378338,28.311330885229665,28.27609124885728,28.14537939499236,29.250220727551667,29.150776183387514,29.374814894046466,29.1219434546174,28.486627867382904,28.332945145640984,28.506858492375084,28.366594561110148
isovalerylcarnitine,0.9595605548344075,24.786785066905583,10.191918700524027,2.2156022699531188e-13,5.648225505091754e-13,19.149976077936923,24.582817653616733,24.645421513910275,24.797542621811118,24.574820772479455,25.166351585684207,25.063255775893843,25.11203183473191,25.194766591542287,24.11176479831506,24.12934114551679,24.034364085236486,24.139007422094775,25.019290648067248,25.237842224994964,25.540009723194526,25.54403848044991,23.89124477755207,23.924268668015408,24.016594317434084,23.777741330680136,24.964216568541257,25.034288016863265,25.05171993442612,25.211844380285818
KMV,-0.19348378865959504,22.095917629876887,-1.4822230378005734,0.1450996868458067,0.17988385834993847,-7.493396977877632,22.439634201467715,22.21341018844484,22.24523142829968,21.84874571116211,22.13665086859236,21.98630901375647,22.129581201449714,22.11941224142369,21.38322962842488,21.81871183364354,21.73684299710967,21.80334789821672,21.522758654473677,21.706007795832072,21.76090336735343,21.92001948984474,22.685463841823367,22.721339095583335,23.03634706332745,22.517264782649036,22.204862927906813,22.193805271917665,22.252774831155744,22.19467754253081
lactate,-0.3807125061042669,29.23869172240985,-4.239171148753162,1.0691351134569538e-4,1.791791254960265e-4,-0.8426457407396883,29.58047421829967,29.560608064208203,29.486078451239216,29.327244807640614,29.153512403703605,29.08290151960113,29.053018964832425,29.054056398130804,29.027253910832947,29.17969243443755,29.08310981778664,29.14882638163379,28.414291787862123,28.727178794508063,28.78392741864438,28.752903917124954,29.529840540505617,29.45028735068942,29.66702118171827,29.409727790386118,29.252966089722065,29.17237801017602,29.220157862133878,29.21432170968745
leucine,-0.9974665593437457,28.80757881079721,-15.108149484024578,1.870751326208188e-19,8.062047381992429e-19,33.328629472985384,29.580401806502298,29.507844154288147,29.579670457407328,29.41332676353547,28.616797999315736,28.53182126782694,28.5678570321242,28.55200011889829,29.19134254938344,29.304245405949118,29.33442746283219,29.31960312427157,28.00213786327014,28.384207938647016,28.34676307430893,28.231497281163556,29.472694067720244,29.373902015738665,29.58544436167019,29.358381209866312,28.445208717149843,28.395268566743884,28.55568221362562,28.422442593965815
5-methylthioadenosine (MTA),-0.7007211732028651,24.22275981915926,-4.6783652964358176,2.5643253795372574e-5,4.378706544304185e-5,0.5531166109585417,25.358722694109115,25.082689896500057,24.815492786877538,24.577435420052666,23.919892318172586,24.836811882824126,24.64615271839462,23.76363314608206,24.161576568920932,25.12235595598423,24.45122753967885,24.65160688575338,24.09306570240055,23.987517570308757,23.939089777991057,23.68904236251848,24.593802494690205,25.167639782678684,25.047674788104096,24.821679814895603,24.48359975610941,23.91676452514937,23.98133021386994,24.18635057599002
lysine,-0.034175989606378465,25.068354499411083,-0.35160325732846825,0.7267413397214958,0.7559780602850041,-8.526360366294485,25.400015044387132,25.11148289203428,25.139054855470935,24.92151452113536,25.217670920202913,25.13806389932804,25.076845012459724,25.038497385165197,24.742552414332653,24.990674431332103,24.806392320225374,24.812376244939855,24.674694148896695,25.072396981279706,25.012237848364094,24.809425896125077,25.317536182719433,25.23812984267373,25.46666118076065,25.1061114853085,25.227983778166074,25.095163197788853,25.213704229053317,25.06570624321373
malate,-0.24332411126058062,30.981243617633712,-5.909441597713287,3.9574233943863917e-7,7.309118718203437e-7,4.67825663163962,31.317880905816605,31.40059122664977,31.150363660607503,31.1991428248202,30.907210920727493,30.88573223618495,30.939549192346508,30.9166240559358,31.116265757522,31.19140971290514,31.10969281005816,31.214578212850046,30.828860463367043,30.962912905721772,31.007080919803567,30.922477180084133,31.187404159698758,31.17287922948752,31.18540430474736,31.213291904111305,31.069481310093636,31.031439970509783,30.974682103675377,31.09296411569738
malonate,-0.3156182466839361,-Inf,-2.9301499241441005,0.0053050217449596955,0.007443480122772906,-4.552458793928762,23.166533047099534,23.079348206642408,22.74304588090708,22.60268716490872,22.902111189620136,22.80348393041131,22.448733833043086,22.730948958350883,22.648641731644144,22.81987805118104,22.833943844547825,22.80931146647605,22.867934692449456,22.66343253150384,22.11399483858419,22.98921997712728,22.74763087027483,23.317691634552155,23.14376310303703,22.801372753030687,22.14461394856105,22.357926519384137,-Inf,22.3268259755511
malonylcarnitine C3-DC,3.2838942639014483,19.912030700554187,18.43159813261427,7.137210373459747e-23,4.0369846174881697e-22,41.32428741211089,18.60624976606433,18.79756932821067,16.696436445020897,18.818687622584896,21.524366015906747,21.531498431999783,21.165959782240343,21.17753275691503,16.462386841991904,17.812719947375015,17.046280999022514,17.729941828010105,20.666313938683807,20.6771376293805,21.160511828811963,21.03127304774714,17.14697282590788,18.017351493234415,17.69946865621748,18.085498059239054,20.86555271957177,20.844417489412958,20.695301371355793,20.986429967670656
mesaconate,0.7611817233093419,24.790304128938274,16.893108368043492,2.3720640950052735e-21,1.2266960034170129e-20,37.764844678587195,24.321176873803743,24.15736831979824,23.99944042160993,24.45792401739744,24.977755514825773,25.02223758844985,25.016528698773687,24.94577336645017,24.1312911803132,24.245004567833586,24.05522742979741,24.27472453407223,24.972162026980875,25.09885370287888,25.024939753325288,25.069294718988715,24.29741852356209,24.359297172244737,24.33812677775521,24.284157054345524,24.97281226966119,25.003580819749025,24.936258204800644,25.015140887361365
methionine,-1.5647853231101507,26.484792169920418,-19.548768059079844,6.4314847689799126e-24,4.1574955113763006e-23,43.76947900161001,27.61502229994599,27.528822120203955,27.55165223099116,27.383968718650124,26.147409826645497,25.997905655720654,25.986737018736417,26.126067276018794,27.286068786907126,27.350044558198633,27.375662788884537,27.372683036511432,25.33262158296304,25.747841428478285,25.653166499691903,25.4891275500575,27.463553211501566,27.385216400045834,27.593468706097912,27.343899512301068,26.04839138819545,25.936107021941176,26.078475569931893,25.92878767453683
methionine sulfoxide,-0.8261833894500157,18.802440347713127,-6.191766255033586,1.4928268847053385e-7,2.8442280645438555e-7,5.649454514077407,19.60383767337872,19.556222834881144,19.793178964522525,19.643997393157584,18.587529889992936,18.983669834282434,19.009462499403206,18.768356928332235,19.42760721413967,19.22126952433443,19.73138401166903,19.433523583492143,18.374359805332144,19.46786603021841,18.87731896761341,18.141887130786717,19.412327495667032,19.492667651879398,19.535001435686073,19.66510774824761,18.304316375621408,18.39992041183114,19.205796750243675,18.481440233997528
methylhistidine,-0.816427465832632,25.200727813655835,-12.327533592821654,3.5043476207538505e-16,1.1326552131365124e-15,25.68180162678504,25.950183093196305,25.87414071867935,25.943084647091496,25.782876266919747,25.040653043536572,25.00805760114978,25.047541619903555,24.992130134998675,25.510257694809162,25.63769039642622,25.57145120779535,25.629129627094635,24.568758334328574,24.853187998046995,24.894805865181144,24.734430905059988,25.730267767252926,25.64957339848283,25.87272863257426,25.548814943681883,24.956609714845218,24.84661759626217,25.019269070338655,24.94100692036129
methylindole,-0.8562477793564298,21.070651444485343,-12.00548086475641,8.925510857675892e-16,2.6925291087322273e-15,24.733999184148697,21.803789532180968,21.782281474149663,21.925376362874857,21.658296413335666,20.94611208101602,20.953010894203185,20.88994971393402,20.969399258140363,21.29292929914654,21.68520685366283,21.5900166392336,21.53205609006367,20.36175976802367,20.716212639725637,20.709380658837325,20.729244798584016,21.639427404398024,21.515186246002322,21.79212957637132,21.495804832645813,20.890508494707575,20.757099548612437,20.69656846891162,20.818281047092054
