Metabolite,Log2FC,AveExpr,t.val,p.val,p.adj,B,log2(MS55_01),log2(MS55_02),log2(MS55_03),log2(MS55_04),log2(MS55_17),log2(MS55_18),log2(MS55_19),log2(MS55_20),log2(MS55_33),log2(MS55_34),log2(MS55_35),log2(MS55_36),log2(POOL0),log2(POOL1),log2(POOL2),log2(POOL3),log2(POOL4),log2(POOL5),log2(POOL6),log2(POOL7),log2(POOL8),log2(POOL9)
valine-d8,0.16240506386953157,30.947753262617805,6.21812394649157,7.132449716320697e-8,1.870975940078328e-7,6.99979009188858,30.831031416164876,30.919472967418507,30.898759341172976,30.876661257673792,30.778758107844656,30.818680190168603,30.75472791891658,30.811660397979225,30.825052264203496,30.706978509779056,30.766743382467787,30.824862588593685,31.009139808403088,30.969021477369292,30.981778070622774,30.97698673768079,31.018367657306936,31.028496846170132,30.99954223586704,30.958285960371455,30.914677306260153,30.945578157296353
5-aminovaleric acid*,0.2959944607328566,25.820725473129837,5.6258004603817895,6.419170435252207e-7,1.508921881533311e-6,4.824920711706349,25.742145843224687,25.72586553762681,25.626846901039077,25.56552355871968,25.5744261421722,25.496764948977773,25.617836271843704,25.656578633470094,25.520500184612278,25.417209965001295,25.491728590805497,25.455666442864025,25.85592853812635,25.872223927680757,25.88042053649182,25.880941461780306,25.89403127782018,25.872458462131018,25.845262653176146,25.888941899362052,25.87081848179762,25.84149488592656
hypoxanthine,0.51440392103272,21.73183117947836,1.513878722383247,0.13578242107033833,0.18071042804214144,-6.7381447173215765,22.300118380071652,21.479558726984145,21.223123938296098,20.805117099995556,20.807178659538895,21.691585859315616,21.42942508904428,20.818743176547617,23.130268660682,23.046585217851685,23.504444027734795,22.770644912806247,22.480598457425554,22.504021907578124,22.412490207119774,22.507773009442133,22.566152983405225,22.401010325057886,22.303393860422883,22.392700622084046,22.331141577001087,22.417084384847723
IMP,0.4856135961162984,19.199840857071624,3.463093077517024,0.001041393269390271,0.0019432183686560727,-2.3650216266282706,19.48315246488914,19.213304274830758,19.232472971949985,19.315798182423933,18.994259113001394,18.784355757401887,18.594659999114874,18.920465160302484,18.379856736845966,18.601222292206558,18.881630536091397,18.807647968655704,19.4889895118325,19.415855913116772,19.27821048049196,19.33678536225127,19.61540621356599,19.586416184741335,19.08247654451987,19.45747392921245,19.496079934419832,19.439129768439397
indole,-0.5583103494582424,19.382278817007816,-6.525054110482895,2.2568626608228732e-8,6.007237376602059e-8,8.142472917787842,20.363004939466258,20.36446842626329,20.423903718660203,20.186483911804093,19.94936725806621,19.848711096761974,19.84161077006378,19.984393988832785,20.12690138152145,19.93877372742197,20.12086572986241,20.001727050288995,19.618944674814532,19.54131541305251,19.481476016632776,19.762136255243444,19.50257595134747,19.60835890941243,19.470626459285988,19.45746240453453,19.484563397160468,19.447947023111283
indole-3-lactate,-0.6601175525084351,18.553274684118346,-4.790909457821539,1.29771382275563e-5,2.699841401365161e-5,1.8695887528927164,19.786255585830475,19.60240876764222,19.855689121204765,19.517128959006047,19.15734064719597,19.185911634390685,19.158335276764838,19.09260341700863,19.219223347382332,19.241705757116602,19.42898539549995,18.677180955991247,18.69235445508683,18.58955451903311,18.814802677127854,18.616663120571655,18.746797346436566,18.726794535690733,18.548427740509442,18.576234189619903,18.633933367416564,18.722236577617796
inosine,-0.02472913005080457,19.65335704016489,-0.1938373441547708,0.8470173708733885,0.8612929445397939,-7.860507968156198,19.915450892025714,19.944698385317558,19.858717327516523,19.773562126165604,19.314920238442426,19.577555673278148,19.362605746005386,19.566021859544964,19.864716454921844,19.56758853726503,21.0884061780265,19.672870624779005,19.822279075149346,19.764783553013352,19.632081610732772,19.814769581446544,19.853966286798737,19.78666481418736,19.697362323408328,19.705237688688396,19.84230162689382,19.75585717524722
isoleucine,-0.39218268438752446,28.674244400946808,-6.175635894430594,8.359724236705031e-8,2.1615858383480155e-7,6.842304788785767,29.301665095280246,29.282218656414994,29.25443628840357,29.06676640338369,28.954279718174476,29.026311757009527,28.990872756085103,29.02523672200831,29.250220727551667,29.150776183387514,29.374814894046466,29.1219434546174,28.754413526437236,28.767662614335194,28.79300942241201,28.787047417132563,28.78272903443721,28.788945681401458,28.748841023521187,28.73006628686069,28.713708761198784,28.711368268690947
isovalerylcarnitine,0.7301064518302276,24.814727390551536,8.092132751302438,6.173465754658595e-11,2.1082967954588788e-10,14.030525286137976,24.582817653616733,24.645421513910275,24.797542621811118,24.574820772479455,24.11176479831506,24.12934114551679,24.034364085236486,24.139007422094775,23.89124477755207,23.924268668015408,24.016594317434084,23.777741330680136,24.965245502486585,24.966987406932976,24.98573873688321,24.923567845436803,24.951585760455977,24.94523630385026,24.900701732495865,24.965414620228024,24.946273006707948,24.937754525043367
KMV,0.03401490168620569,22.12043969786344,0.26904324997773726,0.7889031099005481,0.822564211136256,-7.842828391727715,22.439634201467715,22.21341018844484,22.24523142829968,21.84874571116211,21.38322962842488,21.81871183364354,21.73684299710967,21.80334789821672,22.685463841823367,22.721339095583335,23.03634706332745,22.517264782649036,22.278924649862354,22.164780436244467,22.376401781394463,22.37644299357047,22.292576635017436,22.234653590189982,22.19376317874802,22.28879424924669,22.04347505958669,22.131643668128497
