"","Metabolite","CAS","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","PUBCHEM original","KEGG","HMDB","PUBCHEM_valid","PUBCHEM","PUBCHEM_Correction_Source"
"1","1,2-propanediol","57-55-6","Lipid","Ketone bodies","38002","GC/MS","1041","117",NA,"C00583","HMDB01881",FALSE,NA,"NA"
"2","1,3-dihydroxyacetone","62147-49-3","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","35963","GC/MS","1263","103","670","C00184","HMDB01882",TRUE,"670","None"
"3","1,5-anhydroglucitol (1,5-AG)","154-58-5","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","20675","GC/MS","1788.7","217",NA,"C07326","HMDB02712",FALSE,NA,"NA"
"4","1-arachidonoylglycerophosphocholine*",NA,"Lipid","Lysolipid","33228","LC/MS Pos","5554","544.29999999999995",NA,"C05208",NA,FALSE,NA,"NA"
"5","1-arachidonoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","35186","LC/MS Neg","5731","500.3",NA,NA,"HMDB11517",FALSE,NA,"NA"
"6","1-arachidonoylglycerophosphoinositol*",NA,"Lipid","Lysolipid","34214","LC/MS Neg","5479","619.4",NA,NA,NA,FALSE,NA,"NA"
"7","1-arachidonylglycerol",NA,"Lipid","Monoacylglycerol","34397","GC/MS","2226","203.1","5282281","C13857","HMDB11572",FALSE,"5282281","NA"
"8","1-docosahexaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid","33822","LC/MS Pos","5518","568.4",NA,NA,NA,FALSE,NA,"NA"
"9","1-heptadecanoylglycerophosphocholine","50930-23-9","Lipid","Lysolipid","33957","LC/MS Pos","5750","510.4",NA,NA,"HMDB12108",FALSE,NA,"NA"
"10","1-heptadecanoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","37419","LC/MS Neg","6029","466.3",NA,NA,NA,FALSE,NA,"NA"
