KEGG,PotentialAdditionalIDs,AllIDs
C00003,NA,C00003
C00004,NA,C00004
C00009,NA,C00009
C00013,NA,C00013
C00016,NA,C00016
C00020,NA,C00020
C00021,NA,C00021
C00025,NA,C00025
C00031,C00221,"C00221, C00031"
C00032,NA,C00032
C00037,NA,C00037
C00041,NA,C00041
C00042,NA,C00042
C00047,NA,C00047
C00049,NA,C00049
C00051,NA,C00051
C00055,NA,C00055
C00062,NA,C00062
C00064,NA,C00064
C00065,C00716,"C00065, C00716"
C00072,NA,C00072
C00073,NA,C00073
C00074,NA,C00074
C00077,NA,C00077
C00078,NA,C00078
C00079,NA,C00079
C00082,NA,C00082
C00086,NA,C00086
C00092,NA,C00092
C00093,NA,C00093
C00095,NA,C00095
C00097,NA,C00097
C00099,NA,C00099
C00103,NA,C00103
C00106,NA,C00106
C00116,NA,C00116
C00121,NA,C00121
C00122,NA,C00122
C00123,NA,C00123
C00127,NA,C00127
C00134,NA,C00134
C00135,NA,C00135
C00137,NA,C00137
C00140,NA,C00140
C00147,NA,C00147
C00148,NA,C00148
C00149,NA,C00149
C00152,NA,C00152
C00153,NA,C00153
C00155,C05330,"C00155, C05330"
C00158,NA,C00158
C00159,NA,C00159
C00160,NA,C00160
C00168,NA,C00168
C00170,NA,C00170
C00178,NA,C00178
C00179,NA,C00179
C00180,NA,C00180
C00181,NA,C00181
C00183,NA,C00183
C00184,NA,C00184
C00186,NA,C00186
C00187,NA,C00187
C00188,NA,C00188
C00189,NA,C00189
C00191,NA,C00191
C00208,NA,C00208
C00212,NA,C00212
C00213,NA,C00213
C00214,NA,C00214
C00217,NA,C00217
C00219,NA,C00219
C00221,C00031,"C00221, C00031"
C00233,NA,C00233
C00242,NA,C00242
C00245,NA,C00245
C00249,NA,C00249
C00250,NA,C00250
C00252,NA,C00252
C00253,NA,C00253
C00255,NA,C00255
C00257,NA,C00257
C00258,NA,C00258
C00262,NA,C00262
C00263,NA,C00263
C00267,NA,C00267
C00270,NA,C00270
C00275,NA,C00275
C00294,NA,C00294
C00296,NA,C00296
C00299,NA,C00299
C00300,NA,C00300
C00302,NA,C00302
C00309,NA,C00309
C00310,NA,C00310
C00315,NA,C00315
C00318,NA,C00318
C00319,NA,C00319
C00327,NA,C00327
C00328,NA,C00328
C00330,NA,C00330
C00334,NA,C00334
C00345,NA,C00345
C00346,NA,C00346
C00357,NA,C00357
C00366,NA,C00366
C00379,NA,C00379
C00385,NA,C00385
C00387,NA,C00387
C00388,NA,C00388
C00392,NA,C00392
C00407,NA,C00407
C00408,NA,C00408
C00417,NA,C00417
C00420,"C01835, C00721","C01835, C00721, C00420"
C00429,NA,C00429
C00431,NA,C00431
C00437,NA,C00437
C00440,NA,C00440
C00449,NA,C00449
C00455,NA,C00455
C00464,C02052,"C02052, C00464"
C00474,NA,C00474
C00475,NA,C00475
C00486,NA,C00486
C00489,NA,C00489
C00491,NA,C00491
C00502,NA,C00502
C00503,NA,C00503
C00508,NA,C00508
C00515,NA,C00515
C00519,NA,C00519
C00532,NA,C00532
C00535,NA,C00535
C00539,NA,C00539
C00581,NA,C00581
C00583,NA,C00583
C00584,NA,C00584
C00597,NA,C00597
C00631,NA,C00631
C00642,NA,C00642
C00668,NA,C00668
C00669,NA,C00669
C00670,NA,C00670
C00671,C06008,"C00671, C06008"
C00695,C17737,"C17737, C00695"
C00712,NA,C00712
C00716,C00065,"C00065, C00716"
C00719,NA,C00719
C00721,"C01835, C00420","C01835, C00721, C00420"
C00735,NA,C00735
C00740,NA,C00740
C00750,NA,C00750
C00751,NA,C00751
C00762,NA,C00762
C00785,NA,C00785
C00788,NA,C00788
C00791,NA,C00791
C00794,NA,C00794
C00805,NA,C00805
C00815,NA,C00815
C00818,NA,C00818
C00836,NA,C00836
C00847,NA,C00847
C00864,NA,C00864
C00878,NA,C00878
C00882,NA,C00882
C00897,NA,C00897
C00898,NA,C00898
C00936,NA,C00936
C00946,NA,C00946
C00954,NA,C00954
C00956,NA,C00956
C00989,C01991,"C01991, C00989"
C00993,NA,C00993
C01004,NA,C01004
C01019,NA,C01019
C01026,NA,C01026
C01035,NA,C01035
C01040,NA,C01040
C01041,NA,C01041
C01042,NA,C01042
C01046,NA,C01046
C01087,NA,C01087
C01089,NA,C01089
C01094,NA,C01094
C01096,NA,C01096
C01152,NA,C01152
C01157,NA,C01157
C01177,NA,C01177
C01181,NA,C01181
C01233,NA,C01233
C01262,NA,C01262
C01367,NA,C01367
C01419,NA,C01419
C01420,NA,C01420
C01425,NA,C01425
C01468,NA,C01468
C01517,NA,C01517
C01530,NA,C01530
C01571,NA,C01571
C01582,NA,C01582
C01585,NA,C01585
