"","PC1","PC10","PC11","PC12","PC13","PC14","PC2","PC3","PC4","PC7","PC9"
"TISSUE_TYPE",19.0079573465895,0,1.40419996079327,0,0,0,11.8704422288268,4.641657969511,0,0,1.66589734793381
"STAGE",19.0079573465895,0,0,1.34924832388035,1.17550566901718,1.10980194161102,0,4.641657969511,3.74761602180598,2.09153885499417,0
"GENDER",0,1.65358368777518,1.40419996079327,1.34924832388035,0,0,0,4.641657969511,0,0,0
"RACE",0,0,0,0,1.17550566901718,0,0,0,0,0,0
"AGE",0,0,0,0,0,0,0,0,3.74761602180598,0,0
