"Metabolite";"PoolEstimationCV";"80%-filtering";"removed"
"S-(2-succinyl)cysteine";43,6647451422562;FALSE;FALSE
"tetradecanoylcarnitine C14";32,5144934791449;FALSE;FALSE
"AICAR";NA;TRUE;FALSE
"FAICAR";NA;TRUE;FALSE
"SAICAR";NA;TRUE;FALSE
