ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,MetaboliteIDs_in_pathway,Count,Metabolites_in_Pathway,Percentage_of_Pathway_detected
D-Amino acid metabolism,D-Amino acid metabolism,12/30,32/176,0.0016425900904955503,0.014783310814459952,0.012103295403651423,alanine/asparagine/glycine/methionine/N-acetylarginine/N-acetylglutamate/N-acetylglutamine/N-acetylmethionine/ornithine/serine/threonine/trans-4-hydroxyproline,12,35,34.29
Glycerophospholipid metabolism,Glycerophospholipid metabolism,5/30,9/176,0.008030131935022769,0.036135593707602456,0.029584696602715465,citicoline/glycerol 3-phosphate/glycerophosphoethanolamine/phosphoethanolamine/phosphorylcholine,5,9,55.56
"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",2/30,3/176,0.07564935064935072,0.22694805194805215,0.18580542264752808,N-acetylaspartate/N-acetylaspartylglutamate,2,3,66.67
Cysteine and methionine metabolism,Cysteine and methionine metabolism,2/30,5/176,0.20177059128531083,0.45398383039194934,0.3716826681571515,cystathionine/ophthalmate,2,6,33.33
Arginine and proline metabolism,Arginine and proline metabolism,2/30,6/176,0.2713111249692991,0.4883600249447384,0.3998269210073882,4-guanidinobutanoate/phosphocreatine,2,7,28.57
Glutathione metabolism,Glutathione metabolism,2/30,8/176,0.40886341401932214,0.6132951210289832,0.5021129645851324,glutathione oxidized/succinylglutathione,2,9,22.22
Pentose phosphate pathway,Pentose phosphate pathway,1/30,4/176,0.5298100743187449,0.6811843812669578,0.5576948150723632,gluconate,1,4,25
Not assigned,Not assigned,3/30,39/176,0.983839757562424,0.983839757562424,0.8054828424487683,CMP-2-aminoethylphosphonate/glycerophosphoinositol/hexosamine phosphate,3,52,5.77
Pyrimidine metabolism,Pyrimidine metabolism,1/30,18/176,0.971465960806567,0.983839757562424,0.8054828424487683,beta-alanine,1,18,5.56
Citrate cycle (TCA cycle),Citrate cycle (TCA cycle),NA,NA,NA,NA,NA,NA,0,9,0
Fatty acyl carnitines,Fatty acyl carnitines,NA,NA,NA,NA,NA,NA,0,8,0
Glycolysis / Gluconeogenesis,Glycolysis / Gluconeogenesis,NA,NA,NA,NA,NA,NA,0,8,0
Oxidative phosphorylation,Oxidative phosphorylation,NA,NA,NA,NA,NA,NA,0,2,0
Purine metabolism,Purine metabolism,NA,NA,NA,NA,NA,NA,0,21,0
"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine biosynthesis",NA,NA,NA,NA,NA,NA,0,6,0
Vitamin digestion and absorption,Vitamin digestion and absorption,NA,NA,NA,NA,NA,NA,0,3,0
