"Metabolite";"PoolEstimationCV";"MediaBlankCV";"80%-filtering";"removed"
"hypotaurine";20,1984849500642;NA;TRUE;TRUE
"N-acetylaspartylglutamate";71,4244363299788;NA;TRUE;TRUE
"S-(2-succinyl)cysteine";33,789688137952;NA;TRUE;TRUE
"3-Dehydro-L-threonate";9,222780086335;72,004428663775;FALSE;FALSE
"aconitate";22,7003227214825;85,596708717399;FALSE;FALSE
"arginine";11,7057851645151;33,8290868038237;FALSE;FALSE
"fumarate";7,97369693339356;68,8131541686621;FALSE;FALSE
"gluconate";5,19696175220767;44,0906380539826;FALSE;FALSE
"malate";9,1033973408974;70,0780958341989;FALSE;FALSE
"methylarginine";14,5859892309123;42,2533306295474;FALSE;FALSE
"ornithine";25,516570768032;41,8982856579444;FALSE;FALSE
