Metabolite,Cond1_DF_Detected,Cond1_DF_ValueCol,Cond1_DF_PadjCol,Cond1_DF_Cutoff,Cond1_DF_Cutoff_Specific.x,Cond2_DF_Detected,Cond2_DF_ValueCol,Cond2_DF_PadjCol,Cond2_DF_Cutoff,Cond2_DF_Cutoff_Specific,BG_method,RG1_All,RG2_Significant,RG3_SignificantChange,Cond1_DF_ Log2FC,Cond1_DF_AveExpr,Cond1_DF_t.val,Cond1_DF_p.val,Cond1_DF_ p.adj,Cond1_DF_B,Cond1_DF_log2(MS55_01),Cond1_DF_log2(MS55_02),Cond1_DF_log2(MS55_03),Cond1_DF_log2(MS55_04),Cond1_DF_log2(MS55_05),Cond1_DF_log2(MS55_06),Cond1_DF_log2(MS55_07),Cond1_DF_log2(MS55_08),Cond1_DF_log2(MS55_17),Cond1_DF_log2(MS55_18),Cond1_DF_log2(MS55_19),Cond1_DF_log2(MS55_20),Cond1_DF_log2(MS55_21),Cond1_DF_log2(MS55_22),Cond1_DF_log2(MS55_23),Cond1_DF_log2(MS55_24),Cond1_DF_log2(MS55_33),Cond1_DF_log2(MS55_34),Cond1_DF_log2(MS55_35),Cond1_DF_log2(MS55_36),Cond1_DF_log2(MS55_37),Cond1_DF_log2(MS55_38),Cond1_DF_log2(MS55_39),Cond1_DF_log2(MS55_40),Cond1_DF_Cutoff_Specific.y,Cond2_DF_ Log2FC,Cond2_DF_AveExpr,Cond2_DF_t.val,Cond2_DF_p.val,Cond2_DF_ p.adj,Cond2_DF_B,Cond2_DF_log2(MS55_01),Cond2_DF_log2(MS55_02),Cond2_DF_log2(MS55_03),Cond2_DF_log2(MS55_04),Cond2_DF_log2(MS55_09),Cond2_DF_log2(MS55_10),Cond2_DF_log2(MS55_11),Cond2_DF_log2(MS55_12),Cond2_DF_log2(MS55_17),Cond2_DF_log2(MS55_18),Cond2_DF_log2(MS55_19),Cond2_DF_log2(MS55_20),Cond2_DF_log2(MS55_25),Cond2_DF_log2(MS55_26),Cond2_DF_log2(MS55_27),Cond2_DF_log2(MS55_28),Cond2_DF_log2(MS55_33),Cond2_DF_log2(MS55_34),Cond2_DF_log2(MS55_35),Cond2_DF_log2(MS55_36),Cond2_DF_log2(MS55_41),Cond2_DF_log2(MS55_42),Cond2_DF_log2(MS55_43),Cond2_DF_log2(MS55_44),RG1_Specific_Cond2,RG1_Specific_Cond1
2-aminoadipic acid,TRUE,0.1637224175445553,1.9833009769595713e-4,No Change,Significant Positive,TRUE,-0.2253124888865372,1.2035100329260954e-6,No Change,Significant Negative,TRUE,Cond1 Significant Positive + Cond2 Significant Negative,None,None,0.1637224175445553,22.831861802889158,4.204480786162405,1.1943635717601838e-4,1.9833009769595713e-4,-0.9504459016480045,22.85064419745267,23.000442112716588,22.927197219532673,22.75544528708529,23.26720152222543,23.212102737662477,23.268354039102316,23.119243531249236,22.939034237090045,23.05700125673909,22.99609673380389,23.083293190666918,22.883169842346224,23.031750505528983,23.121445177172696,23.055283695748127,23.020632991215578,22.944507934037272,22.937241855234117,22.955279035200633,23.07123341025125,23.135221598120825,23.179636494354202,23.086842507547694,Significant Positive,-0.2253124888865372,22.831861802889158,-5.786147337752771,6.050796298136723e-7,1.2035100329260954e-6,4.255965522012769,22.85064419745267,23.000442112716588,22.927197219532673,22.75544528708529,22.650649813644524,22.71227111413646,22.690919369012722,22.66699513826194,22.939034237090045,23.05700125673909,22.99609673380389,23.083293190666918,22.750616951938834,22.778868575247852,22.79688540590824,22.733473109167758,23.020632991215578,22.944507934037272,22.937241855234117,22.955279035200633,22.706749104103693,22.67484457652386,22.7653499915792,22.835443034611217,Cond1 No Change + Cond2 Significant Negative,Cond2 No Change + Cond1 Significant Positive
2-hydroxyglutarate,TRUE,0.6616065539825229,1.490403231695408e-23,No Change,Significant Positive,TRUE,0.55627972972745,1.4328938453384302e-20,No Change,Significant Positive,TRUE,Cond1 Significant Positive + Cond2 Significant Positive,None,None,0.6616065539825229,28.471488845890853,20.058453730185732,2.2232534395456365e-24,1.490403231695408e-23,44.848681074259744,27.933744780147983,27.957973914052822,27.867178501645085,27.861025598684478,28.672859822407272,28.680023483814608,28.637542859427953,28.64786965735872,27.937854093591433,28.03267757902402,27.9323636454205,28.035159362764915,28.611270513637994,28.72302724940447,28.71420868080513,28.728800062907084,28.054871425838616,28.13403378748204,28.095081131225896,28.101930313638256,28.60038760567755,28.654716008912494,28.56820440224712,28.64426243470596,Significant Positive,0.55627972972745,28.471488845890853,16.865176368964804,2.5332929862336887e-21,1.4328938453384302e-20,37.69804256407842,27.933744780147983,27.957973914052822,27.867178501645085,27.861025598684478,28.501309802712814,28.543126275014657,28.445419581275537,28.508141951182903,27.937854093591433,28.03267757902402,27.9323636454205,28.035159362764915,28.575403621658335,28.562303315713976,28.53833515638942,28.564509185773833,28.054871425838616,28.13403378748204,28.095081131225896,28.101930313638256,28.597050512193345,28.590785269166453,28.606463662051556,28.586402557112557,Cond1 No Change + Cond2 Significant Positive,Cond2 No Change + Cond1 Significant Positive
2-ketoglutarate,TRUE,1.1098899828837148,6.602061254578436e-26,UP,UP,TRUE,0.9810414993319547,1.0396271724518274e-23,No Change,Significant Positive,TRUE,Cond1 UP + Cond2 Significant Positive,core_UP,Cond1_UP,1.1098899828837148,29.517614503423157,22.871045462832882,9.11886913615806e-27,6.602061254578436e-26,50.43200019267928,28.75301798811169,28.82011806313857,28.579958309861365,28.6282310685448,29.883638810207863,29.885718353645533,29.803819436849864,29.812519223895194,28.66763738770837,28.69125283290951,28.548442995757227,28.746740327799728,29.726857660648996,29.92629714863753,29.967693165137465,29.918192904974692,28.985689877330625,28.96550663061771,28.993102930004444,28.93906711952908,29.88042403711755,29.960117693159177,29.89722764296536,29.974939248678616,UP,0.9810414993319547,29.517614503423157,20.215917864084087,1.6082630292072468e-24,1.0396271724518274e-23,45.17766471152261,28.75301798811169,28.82011806313857,28.579958309861365,28.6282310685448,29.698232856657615,29.771296436955616,29.595138085907855,29.6357389236176,28.66763738770837,28.69125283290951,28.548442995757227,28.746740327799728,29.773383593846944,29.804430000392497,29.6832392554969,29.68704698637831,28.985689877330625,28.96550663061771,28.993102930004444,28.93906711952908,29.871782611644402,29.847191354724327,29.833318807279547,29.89046461039499,Cond1 UP + Cond2 Significant Positive,Cond2 No Change + Cond1 UP
2/3-phosphoglycerate,TRUE,-0.21052574707385574,0.011728578532593778,No Change,Significant Negative,TRUE,0.2956512811829306,5.455946529033706e-4,No Change,Significant Positive,TRUE,Cond1 Significant Negative + Cond2 Significant Positive,None,None,-0.21052574707385574,25.224893762562004,-2.744311872159573,0.008618237264281617,0.011728578532593778,-5.027546741293744,25.231381513796716,25.33557618332299,25.40793334790091,25.216784390674025,25.302471345097405,25.25456217485819,25.280399775741326,25.199713795288815,25.096868978175458,25.201166115547043,25.243683558957358,25.14308294632656,24.74847021343921,24.798003757478476,24.826161918634817,24.699494729182913,24.96745207394883,25.106271239662725,25.03326348776426,24.917960631088935,24.778376642294724,24.86870817888696,24.878753562259334,24.739999409117313,Significant Negative,0.2956512811829306,25.224893762562004,3.853967185708963,3.5870587677072434e-4,5.455946529033706e-4,-2.01619142144562,25.231381513796716,25.33557618332299,25.40793334790091,25.216784390674025,25.782061911748723,25.67701453385186,25.758492225227442,25.072689231693392,25.096868978175458,25.201166115547043,25.243683558957358,25.14308294632656,25.312353321462695,25.462333366317807,25.583769234313344,25.20581694206849,24.96745207394883,25.106271239662725,25.03326348776426,24.917960631088935,25.4034344409454,25.493311132055105,25.51565905898595,25.182304442690814,Cond1 No Change + Cond2 Significant Positive,Cond2 No Change + Cond1 Significant Negative
4-guanidinobutanoate,TRUE,-1.2710278888506217,5.6143777233397015e-6,DOWN,DOWN,TRUE,-1.5495633292909083,1.2224007880650502e-7,DOWN,DOWN,TRUE,Cond1 DOWN + Cond2 DOWN,core_DOWN,core_DOWN,-1.2710278888506217,21.2672249695865,-5.302552547183555,3.163903468401379e-6,5.6143777233397015e-6,2.6153359228036575,22.545715229429316,22.62896761484451,22.63302273883505,22.122714730158094,21.247363855811496,21.42648427476593,21.501910507081714,21.017597741101685,22.30332658816379,22.16503933095111,22.040392686479983,22.249096047360762,21.07695957563711,21.03777224955848,20.864387943043074,21.21721426792809,22.094763983345256,21.894699889688678,22.954199638369385,21.820073565551393,20.80031860325837,20.550601972297095,20.795556489071487,20.663509897415366,DOWN,-1.5495633292909083,21.2672249695865,-6.4645638784401225,5.8080921421875315e-8,1.2224007880650502e-7,6.5917290480163935,22.545715229429316,22.62896761484451,22.63302273883505,22.122714730158094,20.687829919509614,20.57745268939213,20.976490802360495,20.55791740427034,22.30332658816379,22.16503933095111,22.040392686479983,22.249096047360762,20.673545850954028,21.028581098534346,20.787362926050353,20.283980990192724,22.094763983345256,21.894699889688678,22.954199638369385,21.820073565551393,20.529057165479532,20.65344663435533,21.526210478286853,20.575376132300768,Cond1 DOWN + Cond2 DOWN,Cond2 DOWN + Cond1 DOWN
4-hydroxyphenyllactate,TRUE,-1.2102121570982405,3.1588142808982764e-27,DOWN,DOWN,TRUE,-1.3040712519572004,1.550685744724689e-28,DOWN,DOWN,TRUE,Cond1 DOWN + Cond2 DOWN,core_DOWN,core_DOWN,-1.2102121570982405,21.31296137941137,-24.636571886415844,3.8394427723625464e-28,3.1588142808982764e-27,53.64850300849076,22.362608579595143,22.33041404828334,22.397034659174246,22.24680189891674,21.076759980366766,21.11631144362346,20.955125447801972,21.0573322840794,22.070607657595403,22.182071579381855,22.10217157106995,22.19073292988797,20.775355816503076,20.965592158850548,20.928459312332755,21.001423186879844,22.21383084252613,22.14864549753656,22.262248774425704,22.197281655622767,21.027272253932196,20.985527801344706,21.169115158748664,21.123628964373548,DOWN,-1.3040712519572004,21.31296137941137,-26.5472834291185,1.542118420168199e-29,1.550685744724689e-28,56.91147598658513,22.362608579595143,22.33041404828334,22.397034659174246,22.24680189891674,21.00432210252205,20.981740513805,20.81116628938357,20.828703095259833,22.070607657595403,22.182071579381855,22.10217157106995,22.19073292988797,20.94955028345,20.802114942814114,20.881431249158556,20.673170694811056,22.21383084252613,22.14864549753656,22.262248774425704,22.197281655622767,21.09305918221853,20.950584570605574,20.991170675515114,21.08858107098598,Cond1 DOWN + Cond2 DOWN,Cond2 DOWN + Cond1 DOWN
5-aminolevulinic acid,TRUE,-0.5603747616278412,8.527634825560908e-12,No Change,Significant Negative,TRUE,-0.5574450729137332,1.0455358115003774e-11,No Change,Significant Negative,TRUE,Cond1 Significant Negative + Cond2 Significant Negative,None,None,-0.5603747616278412,22.00098443615828,-9.329003059067013,3.533550342083249e-12,8.527634825560908e-12,16.351066144624248,22.389786179041764,22.353846615034215,22.35488731880133,22.33138727608141,21.794940188071354,21.715430532830297,21.74929550765848,21.79350112283147,22.17854396867897,22.387919756932135,22.23463785560823,22.296656742935102,21.50339806149641,21.864669501762165,21.773697393123765,21.667663495056246,22.434850674614324,22.547916854657792,22.51867360640445,22.49987354026018,22.098139125088736,21.994786655817776,21.971305043441305,21.877656622337835,Significant Negative,-0.5574450729137332,22.00098443615828,-9.28023020766908,4.1432154709569225e-12,1.0455358115003774e-11,16.190339726811217,22.389786179041764,22.353846615034215,22.35488731880133,22.33138727608141,21.74124030320029,21.59329313560529,21.663857627293915,21.743841234400506,22.17854396867897,22.387919756932135,22.23463785560823,22.296656742935102,21.755293241404207,21.78368960991961,21.76772614568557,21.813490249691178,22.434850674614324,22.547916854657792,22.51867360640445,22.49987354026018,21.977351050713473,22.04225121900737,21.991395421067523,21.96621027609619,Cond1 No Change + Cond2 Significant Negative,Cond2 No Change + Cond1 Significant Negative
5-aminovaleric acid*,TRUE,0.49783633476538824,2.0993866486563778e-11,No Change,Significant Positive,TRUE,0.23889388046576698,1.2394589769654476e-4,No Change,Significant Positive,TRUE,Cond1 Significant Positive + Cond2 Significant Positive,None,None,0.49783633476538824,25.810407402442454,9.038240955288384,9.163068798002974e-12,2.0993866486563778e-11,15.389120325321521,25.742145843224687,25.72586553762681,25.626846901039077,25.56552355871968,26.33862696484187,26.28740008927433,26.247981285080215,26.25748712160118,25.5744261421722,25.496764948977773,25.617836271843704,25.656578633470094,25.97309680219057,26.07102361503344,26.126098606772835,26.064611318617484,25.520500184612278,25.417209965001295,25.491728590805497,25.455666442864025,25.88683269354568,25.875931394943485,25.83119560134899,25.90484354429172,Significant Positive,0.23889388046576698,25.810407402442454,4.3371290996889655,7.806537202986798e-5,1.2394589769654476e-4,-0.5361773752921017,25.742145843224687,25.72586553762681,25.626846901039077,25.56552355871968,25.96095138132252,25.895786276825792,25.835308224945514,25.842649224564287,25.5744261421722,25.496764948977773,25.617836271843704,25.656578633470094,25.929879488880765,25.86400894481548,25.80907395961937,25.8674457670154,25.520500184612278,25.417209965001295,25.491728590805497,25.455666442864025,25.691591994656974,25.681140030693836,25.650764389051247,25.729219903555126,Cond1 No Change + Cond2 Significant Positive,Cond2 No Change + Cond1 Significant Positive
5-methylthioadenosine (MTA),TRUE,-0.7007211732028651,4.378706544304144e-5,No Change,Significant Negative,TRUE,-0.8873688276291496,7.727418786153532e-7,No Change,Significant Negative,TRUE,Cond1 Significant Negative + Cond2 Significant Negative,None,None,-0.7007211732028651,24.22275981915926,-4.67836529643582,2.5643253795372337e-5,4.378706544304144e-5,0.5531166109585524,25.358722694109115,25.082689896500057,24.815492786877538,24.577435420052666,23.919892318172586,24.836811882824126,24.64615271839462,23.76363314608206,24.161576568920932,25.12235595598423,24.45122753967885,24.65160688575338,24.09306570240055,23.987517570308757,23.939089777991057,23.68904236251848,24.593802494690205,25.167639782678684,25.047674788104096,24.821679814895603,24.48359975610941,23.91676452514937,23.98133021386994,24.18635057599002,Significant Negative,-0.8873688276291496,24.22275981915926,-5.924518463376408,3.7569770894006126e-7,7.727418786153532e-7,4.729982606652351,25.358722694109115,25.082689896500057,24.815492786877538,24.577435420052666,23.618491937475994,23.439586394620594,23.51983270315036,23.504279390667286,24.161576568920932,25.12235595598423,24.45122753967885,24.65160688575338,23.810966325561647,24.050335891246604,24.31473247874321,24.129019785179683,24.593802494690205,25.167639782678684,25.047674788104096,24.821679814895603,24.43967033896895,23.855859844563422,24.13359404159978,24.387109564918084,Cond1 No Change + Cond2 Significant Negative,Cond2 No Change + Cond1 Significant Negative
6-phosphogluconate,TRUE,-0.8583613527051313,0.0014140912719102765,No Change,Significant Negative,TRUE,-0.7222912855476586,0.005974793653168589,No Change,Significant Negative,TRUE,Cond1 Significant Negative + Cond2 Significant Negative,None,None,-0.8583613527051313,19.98448703173877,-3.5481124386128355,9.062684394563099e-4,0.0014140912719102765,-2.906766635359535,20.60190111678696,20.649242743073042,20.303018133122638,20.13248662602621,19.69368047486415,20.561604025960452,20.55836122695672,18.322110383439494,19.9884499876216,20.86370049299228,20.599751538889883,20.3241348506467,18.943765501204147,19.595545137341446,19.580655708197845,20.209848703922226,20.670028589701104,20.610340286787913,20.78576624750428,20.36567510844917,19.06722986117427,19.221957168663955,19.427367163949665,20.412034133465937,Significant Negative,-0.7222912855476586,19.98448703173877,-2.985654801997684,0.004522357626983959,0.005974793653168589,-4.428413034327228,20.60190111678696,20.649242743073042,20.303018133122638,20.13248662602621,19.987043977915206,19.240942651413235,19.49335905658507,20.045680656534852,19.9884499876216,20.86370049299228,20.599751538889883,20.3241348506467,19.168651186965363,19.274527403052087,19.44769012599325,19.311463928501983,20.670028589701104,20.610340286787913,20.78576624750428,20.36567510844917,20.883803798695872,19.452222137233758,20.025507248462795,20.896108123676495,Cond1 No Change + Cond2 Significant Negative,Cond2 No Change + Cond1 Significant Negative
