Metabolite,bartlett p.val,Var homogeneity
valine-d8,5.608280616826994e-4,FALSE
hipppuric acid-d5,0.18838192714784593,TRUE
2-hydroxyglutarate,0.6110833190852739,TRUE
2-ketoglutarate,0.0029648827404116936,FALSE
3-Dehydro-L-threonate,1.368756007652755e-10,FALSE
acetylcarnitine,0.15797678023782993,TRUE
acetylcholine,0.6491539143502822,TRUE
acetylornithine,0.008285804285466639,FALSE
aconitate,6.828113290945947e-18,FALSE
alanine,0.07311621544706884,TRUE
arginine,0.11358617775370819,TRUE
asparagine,0.007825617100675092,FALSE
aspartate,0.025134172616288936,FALSE
betaine,0.3772930579015716,TRUE
butyryl-carnitine,0.5373127261717849,TRUE
carbamoyl phosphate,0.698099974675074,TRUE
carnitine,0.14033176502605424,TRUE
citrulline,0.886829619209892,TRUE
creatine,0.1492828744684367,TRUE
creatinine,0.09277241646007425,TRUE
cystine,2.1845197853641426e-4,FALSE
dihydroorotate,0.7134942696849662,TRUE
fumarate,1.123370714789638e-10,FALSE
gluconate,1.908678217186901e-5,FALSE
glucose,0.1200487648547867,TRUE
glutamate,0.005626280363160471,FALSE
glutamine,0.009914238248277302,FALSE
glycerylphosphorylcholine,0.44171904868827067,TRUE
glycine,0.14388952014709333,TRUE
histidine,0.5346126680915322,TRUE
hydroxyphenyllactic acid,0.5201082793799146,TRUE
hydroxyphenylpyruvate,0.026473280638007544,FALSE
hydroxyproline,0.18947040197432094,TRUE
hypoxanthine,0.3801491409679893,TRUE
isovalerylcarnitine,0.20993942132992677,TRUE
KMV+KIC,5.385547007894837e-6,FALSE
lactate,0.0025653791171991644,FALSE
leucine+isoleucine,5.722284472959969e-4,FALSE
linoleic acid,0.14961084325076957,TRUE
lysine,0.18741195467250563,TRUE
malate,2.605750111044056e-10,FALSE
methionine,0.3849080666171987,TRUE
methylarginine,0.11067552537158697,TRUE
methylaspartate,0.004058280860131252,FALSE
myo-inositol,8.752222714945551e-4,FALSE
N-acetylaspartate,2.7519069773342477e-14,FALSE
N-acetylglutamate,0.3265627723792664,TRUE
N-acetylneuramic acid,0.2563580163368019,TRUE
oleic acid,0.0016407217393209115,FALSE
ornithine,0.07124922862453398,TRUE
orotate,0.6568417463371773,TRUE
palmitate,0.45622622393060963,TRUE
pantothenate,0.05389226426790444,TRUE
phenylalanine,4.846993593596131e-4,FALSE
phosphocholine,0.0029280265673844973,FALSE
proline,0.2327306048963366,TRUE
propionylcarnitine,0.7884433235522025,TRUE
pyroglutamic-acid,0.06277906797953248,TRUE
pyruvate,2.0465254110210994e-4,FALSE
serine,0.19669808189162685,TRUE
stearic acid,0.06987450081228032,TRUE
succinate,0.44829278461837607,TRUE
succinyladenosine,0.2877279319573633,TRUE
taurine,0.40909815210913886,TRUE
threonine,0.6319988479134492,TRUE
tryptophan,0.05048151890398354,TRUE
tyrosine,0.16001199143493625,TRUE
uric acid,0.03271540002482614,FALSE
valine,0.685254645714171,TRUE
xanthine,0.0413942766579508,FALSE
