"";"original_row_id";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible"
"1";"12";"1-linoleoylglycerophosphocholine";NA;"Lipid";"Lysolipid";"34419";"LC/MS Pos";"5574";"520.4";"5280646";"C04100";NA;NA;12;"KEGG";"C04100";"PUBCHEM";"5280646";FALSE;"no_match";2;FALSE
"2";"139";"N-acetylthreonine";NA;"Amino acid";"Glycine, serine and threonine metabolism";"33939";"LC/MS Neg";"846";"160.1";"152204";"C01118";NA;NA;139;"KEGG";"C01118";"PUBCHEM";"152204";FALSE;"no_match";2;FALSE
"3";"172";"alanylmethionine";NA;"Peptide";"Dipeptide";"37065";"LC/MS Pos";"1596";"221";"98509, 5242543";NA;NA;NA;172;"PUBCHEM";"98509";"PUBCHEM";"5242543";FALSE;"no_match";2;FALSE
"4";"219";"catechol sulfate";NA;"Xenobiotics";"Benzoate metabolism";"35320";"LC/MS Neg";"1928";"188.9";"3083879";"C00090";NA;NA;219;"KEGG";"C00090";"PUBCHEM";"3083879";FALSE;"no_match";2;FALSE
"5";"315";"glycyltryptophan";NA;"Peptide";"Dipeptide";"38151";"LC/MS Pos";"2542";"262.39999999999998";"1551340, 92181";NA;NA;NA;315;"PUBCHEM";"1551340";"PUBCHEM";"92181";FALSE;"no_match";2;FALSE
"6";"363";"laurylcarnitine";NA;"Lipid";"Carnitine metabolism";"34534";"LC/MS Pos";"5066";"344.3";"10427569";NA;"HMDB02250";NA;363;"HMDB";"HMDB0002250";"PUBCHEM";"10427569";FALSE;"no_match";2;FALSE
"7";"368";"leucylglutamate";NA;"Peptide";"Dipeptide";"40021";"LC/MS Pos";"1716";"261.2";"5259590, 5259589";NA;NA;NA;368;"PUBCHEM";"5259590";"PUBCHEM";"5259589";FALSE;"no_match";2;FALSE
"8";"522";"threonylphenylalanine";NA;"Peptide";"Dipeptide";"31530";"LC/MS Pos";"2500";"267.2";"4099799, 4099798";NA;NA;NA;522;"PUBCHEM";"4099799";"PUBCHEM";"4099798";FALSE;"no_match";2;FALSE
