"";"original_row_id";"Metabolite";"CAS_commonName";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible"
"16";"109";"5-oxoETE";NA;"106154-18-1";"Lipid";"Eicosanoid";"38400";"LC/MS Neg";"5373";"317.3";"1831";"C14732";"HMDB10217";NA;109;"HMDB";"HMDB0010217";"KEGG";"C14732";TRUE;"direct";3;FALSE
"17";"109";"5-oxoETE";NA;"106154-18-1";"Lipid";"Eicosanoid";"38400";"LC/MS Neg";"5373";"317.3";"1831";"C14732";"HMDB10217";NA;109;"HMDB";"HMDB0010217";"PUBCHEM";"1831";FALSE;"no_match";3;FALSE
"18";"109";"5-oxoETE";NA;"106154-18-1";"Lipid";"Eicosanoid";"38400";"LC/MS Neg";"5373";"317.3";"1831";"C14732";"HMDB10217";NA;109;"KEGG";"C14732";"PUBCHEM";"1831";FALSE;"no_match";3;FALSE
"19";"116";"7-beta-hydroxycholesterol";"7beta-Hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35092";"GC/MS";"2340";"456.4";"473141";"C03594";"HMDB06119";NA;116;"HMDB";"HMDB0006119";"KEGG";"C03594";FALSE;"no_match";3;FALSE
"20";"116";"7-beta-hydroxycholesterol";"7beta-Hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35092";"GC/MS";"2340";"456.4";"473141";"C03594";"HMDB06119";NA;116;"HMDB";"HMDB0006119";"PUBCHEM";"473141";TRUE;"direct";3;FALSE
"21";"116";"7-beta-hydroxycholesterol";"7beta-Hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35092";"GC/MS";"2340";"456.4";"473141";"C03594";"HMDB06119";NA;116;"KEGG";"C03594";"PUBCHEM";"473141";FALSE;"no_match";3;FALSE
"22";"121";"L-urobilin";"Stercobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;121;"HMDB";"HMDB0004159";"KEGG";"C05793";FALSE;"no_match";4;FALSE
"23";"121";"L-urobilin";"Stercobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;121;"HMDB";"HMDB0004159";"PUBCHEM";"440785";TRUE;"direct";4;FALSE
"24";"121";"L-urobilin";"Stercobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;121;"HMDB";"HMDB0004159";"PUBCHEM";"6433298";TRUE;"direct";4;FALSE
"25";"121";"L-urobilin";"Stercobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;121;"KEGG";"C05793";"PUBCHEM";"440785";FALSE;"no_match";4;FALSE
"26";"121";"L-urobilin";"Stercobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;121;"KEGG";"C05793";"PUBCHEM";"6433298";FALSE;"no_match";4;FALSE
"27";"121";"L-urobilin";"Stercobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;121;"PUBCHEM";"440785";"PUBCHEM";"6433298";TRUE;"secondary";4;FALSE
"28";"122";"N-6-trimethyllysine";NA;"23284-33-5";"Amino acid";"Lysine metabolism";"1498";"LC/MS Pos";"650";"189.2";"159659";"C03793";"HMDB01325";NA;122;"HMDB";"HMDB0001325";"KEGG";"C03793";TRUE;"direct";3;FALSE
"29";"122";"N-6-trimethyllysine";NA;"23284-33-5";"Amino acid";"Lysine metabolism";"1498";"LC/MS Pos";"650";"189.2";"159659";"C03793";"HMDB01325";NA;122;"HMDB";"HMDB0001325";"PUBCHEM";"159659";FALSE;"no_match";3;FALSE
"30";"122";"N-6-trimethyllysine";NA;"23284-33-5";"Amino acid";"Lysine metabolism";"1498";"LC/MS Pos";"650";"189.2";"159659";"C03793";"HMDB01325";NA;122;"KEGG";"C03793";"PUBCHEM";"159659";FALSE;"no_match";3;FALSE
"31";"124";"N-acetylalanine";"N-Acetyl-L-alanine";"97-69-8";"Amino acid";"Alanine and aspartate metabolism";"1585";"LC/MS Neg";"882";"130.1";"88064";"C02847";"HMDB00766";NA;124;"HMDB";"HMDB0000766";"KEGG";"C02847";FALSE;"no_match";3;FALSE
"32";"124";"N-acetylalanine";"N-Acetyl-L-alanine";"97-69-8";"Amino acid";"Alanine and aspartate metabolism";"1585";"LC/MS Neg";"882";"130.1";"88064";"C02847";"HMDB00766";NA;124;"HMDB";"HMDB0000766";"PUBCHEM";"88064";TRUE;"direct";3;FALSE
"33";"124";"N-acetylalanine";"N-Acetyl-L-alanine";"97-69-8";"Amino acid";"Alanine and aspartate metabolism";"1585";"LC/MS Neg";"882";"130.1";"88064";"C02847";"HMDB00766";NA;124;"KEGG";"C02847";"PUBCHEM";"88064";FALSE;"no_match";3;FALSE
"34";"125";"N-acetylarginine";"N-a-Acetyl-L-arginine";"155-84-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"33953";"LC/MS Neg";"1149";"215.2";"67427";"C02562";"HMDB04620";NA;125;"HMDB";"HMDB0004620";"KEGG";"C02562";FALSE;"no_match";3;FALSE
"35";"125";"N-acetylarginine";"N-a-Acetyl-L-arginine";"155-84-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"33953";"LC/MS Neg";"1149";"215.2";"67427";"C02562";"HMDB04620";NA;125;"HMDB";"HMDB0004620";"PUBCHEM";"67427";TRUE;"direct";3;FALSE
"36";"125";"N-acetylarginine";"N-a-Acetyl-L-arginine";"155-84-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"33953";"LC/MS Neg";"1149";"215.2";"67427";"C02562";"HMDB04620";NA;125;"KEGG";"C02562";"PUBCHEM";"67427";FALSE;"no_match";3;FALSE
"37";"128";"N-acetylglucosamine";"N-Acetyl-D-glucosamine";"7512-17-6";"Carbohydrate";"Aminosugars metabolism";"15095";"GC/MS";"1903.3";"245";"24139";"C00140";"HMDB00215";NA;128;"HMDB";"HMDB0000215";"KEGG";"C00140";TRUE;"direct";3;FALSE
"38";"128";"N-acetylglucosamine";"N-Acetyl-D-glucosamine";"7512-17-6";"Carbohydrate";"Aminosugars metabolism";"15095";"GC/MS";"1903.3";"245";"24139";"C00140";"HMDB00215";NA;128;"HMDB";"HMDB0000215";"PUBCHEM";"24139";FALSE;"no_match";3;FALSE
"39";"128";"N-acetylglucosamine";"N-Acetyl-D-glucosamine";"7512-17-6";"Carbohydrate";"Aminosugars metabolism";"15095";"GC/MS";"1903.3";"245";"24139";"C00140";"HMDB00215";NA;128;"KEGG";"C00140";"PUBCHEM";"24139";FALSE;"no_match";3;FALSE
"40";"129";"N-acetylglucosamine 6-phosphate";NA;"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"LC/MS Neg";"628";"300.10000000000002";"440996, 25243963";"C00357";"HMDB02817";NA;129;"HMDB";"HMDB0002817";"KEGG";"C00357";FALSE;"no_match";4;FALSE
"41";"129";"N-acetylglucosamine 6-phosphate";NA;"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"LC/MS Neg";"628";"300.10000000000002";"440996, 25243963";"C00357";"HMDB02817";NA;129;"HMDB";"HMDB0002817";"PUBCHEM";"440996";FALSE;"no_match";4;FALSE
"42";"129";"N-acetylglucosamine 6-phosphate";NA;"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"LC/MS Neg";"628";"300.10000000000002";"440996, 25243963";"C00357";"HMDB02817";NA;129;"HMDB";"HMDB0002817";"PUBCHEM";"25243963";FALSE;"no_match";4;FALSE
"43";"129";"N-acetylglucosamine 6-phosphate";NA;"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"LC/MS Neg";"628";"300.10000000000002";"440996, 25243963";"C00357";"HMDB02817";NA;129;"KEGG";"C00357";"PUBCHEM";"440996";TRUE;"direct";4;FALSE
"44";"129";"N-acetylglucosamine 6-phosphate";NA;"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"LC/MS Neg";"628";"300.10000000000002";"440996, 25243963";"C00357";"HMDB02817";NA;129;"KEGG";"C00357";"PUBCHEM";"25243963";TRUE;"direct";4;FALSE
"45";"129";"N-acetylglucosamine 6-phosphate";NA;"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"LC/MS Neg";"628";"300.10000000000002";"440996, 25243963";"C00357";"HMDB02817";NA;129;"PUBCHEM";"440996";"PUBCHEM";"25243963";TRUE;"secondary";4;FALSE
"46";"130";"N-acetylglutamine";"N-Acetylglutamine";"2490-97-3";"Amino acid";"Glutamate metabolism";"33943";"LC/MS Pos";"1204";"189.1";"182230";"C02716";"HMDB06029";NA;130;"HMDB";"HMDB0006029";"KEGG";"C02716";FALSE;"no_match";3;FALSE
"47";"130";"N-acetylglutamine";"N-Acetylglutamine";"2490-97-3";"Amino acid";"Glutamate metabolism";"33943";"LC/MS Pos";"1204";"189.1";"182230";"C02716";"HMDB06029";NA;130;"HMDB";"HMDB0006029";"PUBCHEM";"182230";TRUE;"direct";3;FALSE
"48";"130";"N-acetylglutamine";"N-Acetylglutamine";"2490-97-3";"Amino acid";"Glutamate metabolism";"33943";"LC/MS Pos";"1204";"189.1";"182230";"C02716";"HMDB06029";NA;130;"KEGG";"C02716";"PUBCHEM";"182230";FALSE;"no_match";3;FALSE
"49";"162";"adenylosuccinate";"Adenylsuccinic acid";"19046-78-7";"Nucleotide";"Purine metabolism, adenine containing";"18360";"LC/MS Neg";"569";"462.1";"195";"C03794";"HMDB00536";NA;162;"HMDB";"HMDB0000536";"KEGG";"C03794";TRUE;"direct";3;FALSE
"50";"162";"adenylosuccinate";"Adenylsuccinic acid";"19046-78-7";"Nucleotide";"Purine metabolism, adenine containing";"18360";"LC/MS Neg";"569";"462.1";"195";"C03794";"HMDB00536";NA;162;"HMDB";"HMDB0000536";"PUBCHEM";"195";FALSE;"no_match";3;FALSE
"51";"162";"adenylosuccinate";"Adenylsuccinic acid";"19046-78-7";"Nucleotide";"Purine metabolism, adenine containing";"18360";"LC/MS Neg";"569";"462.1";"195";"C03794";"HMDB00536";NA;162;"KEGG";"C03794";"PUBCHEM";"195";FALSE;"no_match";3;FALSE
"52";"164";"adrenate (22:4n6)";NA;"2091-25-0";"Lipid";"Long chain fatty acid";"32980";"LC/MS Neg";"5684";"331.3";"5282844";"C16527";"HMDB02226";NA;164;"HMDB";"HMDB0002226";"KEGG";"C16527";TRUE;"direct";3;FALSE
"53";"164";"adrenate (22:4n6)";NA;"2091-25-0";"Lipid";"Long chain fatty acid";"32980";"LC/MS Neg";"5684";"331.3";"5282844";"C16527";"HMDB02226";NA;164;"HMDB";"HMDB0002226";"PUBCHEM";"5282844";FALSE;"no_match";3;FALSE
"54";"164";"adrenate (22:4n6)";NA;"2091-25-0";"Lipid";"Long chain fatty acid";"32980";"LC/MS Neg";"5684";"331.3";"5282844";"C16527";"HMDB02226";NA;164;"KEGG";"C16527";"PUBCHEM";"5282844";FALSE;"no_match";3;FALSE
"55";"191";"argininosuccinate";NA;"156637-58-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15497";"GC/MS";"2157";"446.3";"828";"C03406";"HMDB00052";NA;191;"HMDB";"HMDB0000052";"KEGG";"C03406";TRUE;"direct";3;FALSE
"56";"191";"argininosuccinate";NA;"156637-58-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15497";"GC/MS";"2157";"446.3";"828";"C03406";"HMDB00052";NA;191;"HMDB";"HMDB0000052";"PUBCHEM";"828";FALSE;"no_match";3;FALSE
"57";"191";"argininosuccinate";NA;"156637-58-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15497";"GC/MS";"2157";"446.3";"828";"C03406";"HMDB00052";NA;191;"KEGG";"C03406";"PUBCHEM";"828";FALSE;"no_match";3;FALSE
"58";"207";"benzoate";"Benzoic acid";"65-85-0";"Xenobiotics";"Benzoate metabolism";"15778";"GC/MS";"1291.5";"179";"243";"C00180";"HMDB01870";NA;207;"HMDB";"HMDB0001870";"KEGG";"C00180";FALSE;"no_match";3;FALSE
"59";"207";"benzoate";"Benzoic acid";"65-85-0";"Xenobiotics";"Benzoate metabolism";"15778";"GC/MS";"1291.5";"179";"243";"C00180";"HMDB01870";NA;207;"HMDB";"HMDB0001870";"PUBCHEM";"243";TRUE;"direct";3;FALSE
"60";"207";"benzoate";"Benzoic acid";"65-85-0";"Xenobiotics";"Benzoate metabolism";"15778";"GC/MS";"1291.5";"179";"243";"C00180";"HMDB01870";NA;207;"KEGG";"C00180";"PUBCHEM";"243";FALSE;"no_match";3;FALSE
"61";"232";"citrulline";"Citrulline";"372-75-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"2132";"LC/MS Pos";"715";"176.1";"833";"C00327";"HMDB00904";NA;232;"HMDB";"HMDB0000904";"KEGG";"C00327";TRUE;"direct";3;FALSE
"62";"232";"citrulline";"L-Citrulline";"372-75-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"2132";"LC/MS Pos";"715";"176.1";"833";"C00327";"HMDB00904";NA;232;"HMDB";"HMDB0000904";"KEGG";"C00327";TRUE;"direct";3;FALSE
"63";"232";"citrulline";"Citrulline";"372-75-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"2132";"LC/MS Pos";"715";"176.1";"833";"C00327";"HMDB00904";NA;232;"HMDB";"HMDB0000904";"PUBCHEM";"833";FALSE;"no_match";3;FALSE
"64";"232";"citrulline";"L-Citrulline";"372-75-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"2132";"LC/MS Pos";"715";"176.1";"833";"C00327";"HMDB00904";NA;232;"HMDB";"HMDB0000904";"PUBCHEM";"833";FALSE;"no_match";3;FALSE
"65";"232";"citrulline";"Citrulline";"372-75-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"2132";"LC/MS Pos";"715";"176.1";"833";"C00327";"HMDB00904";NA;232;"KEGG";"C00327";"PUBCHEM";"833";FALSE;"no_match";3;FALSE
"66";"232";"citrulline";"L-Citrulline";"372-75-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"2132";"LC/MS Pos";"715";"176.1";"833";"C00327";"HMDB00904";NA;232;"KEGG";"C00327";"PUBCHEM";"833";FALSE;"no_match";3;FALSE
"67";"241";"cystine";"L-Cystine";"56-89-3";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"39512";"GC/MS";"2015.3";"145.9";"595";"C00491";"HMDB00192";NA;241;"HMDB";"HMDB0000192";"KEGG";"C00491";TRUE;"direct";3;FALSE
"68";"241";"cystine";"L-Cystine";"56-89-3";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"39512";"GC/MS";"2015.3";"145.9";"595";"C00491";"HMDB00192";NA;241;"HMDB";"HMDB0000192";"PUBCHEM";"595";FALSE;"no_match";3;FALSE
"69";"241";"cystine";"L-Cystine";"56-89-3";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"39512";"GC/MS";"2015.3";"145.9";"595";"C00491";"HMDB00192";NA;241;"KEGG";"C00491";"PUBCHEM";"595";FALSE;"no_match";3;FALSE
"70";"249";"dihomo-linolenate (20:3n3 or n6)";NA;NA;"Lipid";"Essential fatty acid";"35718";"LC/MS Neg";"5600";"305.39999999999998";"5312529";"C03242";"HMDB02925";NA;249;"HMDB";"HMDB0002925";"KEGG";"C03242";TRUE;"direct";3;FALSE
"71";"249";"dihomo-linolenate (20:3n3 or n6)";NA;NA;"Lipid";"Essential fatty acid";"35718";"LC/MS Neg";"5600";"305.39999999999998";"5312529";"C03242";"HMDB02925";NA;249;"HMDB";"HMDB0002925";"PUBCHEM";"5312529";FALSE;"no_match";3;FALSE
"72";"249";"dihomo-linolenate (20:3n3 or n6)";NA;NA;"Lipid";"Essential fatty acid";"35718";"LC/MS Neg";"5600";"305.39999999999998";"5312529";"C03242";"HMDB02925";NA;249;"KEGG";"C03242";"PUBCHEM";"5312529";FALSE;"no_match";3;FALSE
"73";"251";"dimethylarginine (SDMA + ADMA)";NA;NA;"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"36808";"LC/MS Pos";"812";"203.2";"123831";"C03626";"HMDB01539, HMDB03334";NA;251;"HMDB";"HMDB0001539";"HMDB";"HMDB0003334";FALSE;"no_match";4;FALSE
"74";"251";"dimethylarginine (SDMA + ADMA)";NA;NA;"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"36808";"LC/MS Pos";"812";"203.2";"123831";"C03626";"HMDB01539, HMDB03334";NA;251;"HMDB";"HMDB0001539";"KEGG";"C03626";TRUE;"direct";4;FALSE
"75";"251";"dimethylarginine (SDMA + ADMA)";NA;NA;"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"36808";"LC/MS Pos";"812";"203.2";"123831";"C03626";"HMDB01539, HMDB03334";NA;251;"HMDB";"HMDB0001539";"PUBCHEM";"123831";TRUE;"direct";4;FALSE
"76";"251";"dimethylarginine (SDMA + ADMA)";NA;NA;"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"36808";"LC/MS Pos";"812";"203.2";"123831";"C03626";"HMDB01539, HMDB03334";NA;251;"HMDB";"HMDB0003334";"KEGG";"C03626";FALSE;"no_match";4;FALSE
"77";"251";"dimethylarginine (SDMA + ADMA)";NA;NA;"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"36808";"LC/MS Pos";"812";"203.2";"123831";"C03626";"HMDB01539, HMDB03334";NA;251;"HMDB";"HMDB0003334";"PUBCHEM";"123831";FALSE;"no_match";4;FALSE
"78";"251";"dimethylarginine (SDMA + ADMA)";NA;NA;"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"36808";"LC/MS Pos";"812";"203.2";"123831";"C03626";"HMDB01539, HMDB03334";NA;251;"KEGG";"C03626";"PUBCHEM";"123831";TRUE;"direct";4;FALSE
"79";"256";"docosapentaenoate (n6 DPA, 22:5n6)";NA;"25182-74-5";"Lipid";"Essential fatty acid";"37478";"LC/MS Neg";"5625";"329.4";"6441454";"C06429";"HMDB13123";NA;256;"HMDB";"HMDB0013123";"KEGG";"C06429";FALSE;"no_match";3;FALSE
"80";"256";"docosapentaenoate (n6 DPA, 22:5n6)";NA;"25182-74-5";"Lipid";"Essential fatty acid";"37478";"LC/MS Neg";"5625";"329.4";"6441454";"C06429";"HMDB13123";NA;256;"HMDB";"HMDB0013123";"PUBCHEM";"6441454";TRUE;"direct";3;FALSE
"81";"256";"docosapentaenoate (n6 DPA, 22:5n6)";NA;"25182-74-5";"Lipid";"Essential fatty acid";"37478";"LC/MS Neg";"5625";"329.4";"6441454";"C06429";"HMDB13123";NA;256;"KEGG";"C06429";"PUBCHEM";"6441454";FALSE;"no_match";3;FALSE
"82";"263";"erucate (22:1n9)";"Erucic acid";"112-86-7";"Lipid";"Long chain fatty acid";"1552";"GC/MS";"2134";"395.4";"8216";"C08316";"HMDB02068";NA;263;"HMDB";"HMDB0002068";"KEGG";"C08316";TRUE;"direct";3;FALSE
"83";"263";"erucate (22:1n9)";"cis-erucic acid";"112-86-7";"Lipid";"Long chain fatty acid";"1552";"GC/MS";"2134";"395.4";"8216";"C08316";"HMDB02068";NA;263;"HMDB";"HMDB0002068";"KEGG";"C08316";TRUE;"direct";3;FALSE
"84";"263";"erucate (22:1n9)";"Erucic acid";"112-86-7";"Lipid";"Long chain fatty acid";"1552";"GC/MS";"2134";"395.4";"8216";"C08316";"HMDB02068";NA;263;"HMDB";"HMDB0002068";"PUBCHEM";"8216";FALSE;"no_match";3;FALSE
"85";"263";"erucate (22:1n9)";"cis-erucic acid";"112-86-7";"Lipid";"Long chain fatty acid";"1552";"GC/MS";"2134";"395.4";"8216";"C08316";"HMDB02068";NA;263;"HMDB";"HMDB0002068";"PUBCHEM";"8216";FALSE;"no_match";3;FALSE
"86";"263";"erucate (22:1n9)";"Erucic acid";"112-86-7";"Lipid";"Long chain fatty acid";"1552";"GC/MS";"2134";"395.4";"8216";"C08316";"HMDB02068";NA;263;"KEGG";"C08316";"PUBCHEM";"8216";FALSE;"no_match";3;FALSE
"87";"263";"erucate (22:1n9)";"cis-erucic acid";"112-86-7";"Lipid";"Long chain fatty acid";"1552";"GC/MS";"2134";"395.4";"8216";"C08316";"HMDB02068";NA;263;"KEGG";"C08316";"PUBCHEM";"8216";FALSE;"no_match";3;FALSE
"88";"268";"fructose";NA;"57-48-7";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"577";"GC/MS";"1758";"217";"439709";"C00095";"HMDB00660";NA;268;"HMDB";"HMDB0000660";"KEGG";"C00095";FALSE;"no_match";3;FALSE
"89";"268";"fructose";NA;"57-48-7";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"577";"GC/MS";"1758";"217";"439709";"C00095";"HMDB00660";NA;268;"HMDB";"HMDB0000660";"PUBCHEM";"439709";TRUE;"direct";3;FALSE
"90";"268";"fructose";NA;"57-48-7";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"577";"GC/MS";"1758";"217";"439709";"C00095";"HMDB00660";NA;268;"KEGG";"C00095";"PUBCHEM";"439709";FALSE;"no_match";3;FALSE
"91";"269";"fructose 1-phosphate";NA;"53823-70-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15907";"GC/MS";"1996.5";"445.2";"65246";"C01094";"HMDB01076";NA;269;"HMDB";"HMDB0001076";"KEGG";"C01094";TRUE;"direct";3;FALSE
"92";"269";"fructose 1-phosphate";NA;"53823-70-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15907";"GC/MS";"1996.5";"445.2";"65246";"C01094";"HMDB01076";NA;269;"HMDB";"HMDB0001076";"PUBCHEM";"65246";FALSE;"no_match";3;FALSE
"93";"269";"fructose 1-phosphate";NA;"53823-70-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15907";"GC/MS";"1996.5";"445.2";"65246";"C01094";"HMDB01076";NA;269;"KEGG";"C01094";"PUBCHEM";"65246";FALSE;"no_match";3;FALSE
"94";"276";"gamma-glutamylcysteine";"gamma-Glutamylcysteine";"636-58-8";"Peptide";"gamma-glutamyl";"1778";"LC/MS Pos";"1274";"251.1";"842";"C00669";"HMDB01049";NA;276;"HMDB";"HMDB0001049";"KEGG";"C00669";TRUE;"direct";3;FALSE
