"";"original_row_id";"Metabolite";"CAS_commonName";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible"
"1";"7";"1-arachidonylglycerol";NA;NA;"Lipid";"Monoacylglycerol";"34397";"GC/MS";"2226";"203.1";"53480981";"C13857";"HMDB11572";NA;7;"HMDB";"HMDB0011572";"KEGG";"C13857";FALSE;"no_match";3;FALSE
"2";"7";"1-arachidonylglycerol";NA;NA;"Lipid";"Monoacylglycerol";"34397";"GC/MS";"2226";"203.1";"53480981";"C13857";"HMDB11572";NA;7;"HMDB";"HMDB0011572";"PUBCHEM";"53480981";TRUE;"direct";3;FALSE
"3";"7";"1-arachidonylglycerol";NA;NA;"Lipid";"Monoacylglycerol";"34397";"GC/MS";"2226";"203.1";"53480981";"C13857";"HMDB11572";NA;7;"KEGG";"C13857";"PUBCHEM";"53480981";FALSE;"no_match";3;FALSE
"4";"55";"2-hydroxyglutarate";NA;"40951-21-1";"Lipid";"Fatty acid, dicarboxylate";"37253";"GC/MS";"1576";"247";"43";"C02630";"HMDB00606";NA;55;"HMDB";"HMDB0000606";"KEGG";"C02630";FALSE;"no_match";3;FALSE
"5";"55";"2-hydroxyglutarate";NA;"40951-21-1";"Lipid";"Fatty acid, dicarboxylate";"37253";"GC/MS";"1576";"247";"43";"C02630";"HMDB00606";NA;55;"HMDB";"HMDB0000606";"PUBCHEM";"43";FALSE;"no_match";3;FALSE
"6";"55";"2-hydroxyglutarate";NA;"40951-21-1";"Lipid";"Fatty acid, dicarboxylate";"37253";"GC/MS";"1576";"247";"43";"C02630";"HMDB00606";NA;55;"KEGG";"C02630";"PUBCHEM";"43";TRUE;"direct";3;FALSE
"7";"95";"4-acetaminophen sulfate";NA;"10066-90-7, 32113-41-0";"Xenobiotics";"Drug";"37475";"LC/MS Neg";"1779";"230.1";"83939";"C06804";"HMDB01859";NA;95;"HMDB";"HMDB0001859";"KEGG";"C06804";TRUE;"direct";3;FALSE
"8";"95";"4-acetaminophen sulfate";NA;"10066-90-7, 32113-41-0";"Xenobiotics";"Drug";"37475";"LC/MS Neg";"1779";"230.1";"83939";"C06804";"HMDB01859";NA;95;"HMDB";"HMDB0001859";"PUBCHEM";"83939";FALSE;"no_match";3;FALSE
"9";"95";"4-acetaminophen sulfate";NA;"10066-90-7, 32113-41-0";"Xenobiotics";"Drug";"37475";"LC/MS Neg";"1779";"230.1";"83939";"C06804";"HMDB01859";NA;95;"KEGG";"C06804";"PUBCHEM";"83939";FALSE;"no_match";3;FALSE
"10";"99";"4-hydroxyglutamate";"4-Hydroxy-L-glutamic acid";"2485-33-8";"Amino acid";"Glutamate metabolism";"40499";"GC/MS";"1644.2";"244.1";"5460078, 5460800";"C03079";"HMDB01344";NA;99;"HMDB";"HMDB0001344";"KEGG";"C03079";FALSE;"no_match";4;FALSE
"11";"99";"4-hydroxyglutamate";"4-Hydroxy-L-glutamic acid";"2485-33-8";"Amino acid";"Glutamate metabolism";"40499";"GC/MS";"1644.2";"244.1";"5460078, 5460800";"C03079";"HMDB01344";NA;99;"HMDB";"HMDB0001344";"PUBCHEM";"5460078";FALSE;"no_match";4;FALSE
"12";"99";"4-hydroxyglutamate";"4-Hydroxy-L-glutamic acid";"2485-33-8";"Amino acid";"Glutamate metabolism";"40499";"GC/MS";"1644.2";"244.1";"5460078, 5460800";"C03079";"HMDB01344";NA;99;"HMDB";"HMDB0001344";"PUBCHEM";"5460800";FALSE;"no_match";4;FALSE
"13";"99";"4-hydroxyglutamate";"4-Hydroxy-L-glutamic acid";"2485-33-8";"Amino acid";"Glutamate metabolism";"40499";"GC/MS";"1644.2";"244.1";"5460078, 5460800";"C03079";"HMDB01344";NA;99;"KEGG";"C03079";"PUBCHEM";"5460078";TRUE;"direct";4;FALSE
"14";"99";"4-hydroxyglutamate";"4-Hydroxy-L-glutamic acid";"2485-33-8";"Amino acid";"Glutamate metabolism";"40499";"GC/MS";"1644.2";"244.1";"5460078, 5460800";"C03079";"HMDB01344";NA;99;"KEGG";"C03079";"PUBCHEM";"5460800";TRUE;"direct";4;FALSE
"15";"99";"4-hydroxyglutamate";"4-Hydroxy-L-glutamic acid";"2485-33-8";"Amino acid";"Glutamate metabolism";"40499";"GC/MS";"1644.2";"244.1";"5460078, 5460800";"C03079";"HMDB01344";NA;99;"PUBCHEM";"5460078";"PUBCHEM";"5460800";TRUE;"secondary";4;FALSE
