"";"original_row_id";"Metabolite";"CAS_commonName";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible"
"1";"1";"1,2-propanediol";NA;"57-55-6";"Lipid";"Ketone bodies";"38002";"GC/MS";"1041";"117";NA;"C00583";"HMDB01881";NA;1;"HMDB";"HMDB0001881";"KEGG";"C00583";FALSE;"no_match";2;FALSE
"2";"135";"N-acetylneuraminate";NA;"131-48-6";"Carbohydrate";"Aminosugars metabolism";"32377";"LC/MS Neg";"695";"308.10000000000002";NA;"C00270";"HMDB00230";NA;135;"HMDB";"HMDB0000230";"KEGG";"C00270";FALSE;"no_match";2;FALSE
"3";"140";"N-acetyltryptophan";"N-Acetyltryptophan";"1218-34-4";"Amino acid";"Tryptophan metabolism";"33959";"LC/MS Neg";"2650";"245.2";"700653";"C03137";NA;NA;140;"KEGG";"C03137";"PUBCHEM";"700653";FALSE;"no_match";2;FALSE
"4";"184";"androsterone sulfate";"Dehydroepiandrosterone sulfate";"2479-86-9";"Lipid";"Sterol/Steroid";"31591";"LC/MS Neg";"5011";"369.2";NA;"C00523";"HMDB02759";NA;184;"HMDB";"HMDB0002759";"KEGG";"C00523";FALSE;"no_match";2;FALSE
"5";"186";"arabitol";"D-Arabitol";"488-82-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"38075";"GC/MS";"1687.5";"307.10000000000002";"94154";"C00474";"HMDB01851";NA;186;"HMDB";"HMDB0001851";"KEGG";"C00474";FALSE;"no_match";3;FALSE
"6";"186";"arabitol";"D-Arabitol";"488-82-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"38075";"GC/MS";"1687.5";"307.10000000000002";"94154";"C00474";"HMDB01851";NA;186;"HMDB";"HMDB0001851";"PUBCHEM";"94154";FALSE;"no_match";3;FALSE
"7";"186";"arabitol";"D-Arabitol";"488-82-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"38075";"GC/MS";"1687.5";"307.10000000000002";"94154";"C00474";"HMDB01851";NA;186;"KEGG";"C00474";"PUBCHEM";"94154";FALSE;"no_match";3;FALSE
"8";"197";"ascorbate (Vitamin C)";NA;"134-03-2";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"1640";"GC/MS";"1850.1";"332.1";NA;"C00072";"HMDB00044";NA;197;"HMDB";"HMDB0000044";"KEGG";"C00072";FALSE;"no_match";2;FALSE
"9";"246";"cytosine-2',3'-cyclic monophosphate";"Cytidine 2',3'-cyclic phosphate";"15718-51-1";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"37465";"LC/MS Pos";"912";"306.2";"417654";"C02354";"HMDB11691";NA;246;"HMDB";"HMDB0011691";"KEGG";"C02354";FALSE;"no_match";3;FALSE
"10";"246";"cytosine-2',3'-cyclic monophosphate";"Cytidine 2',3'-cyclic phosphate";"15718-51-1";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"37465";"LC/MS Pos";"912";"306.2";"417654";"C02354";"HMDB11691";NA;246;"HMDB";"HMDB0011691";"PUBCHEM";"417654";FALSE;"no_match";3;FALSE
"11";"246";"cytosine-2',3'-cyclic monophosphate";"Cytidine 2',3'-cyclic phosphate";"15718-51-1";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"37465";"LC/MS Pos";"912";"306.2";"417654";"C02354";"HMDB11691";NA;246;"KEGG";"C02354";"PUBCHEM";"417654";FALSE;"no_match";3;FALSE
"12";"253";"docosadienoate (22:2n6)";NA;"7370-49-2";"Lipid";"Long chain fatty acid";"32415";"LC/MS Neg";"6017";"335.4";"5282807";"C16533";NA;NA;253;"KEGG";"C16533";"PUBCHEM";"5282807";FALSE;"no_match";2;FALSE
"13";"255";"docosapentaenoate (n3 DPA, 22:5n3)";NA;"2234-74-4";"Lipid";"Essential fatty acid";"32504";"LC/MS Neg";"5574";"329.4";NA;"C16513";"HMDB01976";NA;255;"HMDB";"HMDB0001976";"KEGG";"C16513";FALSE;"no_match";2;FALSE
"14";"270";"fructose-6-phosphate";NA;"103213-47-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"12021";"GC/MS";"1994.9";"315.10000000000002";NA;"C05345";"HMDB00124";NA;270;"HMDB";"HMDB0000124";"KEGG";"C05345";FALSE;"no_match";2;FALSE
