"";"original_row_id";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible";"manual_correction";"correction_tbl"
"1";"12";"1-linoleoylglycerophosphocholine";NA;"Lipid";"Lysolipid";"34419";"LC/MS Pos";"5574";"520.4";"5280646";"C04100";NA;NA;12;"KEGG";"C04100";"PUBCHEM";"5280646";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_no_cas"
"2";"139";"N-acetylthreonine";NA;"Amino acid";"Glycine, serine and threonine metabolism";"33939";"LC/MS Neg";"846";"160.1";"152204";NA;NA;NA;139;"KEGG";"C01118";"PUBCHEM";"152204";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_no_cas"
"3";"172";"alanylmethionine";NA;"Peptide";"Dipeptide";"37065";"LC/MS Pos";"1596";"221";"98509, 5242543";NA;NA;NA;172;"PUBCHEM";"98509";"PUBCHEM";"5242543";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_no_cas"
"4";"219";"catechol sulfate";NA;"Xenobiotics";"Benzoate metabolism";"35320";"LC/MS Neg";"1928";"188.9";"3083879";NA;NA;NA;219;"KEGG";"C00090";"PUBCHEM";"3083879";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_no_cas"
"5";"315";"glycyltryptophan";NA;"Peptide";"Dipeptide";"38151";"LC/MS Pos";"2542";"262.4";"1551340, 92181";NA;NA;NA;315;"PUBCHEM";"1551340";"PUBCHEM";"92181";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_no_cas"
"6";"363";"laurylcarnitine";NA;"Lipid";"Carnitine metabolism";"34534";"LC/MS Pos";"5066";"344.3";"10427569";NA;"HMDB02250";NA;363;"HMDB";"HMDB0002250";"PUBCHEM";"10427569";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_no_cas"
"7";"368";"leucylglutamate";NA;"Peptide";"Dipeptide";"40021";"LC/MS Pos";"1716";"261.2";"5259590, 5259589";NA;NA;NA;368;"PUBCHEM";"5259590";"PUBCHEM";"5259589";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_no_cas"
"8";"522";"threonylphenylalanine";NA;"Peptide";"Dipeptide";"31530";"LC/MS Pos";"2500";"267.2";"4099799, 4099798";NA;NA;NA;522;"PUBCHEM";"4099799";"PUBCHEM";"4099798";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_no_cas"
"9";"1";"1,2-propanediol";"57-55-6";"Lipid";"Ketone bodies";"38002";"GC/MS";"1041";"117";NA;"C00583";"HMDB01881";NA;1;"HMDB";"HMDB0001881";"KEGG";"C00583";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"10";"135";"N-acetylneuraminate";"131-48-6";"Carbohydrate";"Aminosugars metabolism";"32377";"LC/MS Neg";"695";"308.1";NA;"C00270";"HMDB00230";NA;135;"HMDB";"HMDB0000230";"KEGG";"C00270";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"11";"140";"N-acetyltryptophan";"1218-34-4";"Amino acid";"Tryptophan metabolism";"33959";"LC/MS Neg";"2650";"245.2";"700653";"C03137";NA;NA;140;"KEGG";"C03137";"PUBCHEM";"700653";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"12";"184";"androsterone sulfate";"2479-86-9";"Lipid";"Sterol/Steroid";"31591";"LC/MS Neg";"5011";"369.2";NA;NA;"HMDB02759";NA;184;"HMDB";"HMDB0002759";"KEGG";"C00523";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"13";"186";"arabitol";"488-82-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"38075";"GC/MS";"1687.5";"307.1";"94154";"C00474";"HMDB01851";NA;186;"HMDB";"HMDB0001851";"KEGG";"C00474";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"14";"186";"arabitol";"488-82-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"38075";"GC/MS";"1687.5";"307.1";"94154";"C00474";"HMDB01851";NA;186;"HMDB";"HMDB0001851";"PUBCHEM";"94154";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"15";"186";"arabitol";"488-82-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"38075";"GC/MS";"1687.5";"307.1";"94154";"C00474";"HMDB01851";NA;186;"KEGG";"C00474";"PUBCHEM";"94154";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"16";"197";"ascorbate (Vitamin C)";"134-03-2";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"1640";"GC/MS";"1850.1";"332.1";NA;"C00072";"HMDB00044";NA;197;"HMDB";"HMDB0000044";"KEGG";"C00072";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"17";"246";"cytosine-2',3'-cyclic monophosphate";"15718-51-1";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"37465";"LC/MS Pos";"912";"306.2";"417654";"C02354";"HMDB11691";NA;246;"HMDB";"HMDB0011691";"KEGG";"C02354";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"18";"246";"cytosine-2',3'-cyclic monophosphate";"15718-51-1";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"37465";"LC/MS Pos";"912";"306.2";"417654";"C02354";"HMDB11691";NA;246;"HMDB";"HMDB0011691";"PUBCHEM";"417654";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"19";"246";"cytosine-2',3'-cyclic monophosphate";"15718-51-1";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"37465";"LC/MS Pos";"912";"306.2";"417654";"C02354";"HMDB11691";NA;246;"KEGG";"C02354";"PUBCHEM";"417654";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"20";"253";"docosadienoate (22:2n6)";"7370-49-2";"Lipid";"Long chain fatty acid";"32415";"LC/MS Neg";"6017";"335.4";"5282807";"C16533";NA;NA;253;"KEGG";"C16533";"PUBCHEM";"5282807";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"21";"255";"docosapentaenoate (n3 DPA 22:5n3)";"2234-74-4";"Lipid";"Essential fatty acid";"32504";"LC/MS Neg";"5574";"329.4";NA;"C16513";"HMDB01976";NA;255;"HMDB";"HMDB0001976";"KEGG";"C16513";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"22";"270";"fructose-6-phosphate";"103213-47-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"12021";"GC/MS";"1994.9";"315.1";NA;"C05345";NA;NA;270;"HMDB";"HMDB0000124";"KEGG";"C05345";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"23";"274";"galactose";"59-23-4";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"12055";"GC/MS";"1793.8";"203.9";"3037556";"C01582";NA;NA;274;"HMDB";"HMDB0000143";"KEGG";"C01582";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"24";"274";"galactose";"59-23-4";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"12055";"GC/MS";"1793.8";"203.9";"3037556";"C01582";NA;NA;274;"HMDB";"HMDB0000143";"PUBCHEM";"3037556";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"25";"274";"galactose";"59-23-4";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"12055";"GC/MS";"1793.8";"203.9";"3037556";"C01582";NA;NA;274;"KEGG";"C01582";"PUBCHEM";"3037556";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"26";"288";"glucose-6-phosphate (G6P)";"103192-55-8";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"31260";"GC/MS";"2042.7";"387.2";NA;"C00668";"HMDB01401";NA;288;"HMDB";"HMDB0001401";"KEGG";"C00668";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"27";"290";"glutamate";"56-86-0";"Amino acid";"Glutamate metabolism";"57";"LC/MS Pos";"700";"148.1";"611";"C00025";"HMDB03339";NA;290;"HMDB";"HMDB0003339";"KEGG";"C00025";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"28";"290";"glutamate";"56-86-0";"Amino acid";"Glutamate metabolism";"57";"LC/MS Pos";"700";"148.1";"611";"C00025";"HMDB03339";NA;290;"HMDB";"HMDB0003339";"KEGG";"C00025";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"29";"290";"glutamate";"56-86-0";"Amino acid";"Glutamate metabolism";"57";"LC/MS Pos";"700";"148.1";"611";"C00025";"HMDB03339";NA;290;"HMDB";"HMDB0003339";"PUBCHEM";"611";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"30";"290";"glutamate";"56-86-0";"Amino acid";"Glutamate metabolism";"57";"LC/MS Pos";"700";"148.1";"611";"C00025";"HMDB03339";NA;290;"HMDB";"HMDB0003339";"PUBCHEM";"611";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"31";"290";"glutamate";"56-86-0";"Amino acid";"Glutamate metabolism";"57";"LC/MS Pos";"700";"148.1";"611";"C00025";"HMDB03339";NA;290;"KEGG";"C00025";"PUBCHEM";"611";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"32";"290";"glutamate";"56-86-0";"Amino acid";"Glutamate metabolism";"57";"LC/MS Pos";"700";"148.1";"611";"C00025";"HMDB03339";NA;290;"KEGG";"C00025";"PUBCHEM";"611";FALSE;"no_match";3;FALSE;TRUE;"completely_incompatible_manual_with_cas"
"33";"312";"glycylphenylalanine";"51-907-7";"Peptide";"Dipeptide";"33954";"LC/MS Neg";"2193";"221.2";"1549344, 92953";NA;NA;NA;312;"PUBCHEM";"1549344";"PUBCHEM";"92953";FALSE;"no_match";2;FALSE;TRUE;"completely_incompatible_manual_with_cas"
