"";"ID";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"n_Metabolites_in_pathway";"all_metabolites_in_pathway";"n_detected_metabolites_in_pathway";"detected_metabolites_in_pathway";"percentage_detected_metabolites_of_pathway";"ORA_Metabolites_in_pathway";"ORA_metabolites_count";"ORA_percentage_of_Pathway_detected"
"23";"AMPK signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;19;"C00003, C00008, C00020, C00022, C00024, C00031, C00040, C00083, C00085, C00354, C00389, C00665, C00668, C00757, C01172, C04677, C05981, C07151, C09731";5;"C00003, C00020, C00031, C00668, C07151";26,32;NA;0;0
"24";"Amyotrophic lateral sclerosis";NA;NA;NA;NA;NA;NA;NA;NA;7;"C00008, C00025, C00039, C00046, C00062, C04549, C16845";2;"C00025, C00062";28,57;NA;0;0
"25";"Angiotensin receptor and endothelin receptor antagonists";NA;NA;NA;NA;NA;NA;NA;NA;4;"C02135, C15551, C15552, C15553";0;NA;0;NA;0;0
"26";"Anthocyanin biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;66;"C05904, C05905, C05908, C08604, C08620, C08639, C08641, C08725, C12095, C12096, C12137, C12138, C12139, C12140, C12141, C12640, C12641, C12642, C12643, C12644, C12645, C12646, C12647, C16288, C16289, C16290, C16292, C16293, C16294, C16295, C16296, C16297, C16298, C16299, C16301, C16302, C16303, C16304, C16305, C16306, C16307, C16312, C16313, C16314, C16315, C16349, C16350, C16351, C16354, C16367, C16368, C16369, C16370, C16371, C16372, C16373, C19762, C20469, C20489, C20490, C20491, C20492, C20493, C20494, C20495, C20496";0;NA;0;NA;0;0
"27";"Anti-HIV agents";NA;NA;NA;NA;NA;NA;NA;NA;1;"C20266";0;NA;0;NA;0;0
"28";"Antiarrhythmic drugs";NA;NA;NA;NA;NA;NA;NA;NA;3;"C06855, C13772, C13777";0;NA;0;NA;0;0
"29";"Anticonvulsants";NA;NA;NA;NA;NA;NA;NA;NA;4;"C07493, C07499, C14916, C15341";0;NA;0;NA;0;0
"30";"Antifolate resistance";"2/37";"4/259";0,5;3,5;2,05321364560773;0,0989654701578397;0,338398059249387;0,285638878214478;17;"C00020, C00073, C00101, C00119, C00130, C00143, C00144, C00155, C00234, C00364, C00365, C00415, C00440, C00504, C11374, C21279, C21280";4;"C00020, C00073, C00155, C00440";23,53;"C00073/C00440";2;11,76
"31";"Antifungal agents";NA;NA;NA;NA;NA;NA;NA;NA;3;"C14531, C14816, C14817";0;NA;0;NA;0;0
"32";"Antineoplastics - agents from natural products";NA;NA;NA;NA;NA;NA;NA;NA;1;"C01897";0;NA;0;NA;0;0
"33";"Antineoplastics - alkylating agents";NA;NA;NA;NA;NA;NA;NA;NA;3;"C07642, C14595, C16250";0;NA;0;NA;0;0
"34";"Anxiolytics";NA;NA;NA;NA;NA;NA;NA;NA;1;"C14838";0;NA;0;NA;0;0
"35";"Apelin signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00165, C00290, C00575, C01245, C06124";0;NA;0;NA;0;0
"36";"Apoptosis";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00319, C05981";1;"C00319";50;NA;0;0
"37";"Apoptosis - fly";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00477";0;NA;0;NA;0;0
"38";"Arabinogalactan biosynthesis - Mycobacterium";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00569, C02970, C03319, C05896, C17481, C21904, C22876, C22879";0;NA;0;NA;0;0
"39";"Arachidonic acid metabolism";"3/37";"6/259";0,5;3,5;2,52458269552837;0,0396901654783085;0,200340835271462;0,16910596820332;79;"C00157, C00219, C00427, C00584, C00639, C00696, C00909, C01312, C02165, C02166, C02198, C03577, C04577, C04671, C04707, C04742, C04758, C04805, C04822, C04835, C04853, C05356, C05949, C05950, C05951, C05952, C05953, C05954, C05955, C05956, C05957, C05958, C05959, C05960, C05961, C05962, C05963, C05964, C05965, C05966, C06314, C06315, C06462, C13809, C14717, C14732, C14748, C14749, C14768, C14769, C14770, C14771, C14772, C14773, C14774, C14775, C14776, C14777, C14778, C14779, C14780, C14781, C14782, C14794, C14795, C14807, C14808, C14809, C14810, C14811, C14812, C14813, C14814, C14815, C14820, C14821, C14822, C14823, C14824";6;"C00219, C00584, C04805, C05953, C05961, C14732";7,59;"C00219/C04805/C14732";3;3,8
"40";"Arginine and proline metabolism";"1/37";"18/259";0,0555555555555556;0,388888888888889;-1,09517151417426;0,943767080524266;0,943767080524266;0,796625638972817;70;"C00012, C00019, C00022, C00025, C00048, C00062, C00077, C00086, C00134, C00148, C00179, C00213, C00223, C00300, C00315, C00334, C00406, C00431, C00436, C00441, C00555, C00581, C00750, C00763, C00791, C00884, C00986, C01035, C01043, C01110, C01137, C01157, C01165, C01250, C01682, C02305, C02565, C02647, C02714, C02946, C03078, C03166, C03287, C03296, C03375, C03415, C03564, C03771, C03912, C04137, C04281, C05147, C05931, C05932, C05933, C05936, C05938, C05945, C05946, C05947, C10497, C15699, C15700, C15767, C18172, C18174, C18326, C19706, C20560, C22886";18;"C00025, C00062, C00077, C00086, C00134, C00148, C00179, C00213, C00300, C00315, C00334, C00431, C00581, C00750, C00791, C01035, C01157, C05947";25,71;"C00148";1;1,43
"41";"Arginine biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;21;"C00025, C00026, C00049, C00062, C00064, C00077, C00086, C00122, C00169, C00327, C00437, C00624, C01010, C01250, C03406, C04133, C15532, C20948, C20949, C20950, C20951";10;"C00025, C00049, C00062, C00064, C00077, C00086, C00122, C00327, C00437, C03406";47,62;NA;0;0
"42";"Ascorbate and aldarate metabolism";"1/37";"8/259";0,125;0,875;-0,146336402270529;0,713955919584447;0,822601385608167;0,694350722707986;57;"C00022, C00026, C00029, C00072, C00096, C00137, C00167, C00191, C00216, C00231, C00259, C00333, C00433, C00545, C00558, C00617, C00618, C00652, C00679, C00684, C00800, C00818, C00878, C00879, C01040, C01041, C01101, C01114, C01115, C01146, C01620, C01825, C02280, C02670, C03033, C03064, C03289, C03291, C03826, C03921, C04037, C04575, C05385, C05411, C05412, C05422, C06316, C14899, C15923, C15924, C15925, C15926, C15930, C16186, C20889, C20896, C21955";8;"C00072, C00137, C00191, C00818, C00878, C01040, C01620, C05411";14,04;"C00137";1;1,75
"43";"Asthma";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00388, C00696, C02166, C04598, C05951";1;"C00388";20;NA;0;0
"44";"Atrazine degradation";NA;NA;NA;NA;NA;NA;NA;NA;22;"C00086, C01010, C01566, C06551, C06552, C06553, C06554, C06555, C06556, C06557, C06558, C06559, C06560, C08733, C08734, C08735, C08737, C14147, C14148, C14149, C22084, C22085";1;"C00086";4,55;NA;0;0
"45";"Autoimmune thyroid disease";NA;NA;NA;NA;NA;NA;NA;NA;3;"C01382, C01829, C02465";0;NA;0;NA;0;0
"46";"Autophagy - animal";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00035, C00044, C00350, C01194, C04549, C05981";0;NA;0;NA;0;0
"47";"Autophagy - other";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00350, C01194, C04549";0;NA;0;NA;0;0
"48";"Autophagy - yeast";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00350, C01194, C04549";0;NA;0;NA;0;0
"49";"Axon regeneration";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00078, C00165, C00575, C00643, C00780, C11695";1;"C00078";16,67;NA;0;0
"50";"B cell receptor signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00165, C01245, C05981";0;NA;0;NA;0;0
"51";"Bacterial chemotaxis";"1/37";"3/259";0,333333333333333;2,33333333333333;0,946484724300046;0,371485450573316;0,615272777512055;0,519346435834406;6;"C00049, C00107, C00121, C00124, C00208, C00716";3;"C00049, C00121, C00208";50;"C00208";1;16,67
"52";"Bacterial secretion system";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00002";0;NA;0;NA;0;0
"53";"Basal cell carcinoma";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00187";1;"C00187";100;NA;0;0
"54";"Benzoate degradation";NA;NA;NA;NA;NA;NA;NA;NA;77;"C00022, C00024, C00036, C00084, C00090, C00091, C00146, C00156, C00180, C00196, C00230, C00332, C00512, C00527, C00530, C00587, C00596, C00628, C00682, C00846, C00877, C01063, C01144, C01163, C01278, C01407, C01751, C02222, C02232, C02411, C02480, C02501, C02519, C02814, C02949, C03453, C03586, C03589, C03671, C03676, C03767, C04091, C04115, C04324, C04404, C04434, C04480, C04484, C04553, C05375, C06033, C06035, C06321, C06322, C06333, C06336, C06714, C06715, C06723, C06749, C09809, C09810, C09811, C09812, C09813, C09821, C09822, C09823, C14144, C14610, C19682, C19683, C19684, C21298, C22885, C22887, C22920";1;"C00180";1,3;NA;0;0
"55";"Benzodiazepine family";NA;NA;NA;NA;NA;NA;NA;NA;6;"C11688, C15026, C15040, C15094, C15096, C15104";0;NA;0;NA;0;0
"56";"Benzoic acid family";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00108, C00156";0;NA;0;NA;0;0
"57";"Benzoxazinoid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00463, C03506, C04831, C11130, C12312, C15769, C15770, C15772, C18062";0;NA;0;NA;0;0
"58";"beta-Adrenergic receptor agonists/antagonists";NA;NA;NA;NA;NA;NA;NA;NA;1;"C11772";0;NA;0;NA;0;0
"59";"beta-Alanine metabolism";"2/37";"12/259";0,166666666666667;1,16666666666667;0,24089352338458;0,532761367423569;0,715951782401722;0,604328714043161;32;"C00024, C00049, C00083, C00099, C00100, C00106, C00135, C00222, C00315, C00334, C00383, C00386, C00429, C00555, C00750, C00804, C00864, C00894, C00986, C01013, C01073, C01262, C02335, C02642, C03492, C03722, C05340, C05341, C05665, C05668, C05669, C05670";12;"C00049, C00099, C00106, C00135, C00315, C00334, C00429, C00750, C00864, C01262, C02642, C03722";37,5;"C00135/C00864";2;6,25
"60";"beta-Lactam resistance";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00039, C03438, C04702";0;NA;0;NA;0;0
"61";"Betalain biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;23;"C00082, C00355, C03758, C05587, C05604, C08537, C08538, C08539, C08540, C08542, C08543, C08544, C08552, C08557, C08565, C17751, C17752, C17753, C17754, C17755, C17756, C17757, C17758";1;"C00082";4,35;NA;0;0
"62";"Bile secretion";NA;NA;NA;NA;NA;NA;NA;NA;90;"C00024, C00026, C00031, C00051, C00114, C00187, C00315, C00318, C00366, C00486, C00504, C00575, C00584, C00639, C00695, C00735, C00750, C00780, C00805, C00865, C00942, C01353, C01405, C01443, C01576, C01829, C01844, C01921, C01937, C01996, C02165, C02166, C02380, C02465, C02528, C02530, C02538, C02918, C03033, C03642, C03758, C03990, C04483, C04555, C05122, C05371, C05465, C05466, C05503, C05551, C05963, C06526, C06570, C06688, C06804, C06810, C06880, C06890, C06956, C06999, C07014, C07051, C07065, C07151, C07184, C07185, C07201, C07207, C07210, C07240, C07394, C07512, C07649, C07660, C07966, C08357, C08439, C09955, C11158, C11231, C11245, C11277, C11310, C11363, C11587, C11754, C12560, C16114, C16578, C16643";16;"C00031, C00051, C00187, C00315, C00318, C00366, C00486, C00584, C00695, C00735, C00750, C00805, C04555, C05551, C06804, C07151";17,78;NA;0;0
"63";"Biofilm formation - Escherichia coli";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00037, C00575, C01228, C04494, C16463, C21382";1;"C00037";16,67;NA;0;0
"64";"Biofilm formation - Pseudomonas aeruginosa";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00044, C00575, C11837, C11848, C16463, C18076, C20643, C21201";0;NA;0;NA;0;0
"65";"Biofilm formation - Vibrio cholerae";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00031, C00044, C00092, C00575, C16421, C16463, C16640, C18076";2;"C00031, C00092";25;NA;0;0
"66";"Biosynthesis of 12-, 14- and 16-membered macrolides";NA;NA;NA;NA;NA;NA;NA;NA;87;"C00083, C00100, C00630, C00683, C00744, C01033, C01457, C01912, C01946, C02400, C02557, C03240, C06616, C06630, C06633, C06634, C06635, C06653, C11911, C11912, C11916, C11920, C11921, C11933, C11953, C11954, C11955, C11956, C11957, C11958, C11959, C11960, C11961, C11962, C11963, C11964, C11965, C11966, C11967, C11968, C11969, C11970, C11971, C11972, C11973, C11974, C11975, C11976, C11977, C11978, C11979, C11980, C11981, C11982, C11983, C11984, C11985, C11986, C11987, C11988, C11989, C11990, C11991, C11992, C11993, C11994, C11995, C11996, C11997, C11998, C11999, C12000, C12001, C12002, C12003, C15680, C15681, C15682, C15683, C15684, C15685, C18846, C18847, C20739, C20740, C20741, C20760";0;NA;0;NA;0;0
"67";"Biosynthesis of alkaloids derived from histidine and purine";"6/37";"13/259";0,461538461538462;3,23076923076923;3,36273772440358;0,00462974885226638;0,0469632137652151;0,0396412429994367;35;"C00020, C00022, C00024, C00026, C00036, C00042, C00085, C00091, C00118, C00119, C00122, C00123, C00130, C00135, C00144, C00149, C00158, C00197, C00267, C00311, C00385, C00388, C00417, C00655, C00668, C01762, C04666, C04677, C04734, C07130, C07474, C07480, C07481, C08262, C16696";13;"C00020, C00042, C00122, C00123, C00135, C00149, C00158, C00385, C00388, C00417, C00668, C01762, C07480";37,14;"C00123/C00135/C00158/C00385/C00417/C01762";6;17,14
"68";"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid";"4/37";"18/259";0,222222222222222;1,55555555555556;0,995610467431143;0,244990975278066;0,556957579186642;0,470123080743441;67;"C00022, C00024, C00025, C00026, C00036, C00042, C00047, C00049, C00062, C00077, C00079, C00085, C00091, C00118, C00122, C00134, C00149, C00158, C00197, C00253, C00267, C00311, C00407, C00408, C00417, C00450, C00512, C00668, C00729, C00745, C00783, C01416, C01456, C01672, C01851, C02046, C02611, C03722, C03882, C04076, C05607, C06176, C06177, C06178, C06179, C06180, C06181, C06182, C06183, C06184, C06185, C06366, C06521, C07475, C10126, C10157, C10171, C10173, C10763, C10772, C10773, C10783, C10860, C10865, C11359, C12448, C16697";18;"C00025, C00042, C00047, C00049, C00062, C00077, C00079, C00122, C00134, C00149, C00158, C00253, C00407, C00408, C00417, C00668, C03722, C03882";26,87;"C00079/C00158/C00407/C00417";4;5,97
"69";"Biosynthesis of alkaloids derived from shikimate pathway";"5/37";"14/259";0,357142857142857;2,5;2,35129143845918;0,0344726099965709;0,200340835271462;0,16910596820332;143;"C00022, C00024, C00026, C00036, C00042, C00074, C00078, C00079, C00082, C00085, C00091, C00108, C00118, C00122, C00149, C00158, C00180, C00183, C00197, C00236, C00251, C00254, C00267, C00279, C00311, C00323, C00354, C00355, C00398, C00417, C00483, C00493, C00630, C00631, C00643, C00668, C00755, C00757, C00780, C01179, C01516, C01575, C01626, C01795, C01852, C01897, C02105, C02106, C02637, C02765, C03005, C03470, C03506, C03677, C03758, C03765, C04118, C05176, C05178, C05189, C05202, C05220, C05587, C06160, C06161, C06165, C06171, C06173, C06332, C06522, C06526, C06527, C06528, C06533, C06535, C06536, C06538, C06546, C06866, C07201, C07304, C07544, C07547, C07576, C07592, C08300, C08301, C08312, C08526, C08532, C09024, C09089, C09107, C09209, C09243, C09244, C09390, C09421, C09541, C09642, C09654, C10632, C10660, C10722, C10733, C10738, C10740, C11250, C11379, C11680, C11691, C11816, C12093, C12162, C12173, C12231, C16666, C16700, C16701, C16702, C16703, C16704, C16705, C16706, C16707, C16708, C16709, C16710, C16712, C16713, C16714, C16716, C16719, C16721, C16723, C16724, C16725, C16726, C16727, C16728, C16735, C17268, C18202";14;"C00042, C00074, C00078, C00079, C00082, C00122, C00149, C00158, C00180, C00183, C00417, C00631, C00668, C06527";9,79;"C00079/C00082/C00158/C00183/C00417";5;3,5
"70";"Biosynthesis of alkaloids derived from terpenoid and polyketide";"3/37";"9/259";0,333333333333333;2,33333333333333;1,65891530826622;0,122457151461916;0,370870230141804;0,313048357120688;48;"C00022, C00024, C00026, C00036, C00042, C00083, C00085, C00091, C00118, C00122, C00149, C00158, C00187, C00197, C00267, C00311, C00341, C00353, C00356, C00417, C00448, C00668, C00751, C01500, C01852, C06091, C06423, C06523, C06525, C06543, C08660, C09782, C09910, C09943, C09945, C09987, C09990, C10138, C10165, C10811, C10820, C10822, C10824, C10826, C10827, C10829, C11437, C15610";9;"C00042, C00122, C00149, C00158, C00187, C00417, C00668, C00751, C06423";18,75;"C00158/C00417/C00751";3;6,25
