"";"ID";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"n_Metabolites_in_pathway";"all_metabolites_in_pathway";"n_detected_metabolites_in_pathway";"detected_metabolites_in_pathway";"percentage_detected_metabolites_of_pathway";"ORA_Metabolites_in_pathway";"ORA_metabolites_count";"ORA_percentage_of_Pathway_detected"
"1";"1,2-Diphenyl substitution family";NA;NA;NA;NA;NA;NA;NA;NA;2;"C14316, C14319";0;NA;0;NA;0;0
"2";"2-Oxocarboxylic acid metabolism";"8/37";"19/259";0,421052631578947;2,94736842105263;3,59296949953119;0,00194280664042875;0,0294196434122068;0,0248328668325479;144;"C00022, C00024, C00025, C00026, C00036, C00041, C00047, C00049, C00073, C00077, C00078, C00079, C00082, C00091, C00100, C00109, C00123, C00141, C00158, C00166, C00183, C00233, C00311, C00322, C00407, C00417, C00437, C00441, C00527, C00624, C00630, C00671, C00810, C00956, C01069, C01179, C01180, C01250, C01251, C02153, C02226, C02356, C02504, C02612, C02631, C02937, C02939, C03082, C03219, C03283, C03719, C04002, C04133, C04181, C04236, C04272, C04350, C04411, C05379, C05533, C05662, C05837, C06006, C06007, C06010, C06032, C08401, C08407, C08409, C08412, C08417, C08418, C08426, C14463, C15980, C16516, C16517, C16518, C16583, C16588, C16589, C16597, C16598, C16600, C17210, C17211, C17212, C17213, C17214, C17215, C17216, C17217, C17218, C17219, C17220, C17221, C17222, C17223, C17224, C17225, C17226, C17227, C17228, C17229, C17230, C17231, C17232, C17233, C17235, C17236, C17237, C17238, C17239, C17240, C17241, C17242, C17243, C17244, C17245, C17246, C17248, C17249, C17250, C17251, C17252, C17253, C17254, C17255, C17256, C19491, C19714, C19886, C19887, C19888, C19889, C20327, C20581, C20582, C20653, C20654, C20948, C20949, C20950, C20951";19;"C00025, C00041, C00047, C00049, C00073, C00077, C00078, C00079, C00082, C00123, C00158, C00183, C00233, C00407, C00417, C00437, C00671, C00956, C02504";13,19;"C00073/C00079/C00082/C00123/C00158/C00183/C00407/C00417";8;5,56
"3";"ABC transporters";"14/37";"52/259";0,269230769230769;1,88461538461538;2,90740287077513;0,00531659023757152;0,0469632137652151;0,0396412429994367;130;"C00009, C00025, C00031, C00032, C00034, C00037, C00041, C00047, C00049, C00051, C00059, C00062, C00064, C00065, C00077, C00079, C00086, C00089, C00093, C00095, C00098, C00107, C00114, C00116, C00120, C00121, C00123, C00134, C00135, C00137, C00140, C00148, C00151, C00159, C00175, C00181, C00183, C00185, C00188, C00208, C00212, C00243, C00245, C00255, C00259, C00294, C00299, C00315, C00320, C00330, C00333, C00338, C00378, C00379, C00387, C00392, C00407, C00430, C00470, C00475, C00487, C00491, C00492, C00503, C00526, C00559, C00719, C00794, C00855, C00865, C00881, C00919, C00973, C01083, C01153, C01157, C01177, C01181, C01279, C01417, C01487, C01606, C01630, C01667, C01674, C01682, C01684, C01762, C01834, C01835, C01935, C01946, C02160, C02273, C03557, C03611, C03619, C04114, C04137, C05349, C05402, C05512, C05776, C06227, C06229, C06230, C06232, C06687, C06705, C06706, C06707, C06767, C07662, C07663, C11612, C13768, C14819, C15521, C15719, C16421, C16692, C19609, C19872, C20570, C20571, C20572, C20573, C20679, C21066, C22040";52;"C00009, C00025, C00031, C00032, C00037, C00041, C00047, C00049, C00051, C00062, C00064, C00065, C00077, C00079, C00086, C00093, C00095, C00116, C00121, C00123, C00134, C00135, C00137, C00140, C00148, C00159, C00181, C00183, C00188, C00208, C00212, C00245, C00255, C00294, C00299, C00315, C00330, C00379, C00387, C00392, C00407, C00475, C00491, C00503, C00719, C00794, C01157, C01177, C01181, C01762, C01835, C05512";40;"C00065/C00079/C00123/C00135/C00137/C00148/C00183/C00188/C00208/C00255/C00407/C00475/C01762/C01835";14;10,77
"4";"Acarbose and validamycin biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;36;"C00103, C00842, C04268, C06802, C11907, C12112, C17691, C17692, C17693, C17694, C17695, C17696, C17697, C17698, C17699, C17700, C20956, C21156, C21204, C21205, C21206, C21207, C21208, C21209, C21210, C21211, C21216, C21218, C21219, C21247, C21248, C21249, C21293, C21367, C21368, C21415";1;"C00103";2,78;NA;0;0
"5";"Acute myeloid leukemia";NA;NA;NA;NA;NA;NA;NA;NA;1;"C05981";0;NA;0;NA;0;0
"6";"Adipocytokine signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00040, C00083, C00165, C00195, C00638, C15493";0;NA;0;NA;0;0
"7";"Adrenergic signaling in cardiomyocytes";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00165, C00547, C00575, C00788, C01245, C07056";1;"C00788";16,67;NA;0;0
"8";"Aflatoxin biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;27;"C00024, C00083, C00961, C03683, C03686, C03944, C06800, C16753, C16754, C16755, C20444, C20445, C20452, C20453, C20499, C20500, C20501, C20502, C20503, C20504, C20505, C20506, C20507, C20508, C20574, C20575, C20583";0;NA;0;NA;0;0
"9";"African trypanosomiasis";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00078, C00165, C00328, C00584, C00696, C01245";3;"C00078, C00328, C00584";50;NA;0;0
"10";"AGE-RAGE signaling pathway in diabetic complications";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00031, C00165, C00195, C01245, C21011, C21012, C21013, C21014";1;"C00031";12,5;NA;0;0
"11";"Alanine, aspartate and glutamate metabolism";"3/37";"13/259";0,230769230769231;1,61538461538462;0,927651786042366;0,278869580996773;0,579611285993293;0,489244878941707;27;"C00022, C00025, C00026, C00036, C00041, C00042, C00049, C00064, C00122, C00152, C00158, C00169, C00232, C00334, C00352, C00402, C00438, C00940, C01042, C02362, C03090, C03406, C03794, C03912, C12270, C20775, C20776";13;"C00025, C00041, C00042, C00049, C00064, C00122, C00152, C00158, C00334, C01042, C03406, C03794, C12270";48,15;"C00158/C01042/C12270";3;11,11
"12";"Alcoholic liver disease";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00003, C00005, C00006, C00024, C00033, C00040, C00083, C00084, C00469";1;"C00003";11,11;NA;0;0
"13";"Alcoholism";"1/37";"3/259";0,333333333333333;2,33333333333333;0,946484724300046;0,371485450573316;0,615272777512055;0,519346435834406;8;"C00025, C00082, C00212, C00355, C00469, C00575, C01161, C03758";3;"C00025, C00082, C00212";37,5;"C00082";1;12,5
"14";"Aldosterone-regulated sodium reabsorption";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00575, C00735, C00762, C01780, C05981";2;"C00735, C00762";40;NA;0;0
"15";"Aldosterone synthesis and secretion";"1/37";"5/259";0,2;1,4;0,368012324340017;0,540340967850356;0,715951782401722;0,604328714043161;19;"C00003, C00004, C00005, C00006, C00020, C00165, C00187, C00219, C00410, C00575, C00942, C01124, C01245, C01780, C01953, C02140, C03205, C14777, C14822";5;"C00003, C00004, C00020, C00187, C00219";26,32;"C00219";1;5,26
"16";"alpha-Linolenic acid metabolism";NA;NA;NA;NA;NA;NA;NA;NA;44;"C00157, C01226, C04672, C04780, C04785, C06427, C08491, C08492, C11512, C16300, C16308, C16309, C16310, C16311, C16316, C16317, C16318, C16319, C16320, C16321, C16322, C16323, C16324, C16325, C16326, C16327, C16328, C16330, C16331, C16332, C16334, C16335, C16336, C16338, C16339, C16341, C16342, C16343, C16344, C16345, C16346, C19757, C21923, C21924";2;"C06427, C16300";4,55;NA;0;0
"17";"Alzheimer disease";NA;NA;NA;NA;NA;NA;NA;NA;12;"C01245, C01319, C04549, C05981, C16514, C16515, C16845, C19610, C21011, C21012, C21013, C21014";0;NA;0;NA;0;0
"18";"Amino sugar and nucleotide sugar metabolism";NA;NA;NA;NA;NA;NA;NA;NA;73;"C00029, C00031, C00043, C00052, C00085, C00095, C00096, C00103, C00140, C00159, C00167, C00181, C00190, C00191, C00203, C00216, C00259, C00267, C00275, C00325, C00329, C00333, C00352, C00357, C00394, C00446, C00461, C00498, C00501, C00617, C00636, C00645, C00668, C00714, C00734, C00842, C00935, C00976, C00984, C01019, C01050, C01132, C01170, C01623, C01674, C02262, C02280, C02352, C02474, C02713, C02985, C03733, C03737, C03906, C04037, C04257, C04501, C04631, C05385, C06023, C06156, C06376, C06377, C11521, C15925, C16183, C16698, C17269, C18060, C18094, C19769, C21027, C22029";11;"C00031, C00095, C00103, C00140, C00159, C00181, C00191, C00275, C00357, C00668, C01019";15,07;NA;0;0
"19";"Aminoacyl-tRNA biosynthesis";"10/37";"20/259";0,5;3,5;4,74231375479881;7,16506282068729e-05;0,00759496658992853;0,00641084568166758;52;"C00025, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00078, C00079, C00082, C00097, C00101, C00123, C00135, C00148, C00152, C00183, C00188, C00234, C00407, C00886, C01005, C01931, C02047, C02163, C02282, C02412, C02430, C02553, C02554, C02702, C02839, C02984, C02987, C02988, C02992, C03125, C03127, C03294, C03402, C03511, C03512, C06112, C06113, C06481, C06482, C16138, C16638, C17022, C17027";20;"C00025, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00078, C00079, C00082, C00097, C00123, C00135, C00148, C00152, C00183, C00188, C00407";38,46;"C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00183/C00188/C00407";10;19,23
"20";"Aminobenzoate degradation";NA;NA;NA;NA;NA;NA;NA;NA;88;"C00090, C00108, C00146, C00156, C00180, C00196, C00230, C00261, C00292, C00472, C00512, C00530, C00568, C00632, C00633, C00755, C00870, C00877, C01108, C01144, C01424, C01502, C01983, C01984, C01987, C02137, C02183, C02222, C02235, C02247, C02372, C02720, C02734, C02814, C02949, C03198, C03360, C03590, C03671, C03824, C04434, C04484, C05165, C05616, C06206, C06317, C06335, C06337, C06604, C06605, C06606, C06607, C06608, C06672, C06673, C06674, C06675, C06676, C06719, C06813, C06876, C07103, C07301, C08063, C09814, C09815, C10833, C14418, C14602, C14604, C16200, C16234, C16235, C16267, C16268, C16272, C16273, C16281, C16283, C16285, C18338, C18345, C18347, C18348, C18349, C18351, C18625, C23074";1;"C00180";1,14;NA;0;0
"21";"Amoebiasis";"1/37";"3/259";0,333333333333333;2,33333333333333;0,946484724300046;0,371485450573316;0,615272777512055;0,519346435834406;10;"C00062, C00165, C00219, C00575, C00584, C01074, C01245, C01498, C02737, C18287";3;"C00062, C00219, C00584";30;"C00219";1;10
"22";"Amphetamine addiction";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00025, C00082, C00355, C00575, C01161, C03758";2;"C00025, C00082";33,33;NA;0;0
