"";"MetaboliteID";"Description";"term";"Metabolite";"pubchem";"Metabolite_Name";"Log2FC";"t.val";"p.val";"p.adj"
"1";"C00002";"map00190";"Oxidative phosphorylation";"ATP";"3304";NA;NA;NA;NA;NA
"2";"C00002";"map00195";"Photosynthesis";"ATP";"3304";NA;NA;NA;NA;NA
"3";"C00002";"map00230";"Purine metabolism";"ATP";"3304";NA;NA;NA;NA;NA
"4";"C00002";"map00670";"One carbon pool by folate";"ATP";"3304";NA;NA;NA;NA;NA
"5";"C00002";"map00908";"Zeatin biosynthesis";"ATP";"3304";NA;NA;NA;NA;NA
"6";"C00002";"map00998";"Biosynthesis of various antibiotics";"ATP";"3304";NA;NA;NA;NA;NA
"7";"C00002";"map01100";"Metabolic pathways";"ATP";"3304";NA;NA;NA;NA;NA
"8";"C00002";"map04611";"Platelet activation";"ATP";"3304";NA;NA;NA;NA;NA
"9";"C00002";"map04917";"Prolactin signaling pathway";"ATP";"3304";NA;NA;NA;NA;NA
"10";"C00002";"map01110";"Biosynthesis of secondary metabolites";"ATP";"3304";NA;NA;NA;NA;NA
"11";"C00002";"map03070";"Bacterial secretion system";"ATP";"3304";NA;NA;NA;NA;NA
"12";"C00002";"map04217";"Necroptosis";"ATP";"3304";NA;NA;NA;NA;NA
"13";"C00002";"map05415";"Diabetic cardiomyopathy";"ATP";"3304";NA;NA;NA;NA;NA
"14";"C00002";"map04911";"Insulin secretion";"ATP";"3304";NA;NA;NA;NA;NA
"15";"C00002";"map04066";"HIF-1 signaling pathway";"ATP";"3304";NA;NA;NA;NA;NA
"16";"C00002";"map01240";"Biosynthesis of cofactors";"ATP";"3304";NA;NA;NA;NA;NA
"17";"C00002";"map04082";"Neuroactive ligand signaling";"ATP";"3304";NA;NA;NA;NA;NA
"18";"C00002";"map05012";"Parkinson disease";"ATP";"3304";NA;NA;NA;NA;NA
"19";"C00002";"map05022";"Pathways of neurodegeneration - multiple diseases";"ATP";"3304";NA;NA;NA;NA;NA
"20";"C00002";"map04721";"Synaptic vesicle cycle";"ATP";"3304";NA;NA;NA;NA;NA
"21";"C00002";"map05410";"Hypertrophic cardiomyopathy";"ATP";"3304";NA;NA;NA;NA;NA
"22";"C00002";"map04742";"Taste transduction";"ATP";"3304";NA;NA;NA;NA;NA
"23";"C00002";"map04020";"Calcium signaling pathway";"ATP";"3304";NA;NA;NA;NA;NA
