"";"ID";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"Metabolites_in_pathway";"Count";"Metabolites_in_Pathway";"percentage_of_Pathway_detected";"cluster"
"1";"Aminoacyl-tRNA biosynthesis";"10/37";"20/259";0,5;3,5;4,74231375479881;7,16506282068729e-05;0,00759496658992853;0,00641084568166758;"C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00183/C00188/C00407";10;52;19,23;"cluster3"
"2";"Biosynthesis of secondary metabolites";"21/37";"83/259";0,253012048192771;1,7710843373494;3,47231264334012;0,000704498683759044;0,0157151306322189;0,0132650059954181;"C00016/C00065/C00073/C00079/C00082/C00123/C00135/C00137/C00148/C00158/C00183/C00188/C00208/C00255/C00385/C00407/C00417/C00721/C00751/C00864/C01762";21;2328;0,9;"cluster5"
"3";"Glucosinolate biosynthesis";"6/37";"9/259";0,666666666666667;4,66666666666667;4,5620170977321;0,000353848416823737;0,0157151306322189;0,0132650059954181;"C00073/C00079/C00082/C00123/C00183/C00407";6;77;7,79;"cluster1"
"4";"Mineral absorption";"8/37";"16/259";0,5;3,5;4,20659877466687;0,000460714154227155;0,0157151306322189;0,0132650059954181;"C00065/C00073/C00079/C00123/C00148/C00183/C00188/C00407";8;20;40;"cluster3"
"5";"Protein digestion and absorption";"10/37";"25/259";0,4;2,8;3,85805849937704;0,000741279746802777;0,0157151306322189;0,0132650059954181;"C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00183/C00188/C00407";10;40;25;"cluster3"
"6";"Central carbon metabolism in cancer";"10/37";"27/259";0,37037037037037;2,59259259259259;3,56267994324963;0,00154058142849943;0,0272169385701567;0,0229735827056933;"C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00158/C00183/C00407";10;36;27,78;"cluster1"
"7";"2-Oxocarboxylic acid metabolism";"8/37";"19/259";0,421052631578947;2,94736842105263;3,59296949953119;0,00194280664042875;0,0294196434122068;0,0248328668325479;"C00073/C00079/C00082/C00123/C00158/C00183/C00407/C00417";8;144;5,56;"cluster1"
"8";"ABC transporters";"14/37";"52/259";0,269230769230769;1,88461538461538;2,90740287077513;0,00531659023757152;0,0469632137652151;0,0396412429994367;"C00065/C00079/C00123/C00135/C00137/C00148/C00183/C00188/C00208/C00255/C00407/C00475/C01762/C01835";14;130;10,77;"cluster2"
"9";"Biosynthesis of alkaloids derived from histidine and purine";"6/37";"13/259";0,461538461538462;3,23076923076923;3,36273772440358;0,00462974885226638;0,0469632137652151;0,0396412429994367;"C00123/C00135/C00158/C00385/C00417/C01762";6;35;17,14;"cluster4"
"10";"Biosynthesis of amino acids";"11/37";"36/259";0,305555555555556;2,13888888888889;3,00064351178263;0,00526458087374121;0,0469632137652151;0,0396412429994367;"C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00158/C00183/C00188/C00407";11;126;8,73;"cluster3"
"11";"Biosynthesis of plant secondary metabolites";"13/37";"46/259";0,282608695652174;1,97826086956522;2,98111015541631;0,0047408159056127;0,0469632137652151;0,0396412429994367;"C00065/C00073/C00079/C00082/C00123/C00135/C00158/C00183/C00188/C00385/C00407/C00417/C00751";13;141;9,22;"cluster5"
"12";"Cyanoamino acid metabolism";"5/37";"9/259";0,555555555555556;3,88888888888889;3,59431650124347;0,00377274902781565;0,0469632137652151;0,0396412429994367;"C00065/C00079/C00082/C00183/C00407";5;44;11,36;"cluster6"
