"";"2-Oxocarboxylic acid metabolism";"ABC transporters";"Aminoacyl-tRNA biosynthesis";"Biosynthesis of alkaloids derived from histidine and purine";"Biosynthesis of amino acids";"Biosynthesis of plant secondary metabolites";"Biosynthesis of secondary metabolites";"Central carbon metabolism in cancer";"Cyanoamino acid metabolism";"Glucosinolate biosynthesis";"Mineral absorption";"Protein digestion and absorption"
"2-Oxocarboxylic acid metabolism";1;0,222222222222222;0,5;0,272727272727273;0,583333333333333;0,615384615384615;0,380952380952381;0,636363636363636;0,444444444444444;0,75;0,454545454545455;0,5
"ABC transporters";0,222222222222222;1;0,5;0,176470588235294;0,470588235294118;0,35;0,521739130434783;0,411764705882353;0,266666666666667;0,25;0,466666666666667;0,5
"Aminoacyl-tRNA biosynthesis";0,5;0,5;1;0,142857142857143;0,909090909090909;0,642857142857143;0,476190476190476;0,818181818181818;0,5;0,6;0,8;1
"Biosynthesis of alkaloids derived from histidine and purine";0,272727272727273;0,176470588235294;0,142857142857143;1;0,214285714285714;0,357142857142857;0,285714285714286;0,230769230769231;0;0,0909090909090909;0,0769230769230769;0,142857142857143
"Biosynthesis of amino acids";0,583333333333333;0,470588235294118;0,909090909090909;0,214285714285714;1;0,714285714285714;0,523809523809524;0,909090909090909;0,454545454545455;0,545454545454545;0,727272727272727;0,909090909090909
"Biosynthesis of plant secondary metabolites";0,615384615384615;0,35;0,642857142857143;0,357142857142857;0,714285714285714;1;0,619047619047619;0,642857142857143;0,384615384615385;0,461538461538462;0,5;0,642857142857143
"Biosynthesis of secondary metabolites";0,380952380952381;0,521739130434783;0,476190476190476;0,285714285714286;0,523809523809524;0,619047619047619;1;0,476190476190476;0,238095238095238;0,285714285714286;0,380952380952381;0,476190476190476
"Central carbon metabolism in cancer";0,636363636363636;0,411764705882353;0,818181818181818;0,230769230769231;0,909090909090909;0,642857142857143;0,476190476190476;1;0,5;0,6;0,636363636363636;0,818181818181818
"Cyanoamino acid metabolism";0,444444444444444;0,266666666666667;0,5;0;0,454545454545455;0,384615384615385;0,238095238095238;0,5;1;0,571428571428571;0,444444444444444;0,5
"Glucosinolate biosynthesis";0,75;0,25;0,6;0,0909090909090909;0,545454545454545;0,461538461538462;0,285714285714286;0,6;0,571428571428571;1;0,555555555555556;0,6
"Mineral absorption";0,454545454545455;0,466666666666667;0,8;0,0769230769230769;0,727272727272727;0,5;0,380952380952381;0,636363636363636;0,444444444444444;0,555555555555556;1;0,8
"Protein digestion and absorption";0,5;0,5;1;0,142857142857143;0,909090909090909;0,642857142857143;0,476190476190476;0,818181818181818;0,5;0,6;0,8;1
