Code,Conditions,Biological_Replicates,GrowthFactor,Outliers,valine-d8,hipppuric acid-d5,2-hydroxyglutarate,2-ketoglutarate,3-Dehydro-L-threonate,acetylcarnitine,acetylcholine,acetylornithine,aconitate,alanine,arginine,asparagine,aspartate,betaine,butyryl-carnitine,carbamoyl phosphate,carnitine,citrulline,creatine,creatinine,cystine,dihydroorotate,fumarate,gluconate,glucose,glutamate,glutamine,glycerylphosphorylcholine,glycine,histidine,hydroxyphenyllactic acid,hydroxyphenylpyruvate,hydroxyproline,hypoxanthine,isovalerylcarnitine,KMV+KIC,lactate,leucine+isoleucine,linoleic acid,lysine,malate,methionine,methylarginine,methylaspartate,myo-inositol,N-acetylaspartate,N-acetylglutamate,N-acetylneuramic acid,oleic acid,ornithine,orotate,palmitate,pantothenate,phenylalanine,phosphocholine,proline,propionylcarnitine,pyroglutamic-acid,pyruvate,serine,stearic acid,succinate,succinyladenosine,taurine,threonine,tryptophan,tyrosine,uric acid,valine,xanthine
MS51-06,HK2,1,249.2817226,Outlier_filtering_round_1,6622682287.001586,26658050745.861317,5853665424.228089,7527471564.541394,318856944285.73627,-75326821753.55699,-771919196.8442334,5825692936.653591,35327475097.26442,-12327812680.698462,-448164643027.5882,2463298120.067314,16891886113.393599,341689096116.1628,-1879327441.2808645,-335452788.73758477,-86254394431.4798,-24354821976.211666,-63071316105.21082,50354924271.45536,20785569912.625793,45102252.927599855,22691572831.321682,90092528319.92203,-10444172154.14375,41956421680.78288,-16133215978.60648,-86129036.10257022,124514231.11751945,78723623980.063385,-171185818.98711774,30946511.60458073,-17509692083.087833,9933568.87347282,-627897980.1233704,-3716602241.463515,-258240606198.97482,-59872780698.000885,-57942439.72181512,-134920004444.43956,319481688875.06323,-13775279405.38963,-7094166301.114279,41693503031.57392,-4555428539.935822,12410555145.413696,105566152.55263248,181294479.56376272,-1284900043.4485712,-29110331358.84171,183391717.219455,-867177971.0222247,1689167228.6323457,-62235960553.667755,3197837506.0594687,148608315618.4841,-1548413984.8047357,-55759582463.040184,-8773050286.704287,308629862.1229566,-784115983.9447639,-1140939871.0891497,64101493.36948045,-26300940974.605087,-15168591223.611404,-53040054773.98164,-66877648674.437294,-10941842851.841736,-28021013246.29011,3622159691.3257847
MS51-07,HK2,2,249.2817226,no,5049281743.532574,30218506574.46838,-868601575.3942189,1530912430.0615942,28673393701.28635,-67547592847.63014,-496576017.1817,2551741127.6261606,1186119567.8546586,-6454143744.995457,124885985747.9214,2212116481.547353,1216173971.112008,222640096431.77213,-1725651088.8349278,200618838.98947328,-78986754836.66919,-20311592865.700745,-12057751702.178347,35993185510.8919,-4573819744.794884,-21080482.9972008,1998071059.4265454,589183499.520678,-5028619624.652876,15413910962.16045,20105641591.19911,-4979778903.997616,5946090.445294289,79963989966.51,-165020090.00101334,-37785710.19663984,3545542157.7586107,-95308552.50954095,-248888938.3161011,-3073634444.2861533,-284483048397.33734,-58640812488.026505,-14113831.923910795,3694637940.379678,26741554548.773746,-7444471180.539031,6988128733.813481,15719674092.892714,7312929712.728005,-5683746441.585672,-49761950.3384529,-687775477.2707164,-952876539.1597285,-10324686953.773981,-77084021.43058828,-1422596268.514262,2444512083.3661976,-37037474068.073204,-352406048.52442503,61996196709.97845,-482917911.5400081,-11372947061.724617,-8525079495.24927,-859365026.5611572,-1313777621.6456864,-829605058.9104091,-80598679.40781274,74672054822.89774,-12490581856.822964,-42343649932.684975,-67048825563.617485,-16443417728.63839,-5101628034.348264,5717176779.012968
MS51-08,HK2,3,249.2817226,no,-1441406385.365082,-11561761744.990452,1108346024.8484714,3684365990.4454947,39313101752.01325,-234677799644.69583,-124297108.54948749,-630043502.2454171,-610503913.8039101,1426053214.933169,174141953767.7149,1022104506.3487697,2386511959.5319633,-24221141664.355583,-378940309.1250474,-354809141.0600828,36801597623.693436,19615311684.57498,83562457461.1413,-29584087145.775063,-4861293426.745634,-18986954.415806595,2984291976.737173,1766463381.9211853,734035324.654786,15015065646.624634,2520386231.02276,4288717655.989417,68513034.53622884,-3735227929.2185693,34013946.19022758,-5715333.673239382,-14136854480.657732,-111726193.83483528,-85280361.19713396,-2211480934.345639,-179049946510.2211,-36322079822.318436,-12615581.672115814,44899902987.32562,37018750512.03025,201034005.0103403,10125736279.792004,15032311401.82486,4445686917.274802,1195389604.3015845,129234294.40224536,174406220.73245472,-819992891.2924575,13806291633.899055,-129707766.2755702,-1777716071.6772227,4253436186.490527,-29337507442.986485,248068992.61827162,43452182821.562675,-1512424199.042421,-12995628535.603758,-9095235612.109156,177980495.30494586,-2187956793.270608,1418206886.1287057,-28964960.196444336,-11462573451.641602,-6672910201.351136,-4735406623.146227,27073048140.349026,43908796328.531906,-14803865995.795729,4193567812.1094074
MS51-09,HK2,4,249.2817226,Outlier_filtering_round_2,2563904070.0236473,-10237061776.230442,-189633550.0132567,-9097094734.637407,-67782920598.13456,218513442831.441,526295912.9105642,-456525416.075906,-406215498.01261455,-5215874227.534016,-154239029795.80392,-4269578942.005922,-2796694642.6828322,-466988404785.12866,1602911966.7021985,549923002.2001165,-9829425338.399849,9449456330.717314,-86756331746.53214,-76854565797.80908,15570158349.379692,-19578826.467237778,-5054780755.7889595,-4584014632.709254,7872466998.972409,-21840968399.830997,-16661398877.70642,-126511051.47544834,-138394033.669556,-97146881001.17952,-38320249.870490305,36348621.992890716,-251977167.79064816,109364407.35566413,416227956.8510329,7928553306.211556,561266645134.7952,135899646822.98074,18738716.291623026,-35719065763.92516,-61292460530.75885,11358383920.942343,-6524943070.977505,-21217737352.890068,-18085456373.315502,6236626744.864468,-121878694.23224321,751634309.4062458,1560318665.0926874,4506260102.645232,200398414.2955605,3168004297.581064,-11974483508.724691,112028245720.25409,-54667177.292248875,-75414860829.08322,2011076709.320792,47814816424.39841,25472901354.49395,405193307.5943964,2503923356.624134,-2779579365.7580466,90525381.55360185,-36424797633.73357,26591199850.22577,61104148706.43085,24686252589.02754,2173013730.9821954,35106820799.222305,-16970282597.653488
MS51-10,HK2,5,249.2817226,no,-6171779428.19111,-8419683053.247725,-50110899.44099755,3881816314.130315,-203574855.1650723,83711949660.88876,94577212.82062697,-1465172209.3048377,-169400156.03813764,10243964757.596304,-144788909719.83215,1035357954.109814,-805991287.9611461,268569450017.71213,501679431.25777686,-395732700.1295033,52014582551.37513,-8753175149.591787,15251625987.569185,70445467432.69319,-6135045177.839152,59646263.88024523,72417719.62524119,2228367751.267406,-3577882698.9743185,-8588008208.9541445,-5964628944.515505,817572299.483618,63934908.68803286,20918118963.888092,169326393.68127513,7152421.8769885125,10843289490.689829,97670338.9887121,-82058657.33779782,-2643437927.5797634,-97733650227.23575,-40936754512.63557,7990697.304403612,-12875475163.780016,-2467844530.045146,-4114946745.413652,-463185662.83597517,-9534248141.827623,6326839743.312694,-1748269907.5803726,42406350.168451205,-238265052.86798227,212550765.3594969,-7987864782.770293,6393373.410597952,32308042.610420458,5276535238.867908,-45653264209.19416,159004233.19840324,-30033518702.45885,-15734598.73834787,-23446240827.070267,-7852586247.135493,276191223.6618224,997811058.2921585,2190977538.5397353,19038258.05065512,-26784683737.52257,-7427707792.051433,-14025092150.59964,15289524834.240807,-29638392330.875477,-15201326769.078196,7059538006.531097
MS51-11,786-O,1,297.3423432,no,27378617229.788746,123649127346.72934,4311754839.138895,23286535748.40073,-16721754061.555693,-434945308541.13226,-183109348.9682779,7019664252.615921,-3697357869.2264,-71800945786.13498,80330827907.2278,-651479919.8870617,-14791795981.370163,270018093072.04892,-7927045517.404624,-815680.2793326207,138378789954.0767,-9912246885.497408,446531809753.85095,227350062098.25687,-6731511457.871246,70510118.93181255,-1140057590.8520198,54256205059.82975,-20830691026.067562,24284166230.377808,280425122650.807,6235850008.094973,-149148119.14194283,-62639070109.32749,-215117438.999232,-231222337.25893083,-36873165674.553215,72371879.45486437,-1734406009.9975033,4418016729.485893,-220778971708.77066,-198434354962.17572,-102160422.59040391,23235617091.82419,-16602913741.74991,-59742391033.7307,9696355879.114607,25712535751.421455,5322388836.681326,-72710978888.00967,-1273984999.106125,793330361.371939,-3553131157.7729797,-26178570280.673862,2263995076.775397,-5711821453.346414,2506395782.85308,-134265267349.48607,-4833704068.27343,-97928227341.64961,-1951259889.0488648,26771629560.901054,44698679448.69645,-8184379245.603658,-4375993563.332408,-4066115788.5421524,-64176802.30383328,39279836962.428635,-50807275727.9612,-115577693934.10841,-88783762879.8668,-5423861952.608993,-90493043142.94157,7741485522.730227
MS51-12,786-O,2,297.3423432,no,31998154621.60192,99965859879.2967,808357705.2532988,19381509727.18287,-16349278172.228416,-583665678017.5784,-998475065.2936689,7830945410.969965,-5556287401.125463,-63307331301.44773,191294103533.59192,693712299.4042485,-11527364397.591608,364480828175.9003,-9734642738.429111,-148020141.37853426,-19424926614.70907,-24565352253.532772,697476786373.1704,72163106379.49982,-8143229440.387209,85107482.7926796,-1154853982.54886,-15085995459.376938,-21659470080.361454,24597416465.427437,306759817691.4264,3276881415.222203,-59635612.57701349,55466982854.35023,-539707009.4347843,-221703124.70975953,-16176968993.407654,237198688.45409495,-1126221303.405059,295334106.2406553,-456004974601.4871,-204873258935.66464,-76386151.35598129,27578336963.961147,-17908574002.823906,-61582163919.30509,13835045688.516722,25769492926.68165,8629595352.130972,-73244159847.75761,-1557893141.0371056,85667780.66217947,-3240559969.780559,-22803944309.02571,2535886023.674429,-5475531865.873666,-7180648600.733584,-124740269493.41434,-5560230221.362714,150303897050.6454,-5146399461.112659,12988111780.554962,25645832598.527573,-7634403225.523634,-4316181080.95785,-6932310910.128688,-106473799.71363287,49809267366.84707,-43163928495.93986,-157617891997.49625,-123332232833.37479,7256437556.883013,-75383029328.47588,9096398867.738483
MS51-13,786-O,3,297.3423432,no,26220971337.090717,99972874145.04782,-235593734.4892837,19536285942.275383,-28131696536.12895,-645802166950.0077,-822951440.3192381,7816790462.939669,-5546938957.115267,-65579813147.096855,130634093211.7625,1167140180.9187138,-15732186972.697542,663344868653.4099,-7503207206.7074375,363806480.81706274,36589487473.8254,-27581114582.24378,588260074277.6102,237266524087.13852,-11533220328.817488,122254240.53608349,-2078117382.2218351,-23162747345.87308,-29955482251.75168,27829474014.229816,289828171334.64557,661332622.3548884,-284923617.09640497,-49807411776.06913,-584558456.4528322,-213757908.4905537,-32072588285.7051,105200630.50362287,-611207547.0129226,2491161602.928325,-381645937020.8168,-236506682574.57724,-92759299.71046169,-9156280541.760883,-29323132101.998817,-65076657483.564415,11380810810.010794,28943793885.78273,9177250416.573425,-73338229871.78218,-1669064500.7294827,-464312330.28069,-2452284309.381666,-25234417822.31702,2266145801.1728773,-4410773956.83106,-3831200705.0588207,-130148472985.99762,-5708779775.4060335,181279152708.17154,-3953688969.7105484,24248346752.06468,33802082586.141754,-8689850588.941452,-1056788408.817351,-6874410905.542619,-91666613.73468201,-49197548470.88181,-52494350481.43713,-164132228200.9622,-137425258140.72745,-19752159249.619026,-70856000629.45822,10534012173.128572
MS51-14,786-O,4,297.3423432,no,27882417489.229137,115689376712.03468,1115432086.9649875,17101698080.55475,-26309877624.28212,-275257639669.2507,-1272434259.700864,9126709767.093443,-4473104742.022533,-72343644289.02988,-171368346453.59805,734771618.932581,-11944297993.533787,518305347005.29456,-7784662144.514749,809397906.7125423,-20794764748.370644,-30109604804.408684,549284865222.8052,285413784573.8472,-8755100263.132666,59933495.62169864,-1749230733.9541442,-22768738213.33577,-18424467907.739086,32442732595.145134,296401344352.3963,3678351453.1525717,-8969164.548558364,-23196014434.151867,-217055533.44475597,-203138116.1405783,-6468970426.502116,85127180.3475738,-197069326.20440483,2425469757.7873845,-250813293181.6141,-232545452366.21255,-85323937.96558069,-37585584204.51422,-27006941433.22451,-66028163155.9483,1166669546.9529212,32377418765.478863,7960149730.449637,-73149551912.65988,-1962365439.962554,669638908.0021831,-3396994985.6826916,-33372511563.625008,2308777712.288706,-8901986672.926573,-5202590868.213808,-152276642701.93112,-5445428139.082597,89338673069.50139,-3672022087.7365136,2446425475.2095704,41564003684.88634,-8090662000.6237135,-7616869531.307441,-4975979970.330648,-87094417.05794914,37681188817.65161,-52787568622.633736,-168673948995.93106,-93684317877.03258,-50571960608.96293,-99291566954.59435,17821732934.039196
MS51-15,786-O,5,297.3423432,no,24806237271.24963,132343157722.05229,-1179339178.3567734,17846663766.42923,-40351828895.38095,-321374884275.4218,-1318142384.4640672,9370838052.332619,-5641199444.009073,-80445060503.78914,55036556905.38515,845590738.2993054,-16653746786.82608,758119195402.6647,-7703863979.60417,1738763542.8788052,14967459482.195683,-57070321180.54137,309825224125.45575,58028572194.04158,-10779513084.059635,110790118.16013023,-2726507007.0053163,-27572459674.001163,-22398517541.105503,37685882866.44445,307016878781.14636,-5632500815.875088,-107067900.44396152,-75712083570.01968,-333319210.10601205,-216648872.25630295,-28375676892.388985,17133615.90794339,-669940074.348311,3779729505.3489256,-336500364887.5074,-204523599593.2995,-93779267.49470517,-5423307753.986027,-42688165084.348076,-60537092503.24874,8820932202.28247,38195798441.47969,12005530981.36286,-73793869597.65306,-1718440873.1054318,-120891045.80965629,-3531887804.7852116,-27943209459.1584,2650287192.8238435,-8082350328.701555,-5234430074.518932,-132538376984.63335,-6072135620.156437,152950868158.38016,-3865681752.819172,15297926544.391487,37089901076.490585,-8300197783.473128,-6571702284.660491,-8181882678.940562,69900.42537609495,52090488738.0119,-78347949999.54652,-141735966863.38104,-141103635048.88336,35851646741.03912,-91039619845.87862,10738519804.053139
