ID,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,Metabolites_in_pathway,Count,Metabolites_in_Pathway,percentage_of_Pathway_detected
Carbohydrate digestion and absorption,5/61,5/259,1,4.245901639344262,4.060183616903167,6.368002234925378e-4,0.049178592268364775,0.04419128958646386,C00031/C00092/C00095/C00208/C01835,5,22,22.73
Starch and sucrose metabolism,6/61,7/259,0.8571428571428571,3.639344262295082,3.921813760443855,7.996519068026792e-4,0.049178592268364775,0.04419128958646386,C00031/C00092/C00095/C00103/C00208/C00721,6,37,16.22
Biosynthesis of cofactors,18/61,41/259,0.43902439024390244,1.8640543782487005,3.3407727309012656,0.0013433218549724802,0.055076196053871686,0.04949080518319664,C00016/C00051/C00065/C00078/C00082/C00099/C00103/C00127/C00158/C00250/C00255/C00275/C00328/C00668/C00864/C02477/C02483/C14152,18,329,5.47
Insulin resistance,4/61,4/259,1,4.245901639344262,3.624410968670189,0.002848843105098195,0.058401283654513,0.052478688778124644,C00031/C00092/C00095/C02571,4,17,23.53
Streptomycin biosynthesis,4/61,4/259,1,4.245901639344262,3.624410968670189,0.002848843105098195,0.058401283654513,0.052478688778124644,C00031/C00092/C00103/C00137,4,24,16.67
Ubiquinone and other terpenoid-quinone biosynthesis,4/61,4/259,1,4.245901639344262,3.624410968670189,0.002848843105098195,0.058401283654513,0.052478688778124644,C00082/C02477/C02483/C14152,4,74,5.41
Biosynthesis of nucleotide sugars,7/61,12/259,0.5833333333333334,2.476775956284153,2.9020102005366346,0.008568053549328486,0.12186196548942135,0.10950369171064821,C00095/C00103/C00137/C00270/C00275/C00357/C00668,7,191,3.66
Diabetic cardiomyopathy,5/61,7/259,0.7142857142857143,3.0327868852459017,3.020527368292162,0.008916729182152782,0.12186196548942135,0.10950369171064821,C00031/C00051/C00092/C00095/C00127,5,32,15.62
Tyrosine metabolism,5/61,7/259,0.7142857142857143,3.0327868852459017,3.020527368292162,0.008916729182152782,0.12186196548942135,0.10950369171064821,C00082/C00122/C00642/C05576/C05584,5,79,6.33
Prolactin signaling pathway,3/61,3/259,1,4.245901639344262,3.132695442858261,0.012574204050088588,0.14060246346917238,0.12634367705830638,C00031/C00082/C00092,3,11,27.27
Thyroid hormone synthesis,3/61,3/259,1,4.245901639344262,3.132695442858261,0.012574204050088588,0.14060246346917238,0.12634367705830638,C00051/C00092/C00127,3,15,20
Galactose metabolism,5/61,8/259,0.625,2.653688524590164,2.6321099131093124,0.019438866390939946,0.19924838050713445,0.17904219044286793,C00031/C00095/C00103/C00137/C00668,5,46,10.87
Amino sugar and nucleotide sugar metabolism,6/61,11/259,0.5454545454545454,2.3159463487332337,2.4708754873287786,0.023223356859348,0.21573271333828312,0.1938548130125779,C00031/C00095/C00103/C00275/C00357/C00668,6,73,8.22
Phosphotransferase system (PTS),7/61,14/259,0.5,2.122950819672131,2.3932269650461135,0.0245549429815932,0.21573271333828312,0.1938548130125779,C00031/C00092/C00095/C00208/C00275/C00357/C01094,7,57,12.28
Inositol phosphate metabolism,4/61,6/259,0.6666666666666666,2.830601092896175,2.5133400818493774,0.02885341020932847,0.23659796371649344,0.21260407522663086,C00092/C00137/C01177/C06153,4,50,8
Vitamin digestion and absorption,5/61,9/259,0.5555555555555556,2.3588342440801457,2.2985815093978736,0.03578800388666508,0.27512027987873783,0.24721976369077853,C00016/C00250/C00255/C00864/C02477,5,39,12.82
