ID,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,Metabolites_in_pathway,Count,Metabolites_in_Pathway,percentage_of_Pathway_detected
Aminoacyl-tRNA biosynthesis,10/37,20/259,0.5,3.5,4.742313754798808,7.165062820687292e-5,0.0075949665899285295,0.0064108456816675775,C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00183/C00188/C00407,10,52,19.23
Biosynthesis of secondary metabolites,21/37,83/259,0.25301204819277107,1.7710843373493976,3.472312643340123,7.04498683759044e-4,0.015715130632218875,0.01326500599541812,C00016/C00065/C00073/C00079/C00082/C00123/C00135/C00137/C00148/C00158/C00183/C00188/C00208/C00255/C00385/C00407/C00417/C00721/C00751/C00864/C01762,21,2328,0.9
Glucosinolate biosynthesis,6/37,9/259,0.6666666666666666,4.666666666666666,4.562017097732099,3.5384841682373664e-4,0.015715130632218875,0.01326500599541812,C00073/C00079/C00082/C00123/C00183/C00407,6,77,7.79
Mineral absorption,8/37,16/259,0.5,3.5,4.20659877466687,4.6071415422715463e-4,0.015715130632218875,0.01326500599541812,C00065/C00073/C00079/C00123/C00148/C00183/C00188/C00407,8,20,40
Protein digestion and absorption,10/37,25/259,0.4,2.8000000000000003,3.858058499377036,7.412797468027771e-4,0.015715130632218875,0.01326500599541812,C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00183/C00188/C00407,10,40,25
Central carbon metabolism in cancer,10/37,27/259,0.37037037037037035,2.5925925925925926,3.5626799432496323,0.0015405814284994337,0.027216938570156664,0.022973582705693316,C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00158/C00183/C00407,10,36,27.78
2-Oxocarboxylic acid metabolism,8/37,19/259,0.42105263157894735,2.9473684210526314,3.5929694995311894,0.0019428066404287485,0.02941964341220676,0.024832866832547918,C00073/C00079/C00082/C00123/C00158/C00183/C00407/C00417,8,144,5.56
ABC transporters,14/37,52/259,0.2692307692307692,1.8846153846153846,2.9074028707751274,0.005316590237571516,0.04696321376521506,0.03964124299943674,C00065/C00079/C00123/C00135/C00137/C00148/C00183/C00188/C00208/C00255/C00407/C00475/C01762/C01835,14,130,10.77
Biosynthesis of alkaloids derived from histidine and purine,6/37,13/259,0.46153846153846156,3.230769230769231,3.3627377244035777,0.004629748852266379,0.04696321376521506,0.03964124299943674,C00123/C00135/C00158/C00385/C00417/C01762,6,35,17.14
Biosynthesis of amino acids,11/37,36/259,0.3055555555555556,2.1388888888888893,3.0006435117826284,0.0052645808737412075,0.04696321376521506,0.03964124299943674,C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00158/C00183/C00188/C00407,11,126,8.73
Biosynthesis of plant secondary metabolites,13/37,46/259,0.2826086956521739,1.978260869565217,2.9811101554163124,0.0047408159056127035,0.04696321376521506,0.03964124299943674,C00065/C00073/C00079/C00082/C00123/C00135/C00158/C00183/C00188/C00385/C00407/C00417/C00751,13,141,9.22
Cyanoamino acid metabolism,5/37,9/259,0.5555555555555556,3.888888888888889,3.5943165012434717,0.0037727490278156475,0.04696321376521506,0.03964124299943674,C00065/C00079/C00082/C00183/C00407,5,44,11.36
"Valine, leucine and isoleucine biosynthesis",4/37,7/259,0.5714285714285714,4,3.278719262151,0.009096794592070735,0.07417386359688445,0.06260951743530466,C00123/C00183/C00188/C00407,4,23,17.39
Biosynthesis of various plant secondary metabolites,4/37,8/259,0.5,3.5,2.9267280454105795,0.01632022938465465,0.12213832855870559,0.10309590791946352,C00073/C00079/C00082/C00751,4,148,2.7
Metabolic pathways,36/37,222/259,0.16216216216216217,1.135135135135135,2.1705916762444604,0.01728372573943947,0.12213832855870559,0.10309590791946352,C00016/C00065/C00073/C00079/C00082/C00123/C00135/C00137/C00148/C00158/C00183/C00188/C00208/C00219/C00255/C00385/C00407/C00417/C00440/C00464/C00475/C00642/C00721/C00751/C00762/C00864/C01042/C01046/C01762/C02067/C02727/C03150/C04805/C06153/C12270/C14732,36,3165,1.14
Monobactam biosynthesis,3/37,5/259,0.6,4.2,2.944098594720134,0.02201865215817572,0.13729277228038977,0.11588764293776695,C00065/C00082/C00188,3,39,7.69
"Valine, leucine and isoleucine degradation",3/37,5/259,0.6,4.2,2.944098594720134,0.02201865215817572,0.13729277228038977,0.11588764293776695,C00123/C00183/C00407,3,42,7.14
Arachidonic acid metabolism,3/37,6/259,0.5,3.5,2.5245826955283652,0.03969016547830853,0.2003408352714621,0.16910596820331955,C00219/C04805/C14732,3,79,3.8
Biosynthesis of alkaloids derived from shikimate pathway,5/37,14/259,0.35714285714285715,2.5,2.3512914384591777,0.03447260999657087,0.2003408352714621,0.16910596820331955,C00079/C00082/C00158/C00183/C00417,5,143,3.5
D-Amino acid metabolism,6/37,19/259,0.3157894736842105,2.2105263157894735,2.233467526735604,0.03747237214792226,0.2003408352714621,0.16910596820331955,C00065/C00073/C00079/C00135/C00148/C00188,6,69,8.7
Prostate cancer,3/37,6/259,0.5,3.5,2.5245826955283652,0.03969016547830853,0.2003408352714621,0.16910596820331955,C00762/C01042/C12270,3,15,20
Caffeine metabolism,2/37,3/259,0.6666666666666666,4.666666666666666,2.602832991825126,0.05437129154439808,0.22166757321946906,0.18710768345238207,C00385/C01762,2,22,9.09
Cobalamin transport and metabolism,2/37,3/259,0.6666666666666666,4.666666666666666,2.602832991825126,0.05437129154439808,0.22166757321946906,0.18710768345238207,C00073/C00440,2,14,14.29
Phenylpropanoid biosynthesis,2/37,3/259,0.6666666666666666,4.666666666666666,2.602832991825126,0.05437129154439808,0.22166757321946906,0.18710768345238207,C00079/C00082,2,58,3.45
Riboflavin metabolism,2/37,3/259,0.6666666666666666,4.666666666666666,2.602832991825126,0.05437129154439808,0.22166757321946906,0.18710768345238207,C00016/C00255,2,24,8.33
Staurosporine biosynthesis,2/37,3/259,0.6666666666666666,4.666666666666666,2.602832991825126,0.05437129154439808,0.22166757321946906,0.18710768345238207,C00135/C00148,2,48,4.17
Biosynthesis of plant hormones,5/37,16/259,0.3125,2.1875,1.9981344179667633,0.06032936927942125,0.23684863494883898,0.19992188650100612,C00073/C00079/C00158/C00417/C00751,5,68,7.35
Phenylalanine metabolism,3/37,7/259,0.42857142857142855,3,2.185812841434,0.06263519364298686,0.23711894736273598,0.20015005487420615,C00079/C00082/C00642,3,50,6
Other carbon fixation pathways,3/37,8/259,0.375,2.625,1.9023732295168765,0.09042417219798625,0.33051593975815663,0.2789856492496854,C00158/C00417/C00440,3,42,7.14
Antifolate resistance,2/37,4/259,0.5,3.5,2.0532136456077343,0.09896547015783967,0.33839805924938726,0.28563887821447786,C00073/C00440,2,17,11.76
Inflammatory mediator regulation of TRP channels,2/37,4/259,0.5,3.5,2.0532136456077343,0.09896547015783967,0.33839805924938726,0.28563887821447786,C00219/C04805,2,32,6.25
Biosynthesis of alkaloids derived from terpenoid and polyketide,3/37,9/259,0.3333333333333333,2.333333333333333,1.6589153082662176,0.12245715146191631,0.37087023014180365,0.31304835712068835,C00158/C00417/C00751,3,48,6.25
Biosynthesis of terpenoids and steroids,3/37,9/259,0.3333333333333333,2.333333333333333,1.6589153082662176,0.12245715146191631,0.37087023014180365,0.31304835712068835,C00158/C00417/C00751,3,98,3.06
Biosynthesis of various other secondary metabolites,3/37,9/259,0.3333333333333333,2.333333333333333,1.6589153082662176,0.12245715146191631,0.37087023014180365,0.31304835712068835,C00065/C00079/C00082,3,64,4.69
Vitamin digestion and absorption,3/37,9/259,0.3333333333333333,2.333333333333333,1.6589153082662176,0.12245715146191631,0.37087023014180365,0.31304835712068835,C00016/C00255/C00864,3,39,7.69
Carbohydrate digestion and absorption,2/37,5/259,0.4,2.8000000000000003,1.6560554595300754,0.15026334882428213,0.4424420826492752,0.37346153947555505,C00208/C01835,2,22,9.09
Methane metabolism,3/37,10/259,0.3,2.1,1.445530433070064,0.1580412152842481,0.4527667248683865,0.38217648077271954,C00065/C00082/C01046,3,87,3.45
Biosynthesis of cofactors,8/37,41/259,0.1951219512195122,1.3658536585365855,1.040411901838251,0.20782750529224547,0.48954923468840045,0.4132242795284413,C00016/C00065/C00073/C00082/C00158/C00183/C00255/C00864,8,329,2.43
Biosynthesis of phenylpropanoids,3/37,11/259,0.2727272727272727,1.9090909090909087,1.2554864930818055,0.19644770987160373,0.48954923468840045,0.4132242795284413,C00079/C00158/C00417,3,106,2.83
Citrate cycle (TCA cycle),2/37,6/259,0.3333333333333333,2.333333333333333,1.3464441042817947,0.20554994049726902,0.48954923468840045,0.4132242795284413,C00158/C00417,2,20,10
