Metabolite,Log2FC,AveExpr,t.val,p.val,p.adj,top/Bottom_percentage,Significant,Cluster_ChangedMetabolites
340,-2.55351295663786e-15,-0.8606981633321321,-1.9340849628558792e-13,0.9999999999998459,0.9999999999998459,FALSE,FALSE,FALSE
C00003,-1.6832971398036483,-0.4148145634372169,-5.574461288902618,9.187925561272138e-8,2.391377885810557e-7,FALSE,TRUE,FALSE
C00004,0.14640016229173125,-1.253332725118882,1.1064332446105687,0.2700482088542769,0.3173762454576038,FALSE,FALSE,FALSE
C00009,-0.450008679905779,-0.16569677231390753,-4.807400762760445,3.264449025309992e-6,7.268499782916779e-6,FALSE,TRUE,FALSE
C00013,-0.3498393387811012,-0.7165314745226345,-1.6697252400995184,0.09675035528029868,0.12255045002171167,FALSE,FALSE,FALSE
C00016,-2.0408744812286503,-0.39478847013125057,-14.91170287462308,4.770608297805425e-33,1.0071284184255896e-31,TRUE,TRUE,TRUE
C00020,0.6302726434759485,-0.025097722747123317,3.394398936745399,8.497876817664394e-4,0.001476765178679483,FALSE,TRUE,FALSE
C00021,0.8194605877732135,0.09258632516994789,6.841553560070485,1.245831047986298e-10,4.252237708695748e-10,FALSE,TRUE,FALSE
C00025,0.5854293203545354,-0.02226708367194767,7.354052033415702,6.983316042854039e-12,2.7451656168460704e-11,TRUE,TRUE,TRUE
C00031,2.1811672491592864,-0.10360148169556702,11.235224282558223,1.983738559595423e-22,1.7667671546396737e-21,TRUE,TRUE,TRUE
C00037,-0.3231143473046985,-0.2320343089879034,-2.3849491272259797,0.018143674237761698,0.025662268773012822,FALSE,FALSE,FALSE
C00041,-0.5190203829387648,-0.17725009572694372,-3.9265557045153647,1.2351329611007782e-4,2.354601297081751e-4,FALSE,TRUE,FALSE
C00042,0.8568355717889574,-0.09032438384355079,4.456759134410536,1.47675302264621e-5,3.1060856933887074e-5,FALSE,TRUE,FALSE
C00047,-0.6058025302952743,-0.039544553464505104,-5.916246028051286,1.6776462469278407e-8,4.664674930482288e-8,FALSE,TRUE,FALSE
C00049,-1.244202589004605,-0.19787218884376215,-9.436140701047327,2.3051912053805947e-17,1.3272313000676152e-16,FALSE,TRUE,FALSE
C00051,3.3584701406509545,-1.7814219951755481,8.827875418727583,1.0434448740010857e-15,5.3103890908983825e-15,TRUE,TRUE,TRUE
C00055,0.9450001559213101,0.07646949984428075,8.4723711232707,9.284506372653197e-15,4.410140527010269e-14,TRUE,TRUE,TRUE
C00062,-0.48955476471635145,-0.0998097494831094,-4.911503928950423,2.0536998018449987e-6,4.7585727115920695e-6,FALSE,TRUE,FALSE
C00064,0.46989672438130736,0.03253563801826857,6.370049153882758,1.595511854839393e-9,4.942618245969859e-9,FALSE,TRUE,FALSE
C00065,-1.5815725220706736,-0.11424985510040166,-10.9245873670575,1.5317926957801234e-21,1.2653939660792323e-20,TRUE,TRUE,TRUE
C00072,-0.15550118488589548,-0.4466729846944069,-0.5881109234451444,0.5572113062637806,0.6084491275294156,FALSE,FALSE,FALSE
C00073,-1.0343717080459083,-0.12536365521459927,-9.654979061546806,5.734564533958511e-18,3.5529367221264693e-17,FALSE,TRUE,FALSE
C00074,-1.3292571920869547,-0.7972147810286272,-4.859128616504264,2.595212727598962e-6,5.917085018925633e-6,FALSE,TRUE,FALSE
C00077,-0.03219031339670962,0.013706896813634123,-0.1864997686823883,0.8522675336568868,0.8784674397548381,FALSE,FALSE,FALSE
C00078,-2.5241536041439163,-0.7650368419114019,-12.649438399810164,1.6580794504461673e-26,2.147966560805262e-25,TRUE,TRUE,TRUE
C00079,-0.7919088126083311,-0.18736179667642325,-8.230457506184,4.0263016058359964e-14,1.850799931714934e-13,FALSE,TRUE,FALSE
C00082,-0.9874931850384849,-0.12181634010731018,-10.095263168917644,3.398200787252188e-19,2.3621639618704234e-18,TRUE,TRUE,TRUE
C00086,-0.8743892356716372,-0.10972427892894257,-5.122735387959136,7.853790497370104e-7,1.8730797420506105e-6,FALSE,TRUE,FALSE
C00090,-0.6331449433481042,-0.6216170674116335,-4.235279317324368,3.67234182018764e-5,7.307189230360984e-5,FALSE,TRUE,FALSE
C00093,-0.44515915432156317,-0.17946996284409877,-2.786263697826712,0.00591652620797379,0.009090080696886955,FALSE,TRUE,FALSE
C00095,1.7350222051406832,0.37768240405830666,9.127848651040678,1.6089048491044247e-16,8.651658150844547e-16,TRUE,TRUE,TRUE
C00097,0.155195781854649,-0.44930870267606116,0.5714719198858412,0.5684084481166558,0.617949160773078,FALSE,FALSE,FALSE
C00099,1.8599538928194224,0.26972497705725634,9.996553586910267,6.421656612824195e-19,4.256214266639292e-18,TRUE,TRUE,TRUE
C00103,2.913232183770839,-1.6536036825970335,16.460243268231952,1.827244400089194e-37,5.207646540254203e-36,TRUE,TRUE,TRUE
C00106,-0.8630119302066497,-0.2815048439680247,-5.576828226450356,9.082376526288918e-8,2.3747498256810475e-7,FALSE,TRUE,FALSE
C00116,-0.13244724742702096,-0.10226385692409222,-0.9487945774160057,0.3440253377862361,0.39361831616453424,FALSE,FALSE,FALSE
C00121,-0.13733566346995485,-0.47088974240492915,-0.5936256672115208,0.5535242321540097,0.6055831330667668,FALSE,FALSE,FALSE
C00122,-1.7298795752352483,-0.05320105679805957,-11.939919279353377,1.8667380669377652e-24,1.9704457373231966e-23,TRUE,TRUE,TRUE
C00123,-0.7889532615884084,-0.12529266453619375,-8.218188279596427,4.3352927454060344e-14,1.9768934919051516e-13,FALSE,TRUE,FALSE
C00127,3.069488440240847,-1.152346037717613,9.626676866622523,6.868653437729904e-18,4.16503453138941e-17,TRUE,TRUE,TRUE
C00134,1.9357078361921867,-0.04471557953982734,8.091433872642263,9.280797710039934e-14,4.1008175928083425e-13,TRUE,TRUE,TRUE
C00135,-0.9763465728512408,-0.031916340998293394,-9.791904436060866,2.3901337193563347e-18,1.5137513555923453e-17,FALSE,TRUE,FALSE
C00137,-2.002030330717054,-0.33888415173894704,-10.956195185270909,1.2446964088987584e-21,1.0433484604004298e-20,TRUE,TRUE,TRUE
C00140,-0.5452157196641727,-1.2302441194602174,-2.148418887825439,0.033046674411500526,0.04517171322435323,FALSE,FALSE,FALSE
C00147,-0.09725052594540823,-0.22073171324409185,-0.4390244378643304,0.6611820244187734,0.707080213731146,FALSE,FALSE,FALSE
C00148,-1.0485849608197093,-0.07240686416548468,-11.174068981747876,2.968686553396303e-22,2.5638656597513526e-21,TRUE,TRUE,TRUE
C00149,-1.2102195068797803,-0.3635141362418076,-7.960339235940179,2.0283211074550293e-13,8.825519322514249e-13,FALSE,TRUE,FALSE
C00152,-1.4507124104687044,-0.1682396565828441,-8.603262594822688,4.1684235649191135e-15,2.0482770965550815e-14,FALSE,TRUE,FALSE
C00153,-0.2710802811293383,-0.16680756665803434,-2.549559776215579,0.011638557360530235,0.017142061228687944,FALSE,FALSE,FALSE
C00155,-0.5959603171258452,-0.9756075648654856,-2.332144668397714,0.020824156752392395,0.02923588509572331,FALSE,FALSE,FALSE
C00158,2.6477500636739824,0.3492611037195754,9.558219187669511,1.0620843212002392e-17,6.241114052413778e-17,TRUE,TRUE,TRUE
C00159,0.7195617323198622,-0.10031766767674917,3.432705982812948,7.448665156107271e-4,0.0013026152568071003,FALSE,TRUE,FALSE
C00160,-0.41670676770962134,0.025885181221005558,-6.1813478800657204,4.29811490569521e-9,1.2628481939413762e-8,FALSE,TRUE,FALSE
C00168,0.060476646674294976,-0.7490513797722962,0.9524204231770923,0.34218923485141894,0.39245043031249255,FALSE,FALSE,FALSE
C00170,0.294231509578536,-0.12529695167926042,1.769203763987151,0.0785908019576803,0.10089359710783281,FALSE,FALSE,FALSE
C00178,-0.330934081495642,-0.11406405327811196,-1.617877766672848,0.10747870186102158,0.13523810167943112,FALSE,FALSE,FALSE
C00179,0.34004638198674253,0.024739642233065295,1.9713042413468214,0.05025574626799682,0.06646351594607468,FALSE,FALSE,FALSE
C00180,-0.4227123578115517,-0.0172774188690385,-3.351279494989113,9.843589695429681e-4,0.0016849387766951706,FALSE,TRUE,FALSE
C00181,-1.1587858089778729,-0.7453954406361727,-4.358868870522122,2.2180172812527175e-5,4.5641510841662413e-5,FALSE,TRUE,FALSE
C00183,-0.86429070942425,-0.031448499323225916,-9.699874503156213,4.3057211924300314e-18,2.6969901974561734e-17,FALSE,TRUE,FALSE
C00184,0.23123051011544882,-0.8261222298669514,1.3971539281849934,0.16412525610598944,0.2007540686274978,FALSE,FALSE,FALSE
C00186,0.39560071641627487,-0.183733852444012,2.8355493209490414,0.005110313292187856,0.007915430914530104,FALSE,TRUE,FALSE
C00187,0.20787354461669133,-0.017891829697604247,2.197856666994666,0.0292638110263475,0.04029075431163786,FALSE,FALSE,FALSE
C00188,-1.3505112554036802,-0.15424744429699694,-9.155129171786792,1.3559063436305786e-16,7.431409767975286e-16,FALSE,TRUE,FALSE
C00189,-1.4195074835346504,-0.2840096749386803,-6.874746337309862,1.0371863764920072e-10,3.5614231000026757e-10,FALSE,TRUE,FALSE
C00191,-1.9219017646680179,-0.6061344219405672,-9.272313541832911,6.489916890423214e-17,3.6626263639022094e-16,FALSE,TRUE,FALSE
C00208,4.762902882156007,-1.5160893404278821,21.69238785012096,1.2756952547616725e-51,1.8178657380353835e-49,TRUE,TRUE,TRUE
