Metabolite,Metabolite_Name,Log2FC,t.val,p.val,p.adj,top_bottom_percentage,Significant,Cluster_ChangedMetabolites
C00003,nicotinamide adenine dinucleotide (NAD+),-3.556447655275595,-3.821215801652724,0.00169573112819367,0.01123914817523715,NA,FALSE,FALSE
C00004,nicotinamide adenine dinucleotide reduced (NADH),-0.7870608051362212,-1.810344544972009,0.090512013611364,0.2114419990101536,NA,FALSE,FALSE
C00009,phosphate,-1.017795810479484,-3.323716548319622,0.00468027032581089,0.02280131697189924,NA,FALSE,FALSE
C00013,pyrophosphate (PPi),-0.2388006685997249,-0.3804137369986005,0.7090222283212099,0.8824075767316367,NA,FALSE,FALSE
C00016,flavin adenine dinucleotide (FAD),-3.055121685991145,-6.387841405011559,1.276549492015592e-5,6.614847367717156e-4,TRUE,TRUE,TRUE
C00020,adenosine 5'-monophosphate (AMP),0.258483551896091,0.4280221814155232,0.6747750474779524,0.8528199047947513,NA,FALSE,FALSE
C00021,S-adenosylhomocysteine (SAH),-0.3760060546689773,-1.49305075452303,0.156355264694856,0.3138116228030561,NA,FALSE,FALSE
C00025,glutamate,-0.1252032890511764,-0.6530023787338692,0.5237323071573898,0.7187951708950163,NA,FALSE,FALSE
C00031,glucose,1.087631678884171,1.947407379716318,0.07064109870184378,0.1758315557207465,TRUE,FALSE,FALSE
C00032,heme,4.403292678650012,2.967493813624537,0.00966667634416437,0.04051474644245363,TRUE,FALSE,FALSE
C00037,glycine,-1.24093405803635,-2.737227757341017,0.01537666732100988,0.05804437333096446,NA,FALSE,FALSE
C00041,alanine,-1.481319803260298,-3.848588825996835,0.00160393843664303,0.01088386796293486,NA,FALSE,FALSE
C00042,succinate,-0.7955800759861573,-1.749901924519181,0.1007542386884136,0.2268132105914133,NA,FALSE,FALSE
C00047,lysine,-1.038273314243369,-3.440661917388737,0.00368560517725208,0.01981882029277066,NA,FALSE,FALSE
C00049,aspartate,-1.401401058545149,-3.402130696800294,0.00398749954082237,0.02047634899341217,NA,FALSE,FALSE
C00051,"glutathione, reduced (GSH)",1.568551207033655,1.909348578831188,0.07572253027342621,0.1828891621010718,NA,FALSE,FALSE
C00055,cytidine 5'-monophosphate (5'-CMP),0.1052716150021418,0.2083654376435497,0.8377733494742199,0.9597670418350503,NA,FALSE,FALSE
C00062,arginine,-0.783041010880113,-2.355124062830653,0.03269796632885224,0.1002034452013214,NA,FALSE,FALSE
C00064,glutamine,0.4891625829256642,2.641680652226499,0.01860969879095809,0.06653492856407184,TRUE,FALSE,FALSE
C00065,serine,-2.260187750694511,-4.351727804959352,5.816526552796275e-4,0.00571624161223082,TRUE,TRUE,TRUE
C00072,ascorbate (Vitamin C),-1.993851471609571,-3.660799931514008,0.00235111555725643,0.01425676454932095,NA,FALSE,FALSE
C00073,methionine,-1.577057466745866,-5.267105312843514,9.78546084517836e-5,0.00199204024348273,TRUE,TRUE,TRUE
C00074,phosphoenolpyruvate (PEP),-1.545821857880628,-2.226503597926166,0.04188664414532025,0.1188070511051338,NA,FALSE,FALSE
C00077,ornithine,-0.1567543907946984,-0.3375714172073591,0.7404085703780054,0.9023120667346918,NA,FALSE,FALSE
C00078,tryptophan,-2.288946488743263,-3.82783809363338,0.00167304774115569,0.01121926132304409,NA,FALSE,FALSE
