Metabolite,Metabolite_Name,Log2FC,t.val,p.val,p.adj,top_bottom_percentage,Significant,Cluster_ChangedMetabolites
C00003,nicotinamide adenine dinucleotide (NAD+),-1.683297139803648,-5.574461288902618,9.187925561272138e-8,2.391377885810557e-7,NA,TRUE,FALSE
C00004,nicotinamide adenine dinucleotide reduced (NADH),0.1464001622917313,1.106433244610569,0.2700482088542769,0.3173762454576038,NA,FALSE,FALSE
C00009,phosphate,-0.450008679905779,-4.807400762760445,3.264449025309992e-6,7.268499782916779e-6,NA,TRUE,FALSE
C00013,pyrophosphate (PPi),-0.3498393387811012,-1.669725240099518,0.09675035528029868,0.1225504500217117,NA,FALSE,FALSE
C00016,flavin adenine dinucleotide (FAD),-2.04087448122865,-14.91170287462308,4.770608297805425e-33,1.00712841842559e-31,TRUE,TRUE,TRUE
C00020,adenosine 5'-monophosphate (AMP),0.6302726434759485,3.394398936745399,8.497876817664394e-4,0.00147676517867948,NA,TRUE,FALSE
C00021,S-adenosylhomocysteine (SAH),0.8194605877732135,6.841553560070485,1.245831047986298e-10,4.252237708695748e-10,NA,TRUE,FALSE
C00025,glutamate,0.5854293203545354,7.354052033415702,6.983316042854039e-12,2.74516561684607e-11,NA,TRUE,FALSE
C00031,glucose,2.181167249159286,11.23522428255822,1.983738559595423e-22,1.766767154639673e-21,TRUE,TRUE,TRUE
C00032,heme,1.78770264742829,4.029594818873856,8.301482164381138e-5,1.620494806060702e-4,NA,TRUE,FALSE
C00037,glycine,-0.3231143473046985,-2.38494912722598,0.01814367423776169,0.02566226877301282,NA,FALSE,FALSE
C00041,alanine,-0.5190203829387648,-3.926555704515365,1.235132961100778e-4,2.354601297081751e-4,NA,TRUE,FALSE
C00042,succinate,0.8568355717889574,4.456759134410536,1.47675302264621e-5,3.106085693388707e-5,NA,TRUE,FALSE
C00047,lysine,-0.6058025302952743,-5.916246028051286,1.677646246927841e-8,4.664674930482288e-8,NA,TRUE,FALSE
C00049,aspartate,-1.244202589004605,-9.436140701047329,2.305191205380595e-17,1.327231300067615e-16,NA,TRUE,FALSE
C00051,"glutathione, reduced (GSH)",3.358470140650955,8.827875418727583,1.043444874001086e-15,5.310389090898382e-15,TRUE,TRUE,TRUE
C00055,cytidine 5'-monophosphate (5'-CMP),0.94500015592131,8.4723711232707,9.284506372653195e-15,4.410140527010269e-14,TRUE,TRUE,TRUE
C00062,arginine,-0.4895547647163515,-4.911503928950423,2.053699801844999e-6,4.75857271159207e-6,NA,TRUE,FALSE
C00064,glutamine,0.4698967243813074,6.370049153882758,1.595511854839393e-9,4.942618245969859e-9,NA,TRUE,FALSE
C00065,serine,-1.581572522070674,-10.9245873670575,1.531792695780123e-21,1.265393966079232e-20,TRUE,TRUE,TRUE
C00072,ascorbate (Vitamin C),-0.1555011848858955,-0.5881109234451444,0.5572113062637806,0.6084491275294156,NA,FALSE,FALSE
C00073,methionine,-1.034371708045909,-9.654979061546806,5.734564533958511e-18,3.552936722126469e-17,NA,TRUE,FALSE
C00074,phosphoenolpyruvate (PEP),-1.329257192086955,-4.859128616504264,2.595212727598962e-6,5.917085018925633e-6,NA,TRUE,FALSE
C00077,ornithine,-0.03219031339670962,-0.1864997686823883,0.8522675336568868,0.8784674397548381,NA,FALSE,FALSE
C00078,tryptophan,-2.524153604143916,-12.64943839981016,1.658079450446167e-26,2.147966560805262e-25,TRUE,TRUE,TRUE
C00079,phenylalanine,-0.7919088126083311,-8.230457506184,4.026301605835996e-14,1.850799931714934e-13,NA,TRUE,FALSE
C00082,tyrosine,-0.9874931850384848,-10.09526316891764,3.398200787252188e-19,2.362163961870423e-18,TRUE,TRUE,TRUE
C00086,urea,-0.8743892356716372,-5.122735387959136,7.853790497370104e-7,1.87307974205061e-6,NA,TRUE,FALSE
C00092,glucose-6-phosphate (G6P)_1,2.983027848673982,16.64516947264204,5.492981530092464e-38,1.647894459027739e-36,TRUE,TRUE,TRUE
C00093,glycerol 3-phosphate (G3P),-0.4451591543215632,-2.786263697826712,0.00591652620797379,0.00909008069688695,NA,TRUE,FALSE
C00095,fructose,1.735022205140683,9.127848651040678,1.608904849104425e-16,8.651658150844547e-16,TRUE,TRUE,TRUE
C00097,cysteine,0.155195781854649,0.5714719198858412,0.5684084481166558,0.617949160773078,NA,FALSE,FALSE
C00099,beta-alanine,1.859953892819422,9.996553586910268,6.421656612824195e-19,4.256214266639291e-18,TRUE,TRUE,TRUE
C00103,glucose 1-phosphate,2.913232183770839,16.46024326823195,1.827244400089194e-37,5.207646540254203e-36,TRUE,TRUE,TRUE
C00106,uracil,-0.8630119302066497,-5.576828226450356,9.082376526288918e-8,2.374749825681048e-7,NA,TRUE,FALSE
C00116,glycerol,-0.132447247427021,-0.9487945774160056,0.3440253377862361,0.3936183161645342,NA,FALSE,FALSE
C00121,ribose,-0.1373356634699548,-0.5936256672115208,0.5535242321540097,0.6055831330667668,NA,FALSE,FALSE
C00122,fumarate,-1.729879575235248,-11.93991927935338,1.866738066937765e-24,1.970445737323197e-23,TRUE,TRUE,TRUE
C00123,leucine,-0.7889532615884084,-8.218188279596427,4.335292745406034e-14,1.976893491905152e-13,NA,TRUE,FALSE
C00127,cysteine-glutathione disulfide,3.069488440240847,9.626676866622525,6.868653437729903e-18,4.16503453138941e-17,TRUE,TRUE,TRUE
C00134,putrescine,1.935707836192187,8.091433872642263,9.280797710039935e-14,4.100817592808343e-13,TRUE,TRUE,TRUE
C00135,histidine,-0.9763465728512408,-9.791904436060866,2.390133719356335e-18,1.513751355592345e-17,NA,TRUE,FALSE
C00137,myo-inositol,-2.002030330717054,-10.95619518527091,1.244696408898758e-21,1.04334846040043e-20,TRUE,TRUE,TRUE
C00140,N-acetylglucosamine,-0.5452157196641727,-2.148418887825439,0.03304667441150052,0.04517171322435323,NA,FALSE,FALSE
C00147,adenine,-0.09725052594540824,-0.4390244378643304,0.6611820244187734,0.707080213731146,NA,FALSE,FALSE
