Reagent/Resource,Reference or Source,Identifier or Catalog Number,LoadedBy_run_pipeline.sh,MetaProViz_Dependency
MetaProViz,https://github.com/saezlab/MetaProViz,GitHub; saezlab/MetaProViz 3.0.3,TRUE,FALSE
dplyr,https://dplyr.tidyverse.org,CRAN; dplyr 1.1.4,TRUE,TRUE
easyalluvial,https://github.com/erblast/easyalluvial/,CRAN; easyalluvial 0.3.2,TRUE,FALSE
ggfortify,https://github.com/sinhrks/ggfortify,CRAN; ggfortify 0.4.19,TRUE,TRUE
magrittr,https://magrittr.tidyverse.org,CRAN; magrittr 2.0.3,TRUE,TRUE
purrr,https://purrr.tidyverse.org/,CRAN; purrr 1.1.0,TRUE,TRUE
rlang,https://rlang.r-lib.org,CRAN; rlang 1.1.6,TRUE,TRUE
rmarkdown,https://github.com/rstudio/rmarkdown,CRAN; rmarkdown 2.29,TRUE,FALSE
stringr,https://stringr.tidyverse.org,CRAN; stringr 1.5.1,TRUE,TRUE
tibble,https://tibble.tidyverse.org/,CRAN; tibble 3.3.0,TRUE,TRUE
tidyr,https://tidyr.tidyverse.org,CRAN; tidyr 1.3.1,TRUE,TRUE
tidyverse,https://tidyverse.tidyverse.org,CRAN; tidyverse 2.0.0,TRUE,FALSE
R,https://www.r-project.org,R 4.4.3,FALSE,FALSE
AnnotationDbi,https://bioconductor.org/packages/AnnotationDbi,Bioconductor 3.20; AnnotationDbi 1.68.0,FALSE,FALSE
BH,https://github.com/eddelbuettel/bh,CRAN; BH 1.87.0-1,FALSE,FALSE
Biobase,https://bioconductor.org/packages/Biobase,Bioconductor 3.20; Biobase 2.66.0,FALSE,FALSE
BiocGenerics,https://bioconductor.org/packages/BiocGenerics,Bioconductor 3.20; BiocGenerics 0.52.0,FALSE,FALSE
BiocManager,https://bioconductor.github.io/BiocManager/,CRAN; BiocManager 1.30.26,FALSE,FALSE
BiocParallel,https://github.com/Bioconductor/BiocParallel,Bioconductor 3.20; BiocParallel 1.40.2,FALSE,FALSE
BiocVersion,https://bioconductor.org/packages/BiocVersion,Bioconductor 3.20; BiocVersion 3.20.0,FALSE,FALSE
