"";"KEGG";"InputID_select";"corrected_during_checkmatch";"Metabolite";"manual_correction";"correction_tbl"
"39";"C00127";"KEGG";FALSE;"cysteine-glutathione disulfide";FALSE;NA
"40";"C00127";"KEGG";FALSE;"glutathione, oxidized (GSSG)";FALSE;NA
"41";"C00127";"KEGG";FALSE;"cysteine-glutathione disulfide";FALSE;NA
"42";"C00127";"KEGG";FALSE;"glutathione, oxidized (GSSG)";FALSE;NA
"43";"C00134";"KEGG";FALSE;"putrescine";FALSE;NA
"44";"C00135";"KEGG";FALSE;"histidine";FALSE;NA
"45";"C00137";"KEGG";FALSE;"myo-inositol";FALSE;NA
"46";"C00140, C03878";"C00140";FALSE;"N-acetylglucosamine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"47";"C00147";"KEGG";FALSE;"adenine";FALSE;NA
"48";"C00148";"KEGG";FALSE;"proline";FALSE;NA
"49";"C00149";"KEGG";FALSE;"malate";FALSE;NA
"50";"C00152";"KEGG";FALSE;"asparagine";FALSE;NA
"51";"C00153";"KEGG";FALSE;"nicotinamide";FALSE;NA
"52";"C00155, C05330";"C00155";FALSE;"homocysteine";FALSE;NA
"53";"C00158";"KEGG";FALSE;"citrate";FALSE;NA
"54";"C00159, C00936";"C00159";FALSE;"mannose";TRUE;"completely_incompatible_manual_with_cas"
"55";"C00160, C03547";"C00160";FALSE;"glycolate (hydroxyacetate)";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"56";"C00160, C03547";"C03547";FALSE;"glycolate (hydroxyacetate)";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"57";"C00168";"KEGG";FALSE;"beta-hydroxypyruvate";FALSE;NA
"58";"C00170";"KEGG";FALSE;"5-methylthioadenosine (MTA)";FALSE;NA
"59";"C00178";"KEGG";FALSE;"thymine";FALSE;NA
"60";"C00179";"KEGG";FALSE;"agmatine";FALSE;NA
"61";"C00180, C00539";"C00180";FALSE;"benzoate";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"62";"C00181";"KEGG";FALSE;"xylose";FALSE;NA
"63";"C00183";"KEGG";FALSE;"valine";FALSE;NA
"64";"C00184";"KEGG";FALSE;"1,3-dihydroxyacetone";FALSE;NA
"65";"C00186";"KEGG";FALSE;"lactate";FALSE;NA
"66";"C00187";"KEGG";FALSE;"cholesterol";FALSE;NA
"67";"C00188";"KEGG";FALSE;"threonine";FALSE;NA
"68";"C00189";"KEGG";FALSE;"ethanolamine";FALSE;NA
"69";"C00191";"KEGG";FALSE;"glucuronate";FALSE;NA
"70";"C00208, C00897";"C00208";FALSE;"maltose";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"71";"C00212";"KEGG";FALSE;"adenosine";FALSE;NA
"72";"C00213";"KEGG";FALSE;"sarcosine (N-Methylglycine)";FALSE;NA
"73";"C00214";"KEGG";FALSE;"thymidine";FALSE;NA
"74";"C00219";"KEGG";FALSE;"arachidonate (20:4n6)";FALSE;NA
"75";"C00221, C00031, C00267";"C00031";TRUE;"glucose";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"76";"C00233";"KEGG";FALSE;"4-methyl-2-oxopentanoate";FALSE;NA
"77";"C00242";"KEGG";FALSE;"guanine";FALSE;NA
"78";"C00245";"KEGG";FALSE;"taurine";FALSE;NA
"79";"C00249";"KEGG";FALSE;"palmitate (16:0)";FALSE;NA
"80";"C00250";"KEGG";FALSE;"pyridoxal";FALSE;NA
"81";"C00252";"KEGG";FALSE;"valylasparagine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"82";"C00253";"KEGG";FALSE;"nicotinate";FALSE;NA
"83";"C00255";"KEGG";FALSE;"riboflavin (Vitamin B2)";FALSE;NA
"84";"C00257";"KEGG";FALSE;"gluconate";FALSE;NA
"85";"C00258, C01921";"C00258";TRUE;"glycerate";FALSE;NA
"86";"C00262";"KEGG";FALSE;"hypoxanthine";FALSE;NA
"87";"C00263";"KEGG";FALSE;"homoserine";FALSE;NA
"88";"C00270, C19910";"C00270";FALSE;"N-acetylneuraminate";TRUE;"completely_incompatible_manual_with_cas"
"89";"C00275";"KEGG";FALSE;"mannose-6-phosphate";FALSE;NA
"90";"C00294";"KEGG";FALSE;"inosine";FALSE;NA
"91";"C00296";"KEGG";FALSE;"quinate";FALSE;NA
"92";"C00299";"KEGG";FALSE;"uridine";FALSE;NA
"93";"C00300";"KEGG";FALSE;"creatine";FALSE;NA
"94";"C00309, C00508";"C00309";TRUE;"ribulose";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"95";"C00310";"KEGG";FALSE;"xylulose";FALSE;NA
"96";"C00315";"KEGG";FALSE;"spermidine";FALSE;NA
"97";"C00318";"KEGG";FALSE;"carnitine";FALSE;NA
"98";"C00319";"KEGG";FALSE;"sphingosine";FALSE;NA
"99";"C00327";"KEGG";FALSE;"citrulline";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"100";"C00328";"KEGG";FALSE;"kynurenine";FALSE;NA
"101";"C00330";"KEGG";FALSE;"2'-deoxyguanosine";FALSE;NA
"102";"C00334";"KEGG";FALSE;"gamma-aminobutyrate (GABA)";FALSE;NA
"103";"C00345";"KEGG";FALSE;"6-phosphogluconate";FALSE;NA
"104";"C00346";"KEGG";FALSE;"phosphoethanolamine";FALSE;NA
"105";"C00357";"KEGG";FALSE;"N-acetylglucosamine 6-phosphate";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"106";"C00366";"KEGG";FALSE;"urate";FALSE;NA
"107";"C00379, C01904";"C00379";TRUE;"xylitol";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"108";"C00385";"KEGG";FALSE;"xanthine";FALSE;NA
"109";"C00387";"KEGG";FALSE;"guanosine";FALSE;NA
"110";"C00388";"KEGG";FALSE;"histamine";FALSE;NA
"111";"C00392";"KEGG";FALSE;"mannitol";FALSE;NA
"112";"C00407";"KEGG";FALSE;"isoleucine";FALSE;NA
"113";"C00408";"KEGG";FALSE;"pipecolate";FALSE;NA
"114";"C00417";"KEGG";FALSE;"cis-aconitate";FALSE;NA
"115";"C00429";"KEGG";FALSE;"5,6-dihydrouracil";FALSE;NA
"116";"C00431";"KEGG";FALSE;"5-aminovalerate";FALSE;NA
"117";"C00437";"KEGG";FALSE;"N-acetylornithine";FALSE;NA
"118";"C00440";"KEGG";FALSE;"5-methyltetrahydrofolate (5MeTHF)";FALSE;NA
"119";"C00449";"KEGG";FALSE;"saccharopine";FALSE;NA
"120";"C00455";"KEGG";FALSE;"nicotinamide ribonucleotide (NMN)";FALSE;NA
"121";"C00474";"KEGG";FALSE;"ribitol";FALSE;NA
"122";"C00474, C00532, C01904";"C00474";TRUE;"arabitol";TRUE;"completely_incompatible_manual_with_cas"
"123";"C00475";"KEGG";FALSE;"cytidine";FALSE;NA
"124";"C00486";"KEGG";FALSE;"bilirubin (E,E)*";FALSE;NA
"125";"C00486";"KEGG";FALSE;"bilirubin (Z,Z)";FALSE;NA
"126";"C00486";"KEGG";FALSE;"bilirubin (E,E)*";FALSE;NA
"127";"C00486";"KEGG";FALSE;"bilirubin (Z,Z)";FALSE;NA
"128";"C00489";"KEGG";FALSE;"glutarate (pentanedioate)";FALSE;NA
"129";"C00491, C01420";"C00491";FALSE;"cystine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
