"Shapiro_p.val","786-M1A","786-M2A","786-O","HK2"
"  dihydroorotate ","0.03762049","0.75865647","0.10062177","0.31857671"
"  dihydroxyacetone phosphate ","0.4575695","0.7870908","0.4247737","0.2228414"
"  dimethylarginine  ADMA SDMA  ","0.59894515","0.89561593","0.16139566","0.08493637"
"  dTTP ","0.05732178","0.01233396","0.19299881","0.07270417"
"  FAD ","0.344790058","0.070187738","0.756593254","0.006886467"
"  fructose ","0.5549246","0.1143688","0.2496200","0.1926212"
"  fructose 1 6 bisphosphate ","0.52005119","0.04170796","0.33029356","0.05851295"
"  fructose 6 Phosphate ","0.1784841","0.6450511","0.5381643","0.8778161"
"  fumarate ","0.9998944","0.9030701","0.1178529","0.6313922"
"  GDP ","0.06552278","0.47365011","0.11666426","0.28317750"
"  GDP hexose ","0.1016200","0.7148805","0.6222026","0.3157321"
"  gluconate ","0.4624792","0.7588068","0.2164868","0.2104586"
"  glucose ","0.8518665","0.3626403","0.6700111","0.1927883"
"  glucose 1 phosphate ","0.2513503","0.1475558","0.8640755","0.4565081"
"  glucose 6 phosphate ","0.4540968","0.5425195","0.7556274","0.7112494"
"  glucuronic acid ","0.8052982","0.5592556","0.8060177","0.8641492"
"  glutamate ","0.2139569","0.6592855","0.9367109","0.6999470"
"  glutamine ","0.265752048","0.059697588","0.008842596","0.881104963"
"  glutamylcysteine ","0.09573941","0.18367057","0.04765867","0.24154649"
"  glutamylglutamate ","0.2477307","0.3380436","0.2144605","0.5509352"
"  glutamyllysine ","0.1139060","0.4603287","0.7467692","0.2337910"
"  glutamylthreonine ","0.3089557","0.9577976","0.7881793","0.6600892"
"  glutathione ","0.8062736","0.2571297","0.5202474","0.9733778"
"  glutathione oxidized ","0.9383770","0.4923242","0.8981901","0.2315966"
"  glyceraldehyde 3 phosphate ","0.06602637","0.30373286","0.99345983","0.31462649"
"  glycerol 3 phosphate ","0.8507943","0.9398876","0.3092531","0.4887252"
"  glycerophosphocholine ","0.3719047","0.7755196","0.8201486","0.5286018"
"  glycerophosphoethanolamine ","0.82177925","0.05671137","0.36782298","0.45445048"
"  glycerophosphoinositol ","0.8087360","0.1253597","0.9546778","0.6545870"
"  glycine ","0.6465836","0.3165867","0.8929127","0.7911232"
"  Gly Gly ","0.8428987","0.6684065","0.2393840","0.6098567"
"  GMP ","0.1922401","0.3438427","0.1767269","0.4764829"
"  GTP ","0.14802121","0.50218642","0.08715123","0.22863938"
"  guanosine ","0.77623057","0.78091391","0.88495007","0.01993139"
"  hexanoylcarnitine C6 ","0.56116634","0.77851483","0.03848645","0.24947763"
"  hexenoylcarnitine C6 1 ","0.005760281","0.323216953","0.728145446","0.153385580"
"  hexosamine phosphate ","0.09624764","0.21038699","0.79373299","0.83056913"
"  histidine ","0.5105665","0.9683000","0.5517583","0.8633807"
"  homoarginine ","0.9711029","0.4797366","0.2181223","0.7730378"
"  hypotaurine ","0.0168503","0.7248380","0.3161503","0.4959713"
"  hypoxanthine ","0.22124305","0.13398228","0.33500293","0.05164253"
"  IMP ","0.1997563","0.8034934","0.9308805","0.5487043"
"  indole ","0.9997548","0.2405292","0.3312798","0.5779219"
"  indole 3 lactate ","0.6013856","0.4835079","0.9132840","0.1558989"
"  inosine ","0.94100774","0.83854492","0.06414428","0.44674302"
"  isoleucine ","0.1065659","0.4772712","0.5987233","0.1756716"
"  isovalerylcarnitine ","0.7145437","0.3615904","0.1427965","0.5698562"
"  KMV ","0.9386618","0.4797618","0.7061493","0.3865873"
"  lactate ","0.7221606","0.3504412","0.8254487","0.7467319"
"  leucine ","0.98551056","0.12375725","0.05093968","0.30050552"
