Metabolite,Log2FC,AveExpr,t.val,p.val,p.adj,B,log2(DIAG-16094),log2(DIAG-16095),log2(DIAG-16104),log2(DIAG-16105),log2(DIAG-16154),log2(DIAG-16155),log2(DIAG-16174),log2(DIAG-16175),log2(DIAG-16192),log2(DIAG-16193),log2(DIAG-16272),log2(DIAG-16273),log2(DIAG-16324),log2(DIAG-16325),log2(DIAG-16348),log2(DIAG-16349)
"1,2-propanediol",-0.26874863849655645,0.01880099073731578,-0.7468440089825678,0.4668136483501484,0.6668113990476929,-6.224364315064146,-0.5347526803401813,-0.48517582007011156,0.12538396015795994,0.7450428080068793,-0.17136516900248513,-0.7076894117955741,-1.140641043666151,-0.2169406915364528,0.3096930897002368,0.5177161204615712,-0.15629748882028793,-0.9965560727080074,-0.1555420332688912,1.0411946111790962,0.7989347371521003,1.3278109363473511
1-arachidonoylglycerophosphoethanolamine*,-1.3873438663722117,0.169625082784735,-4.074115783641026,0.0010156691722889783,0.007625905042243243,-0.753005639840759,-0.3156695728232368,1.3210535566807355,-0.7327830383073206,0.8443583335395677,-0.3611754614696006,0.8262722769059475,1.0185558420744902,1.365142674360918,-1.8844766170773994,0.5033640017009183,-1.2522224916367077,1.160812433677775,-0.891602673255593,0.7207757699718966,0.22699920928440057,0.16459708092896885
4-hydroxyphenylacetate,-1.4539641839408355,-0.6022283615169838,-4.50811109482171,4.261794282539494e-4,0.005065725610878415,0.09222375817330164,-0.5307078904670091,-0.4061223162846535,-1.809332047061673,0.919482723888617,-1.809332047061673,-0.42553223195745954,-1.809332047061673,-0.0720428823149481,-1.2758526857276788,0.6710288163884457,-1.809332047061673,0.524247261587181,-1.809332047061673,-0.25138763543176745,0.21953718360383806,0.03835610775205923
4-methyl-2-oxopentanoate,0.2267582268160555,-0.9302196787037009,0.43596239066771814,0.6691323515008293,0.851578555340046,-6.41153001319279,-0.7851788892393364,-2.0327664542032617,-0.3611865801209068,-0.1438349581492616,0.16359405005636782,-2.0327664542032617,-2.0327664542032617,0.04975482022545256,-2.0327664542032617,-2.0327664542032617,0.08531859183255285,0.09673952331238408,-2.0327664542032617,-2.0327664542032617,0.46102766771572234,-0.220383905469357
"5,6-dihydrouracil",1.6498062011988701,-1.2872860629763379,2.4600624962493054,0.026645716697926564,0.08678890581610367,-3.8707283234475733,0.31445639481994886,-1.5855570135560577,-1.5849163352184918,-4.17540320340992,-0.9878890570088047,-1.0193926193556264,-0.48006765947129687,-4.17540320340992,-1.4006936336344833,-4.17540320340992,0.2962870638548457,-0.27642396465896174,0.7977841464790594,-0.8620820888292988,-0.6540246188359993,-0.6278480119764785
5-aminovalerate,0.5111206452116555,-0.7698542615471567,1.102939737611452,0.2875996636903798,0.5028583076794985,-5.900226140970313,0.19009900056584206,-1.2516693024525474,-1.7695313485766286,-1.7695313485766286,0,0.5646561928892969,0.5988053793222361,-1.7695313485766286,-1.1547789426676056,0.33094497903130116,-1.7695313485766286,-1.7695313485766286,-0.24195101204781191,-1.7695313485766286,0.03253676044996421,-0.7691231483854116
5-HETE,-2.4827235104151812,-0.42180292642290323,-4.543700148377293,3.971909449701929e-4,0.004921713883326304,0.16086976186145208,-0.11937872653938944,0.8812816768462219,-1.1650881878976715,1.514442458737616,-0.6994685703045872,-0.4411877227921658,-2.988618865312466,2.4771905625162387,-1.0497227136094431,0.45438122567743006,-2.988618865312466,1.135429799386918,-1.3058026587554632,1.41054625884743,-2.988618865312466,-0.8756136289421886
5-methyltetrahydrofolate (5MeTHF),-2.065003828793596,-1.0781210176357294,-4.358096255942964,5.743062424233287e-4,0.005716241612230822,-0.19835945578753034,-2.428068890423724,-0.31636462294759893,-2.428068890423724,0.8749102528403611,-2.428068890423724,-2.428068890423724,-2.428068890423724,0.11431238142601803,-2.428068890423724,0.012911876107401401,-2.428068890423724,0.7679056062335845,-2.428068890423724,0.44232675286363676,0.11149877670584882,0.16711381798887123
5-methylthioadenosine (MTA),-1.0010832644937186,-0.37135805105742126,-2.625074951136744,0.01923477822664398,0.06767792339004364,-3.568396013414552,-1.1229499809575645,0.7981940511162624,-2.4967611886422856,0.3106995861222472,-0.9548757994040072,-0.21317115294583244,1.0330881693321878,0.4869882145729704,-1.4548540037807636,-0.023513181334760425,-1.1607562957924646,-0.30571527851411456,-0.8180883671893471,-0.08759999396680725,0,0.06758640446553929
5-methyluridine (ribothymidine),-0.15927170038937155,-0.7286322260796825,-0.9866733543854347,0.33960054828044084,0.5556226701812073,-6.018170645782318,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,0.46590552684060516,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684,-0.8082680762743684
