Regulation Grouping,SiRCle cluster Name,Number of Features
RG1_All,Background = FALSE,151
RG1_All,Intra Significant Positive + core Not Significant_Released,2
RG1_All,Intra UP + core DOWN_Released,1
RG1_All,NA,19
RG1_All,Intra Not Significant + core Not Significant_Consumed,2
RG1_All,Intra Significant Negative + core UP_Consumed,6
RG1_All,Intra DOWN + core UP_Consumed,3
RG1_All,Intra DOWN + core DOWN_Released,1
RG1_All,Intra Significant Negative + core DOWN_Released,1
RG1_All,Intra Significant Positive + core Not Significant_Consumed,2
RG1_All,Intra Not Significant + core Not Significant_Released,3
RG1_All,Intra Not Significant + core DOWN_Released,2
RG1_All,Intra Not Significant + core UP_Consumed,4
RG1_All,Intra Significant Negative + core Not Significant_Released,1
RG1_All,Intra UP + core Not Significant_Consumed,1
RG1_All,Intra Significant Positive + core DOWN_Released,1
RG2_Significant,Background = FALSE,151
RG2_Significant,None,11
RG2_Significant,Opposite (Released DOWN),2
RG2_Significant,NA,19
RG2_Significant,Opposite (Consumed UP),9
RG2_Significant,Both_DOWN (Released),2
RG2_Significant,core_DOWN (Released),2
RG2_Significant,core_UP (Consumed),4
RG3_Change,Background = FALSE,151
RG3_Change,None,11
RG3_Change,Opposite (Released DOWN),1
RG3_Change,NA,19
RG3_Change,core_UP (Consumed),10
RG3_Change,Opposite (Consumed UP),3
RG3_Change,Both_DOWN (Released),1
RG3_Change,core_DOWN (Released),4
