"","Metabolite","Log2FC","p.adj","t.val","786-M2A_1","786-M2A_2","786-M2A_3","HK2_1","HK2_2","HK2_3","KEGG.ID","KEGGCompound","Pathway"
"1","hippuric acid-d5",0.392936159569529,0.0168006587662656,-1015108441.16461,4800921531.8512,3850001995.15967,4121917116.54986,3174566793.08852,3183656156.43242,3369292370.54595,NA,NA,NA
"2","5-methylthioadenosine (MTA)",-0.526314875030683,0.0488859056315929,7662972.899379,13849774.6890319,17797215.566637,20571401.9578077,24889721.9657186,22451269.8789895,27866319.0669055,NA,NA,"Not assigned"
"3","indole-3-lactate",-0.768063801708374,0.00619602667623176,227266.485373245,271585.347037445,394697.244082652,303583.993678209,636497.692377726,501495.180488368,513673.168051949,"C02043","Indolelactate","Not assigned"
"4","inosine",-0.036468349751047,0.998504378492764,19753.8581663325,957513.60367857,754291.128367571,603088.778532436,720560.511474193,621020.283418354,1032574.29018503,"C00294","Inosine","Purine metabolism"
"5","isoleucine",-0.194417333914452,0.219172136927639,62331606.931765,416869737.682266,486570128.34073,392777509.754383,471426303.586959,462688020.956408,549097872.029308,"C00407","L-Isoleucine","Valine, leucine and isoleucine biosynthesis"
"6","isovalerylcarnitine",1.11699310383151,0.00111838888960425,-19114773.397033,37593820.5803284,34756455.9227437,34050540.9340797,19772945.0067837,15552910.2881418,13730641.9511272,"C20826","Isovalerylcarnitine","Fatty acyl carnitines"
"7","KMV",0.155223349875478,0.926565348097423,-480600.70533671,4506073.97906535,5450921.67670418,4177396.29765607,3608601.39799091,2922241.91684098,6161746.52258358,NA,NA,"Valine, leucine and isoleucine biosynthesis"
"8","lactate",0.236899790989015,0.327986003811081,-103296476.79797,664409184.695244,734343650.827543,647624800.411436,565613262.65853,499634998.297988,671239944.583793,"C00186","(S)-Lactate","Glycolysis / Gluconeogenesis"
"9","leucine",-0.29202518320807,0.0238041278063286,108955765.748241,458276200.353811,547278036.660965,451347860.457221,577826489.665485,565122258.597873,640820646.453363,"C00123","L-Leucine","Valine, leucine and isoleucine biosynthesis"
"10","lysine",0.22411946461098,0.447786793462861,-5020138.90691089,32817102.1895216,40956258.2127437,30898195.5693605,27947112.6710902,25896511.195135,35767515.3846678,"C00047","L-Lysine","D-Amino acid metabolism"
"11","malate",-0.0353783204383689,0.984646076108324,49681812.8830411,2250045908.86198,1748657319.46694,2005013152.76488,1942335525.70403,2066498000.82527,2143928293.21362,"C00149","(S)-Malate","Citrate cycle (TCA cycle)"
"12","malonate",0.0410309581940708,0.995617107324266,-188347.85422447,7059078.92755936,6654266.61122925,6438088.12249155,5923914.18404612,6204768.62113317,7457707.29342745,"C00383","Malonate","Pyrimidine metabolism"
"13","6-phosphogluconate",0.0365792044949019,0.999675449784791,-31862.126594174,702579.237896866,2074599.11139988,1040772.92919241,1062097.48423629,1256969.53037691,1403297.88409343,"C00345","6-Phospho-D-gluconate","Pentose phosphate pathway"
"14","malonylcarnitine C3-DC",2.84576544987523,0.000128407441682854,-1259927.38142006,1607312.89245918,1475456.4076329,1307751.28603108,268840.295837811,144058.699582887,197839.446442286,NA,NA,"Fatty acyl carnitines"
"15","mesaconate",1.08172625153928,2.698852395977e-05,-18486473.7107749,33660399.9046916,33996727.498445,37471874.0693931,14966731.4712848,16371229.8397511,18331619.0291691,"C01732","Mesaconate","Citrate cycle (TCA cycle)"
"16","methionine",-0.639118965905736,0.000243529715072466,53886394.8577047,89323748.3256486,110560537.469702,90150919.5827068,144459217.69684,147126956.019558,160108216.234774,"C00073","L-Methionine","D-Amino acid metabolism"
