"","Metabolite","Log2FC","p.adj","t.val","786-O_1","786-O_2","786-O_3","HK2_1","HK2_2","HK2_3","KEGG.ID","KEGGCompound","Pathway"
"1","hippuric acid-d5",0.3667286030354,0.0252973128419401,-938464192.260559,3900419287.0874,4501256249.65582,4141232360.10534,3174566793.08852,3183656156.43242,3369292370.54595,NA,NA,NA
"2","5-methylthioadenosine (MTA)",-0.434182923178199,0.0965218870742708,6515139.09660743,19901459.8512818,17172924.0349062,18587509.7356033,24889721.9657186,22451269.8789895,27866319.0669055,NA,NA,"Not assigned"
"3","indole-3-lactate",-0.667080058356363,0.011617323162761,203826.577923497,321322.033929808,373504.365304906,345359.907912837,636497.692377726,501495.180488368,513673.168051949,"C02043","Indolelactate","Not assigned"
"4","inosine",0.40347381070469,0.254242864048362,-255371.189641317,1098816.87803455,1105250.54928701,936201.22667996,720560.511474193,621020.283418354,1032574.29018503,"C00294","Inosine","Purine metabolism"
"5","isoleucine",-0.551417979868267,0.00287992659477088,157047877.075819,332919148.408947,321555983.40815,357593433.528122,471426303.586959,462688020.956408,549097872.029308,"C00407","L-Isoleucine","Valine, leucine and isoleucine biosynthesis"
"6","isovalerylcarnitine",1.22001397160328,0.000465915365777336,-21740036.4667759,33907610.9885466,45500237.0916072,34868758.5662265,19772945.0067837,15552910.2881418,13730641.9511272,"C20826","Isovalerylcarnitine","Fatty acyl carnitines"
"7","KMV",-0.00434949857168474,0.999998358602459,12736.178718132,4119588.48887046,3717139.28372914,4817653.52866147,3608601.39799091,2922241.91684098,6161746.52258358,NA,NA,"Valine, leucine and isoleucine biosynthesis"
"8","lactate",-0.118747488037635,0.848331177374453,45735116.0910439,524545657.716116,456590467.768942,618146731.782121,565613262.65853,499634998.297988,671239944.583793,"C00186","(S)-Lactate","Glycolysis / Gluconeogenesis"
"9","leucine",-0.736465975738304,0.000175923017256885,237712350.783948,366044807.521533,339352521.447208,365235013.396135,577826489.665485,565122258.597873,640820646.453363,"C00123","L-Leucine","Valine, leucine and isoleucine biosynthesis"
"10","lysine",0.21308626049166,0.489962907128845,-4754326.6915531,33537174.5175644,33334956.7835629,37001988.024425,27947112.6710902,25896511.195135,35767515.3846678,"C00047","L-Lysine","D-Amino acid metabolism"
"11","malate",0.0198233725079468,0.997019690370266,-28375203.3838544,1860037537.43949,2184326038.8692,2193523853.58579,1942335525.70403,2066498000.82527,2143928293.21362,"C00149","(S)-Malate","Citrate cycle (TCA cycle)"
"12","malonate",-0.117624662510951,0.925298164591222,511178.997348145,6406520.53665328,7302926.55727142,4343406.0126376,5923914.18404612,6204768.62113317,7457707.29342745,"C00383","Malonate","Pyrimidine metabolism"
"13","6-phosphogluconate",-0.48438982752673,0.729754286289968,353873.66342915,982640.164622019,873279.051595826,804824.692201331,1062097.48423629,1256969.53037691,1403297.88409343,"C00345","6-Phospho-D-gluconate","Pentose phosphate pathway"
"14","malonylcarnitine C3-DC",3.39724412805181,5.134225466219e-06,-1941317.24968969,2478487.48702205,2080753.45217932,1875449.25173069,268840.295837811,144058.699582887,197839.446442286,NA,NA,"Fatty acyl carnitines"
