"","Metabolite","Log2FC","p.adj","t.val","786-M1A_1","786-M1A_2","786-M1A_3","HK2_1","HK2_2","HK2_3","KEGG.ID","KEGGCompound","Pathway"
"1","hippuric acid-d5",0.439568280528914,0.00817255814073936,-1154975231.31102,4629332172.48546,4344689204.26283,4218419637.25166,3174566793.08852,3183656156.43242,3369292370.54595,NA,NA,NA
"2","5-methylthioadenosine (MTA)",-0.502754793562382,0.0579188139359125,7376386.57556184,13481158.6312008,19505851.3809941,20091141.1727331,24889721.9657186,22451269.8789895,27866319.0669055,NA,NA,"Not assigned"
"3","indole-3-lactate",-0.790122931252602,0.00545301272593479,232172.04518036,332172.27318192,255106.897012784,367870.735182257,636497.692377726,501495.180488368,513673.168051949,"C02043","Indolelactate","Not assigned"
"4","inosine",-0.196935371749148,0.851577330209314,100979.316377388,601970.657729447,782053.264921409,687193.213294554,720560.511474193,621020.283418354,1032574.29018503,"C00294","Inosine","Purine metabolism"
"5","isoleucine",-0.273852929607823,0.0726754583153043,85478665.567964,420825940.585363,402399470.482123,403550788.801297,471426303.586959,462688020.956408,549097872.029308,"C00407","L-Isoleucine","Valine, leucine and isoleucine biosynthesis"
"6","isovalerylcarnitine",0.917047368208745,0.00634734271895343,-14524759.461134,29686277.5014396,30650177.2804057,32294320.8476093,19772945.0067837,15552910.2881418,13730641.9511272,"C20826","Isovalerylcarnitine","Fatty acyl carnitines"
"7","KMV",0.170629609583224,0.904614826419663,-531183.11190288,4479843.26838474,4751379.41049308,5054916.49424629,3608601.39799091,2922241.91684098,6161746.52258358,NA,NA,"Valine, leucine and isoleucine biosynthesis"
"8","lactate",0.301584318517404,0.158217400806517,-134576190.205448,722511109.660869,655030332.823159,762675333.672625,565613262.65853,499634998.297988,671239944.583793,"C00186","(S)-Lactate","Glycolysis / Gluconeogenesis"
"9","leucine",-0.454218845156607,0.00253269687176627,160595567.324549,453220422.093943,414935735.8368,433826534.81233,577826489.665485,565122258.597873,640820646.453363,"C00123","L-Leucine","Valine, leucine and isoleucine biosynthesis"
"10","lysine",0.400610358796088,0.0686223332047153,-9560501.06245867,39886350.9774499,37865442.3005558,40540849.1602633,27947112.6710902,25896511.195135,35767515.3846678,"C00047","L-Lysine","D-Amino acid metabolism"
"11","malate",0.0981352184211809,0.749886991615593,-144362286.042271,2246450553.70662,2279097256.03624,2060300868.12688,1942335525.70403,2066498000.82527,2143928293.21362,"C00149","(S)-Malate","Citrate cycle (TCA cycle)"
"12","malonate",0.170114297106005,0.76506455780316,-817063.372716156,7464618.00380036,8335830.92713907,6237131.28581578,5923914.18404612,6204768.62113317,7457707.29342745,"C00383","Malonate","Pyrimidine metabolism"
"13","6-phosphogluconate",-0.25077164778514,0.933998525855263,197971.782128386,972993.151204852,708391.165337192,1447065.23577943,1062097.48423629,1256969.53037691,1403297.88409343,"C00345","6-Phospho-D-gluconate","Pentose phosphate pathway"
"14","malonylcarnitine C3-DC",2.95372068562425,6.84187450932239e-05,-1373641.43349164,1555237.35140886,1690703.85145084,1485721.53947821,268840.295837811,144058.699582887,197839.446442286,NA,NA,"Fatty acyl carnitines"
"15","mesaconate",1.0261833053423,4.6900671765937e-05,-17162978.3204672,32962313.4301992,35046490.4679365,33149711.4034709,14966731.4712848,16371229.8397511,18331619.0291691,"C01732","Mesaconate","Citrate cycle (TCA cycle)"
"16","methionine",-0.896409580957315,3.75446499228937e-05,69678068.3127531,85341704.0060524,77238470.3705969,80080010.6362631,144459217.69684,147126956.019558,160108216.234774,"C00073","L-Methionine","D-Amino acid metabolism"
"17","methionine sulfoxide",-0.557836742311554,0.0127576951644488,203625.848735155,540344.834393387,422652.252671679,331069.756494905,618163.330389428,624526.573310142,662254.486065867,"C02989","L-Methionine S-oxide","Cysteine and methionine metabolism"
"18","methylhistidine",-0.325416251954221,0.00929422394489976,9276936.97071442,37231159.18393,36366459.7217444,36394319.9939399,46583952.0696402,43470293.2829456,47768504.459172,"C01152","N(pi)-Methyl-L-histidine","D-Amino acid metabolism"
"19","methylindole",-0.41401360596363,0.000149041236750858,677088.067053978,1942404.58460229,2068709.72442753,2100020.64387112,2727001.27036474,2610583.96813164,2804813.91556651,"C08313","Skatole","Not assigned"
"20","methylmalonylcarnitine C3-DC-M/succinylcarnitine C4-DC",2.41983075596891,2.04230640177272e-08,-37633130.7150988,48072053.5807925,44935138.9121833,45839626.2218384,9433121.40927787,8620480.40921706,7893824.75102285,NA,NA,"Fatty acyl carnitines"
"21","mevalonic acid 5-pyrophosphate",0.242965458603633,0.981576456248018,-50143.0842331532,426945.151154911,250935.537838237,292672.042863464,344639.669019924,168749.8486774,306733.961459827,NA,NA,"Not assigned"
"22","myo-inositol",1.66631483133742,2.24270216830913e-06,-178378822.051106,268545663.109396,260326153.685385,252414413.310404,91298077.3831913,80734385.7116407,74117300.8570355,"C00137","myo-Inositol","Not assigned"
"23","N-acetylalanine",-0.47090075276866,1.34422871927997e-05,4960398.4007668,12155345.917914,13227823.5990843,13171692.9714437,18463994.1173208,17701720.6807048,17270342.8927169,NA,NA,"D-Amino acid metabolism"
"24","acetylcarnitine",0.0653288877273992,0.995162108665335,-195101550.575113,4026448278.69868,3570693245.99185,5623335429.1972,5952979791.92545,3146657177.49308,3535535332.74386,"C02571","O-Acetylcarnitine","Fatty acyl carnitines"
"25","N-acetylarginine",-2.35807557298586,6.06412305592663e-07,2047899.20814499,495759.758981495,365378.224877081,627571.895038054,2836361.53786834,2382744.41701743,2413301.54844582,NA,NA,"D-Amino acid metabolism"
"26","N-acetylaspartate",-5.47127094176142,5.16253706450698e-14,2702822160.29044,59740236.971652,62534129.9091212,64717941.2151061,2720159706.18548,2790840268.97968,2784458813.80203,"C01042","N-Acetyl-L-aspartate","Alanine, aspartate and glutamate metabolism"
"27","N-acetylaspartylglutamate",-8.160773492755,1.88238313825195e-12,69454697.8656895,280532.735438171,231013.917012137,219096.792856035,66652639.2508767,70779240.3545924,71662857.4369057,"C12270","N-Acetylaspartylglutamate","Alanine, aspartate and glutamate metabolism"
"28","N-acetylglutamate",-1.74234804830445,2.96921517706217e-07,87416253.3185933,35141266.9439283,38525328.6479468,38128774.5876729,113806550.134577,125548527.768109,134689052.232642,"C00624","N-Acetyl-L-glutamate","D-Amino acid metabolism"
"29","N-acetylglutamine",-1.97065557881216,4.28356472514935e-09,9717672.75649471,3343030.6017575,3559252.25696908,3083467.89983953,12386088.0561012,13488000.9955734,13264679.9763757,NA,NA,"D-Amino acid metabolism"
"30","N-acetylhexosamine phosphate",0.881941615403244,0.000166748429044183,-1552454.0075489,3496236.31759262,3105008.3956935,3581823.03156172,1984740.91876083,1794547.15268423,1746417.65075608,NA,NA,"Not assigned"
"31","N-acetylhistidine",-0.313218674411079,0.709711882844514,2840435.01419312,13590209.0323805,9676938.61909988,11875646.5391063,11771706.4653155,12182687.2361777,19709705.5316729,"C02997","N-Acetyl-L-histidine","D-Amino acid metabolism"
"32","N-acetylmethionine",-1.34635878684082,1.11209587515537e-05,31982975.0373082,18857776.6974014,20133019.8096972,23204831.7875536,48502182.9805688,51448861.1231936,58193509.3028146,"C02712","N-Acetylmethionine","D-Amino acid metabolism"
"33","N-acetylneuramic acid",1.37595269376817,0.000100828168877576,-10819037.1648128,19195982.6250225,15361772.2095206,18243637.4164802,5676295.91343296,7017640.95908023,7650343.88407164,NA,NA,"Not assigned"
"34","N-acetylornithine",-0.33563674008073,0.00367408267914471,3220830.30271961,12469850.2892213,11986217.1135857,12432926.8406353,15967126.9188202,14816746.1171626,15767612.1156182,NA,NA,"D-Amino acid metabolism"
"35","acetylcholine",-0.459392829619565,0.00586492248889636,10649929.5543391,28325489.9870038,28334801.1276181,28547545.321776,43934688.8905642,37018749.223106,36204186.985745,"C01996","Acetylcholine","Glycerophospholipid metabolism"
"36","N-acetylserine",-0.772232811365188,2.49957949749469e-06,220259967.055219,296623751.195799,316857390.92044,319941118.275795,566767233.890469,524684389.024822,502750538.6424,NA,NA,"D-Amino acid metabolism"
"37","NAD",0.121362538406478,0.0881028814417573,-15513362.0423284,183877954.588569,195424606.920902,197538152.563065,178741461.880522,180892041.450975,170667124.614054,"C00003","NAD+","Oxidative phosphorylation"
"38","NADH",-0.213190432640432,0.949960770180985,218032.184403179,1466941.9992035,1183333.14077101,1457108.37132887,2634112.47049936,1015665.30951236,1111702.28450119,"C00004","NADH","Oxidative phosphorylation"
"39","NADP",-0.293705377273146,0.729639251572702,221000.532597491,1049743.54376977,867259.935390432,1019431.80601983,1154429.4636101,1396405.9994263,1048601.4199361,"C00006","NADP+","Glutathione metabolism"
"40","NADPH",0.783123859588032,0.397701619933536,-1053198.14355153,2993962.09575634,1465982.60101433,3082782.5667138,2110425.20713231,812811.863909645,1459895.76178793,"C00005","NADPH","Glutathione metabolism"
"41","N-carbamoylaspartate",-0.184392044143098,0.998475438410699,1116228.41964133,7074341.00599116,9531196.72235547,7956102.17337431,6465089.56228208,17610229.918155,3835005.68020783,"C00438","N-Carbamoyl-L-aspartate","Pyrimidine metabolism"
"42","ophthalmate",-1.19182584142621,1.35635496056885e-07,97744179.6534785,73466884.2335169,80185933.5099058,74647341.5054533,174201383.183958,182022023.638509,165309291.386845,"C21016","Ophthalmate","Cysteine and methionine metabolism"
"43","ornithine",-1.36763732330156,1.50871487070159e-06,3486232.92562407,2342915.65347541,2214386.83357953,2060132.68326483,5284326.83357157,5982562.7414356,5809244.37218483,"C00077","L-Ornithine","D-Amino acid metabolism"
"44","orotate",-1.12370538447026,0.929160207864706,48907613.2420679,33709189.1630805,45205059.3282898,45526357.2732239,35930522.7412056,191537242.876526,43695679.8730664,"C00295","Orotate","Pyrimidine metabolism"
"45","orotidine",2.55727993841424,2.93494131433647e-05,-1055256660.46784,1277741687.39665,1344742739.84767,1191216393.68771,322083291.856996,192850066.662342,132997481.009185,"C01103","Orotidine 5'-phosphate","Pyrimidine metabolism"
