"PC","VarianceExplained","CumulativeVarianceExplained","SelectedForHotelling","HotellingNPCs","PC_num","VariancePercent"
"PC1",0.403520948123395,0.403520948123395,TRUE,3,1,40.3520948123395
"PC2",0.163317215985766,0.566838164109161,TRUE,3,2,16.3317215985766
"PC3",0.121183703380205,0.688021867489366,TRUE,3,3,12.1183703380205
"PC4",0.0589084847394005,0.746930352228766,FALSE,3,4,5.89084847394005
"PC5",0.0490618983858655,0.795992250614632,FALSE,3,5,4.90618983858655
"PC6",0.0441870768568391,0.840179327471471,FALSE,3,6,4.41870768568391
"PC7",0.0264127752773656,0.866592102748837,FALSE,3,7,2.64127752773656
"PC8",0.0227535149680597,0.889345617716896,FALSE,3,8,2.27535149680597
"PC9",0.0180449404237403,0.907390558140637,FALSE,3,9,1.80449404237403
"PC10",0.0172276498029207,0.924618207943557,FALSE,3,10,1.72276498029207
"PC11",0.0134223065020485,0.938040514445606,FALSE,3,11,1.34223065020485
"PC12",0.011340023354751,0.949380537800357,FALSE,3,12,1.1340023354751
"PC13",0.00828817682916605,0.957668714629523,FALSE,3,13,0.828817682916605
"PC14",0.00667072999314081,0.964339444622664,FALSE,3,14,0.667072999314081
"PC15",0.00576267526305954,0.970102119885723,FALSE,3,15,0.576267526305954
"PC16",0.00504796136065187,0.975150081246375,FALSE,3,16,0.504796136065187
"PC17",0.00435698064723405,0.979507061893609,FALSE,3,17,0.435698064723405
"PC18",0.00364598928119334,0.983153051174802,FALSE,3,18,0.364598928119334
"PC19",0.00287583138680481,0.986028882561607,FALSE,3,19,0.287583138680481
"PC20",0.00252129837871624,0.988550180940323,FALSE,3,20,0.252129837871624
