"";"row_name";"no_ID";"Single_ID";"Multiple_IDs";"Total_IDs"
"1";"HMDB_Original";236;339;2;343
"2";"KEGG_Original";271;301;5;312
"3";"PUBCHEM_Original";120;420;37;503
"4";"HMDB_Cleaned";238;337;2;341
"5";"KEGG_Cleaned";274;298;5;309
"6";"PUBCHEM_Cleaned";121;420;36;501
"7";"HMDB_Translated";220;352;5;364
"8";"KEGG_Translated";269;303;5;314
"9";"PUBCHEM_Translated";105;435;37;518
"10";"HMDB_Traverse";90;300;187;816
"11";"KEGG_Traverse";251;291;35;366
"12";"PUBCHEM_Traverse";65;347;165;808
"13";"CHEBI_Traverse";132;198;247;842
"14";"HMDB_addEquivalent";90;288;199;830
"15";"KEGG_addEquivalent";251;291;35;366
"16";"PUBCHEM_addEquivalent";65;331;181;845
"17";"CHEBI_addEquivalent";132;196;249;899
