Metabolite,bartlett p.val,Var homogeneity
2-hydroxyglutarate,0.3031518203037714,TRUE
2-ketoglutarate,0.005916098468711977,FALSE
3-Dehydro-L-threonate,0.01620760247211721,FALSE
acetylcarnitine,0.1556453073565121,TRUE
acetylcholine,0.798471247880659,TRUE
acetylornithine,0.010533346598594626,FALSE
aconitate,0.24516027290247636,TRUE
alanine,0.07553669400721306,TRUE
arginine,0.21439431439466666,TRUE
asparagine,0.010695932129062119,FALSE
aspartate,0.8760550859698393,TRUE
betaine,0.4352060847245852,TRUE
butyryl-carnitine,0.5850169593595849,TRUE
carbamoyl phosphate,0.7684256429080637,TRUE
carnitine,0.13856511074044314,TRUE
citrulline,0.905795730370109,TRUE
creatine,0.19355428321848414,TRUE
creatinine,0.11396354142847155,TRUE
cystine,0.009101611455331643,FALSE
dihydroorotate,0.7542939606364847,TRUE
fumarate,0.009981445593521373,FALSE
gluconate,9.227444979191647e-6,FALSE
glucose,0.2067743983548768,TRUE
glutamate,0.02417205094728892,FALSE
glutamine,0.01021375322734627,FALSE
glycerylphosphorylcholine,0.4414517659476772,TRUE
glycine,0.16083694435582543,TRUE
histidine,0.5617456846343055,TRUE
hydroxyphenyllactic acid,0.5379765131185895,TRUE
hydroxyphenylpyruvate,0.026949892544358815,FALSE
hydroxyproline,0.17955411455102194,TRUE
hypoxanthine,0.32013125196884773,TRUE
isovalerylcarnitine,0.17213135586563397,TRUE
KMV+KIC,6.785547430974655e-6,FALSE
lactate,0.0026750100855229123,FALSE
leucine+isoleucine,6.152351411348211e-4,FALSE
linoleic acid,0.52948562912856,TRUE
lysine,0.6263910052518832,TRUE
malate,0.04678185230406095,FALSE
methionine,0.4345331573407134,TRUE
methylarginine,0.13829113445999228,TRUE
methylaspartate,0.01592399199303395,FALSE
myo-inositol,6.018650855490121e-4,FALSE
N-acetylaspartate,5.529756113050013e-11,FALSE
N-acetylglutamate,0.375545490208223,TRUE
N-acetylneuramic acid,0.21719490337292258,TRUE
oleic acid,0.0027157282891050005,FALSE
ornithine,0.5948818830218233,TRUE
orotate,0.672016805066433,TRUE
palmitate,0.39356138740763263,TRUE
pantothenate,0.04058329750492535,FALSE
phenylalanine,6.464764663541558e-4,FALSE
phosphocholine,0.8849729927423536,TRUE
proline,0.22688920048847538,TRUE
propionylcarnitine,0.8119687984804627,TRUE
pyroglutamic-acid,0.11027682980424629,TRUE
pyruvate,1.6534577093732958e-4,FALSE
serine,0.22818475036637167,TRUE
stearic acid,0.0605922602884854,TRUE
succinate,0.4558614560218632,TRUE
succinyladenosine,0.28749992275795216,TRUE
taurine,0.38403613366068806,TRUE
threonine,0.631598864221603,TRUE
tryptophan,0.06678904999995233,TRUE
tyrosine,0.34150615984309995,TRUE
uric acid,0.05351682034885476,TRUE
valine,0.70402830753424,TRUE
xanthine,0.028358181166214663,FALSE
