HMDB,Pathway,PotentialAdditionalIDs,AllIDs
HMDB0000001,Amino acid metabolism,"HMDB0000479, HMDB0004935, HMDB0006703, HMDB0006704","HMDB0000001,HMDB0000479,HMDB0004935,HMDB0006703,HMDB0006704"
HMDB0000014,Pyrimidine metabolism,NA,HMDB0000014
HMDB0000033,Not assigned,NA,HMDB0000033
HMDB0000043,Not assigned,HMDB0059606,"HMDB0000043,HMDB0059606"
HMDB0000045,Purine metabolism,NA,HMDB0000045
HMDB0000050,Purine metabolism,"HMDB0004401, HMDB0004402, HMDB0004421","HMDB0000050,HMDB0004401,HMDB0004402,HMDB0004421"
HMDB0000052,"Alanine, aspartate and glutamate metabolism",HMDB0001006,"HMDB0000052,HMDB0001006"
HMDB0000056,Pyrimidine metabolism,NA,HMDB0000056
HMDB0000058,Purine metabolism,NA,HMDB0000058
HMDB0000064,Arginine and proline metabolism,NA,HMDB0000064
HMDB0000072,Citrate cycle (TCA cycle),HMDB0000461,"HMDB0000072,HMDB0000461"
HMDB0000078,Glutathione metabolism,HMDB0028775,"HMDB0000078,HMDB0028775"
HMDB0000082,Pyrimidine metabolism,NA,HMDB0000082
HMDB0000086,Glycerophospholipid metabolism,HMDB0000049,"HMDB0000086,HMDB0000049"
HMDB0000089,Pyrimidine metabolism,NA,HMDB0000089
HMDB0000094,Citrate cycle (TCA cycle),NA,HMDB0000094
HMDB0000095,Pyrimidine metabolism,NA,HMDB0000095
HMDB0000097,Glycerophospholipid metabolism,NA,HMDB0000097
HMDB0000099,Cysteine and methionine metabolism,HMDB0003614,"HMDB0000099,HMDB0003614"
HMDB0000101,Purine metabolism,"HMDB0005778, HMDB0011722","HMDB0000101,HMDB0005778,HMDB0011722"
HMDB0000114,Glycerophospholipid metabolism,NA,HMDB0000114
HMDB0000123,Amino acid metabolism,NA,HMDB0000123
HMDB0000124,Not assigned,NA,HMDB0000124
HMDB0000125,Glutathione metabolism,"HMDB0001463, HMDB0006960","HMDB0000125,HMDB0001463,HMDB0006960"
HMDB0000126,Glycerophospholipid metabolism,HMDB0002722,"HMDB0000126,HMDB0002722"
HMDB0000127,Not assigned,NA,HMDB0000127
HMDB0000133,Purine metabolism,NA,HMDB0000133
HMDB0000134,Citrate cycle (TCA cycle),NA,HMDB0000134
HMDB0000148,Amino acid metabolism,HMDB0003339,"HMDB0000148,HMDB0003339"
HMDB0000156,Citrate cycle (TCA cycle),HMDB0000744,"HMDB0000156,HMDB0000744"
HMDB0000157,Purine metabolism,NA,HMDB0000157
HMDB0000158,Amino acid metabolism,HMDB0000647,"HMDB0000158,HMDB0000647"
HMDB0000159,Amino acid metabolism,HMDB0000612,"HMDB0000159,HMDB0000612"
HMDB0000161,Amino acid metabolism,HMDB0001310,"HMDB0000161,HMDB0001310"
HMDB0000162,Amino acid metabolism,HMDB0003411,"HMDB0000162,HMDB0003411"
HMDB0000167,Amino acid metabolism,HMDB0004041,"HMDB0000167,HMDB0004041"
HMDB0000168,Amino acid metabolism,HMDB0033780,"HMDB0000168,HMDB0033780"
HMDB0000172,"Valine, leucine and isoleucine biosynthesis",HMDB0000557,"HMDB0000172,HMDB0000557"
HMDB0000175,Purine metabolism,NA,HMDB0000175
