"Code","Conditions","Metabolite","Abundance","Pathway","core_HK2","core_786-O","core_786-M1A"
"MS51-07","HK2","2-hydroxyglutarate",-868601575.394219,"Citrate cycle (TCA cycle)","Consumed","Released","Released"
"MS51-07","HK2","2-ketoglutarate",1530912430.06159,"Citrate cycle (TCA cycle)","Consumed","Released","Released"
"MS51-07","HK2","3-Dehydro-L-threonate",28673393701.2864,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-07","HK2","acetylcarnitine",-67547592847.6301,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-07","HK2","acetylcholine",-496576017.1817,"Glycerophospholipid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","acetylornithine",2551741127.62616,"Arginine and proline metabolism","Consumed","Released","Released"
"MS51-07","HK2","aconitate",1186119567.85466,"Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed"
"MS51-07","HK2","alanine",-6454143744.99546,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","arginine",124885985747.921,"Amino acid metabolism","Released","Released","Released"
"MS51-07","HK2","asparagine",2212116481.54735,"Amino acid metabolism","Released","Released","Released"
"MS51-07","HK2","aspartate",1216173971.11201,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-07","HK2","betaine",222640096431.772,"Not assigned","Released","Released","Released"
"MS51-07","HK2","butyryl-carnitine",-1725651088.83493,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-07","HK2","carbamoyl phosphate",200618838.989473,"Purine metabolism","Released","Released","Released"
"MS51-07","HK2","carnitine",-78986754836.6692,"Fatty acyl carnitines","Consumed","Released","Consumed"
"MS51-07","HK2","citrulline",-20311592865.7007,"Arginine and proline metabolism","Consumed","Consumed","Consumed"
"MS51-07","HK2","creatine",-12057751702.1784,NA,NA,NA,NA
"MS51-07","HK2","creatinine",35993185510.8919,"Arginine and proline metabolism","Released","Released","Released"
"MS51-07","HK2","cystine",-4573819744.79488,"Cysteine and methionine metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","dihydroorotate",-21080482.9972008,"Pyrimidine metabolism","Released","Released","Released"
"MS51-07","HK2","fumarate",1998071059.42655,"Citrate cycle (TCA cycle)","Released","Consumed","Released"
"MS51-07","HK2","gluconate",589183499.520678,"Pentose phosphate pathway","Released","Consumed","Consumed"
"MS51-07","HK2","glucose",-5028619624.65288,"Glycolysis / Gluconeogenesis","Released","Consumed","Consumed"
"MS51-07","HK2","glutamate",15413910962.1604,"Amino acid metabolism","Consumed","Released","Released"
"MS51-07","HK2","glutamine",20105641591.1991,"Amino acid metabolism","Consumed","Released","Released"
"MS51-07","HK2","glycerylphosphorylcholine",-4979778903.99762,"Not assigned","Consumed","Released","Consumed"
"MS51-07","HK2","glycine",5946090.44529429,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-07","HK2","histidine",79963989966.51,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-07","HK2","hydroxyphenyllactic acid",-165020090.001013,"Not assigned","Consumed","Consumed","Consumed"
"MS51-07","HK2","hydroxyphenylpyruvate",-37785710.1966398,"Not assigned","Released","Consumed","Consumed"
"MS51-07","HK2","hydroxyproline",3545542157.75861,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","hypoxanthine",-95308552.509541,"Purine metabolism","Released","Released","Consumed"
"MS51-07","HK2","isovalerylcarnitine",-248888938.316101,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-07","HK2","KMV+KIC",-3073634444.28615,"Valine, leucine and isoleucine biosynthesis","Released","Released","Consumed"
"MS51-07","HK2","lactate",-284483048397.337,"Glycolysis / Gluconeogenesis","Released","Consumed","Released"
"MS51-07","HK2","leucine+isoleucine",-58640812488.0265,"Valine, leucine and isoleucine biosynthesis","Released","Consumed","Consumed"
"MS51-07","HK2","linoleic acid",-14113831.9239108,"Fatty acid biosynthesis","Released","Consumed","Consumed"
"MS51-07","HK2","lysine",3694637940.37968,"Amino acid metabolism","Released","Consumed","Released"
"MS51-07","HK2","malate",26741554548.7737,"Citrate cycle (TCA cycle)","Released","Consumed","Consumed"
"MS51-07","HK2","methionine",-7444471180.53903,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","methylarginine",6988128733.81348,"Amino acid metabolism","Released","Released","Released"
"MS51-07","HK2","methylaspartate",15719674092.8927,"Not assigned","Consumed","Released","Released"
"MS51-07","HK2","myo-inositol",7312929712.72801,"Not assigned","Consumed","Released","Released"
"MS51-07","HK2","N-acetylaspartate",-5683746441.58567,"Alanine, aspartate and glutamate metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","N-acetylglutamate",-49761950.3384529,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","N-acetylneuramic acid",-687775477.270716,"Not assigned","Released","Released","Consumed"
"MS51-07","HK2","oleic acid",-952876539.159728,"Not assigned","Consumed","Consumed","Consumed"
"MS51-07","HK2","ornithine",-10324686953.774,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","orotate",-77084021.4305883,"Pyrimidine metabolism","Consumed","Released","Released"
"MS51-07","HK2","palmitate",-1422596268.51426,"Fatty acid biosynthesis","Consumed","Consumed","Consumed"
"MS51-07","HK2","pantothenate",2444512083.3662,"Vitamin digestion and absorption","Consumed","Consumed","Consumed"
"MS51-07","HK2","phenylalanine",-37037474068.0732,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","phosphocholine",-352406048.524425,"Not assigned","Released","Consumed","Consumed"
"MS51-07","HK2","proline",61996196709.9784,"Amino acid metabolism","Consumed","Released","Released"
"MS51-07","HK2","propionylcarnitine",-482917911.540008,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-07","HK2","pyroglutamic-acid",-11372947061.7246,"Glutathione metabolism","Consumed","Released","Consumed"
"MS51-07","HK2","pyruvate",-8525079495.24927,"Glycolysis / Gluconeogenesis","Released","Released","Released"
"MS51-07","HK2","serine",-859365026.561157,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","stearic acid",-1313777621.64569,"Fatty acid biosynthesis","Consumed","Consumed","Consumed"
"MS51-07","HK2","succinate",-829605058.910409,"Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed"
"MS51-07","HK2","succinyladenosine",-80598679.4078127,"Not assigned","Consumed","Consumed","Consumed"
"MS51-07","HK2","taurine",74672054822.8977,"Not assigned","Consumed","Released","Consumed"
"MS51-07","HK2","threonine",-12490581856.823,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","tryptophan",-42343649932.685,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","tyrosine",-67048825563.6175,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-07","HK2","uric acid",-16443417728.6384,"Purine metabolism","Released","Consumed","Consumed"
"MS51-07","HK2","valine",-5101628034.34826,"Valine, leucine and isoleucine biosynthesis","Released","Consumed","Consumed"
"MS51-07","HK2","xanthine",5717176779.01297,"Purine metabolism","Consumed","Released","Released"
"MS51-08","HK2","2-hydroxyglutarate",1108346024.84847,"Citrate cycle (TCA cycle)","Consumed","Released","Released"
"MS51-08","HK2","2-ketoglutarate",3684365990.44549,"Citrate cycle (TCA cycle)","Consumed","Released","Released"
"MS51-08","HK2","3-Dehydro-L-threonate",39313101752.0133,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-08","HK2","acetylcarnitine",-234677799644.696,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-08","HK2","acetylcholine",-124297108.549488,"Glycerophospholipid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","acetylornithine",-630043502.245417,"Arginine and proline metabolism","Consumed","Released","Released"
"MS51-08","HK2","aconitate",-610503913.80391,"Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed"
"MS51-08","HK2","alanine",1426053214.93317,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","arginine",174141953767.715,"Amino acid metabolism","Released","Released","Released"
"MS51-08","HK2","asparagine",1022104506.34877,"Amino acid metabolism","Released","Released","Released"
"MS51-08","HK2","aspartate",2386511959.53196,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-08","HK2","betaine",-24221141664.3556,"Not assigned","Released","Released","Released"
"MS51-08","HK2","butyryl-carnitine",-378940309.125047,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-08","HK2","carbamoyl phosphate",-354809141.060083,"Purine metabolism","Released","Released","Released"
"MS51-08","HK2","carnitine",36801597623.6934,"Fatty acyl carnitines","Consumed","Released","Consumed"
"MS51-08","HK2","citrulline",19615311684.575,"Arginine and proline metabolism","Consumed","Consumed","Consumed"
"MS51-08","HK2","creatine",83562457461.1413,NA,NA,NA,NA
"MS51-08","HK2","creatinine",-29584087145.7751,"Arginine and proline metabolism","Released","Released","Released"
"MS51-08","HK2","cystine",-4861293426.74563,"Cysteine and methionine metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","dihydroorotate",-18986954.4158066,"Pyrimidine metabolism","Released","Released","Released"
"MS51-08","HK2","fumarate",2984291976.73717,"Citrate cycle (TCA cycle)","Released","Consumed","Released"
"MS51-08","HK2","gluconate",1766463381.92119,"Pentose phosphate pathway","Released","Consumed","Consumed"
"MS51-08","HK2","glucose",734035324.654786,"Glycolysis / Gluconeogenesis","Released","Consumed","Consumed"
"MS51-08","HK2","glutamate",15015065646.6246,"Amino acid metabolism","Consumed","Released","Released"
"MS51-08","HK2","glutamine",2520386231.02276,"Amino acid metabolism","Consumed","Released","Released"
"MS51-08","HK2","glycerylphosphorylcholine",4288717655.98942,"Not assigned","Consumed","Released","Consumed"
"MS51-08","HK2","glycine",68513034.5362288,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-08","HK2","histidine",-3735227929.21857,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-08","HK2","hydroxyphenyllactic acid",34013946.1902276,"Not assigned","Consumed","Consumed","Consumed"
"MS51-08","HK2","hydroxyphenylpyruvate",-5715333.67323938,"Not assigned","Released","Consumed","Consumed"
"MS51-08","HK2","hydroxyproline",-14136854480.6577,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","hypoxanthine",-111726193.834835,"Purine metabolism","Released","Released","Consumed"
"MS51-08","HK2","isovalerylcarnitine",-85280361.197134,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-08","HK2","KMV+KIC",-2211480934.34564,"Valine, leucine and isoleucine biosynthesis","Released","Released","Consumed"
"MS51-08","HK2","lactate",-179049946510.221,"Glycolysis / Gluconeogenesis","Released","Consumed","Released"
"MS51-08","HK2","leucine+isoleucine",-36322079822.3184,"Valine, leucine and isoleucine biosynthesis","Released","Consumed","Consumed"
"MS51-08","HK2","linoleic acid",-12615581.6721158,"Fatty acid biosynthesis","Released","Consumed","Consumed"
"MS51-08","HK2","lysine",44899902987.3256,"Amino acid metabolism","Released","Consumed","Released"
"MS51-08","HK2","malate",37018750512.0303,"Citrate cycle (TCA cycle)","Released","Consumed","Consumed"
"MS51-08","HK2","methionine",201034005.01034,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","methylarginine",10125736279.792,"Amino acid metabolism","Released","Released","Released"
"MS51-08","HK2","methylaspartate",15032311401.8249,"Not assigned","Consumed","Released","Released"
"MS51-08","HK2","myo-inositol",4445686917.2748,"Not assigned","Consumed","Released","Released"
"MS51-08","HK2","N-acetylaspartate",1195389604.30158,"Alanine, aspartate and glutamate metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","N-acetylglutamate",129234294.402245,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","N-acetylneuramic acid",174406220.732455,"Not assigned","Released","Released","Consumed"
"MS51-08","HK2","oleic acid",-819992891.292457,"Not assigned","Consumed","Consumed","Consumed"
"MS51-08","HK2","ornithine",13806291633.8991,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","orotate",-129707766.27557,"Pyrimidine metabolism","Consumed","Released","Released"
"MS51-08","HK2","palmitate",-1777716071.67722,"Fatty acid biosynthesis","Consumed","Consumed","Consumed"
"MS51-08","HK2","pantothenate",4253436186.49053,"Vitamin digestion and absorption","Consumed","Consumed","Consumed"
"MS51-08","HK2","phenylalanine",-29337507442.9865,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","phosphocholine",248068992.618272,"Not assigned","Released","Consumed","Consumed"
"MS51-08","HK2","proline",43452182821.5627,"Amino acid metabolism","Consumed","Released","Released"
"MS51-08","HK2","propionylcarnitine",-1512424199.04242,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-08","HK2","pyroglutamic-acid",-12995628535.6038,"Glutathione metabolism","Consumed","Released","Consumed"
"MS51-08","HK2","pyruvate",-9095235612.10916,"Glycolysis / Gluconeogenesis","Released","Released","Released"
"MS51-08","HK2","serine",177980495.304946,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","stearic acid",-2187956793.27061,"Fatty acid biosynthesis","Consumed","Consumed","Consumed"
"MS51-08","HK2","succinate",1418206886.12871,"Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed"
"MS51-08","HK2","succinyladenosine",-28964960.1964443,"Not assigned","Consumed","Consumed","Consumed"
"MS51-08","HK2","taurine",-11462573451.6416,"Not assigned","Consumed","Released","Consumed"
"MS51-08","HK2","threonine",-6672910201.35114,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","tryptophan",-4735406623.14623,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","tyrosine",27073048140.349,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-08","HK2","uric acid",43908796328.5319,"Purine metabolism","Released","Consumed","Consumed"
"MS51-08","HK2","valine",-14803865995.7957,"Valine, leucine and isoleucine biosynthesis","Released","Consumed","Consumed"
"MS51-08","HK2","xanthine",4193567812.10941,"Purine metabolism","Consumed","Released","Released"
"MS51-09","HK2","2-hydroxyglutarate",-189633550.013257,"Citrate cycle (TCA cycle)","Consumed","Released","Released"
"MS51-09","HK2","2-ketoglutarate",-9097094734.63741,"Citrate cycle (TCA cycle)","Consumed","Released","Released"
"MS51-09","HK2","3-Dehydro-L-threonate",-67782920598.1346,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-09","HK2","acetylcarnitine",218513442831.441,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-09","HK2","acetylcholine",526295912.910564,"Glycerophospholipid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","acetylornithine",-456525416.075906,"Arginine and proline metabolism","Consumed","Released","Released"
"MS51-09","HK2","aconitate",-406215498.012614,"Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed"
"MS51-09","HK2","alanine",-5215874227.53402,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","arginine",-154239029795.804,"Amino acid metabolism","Released","Released","Released"
