"Metabolite","Log2(Distance)","p.adj","t.val","Mean_786-O","core_786-O","Mean_HK2","core_HK2","core_specific","core","MS51-11","MS51-12","MS51-13","MS51-14","MS51-15","MS51-07","MS51-08","MS51-09","MS51-10","HMDB","KEGG.ID","KEGGCompound","Pathway"
"2-hydroxyglutarate",29.8446409900491,0.99284511597581,-964122343.702226,964122343.702225,"Released",-4.41446900367737e-07,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",4311754839.1389,808357705.253299,-235593734.489284,1115432086.96499,-1179339178.35677,-868601575.394219,1108346024.84847,-189633550.013257,-50110899.4409975,"HMDB0059655","C02630","2-Hydroxyglutarate","Citrate cycle (TCA cycle)"
"2-ketoglutarate",34.1776068447117,2.56858877500932e-08,-19430538652.9686,19430538652.9686,"Released",-8.94069671630859e-07,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",23286535748.4007,19381509727.1829,19536285942.2754,17101698080.5548,17846663766.4292,1530912430.06159,3684365990.44549,-9097094734.63741,3881816314.13031,"HMDB0000208","C00026","2-Oxoglutarate","Citrate cycle (TCA cycle)"
"3-Dehydro-L-threonate",-34.5738959920897,0.515141752475866,25572887057.9152,-25572887057.9152,"Consumed",-7.35372304916382e-06,"Consumed","Consumed","Consumed",-16721754061.5557,-16349278172.2284,-28131696536.1289,-26309877624.2821,-40351828895.381,28673393701.2864,39313101752.0133,-67782920598.1346,-203574855.165072,NA,NA,NA,"Amino acid metabolism"
"acetylcarnitine",-38.7181991813479,0.0105523879571543,452209135490.679,-452209135490.678,"Consumed",0.00094985961914062,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-434945308541.132,-583665678017.578,-645802166950.008,-275257639669.251,-321374884275.422,-67547592847.6301,-234677799644.696,218513442831.441,83711949660.8888,"HMDB0000201","C02571","O-Acetylcarnitine","Fatty acyl carnitines"
"acetylcholine",-29.7755249414829,0.00605586309687511,919022499.749224,-919022499.749223,"Consumed",9.20146703720093e-07,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-183109348.968278,-998475065.293669,-822951440.319238,-1272434259.70086,-1318142384.46407,-496576017.1817,-124297108.549488,526295912.910564,94577212.820627,"HMDB0000895","C01996","Acetylcholine","Glycerophospholipid metabolism"
"acetylornithine",32.9387692557531,9.09869078180581e-05,-8232989589.19033,8232989589.19032,"Released",-4.4703483581543e-08,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",7019664252.61592,7830945410.96996,7816790462.93967,9126709767.09344,9370838052.33262,2551741127.62616,-630043502.245417,-456525416.075906,-1465172209.30484,"HMDB0003357","C00437","N-Acetylornithine","Arginine and proline metabolism"
"aconitate",-32.2143609666129,9.24976317762116e-10,4982977682.69975,-4982977682.69975,"Consumed",-9.31322574615479e-07,"Consumed","Consumed","Consumed",-3697357869.2264,-5556287401.12546,-5546938957.11527,-4473104742.02253,-5641199444.00907,1186119567.85466,-610503913.80391,-406215498.012614,-169400156.038138,"HMDB0000072","C00417","cis-Aconitate","Citrate cycle (TCA cycle)"
"alanine",-36.0408964572673,7.29294402646019e-12,70695359005.4997,-70695359005.4997,"Consumed",1.19209289550781e-07,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-71800945786.135,-63307331301.4477,-65579813147.0969,-72343644289.0299,-80445060503.7891,-6454143744.99546,1426053214.93317,-5215874227.53402,10243964757.5963,"HMDB0000161","C00041","L-Alanine","Amino acid metabolism"
"arginine",35.734928994791,0.997553378762496,-57185447020.874,57185447020.8739,"Released",5.7220458984375e-05,"Released","Released","Released",80330827907.2278,191294103533.592,130634093211.762,-171368346453.598,55036556905.3851,124885985747.921,174141953767.715,-154239029795.804,-144788909719.832,"HMDB0000517","C00062","L-Arginine","Amino acid metabolism"
"asparagine",29.0555528018935,0.993452580261822,-557946983.533558,557946983.533557,"Released",3.66568565368652e-06,"Released","Released","Released",-651479919.887062,693712299.404248,1167140180.91871,734771618.932581,845590738.299305,2212116481.54735,1022104506.34877,-4269578942.00592,1035357954.10981,"HMDB0000168","C00152","L-Asparagine","Amino acid metabolism"
"aspartate",-33.7180300016383,1.15854819959793e-07,14129878426.4038,-14129878426.4038,"Consumed",-1.72853469848633e-06,"Consumed","Consumed","Consumed",-14791795981.3702,-11527364397.5916,-15732186972.6975,-11944297993.5338,-16653746786.8261,1216173971.11201,2386511959.53196,-2796694642.68283,-805991287.961146,"HMDB0000191","C00049","L-Aspartate","Amino acid metabolism"
"betaine",38.9053714864086,0.00726145582712278,-514853666461.864,514853666461.864,"Released",1.9073486328125e-06,"Released","Released","Released",270018093072.049,364480828175.9,663344868653.41,518305347005.295,758119195402.665,222640096431.772,-24221141664.3556,-466988404785.129,268569450017.712,"HMDB0000043","C00719","Betaine","Not assigned"
"butyryl-carnitine",-32.9207296355207,6.60895338455703e-10,8130684317.33202,-8130684317.33202,"Consumed",4.4703483581543e-08,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-7927045517.40462,-9734642738.42911,-7503207206.70744,-7784662144.51475,-7703863979.60417,-1725651088.83493,-378940309.125047,1602911966.7022,501679431.257777,"HMDB0002013","C02862","O-Butanoylcarnitine","Fatty acyl carnitines"
"carbamoyl phosphate",29.0417292999257,0.874848146015308,-552626421.750108,552626421.750109,"Released",9.23871994018555e-07,"Released","Released","Released",-815680.279332621,-148020141.378534,363806480.817063,809397906.712542,1738763542.8788,200618838.989473,-354809141.060083,549923002.200117,-395732700.129503,"HMDB0001096","C00169","Carbamoyl phosphate","Purine metabolism"
"carnitine",34.8015097967937,0.993906094546272,-29943209109.4037,29943209109.4036,"Released",-0.00011825561523437,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",138378789954.077,-19424926614.7091,36589487473.8254,-20794764748.3706,14967459482.1957,-78986754836.6692,36801597623.6934,-9829425338.39985,52014582551.3751,NA,"C00487","Carnitine","Fatty acyl carnitines"
"citrulline",-34.7969020641944,0.105929730009011,29847727941.2448,-29847727941.2448,"Consumed",-5.91278076171875e-05,"Consumed","Consumed","Consumed",-9912246885.49741,-24565352253.5328,-27581114582.2438,-30109604804.4087,-57070321180.5414,-20311592865.7007,19615311684.575,9449456330.71731,-8753175149.59179,"HMDB0000904","C00327","L-Citrulline","Arginine and proline metabolism"
"creatine",38.9149289411321,9.41229981931135e-05,-518275751950.578,518275751950.578,NA,0,NA,"No Change","Released/Consumed",446531809753.851,697476786373.17,588260074277.61,549284865222.805,309825224125.456,-12057751702.1784,83562457461.1413,-86756331746.5321,15251625987.5692,"HMDB0000064","C00300","Creatine","Arginine and proline metabolism"
"creatinine",37.3571484601933,0.166194812186279,-176044409866.557,176044409866.557,"Released",0.00023651123046875,"Released","Released","Released",227350062098.257,72163106379.4998,237266524087.138,285413784573.847,58028572194.0416,35993185510.8919,-29584087145.7751,-76854565797.8091,70445467432.6932,"HMDB0000562","C00791","Creatinine","Arginine and proline metabolism"
"cystine",-33.0971845601025,0.0554958898293398,9188514914.85367,-9188514914.85365,"Consumed",5.48362731933594e-06,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-6731511457.87125,-8143229440.38721,-11533220328.8175,-8755100263.13267,-10779513084.0596,-4573819744.79488,-4861293426.74563,15570158349.3797,-6135045177.83915,"HMDB0000192","C00491","L-Cystine","Cysteine and methionine metabolism"
