"Samples","Group summary statistics"
"MS51-06",15.6032007920556
"MS51-07",2.17962086653266
"MS51-08",2.6862872141836
"MS51-09",7.04777126671754
"MS51-10",3.51987127992989
"MS51-11",0.508521934788154
"MS51-12",0.823964470296476
"MS51-13",0.766444598569274
"MS51-14",0.958520948296072
"MS51-15",0.944669046290637
"MS51-16",1.28223533794055
"MS51-17",1.08540075283401
"MS51-18",2.07711260715865
"MS51-19",1.76459078442211
"MS51-20",1.2933388937152
"MS51-21",4.24266456892329
"MS51-23",2.30582575485677
"MS51-24",1.95017167110597
"MS51-25",2.10681008222302
"MS51-26",0.652077587492481
"MS51-27",0.933695476126958
"MS51-28",1.1591128716701
"MS51-29",1.07867083597827
"MS51-30",1.20907815113979
"MS51-31",2.29587334628477
"MS51-32",3.74012259017997
"MS51-33",4.00122524574639
"MS51-34",3.84138185007309
"MS51-35",4.39432244685397
"MS51-36",3.35693631805202
"MS51-37",3.79659572625973
"MS51-38",6.2616392847051
"MS51-39",4.18094736537113
"MS51-40",4.95129803322675
