"Sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","Conditions","Biological_Replicates","Outliers"
"MS51-06",-2.98812210379391,12.6325891492854,3.35213461205589,1.31905808212141,-0.895536522900389,6.17205330072167,-1.48534486401972,0.0650056118317711,-0.659603856032963,0.41589035643941,-0.222848308876575,0.169602497872009,-0.0677211905113931,0.567148071017834,0.129936968343329,-0.392222898381007,-0.00432559708312623,-0.103006914602427,0.0988018528596577,0.0474882699256724,0.137819506026847,0.032503743543744,-0.0352149059058122,-0.0663050045751268,-0.0489383467526239,-0.00942779234861259,0.0360914873240317,0.00574984440068664,0.0333235626047928,0.00809734660120556,0.0207140649478106,0.0166629126063873,0.00428267778333258,9.15933995315754e-16,"HK2","1","Outlier_filtering_round_1"
"MS51-07",-3.35191594447586,4.2586061073944,1.25490548997007,0.146396839269198,-0.612619328488484,-1.52237522635128,2.67521523264721,-0.307360745651636,-0.993256316793358,1.30320505078426,0.930009289012101,-0.648173225062563,-0.888704535998997,-0.1899877248657,-0.10528996564997,-0.0120324251551598,-0.216319451062589,0.727014593844779,-0.180488775608674,-0.474662465294353,-0.510084175743648,0.628778092372462,0.138637214849697,0.248077144552118,0.299115155561806,0.233787643790078,-0.275824639875407,0.208328465111483,-0.00904614073953756,-0.0974303273454943,-0.17864044404537,-0.212841726180559,-0.0601431223301436,6.76542155630955e-16,"HK2","2","no"
"MS51-08",-5.03596230263176,4.35494944997153,0.902594658329642,2.28710362979675,0.301538726159244,-2.36073535572445,2.58804643884109,-0.00355409599235299,0.14721159536621,0.146832038706976,-0.337757559988034,-0.715914977841083,0.321544110217372,-1.07074712028174,-0.0895307206412229,0.295570375091469,-0.729062232717892,-0.581831846429034,-0.253145058686672,1.07586827992421,0.805940001182913,-0.101230136283853,-0.172384651565274,-0.270330257744339,-0.166700725813307,-0.137695219845716,-0.155167764088528,0.0994586972114581,-0.172494244935062,0.0382049419566441,-0.0487913601244728,0.0544817544039123,0.0648342605283891,1.1067535776732e-15,"HK2","3","no"
"MS51-09",-8.24559686934023,6.59193819310142,-2.58349587051456,-1.63667564206267,4.23153011952718,-4.92651831533882,-3.37783051496501,0.154609228356145,0.485740592920312,-0.740460357238908,0.451857680193596,0.519175277074105,-0.487563552052229,0.122534575024575,0.504433602668516,-0.532061526641661,0.288861723697418,0.315431281957442,0.326299741463588,-0.131420318521154,0.12437855227521,0.0737319937648097,-0.0309616499149996,-0.0270133573374809,-0.102723989984472,-0.00135205140943823,-0.0385698711208533,-0.0483296966262827,-0.0478192948207861,0.0344304402288144,0.0316164811272344,-0.00268936624321481,0.00201453842492738,3.88578058618805e-16,"HK2","4","Outlier_filtering_round_2"
"MS51-10",-5.27586923613003,5.28818366594281,-0.67345573907423,-0.80759090918239,0.499596027348463,-1.20643520118152,3.25572314465254,-0.210371407483244,-0.209736488559585,-1.02125910237503,0.159216092696579,-0.089896520964712,0.664278625016791,0.0328504163133157,-0.733393328639579,0.766214599477922,0.309686111983988,-0.279161178722543,0.0965037612001293,-0.534800896766988,-0.637391307010779,-0.71298613134838,0.0992412582251015,0.191357477909771,0.0615900130801226,-0.0442503179401051,0.38502145842454,-0.257577300038373,0.1254954523485,0.0329498043193095,0.129408528190129,0.124216342961334,-0.0136977860674078,1.34788014083398e-15,"HK2","5","no"
"MS51-11",2.36419666135778,0.707479196297999,1.38966873616939,0.148953851463906,-1.58517114524289,0.0904328652530389,-0.485735645548349,2.92573518011596,2.41392710818967,-1.6347887004614,1.26237089133139,1.64929295616667,0.49109139795615,-1.14737715306253,-0.0600289937913964,-0.355921530696197,-0.501857045778523,-0.574190094347697,-0.570477874673556,-0.0797024042019582,-0.287702524786223,0.456900820809987,0.0884330828008247,0.126303306194869,0.31353766080605,0.0688987085186784,-0.020610596485058,0.0675678397488587,0.143612740628976,0.0303508493074232,0.0712203433624903,0.0271705035746821,0.0627759585280899,2.57606436182556e-16,"786-O","1","no"
"MS51-12",3.49544693616695,-0.0108686226227856,1.75053051910823,-0.225784301207971,-1.87882268068465,-1.69625853068848,-0.110789683036392,2.77723862611476,0.218396655326847,1.9775221056394,-0.328520573351523,-0.188618727632774,0.270539064601336,0.383481681985296,0.0981209434061413,-0.22917440331863,0.465927910395711,0.6053828425189,0.152305055515402,0.297325158743396,0.19861734743131,-0.762136250612891,0.125738374889734,-0.461575719672022,0.263376991653749,0.477762472135038,-0.115561384983199,0.0338828296755152,0.102991324401597,-0.0257025548982468,0.211994879456168,0.0627872926359476,-0.148050855738011,-8.02309607639273e-17,"786-O","2","no"
"MS51-13",4.2536489848035,0.615949163857362,0.715037146376381,-1.17826448583976,-1.53107744481433,-1.83599988263769,0.49353457778635,1.90727165744973,-0.438855367023769,0.580326216284285,-0.316295983115842,0.0698648710415187,0.75689739865612,1.8196324909116,1.17283614775512,0.974954625337115,-0.0255404043169174,-0.686707472922668,0.179573309344812,-0.244064746550802,-0.350385542809024,0.504939940008696,-0.0248778215310893,-0.349761759152467,-0.337064097334035,-0.309946881751611,-0.114867818216574,-0.0272059166686364,0.0218701696165547,-0.0210566897251958,-0.0936117743774663,-0.026695233227502,0.107366514578359,7.8236028766554e-16,"786-O","3","no"
"MS51-14",4.37118226534207,0.547421924661211,1.32318524795422,-3.52948996340481,-0.511077973709141,0.373878972314666,0.151673979930953,0.515798016213859,-0.141598393385859,0.990031687823924,-1.16902002852933,0.75699028197722,0.72557215388894,-1.56493445871537,0.529202905107652,-0.0834906003614768,0.966301892682654,0.0120363462888817,0.268945500201034,-0.360092361354011,0.391751437613824,-0.203187847944667,-0.410409375202381,0.255775767895012,0.150893810555784,-0.0509134781097082,0.124891733099969,-0.155944151567155,-0.249071404688363,-0.195040363790872,-0.284190809036553,-0.101948698672967,0.0756044551207548,6.03683769639929e-16,"786-O","4","no"
"MS51-15",4.59332798380286,0.00952486455023236,1.06303636094867,-1.42599691599236,-1.53016346978582,-1.67605408381728,-0.770041296320475,-0.0898535786156609,-2.43729003295987,0.950169568533136,-0.224088920915537,1.57021624699992,0.0260653448817362,-0.303496094111295,-1.31416310267371,0.00340927856882818,0.359431044053188,0.00760780901667707,-0.10755976845137,0.374587954796463,0.114074050252932,0.396460977902283,0.0858409149258062,0.433296517849106,-0.440540602762143,-0.268826368336407,0.117054502746643,0.254240561012246,0.120577118710019,0.108237460547457,0.101317970813906,0.0881167489677778,-0.166723068394381,-3.97251675998689e-16,"786-O","5","no"
"MS51-16",5.99650404298863,0.269995324088533,0.45506054605552,1.86415963394371,-1.18546411718377,-0.909219704696548,-2.01194362254969,-1.02146972524729,-0.319751025851874,-0.805803176923688,0.492355094985006,-1.57685808420671,-0.242565050878027,-0.609933172863278,0.45352130568038,-0.144850349483311,0.408560004705992,-0.914820018853639,-0.00454591751579254,0.625090262203688,-1.03196420758905,-0.146152411684229,-0.0631902689412142,-0.104476745155567,-0.117799403234291,0.16900355407992,0.259989394879748,0.107722103490598,-0.166014922545167,-0.192156965929866,-0.060730393373988,-0.0700567671296088,-0.13800344612732,-5.25621213220973e-16,"786-M1A","1","no"
"MS51-17",5.32170011816324,0.610988658492449,0.0659522367218396,1.47470724161416,-1.2634161286816,-1.64837658523957,-0.362147601929396,-1.72389821524323,-0.588636530539234,-1.1235442900878,-1.87821078131399,-0.0408556641950137,-1.15235748409634,0.5013325487764,0.73125145063597,0.213322279876347,0.413070753111757,-0.45275474092697,-0.858575666727822,-0.308020887640872,0.421384430443556,-0.108771279802863,-0.275571389818432,0.218524112878777,0.444647625538345,0.199386482616651,0.0169446291374247,0.0960353635430666,0.228565997931266,0.263839345763365,-0.000412632468135027,0.020136150483458,0.0785257877053058,-1.45890244329649e-15,"786-M1A","2","no"
"MS51-18",7.18363800446017,1.39929976890266,-0.0698070115735165,-3.1910347507252,-1.30248667342972,0.334292270600517,0.434058149496463,-2.34910352452211,0.884925938259683,-1.23739447172645,-1.07090971496261,-0.547285619889392,0.14217260415664,-0.601427419919061,-0.480509731656508,-0.0835540790421277,0.158019979422443,0.527986078452627,0.861395912232532,0.340589361740727,-0.417847554446188,0.525635410972559,-0.00915448692250119,-0.297546215078136,0.0399332706255572,0.0584090124336261,-0.379996790328902,-0.147269976706351,0.0464740653179062,0.0807403427880349,0.215100481962712,0.100253936891974,0.112771783857118,-1.76941794549634e-16,"786-M1A","3","no"
"MS51-19",6.99720553922074,-0.160025455312182,0.212844298209979,0.0389499070402032,-1.54332906084834,-1.4081494448368,-0.465985814164112,-1.47580946989797,-1.14691662733357,-0.00479202100729023,0.351594915825758,0.0711746212709798,0.645589491239988,0.122282026777911,0.0533638456348574,-1.29774744106719,-1.52862634005742,-0.29922307336937,0.256036161411406,-0.405886199627415,0.352806159190039,-0.45147981895083,0.759500528393078,0.0439034694508424,-0.0276683154096624,-0.0286778984014984,0.00311155565935172,-0.275221291388677,0.0386729851203474,0.000112807920316681,-0.0783951944754299,-0.122480905520592,0.0245743887091032,1.4137996329211e-16,"786-M1A","4","no"
"MS51-20",5.71651500901138,0.776929649687329,0.998250560448996,2.16926395756396,-3.30466740436847,-0.574552701561417,-0.173094615424084,-0.707942204987281,1.7457211070474,-1.5988080495463,1.51950000971972,-0.549721596919891,-0.10479608571911,0.282776419935592,-0.0335642561368249,0.517995879296659,0.267959415079601,1.36410646667418,-0.176393556938462,-0.518967386288985,0.622096638337103,-0.114677424924095,-0.125684444204828,-0.0723090217185635,-0.330555397289301,-0.245712358462606,0.179785746927571,0.103211320722466,-0.177176515656449,-0.0662043846074285,0.00552230820641496,0.0097013103463293,-0.0253586323399743,6.01949046163952e-16,"786-M1A","5","no"
"MS51-21",10.3949117465628,1.47902534492317,-1.16096790292319,-4.28161383217539,4.0510900500017,0.940990237706528,0.115586124307756,-0.799607364706138,2.14092832417002,1.21382458017456,0.141521827275358,-0.46899519095049,0.0503314539059632,1.03699339400468,-0.457852478228018,0.469919082551294,-0.807528933011892,0.0699838529668024,-0.513364016226053,0.509110116250812,0.160924212210272,0.0667268693186266,-0.0222363978413234,0.182456102365146,0.192028957208588,0.0615074240794539,0.258205555524881,0.102231179974786,0.0164214976935136,-0.105770335527269,-0.0810424417912113,0.0155834554647612,-0.0506744310615481,1.93421667571414e-16,"786-M2A","1","no"
"MS51-23",6.37064220379077,-1.57806971815139,2.1489379233214,1.7348764072084,3.21448036328147,0.92204539932443,1.16165752766171,1.8086188803341,0.861417254911807,-0.556237833979713,-1.36889030415487,0.17197485595693,-2.3915234742139,-0.364459086102922,-0.467170166347817,-0.171396416774628,-0.183027231176996,-0.360725787100664,0.446224366306422,-0.580525049627847,-0.0499102017522473,-0.223941343198829,0.13349306741991,-0.144943266162626,-0.349240105340236,-0.182918243054615,-0.134485288061785,-0.0114033078735132,0.0021468702979579,-0.0895244406545503,-0.0391757368093496,0.0213471933131617,-0.0939334530437132,-5.96744875736022e-16,"786-M2A","2","no"
"MS51-24",6.31057229977414,-1.78602772843928,1.59114566962253,2.98140961278861,3.92577841407568,0.920827125679923,0.844500300353242,0.655088681664197,-1.06723765233598,-0.584776231990497,0.139363460684335,0.159585583258663,1.22602162980338,0.0570545461787723,0.851903181238751,-0.423260428959516,-0.119405661210656,0.892095774469385,-0.418069732521389,0.295687023285118,-0.448718434234172,-0.142503826317188,-0.481374471814586,0.446063889066503,-0.307244667310414,0.0848407409824078,-0.20695871016802,-0.213357839974654,-0.0229136630007637,0.190394491813185,0.0560373587540894,-0.0255050484351857,-0.0174644158408361,2.23779328401008e-16,"786-M2A","3","no"
"MS51-25",6.47163303488977,-2.19821353024158,1.34795214978591,2.5515684947492,3.86646709929707,0.634745867302849,-0.301124632266189,-0.133925240547625,-2.08825753409108,0.066534931591531,1.94238270727068,0.0682876619422523,0.270188019546625,-0.14327805889292,-0.597146953365438,0.514729341134765,0.76528012377228,-0.240994197315802,0.405663226092544,-0.140222855752892,0.342283496926571,0.204505271687424,0.260226123185021,-0.440427574746209,0.494081201580297,-0.0192589436929437,0.0765142117987035,0.0987303261773735,-0.0505089665740717,0.0318564723951769,0.0376999564550739,0.0229602107041286,0.175519817332842,2.94902990916057e-17,"786-M2A","4","no"
"MS51-26",-2.46563705350316,-2.1339832031668,-0.621987502710582,1.19140407296168,-1.49756804945266,0.391946397655491,0.460402360487023,-1.65380024099454,0.854583088636335,0.502001536515968,1.5405459314549,2.39939444667383,-1.04104687049669,0.639164061146879,0.0636417931990351,0.514310990569767,0.153621009761701,-0.208491753700307,0.495929297108135,0.658481966178625,-0.0475815400909052,-0.190173079497682,-0.257420771848264,-0.0162169311409208,0.0972135468243286,0.119587150883935,-0.133242186870134,-0.370718432692386,0.00190471473815543,0.0901604368957873,-0.253491140815914,0.0152281166767214,-0.0993646071639846,5.18682319317065e-16,"OSRC2","1","no"
"MS51-27",-3.86290152472622,-1.95957045797294,-0.583921852336407,1.85926068851488,0.290199166115111,-0.172405999989938,-0.564266468237455,-1.73089569701314,0.764020906232039,0.568441306743039,-0.671587009039026,0.990588802840912,1.14733792491843,0.804268235318784,-1.10051826880008,-0.448629112618686,-0.0431257096793561,-0.488542492782773,-0.335141195882361,-0.70666939914978,-0.24883677824814,-0.224019249832258,-0.33625367205356,-0.0618026248167668,-0.0715787672704919,0.204863323135245,-0.327765245404062,0.276110327102543,-0.294759065712506,-0.22632024763458,0.0231015101955656,0.134734202964719,0.0385082952787987,6.1929628092372e-16,"OSRC2","2","no"
"MS51-28",-4.55207175953716,-2.11526686983817,0.302329652037822,2.21613836330875,0.984059523172719,0.488688478915638,-0.682975761994921,-1.01468045666205,1.94444633464768,1.36430476142601,-0.827536038198521,-0.157508901343992,1.08888524680599,-0.702072657421419,-0.194981411443411,0.563730615707229,0.0646898264601761,-0.0613273105085724,0.404423858052563,-0.366297105465321,0.0519409849860215,0.23658469349165,0.0996443294387872,-0.241330877570063,-0.344634646200112,0.241387141400387,0.21481824241907,0.109698502509839,0.298040496978091,0.307819413552718,-0.0727310530185487,-0.264265667991088,-0.0516867835186245,1.45716771982052e-16,"OSRC2","3","no"
"MS51-29",-3.93506053450878,-2.38300799432448,0.301589620565531,1.98648896671329,0.507974712620819,0.267539020138974,0.422779730876195,-1.36886830570754,0.744745994786406,1.47911398122832,-0.0346567980325856,0.117557826026883,-0.227655016764737,-0.250330166959373,1.11081613929606,0.130305090936432,0.50060030533724,-0.124238705761363,-0.253712374410039,0.119720792138936,0.284927645038758,0.38541091178037,0.492089906031112,0.373871855641389,-0.128949274127818,-0.0451695978056734,0.0153076716641805,-0.213628439081658,0.181605020160333,-0.443959954110429,0.346186504053987,0.0614000349762029,0.0434117368145148,3.71230823859037e-16,"OSRC2","4","no"
"MS51-30",-3.78948294242812,-2.82434902680182,0.0468238780860543,0.0793131918475231,-0.188821410789241,0.147339522953818,1.32793565025667,-0.729459615673174,0.856387247666132,1.51694508206857,-0.0185446659542592,0.15252164337809,-0.29866563681741,0.152837842220583,0.646564464984432,-1.64513903811337,0.158958768055774,0.319252093838683,0.0298412553117439,0.132518082374902,-0.488946864878698,-0.100338581979944,-0.151579158594307,-0.292075294033736,0.307268487489443,-0.653909624156037,0.275491152643942,0.22932863442984,-0.00562619187546074,0.182359432716811,0.0297800759136401,0.0590457742666425,0.0446884833523909,8.75601674499293e-16,"OSRC2","5","no"
"MS51-31",-4.95346470983324,-3.29003934899765,2.02470081358029,-5.10831231740304,0.376217598825342,2.02859520284476,0.295808640360934,-0.945417772495487,-0.969667284491918,-0.354860363897815,0.9668088452527,0.419095486792475,-0.504135489739395,-0.581617469484222,1.13065199051887,0.614382177437838,-0.467982236069881,-0.298221754195878,-0.403449762527752,-0.384718505826628,0.0809655826358373,-0.242641796462332,0.0749776144283686,-0.283349596169787,-0.197707698618755,0.153179384437471,-0.0620228305195699,0.160186180829691,-0.27079305874764,0.187712236747428,0.261838535007172,-0.0309323459609863,-0.0958577124498766,-1.04083408558608e-16,"OSLM1B","1","no"
"MS51-32",-5.85630942664837,-2.87757295568819,3.90696131724802,-0.909058714669457,-0.780062424151712,0.152538152127573,-0.974729457441382,0.977961634144201,0.642170155823601,-0.216953126384213,-0.381155646530424,-0.475346966093485,-0.565995316716947,0.776065955536517,-1.00563436669938,0.166940220992671,0.458152822027787,0.0625799019832074,-0.187783532808752,0.581056577876493,-0.184292723132994,-0.389337645859911,0.415194132746096,0.450926394125096,-0.0299829400497949,-0.080638413968842,-0.0633598806343233,-0.0559455528548341,-0.232218138491667,0.113999179475155,0.0878602095766338,-0.286309578507696,0.243941830758589,-3.38271077815477e-16,"OSLM1B","2","no"
"MS51-33",-6.70243387910868,-3.44362109910867,3.3652350998091,-0.751095078570685,0.243590958188376,0.0340206697557039,-0.465205939911273,0.249635344231706,-0.651166315404377,-1.3059897224707,-0.509687276460616,-0.807794271198069,0.4325137449201,0.442785106919437,-0.806005806168204,-0.291742666866378,-0.0418042262482359,-0.0931282370892401,-0.461088833935327,-0.0599694627755403,0.323779903337002,0.528888288616029,-0.45122763422332,-0.38236962622357,0.343076538322648,-0.24173552579382,0.0205032812945011,-0.404156845907721,0.0581292841981938,-0.130202299121089,0.0456376398979852,-0.138687748340398,-0.244661392015976,-6.52256026967279e-16,"OSLM1B","3","no"
"MS51-34",-5.8387905427601,-3.4899868174629,3.59957826004341,-1.01432352424712,-0.227374151290858,0.291117622619229,-0.965180606426289,0.460239772122884,-0.146091245875998,0.446100984252542,0.128839728822506,-1.37348738615295,-0.163530992729165,-0.195423345034983,-0.103727468680231,-0.191600866788124,0.0759850938720458,0.256538255449854,-0.397757694018679,-0.126985586122997,-0.0672965296574829,0.284836895157222,0.372911800813504,0.0134440273418352,-0.208075840488693,0.243853225181078,0.0701032551066851,-0.17914421362844,0.0153291200040065,0.128376681816562,-0.367588450504977,0.424318788196119,0.0666188914001142,-4.85722573273506e-16,"OSLM1B","4","no"
"MS51-35",-6.42924446249732,-3.89777026161054,3.54158568003459,-0.841315560140342,0.0584621712141456,0.376264399802253,-0.374645658022826,0.14912176496165,-0.696920145341375,-1.7265135002676,-0.0225452947788494,-0.210476775056229,0.27630384863178,0.260246800393934,0.439944702157733,0.289047677940904,-0.748717391551149,0.227986376738454,1.0850421672984,0.23805635546502,0.13429144388908,-0.326899918001856,-0.333507336842311,0.375913581322045,0.145449075872068,0.0112268620901526,0.0120459632746703,0.410791498515941,0.337238255230989,-0.234710663851917,-0.0837577920802316,0.046562065352896,0.0333212608393656,-4.02455846426619e-16,"OSLM1B","5","no"
