"Metabolite","Pathway","core_786-M1A","core_HK2","core_786-M2A","core_786-O","core_OSLM1B","core_OSRC2","core_RFX631"
"2-hydroxyglutarate","Citrate cycle (TCA cycle)","Released","Consumed","Released","Released","Released","Released","Released"
"2-ketoglutarate","Citrate cycle (TCA cycle)","Released","Consumed","Released","Released","Consumed","Consumed","Consumed"
"3-Dehydro-L-threonate","Amino acid metabolism","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed"
"acetylcarnitine","Fatty acyl carnitines","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Released"
"acetylcholine","Glycerophospholipid metabolism","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"acetylornithine","Arginine and proline metabolism","Released","Consumed","Released","Released","Released","Released","Released"
"aconitate","Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed"
"alanine","Amino acid metabolism","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"arginine","Amino acid metabolism","Released","Released","Released","Released","Released","Released","Released"
"asparagine","Amino acid metabolism","Released","Released","Released","Released","Released","Released","Consumed"
"aspartate","Amino acid metabolism","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed"
"betaine","Not assigned","Released","Released","Released","Released","Released","Released","Released"
"butyryl-carnitine","Fatty acyl carnitines","Consumed","Released","Consumed","Consumed","Released","Consumed","Consumed"
"carbamoyl phosphate","Purine metabolism","Released","Released","Released","Released","Consumed","Consumed","Consumed"
"carnitine","Fatty acyl carnitines","Consumed","Consumed","Consumed","Released","Released","Released","Consumed"
"citrulline","Arginine and proline metabolism","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed"
"creatinine","Arginine and proline metabolism","Released","Released","Released","Released","Released","Consumed","Released"
"cystine","Cysteine and methionine metabolism","Consumed","Released","Consumed","Consumed","Released","Consumed","Consumed"
"dihydroorotate","Pyrimidine metabolism","Released","Released","Consumed","Released","Consumed","Consumed","Released"
"fumarate","Citrate cycle (TCA cycle)","Released","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"gluconate","Pentose phosphate pathway","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"glucose","Glycolysis / Gluconeogenesis","Consumed","Released","Consumed","Consumed","Released","Consumed","Consumed"
"glutamate","Amino acid metabolism","Released","Consumed","Released","Released","Consumed","Consumed","Consumed"
"glutamine","Amino acid metabolism","Released","Consumed","Released","Released","Released","Released","Released"
"glycerylphosphorylcholine","Not assigned","Consumed","Consumed","Released","Released","Consumed","Consumed","Consumed"
"glycine","Amino acid metabolism","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed"
"histidine","Amino acid metabolism","Consumed","Consumed","Consumed","Consumed","Released","Released","Consumed"
"hydroxyphenyllactic acid","Not assigned","Consumed","Consumed","Consumed","Consumed","Released","Released","Consumed"
"hydroxyphenylpyruvate","Not assigned","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
