Code,Metabolites with normal distribution [%],Metabolites with not-normal distribution [%],shapiro p.val(valine-d8),shapiro p.val(hippuric acid-d5),shapiro p.val(2/3-phosphoglycerate),shapiro p.val(2-aminoadipic acid),shapiro p.val(2-hydroxyglutarate),shapiro p.val(2-ketoglutarate),shapiro p.val(4-guanidinobutanoate),shapiro p.val(4-hydroxyphenyllactate),shapiro p.val(5-aminolevulinic acid),shapiro p.val(5-aminovaleric acid*),shapiro p.val(5-methylthioadenosine (MTA)),shapiro p.val(6-phosphogluconate),shapiro p.val(acetylcarnitine),shapiro p.val(acetylcholine),shapiro p.val(acetyl-CoA),shapiro p.val(adenosine),shapiro p.val(ADP),shapiro p.val(ADP-ribose),shapiro p.val(AICAR),shapiro p.val(alanine),shapiro p.val(AMP),shapiro p.val(arginine),shapiro p.val(argininosuccinate),shapiro p.val(asparagine),shapiro p.val(aspartate),shapiro p.val(ATP),shapiro p.val(beta-alanine),shapiro p.val(beta-citrylglutamic acid),shapiro p.val(betaine),shapiro p.val(butyrylcarnitine C4),shapiro p.val(cAMP),shapiro p.val(carnitinamide),shapiro p.val(carnitine),shapiro p.val(carnosine),shapiro p.val(CDP),shapiro p.val(CDP-ethanolamine),shapiro p.val(choline),shapiro p.val(aconitate),shapiro p.val(citicoline),shapiro p.val(citrate),shapiro p.val(citrulline),shapiro p.val(CMP),shapiro p.val(CMP-2-aminoethylphosphonate),shapiro p.val(CMP-acetylneuraminic acid),shapiro p.val(creatine),shapiro p.val(creatinine),shapiro p.val(CTP),shapiro p.val(cyclic ADP-ribose),shapiro p.val(cystathionine),shapiro p.val(cysteic acid),shapiro p.val(cysteinylglycine),shapiro p.val(cytidine),shapiro p.val(cytosine),shapiro p.val(dATP),shapiro p.val(dCTP),shapiro p.val(deoxyadenosine),shapiro p.val(deoxycytidine),shapiro p.val(deoxyribose 5-phosphate),shapiro p.val(dihydroorotate),shapiro p.val(dihydroxyacetone phosphate),shapiro p.val(dimethylarginine (ADMA+SDMA)),shapiro p.val(dTTP),shapiro p.val(FAD),shapiro p.val(FAICAR),shapiro p.val(fructose),"shapiro p.val(fructose 1,6-bisphosphate)",shapiro p.val(fructose 6-Phosphate),shapiro p.val(fumarate),shapiro p.val(GDP),shapiro p.val(GDP-hexose),shapiro p.val(gluconate),shapiro p.val(glucose),shapiro p.val(glucose 1-phosphate),shapiro p.val(glucose 6-phosphate),shapiro p.val(glucuronic acid),shapiro p.val(glutamate),shapiro p.val(glutamine),shapiro p.val(glutamylcysteine),shapiro p.val(glutamylglutamate),shapiro p.val(glutamyllysine),shapiro p.val(glutamylthreonine),shapiro p.val(glutathione),shapiro p.val(glutathione oxidized),shapiro p.val(glyceraldehyde 3-phosphate),shapiro p.val(glycerol 3-phosphate),shapiro p.val(glycerophosphocholine),shapiro p.val(glycerophosphoethanolamine),shapiro p.val(glycerophosphoinositol),shapiro p.val(glycine),shapiro p.val(Gly-Gly),shapiro p.val(GMP),shapiro p.val(GTP),shapiro p.val(guanosine),shapiro p.val(hexanoylcarnitine C6),shapiro p.val(hexenoylcarnitine C6:1),shapiro p.val(hexosamine phosphate),shapiro p.val(histidine),shapiro p.val(homoarginine),shapiro p.val(hypotaurine),shapiro p.val(hypoxanthine),shapiro p.val(IMP),shapiro p.val(indole),shapiro p.val(indole-3-lactate),shapiro p.val(inosine),shapiro p.val(isoleucine),shapiro p.val(isovalerylcarnitine),shapiro p.val(KMV),shapiro p.val(lactate),shapiro p.val(leucine),shapiro p.val(lysine),shapiro p.val(malate),shapiro p.val(malonate),shapiro p.val(malonylcarnitine C3-DC),shapiro p.val(mesaconate),shapiro p.val(methionine),shapiro p.val(methionine sulfoxide),shapiro p.val(methylhistidine),shapiro p.val(methylindole),shapiro p.val(methylmalonylcarnitine C3-DC-M/succinylcarnitine C4-DC),shapiro p.val(mevalonic acid 5-pyrophosphate),shapiro p.val(myo-inositol),shapiro p.val(N-acetylalanine),shapiro p.val(N-acetylarginine),shapiro p.val(N-acetylaspartate),shapiro p.val(N-acetylaspartylglutamate),shapiro p.val(N-acetylglutamate),shapiro p.val(N-acetylglutamine),shapiro p.val(N-acetylhexosamine phosphate),shapiro p.val(N-acetylhistidine),shapiro p.val(N-acetylmethionine),shapiro p.val(N-acetylneuramic acid),shapiro p.val(N-acetylornithine),shapiro p.val(N-acetylserine),shapiro p.val(NAD),shapiro p.val(NADH),shapiro p.val(NADP),shapiro p.val(NADPH),shapiro p.val(N-carbamoylaspartate),shapiro p.val(ophthalmate),shapiro p.val(ornithine),shapiro p.val(orotate),shapiro p.val(orotidine),shapiro p.val(pantothenate),shapiro p.val(pentose phosphates),shapiro p.val(phenylalanine),shapiro p.val(phosphocreatine),shapiro p.val(phosphoenolpyruvate),shapiro p.val(phosphoethanolamine),shapiro p.val(phosphorylcholine),shapiro p.val(proline),shapiro p.val(propionylcarnitine),shapiro p.val(pyroglutamic acid),shapiro p.val(pyruvate),shapiro p.val(S-(2-succinyl)cysteine),shapiro p.val(S-adenosylhomocysteine),shapiro p.val(S-adenosylmethionine),shapiro p.val(SAICAR),shapiro p.val(sedoheptulose 7-phosphate),shapiro p.val(serine),shapiro p.val(S-lactoylglutathione),shapiro p.val(stearoylcarnitine C18),shapiro p.val(succinate),shapiro p.val(succinylglutathione),shapiro p.val(taurine),shapiro p.val(tetradecanoylcarnitine C14),shapiro p.val(tetradecenoylcarnitine C14:1),shapiro p.val(thiamine),shapiro p.val(threonine),shapiro p.val(trans-4-hydroxyproline),shapiro p.val(trimethyllysine),shapiro p.val(tryptophan),shapiro p.val(tyrosine),shapiro p.val(UDP),shapiro p.val(UDP-GlcNac),shapiro p.val(UDP-hexose),shapiro p.val(UMP),shapiro p.val(uric acid),shapiro p.val(uridine),shapiro p.val(UTP),shapiro p.val(valine),shapiro p.val(Val-Lys),shapiro p.val(xanthine)
HK2,NA,NA,0.9164545351531846,0.2443086489326806,0.9856496331642979,0.641745209585758,0.42050996560662546,0.17952836441012046,0.2187957432139642,0.7881768529730897,0.9198561834514847,0.7899735879613694,0.9205800229495769,0.7028314662817176,0.006338822082418715,0.005090169510412733,0.6821282583645323,0.12123031269890563,0.02449523536789173,0.5624000339575924,5.631371029538857e-4,0.12221966304188614,0.8299255934667089,0.17122859274856275,0.5701486097886053,0.8192282258374438,0.3249551203407126,0.05933796936436999,0.22612701178319555,0.8461724561315181,0.1046924188818204,0.06242118502692463,0.9570988847898644,0.35036586273421816,0.061117854383310605,0.21767456829073703,0.005093187056404213,0.014047410338912677,0.04949354773878366,0.10546639336255277,0.9304413583170541,0.055629335929795666,0.37516380593454923,0.005672549652290831,0.2996660903042052,0.6697500149296075,0.4204660796929131,0.9421741364915487,0.01218725048996666,0.16564499185701909,0.46825178619179547,0.13990186518139408,0.2787887306345206,0.4389299407192532,0.048127220065835925,0.19874320320656083,0.01779481096787945,0.8723261746749267,0.031456416541430866,0.15836667546221062,0.058577861851145226,0.5334856197223729,0.47396522115200274,0.0030070550029000958,0.6055736686202139,0.9076351371939457,0.7082793838695165,0.355377097003159,0.8486669290772789,0.4341181825414609,0.025870335639404496,0.10576851993044986,0.4950678919496514,0.013757331005975086,0.19157440237719373,0.7767548337332042,0.11121461469641757,0.9999797007604212,0.5480648262344533,0.61692217927692,0.2508940811264332,0.206552505230396,0.5456328270250392,0.04707824260620304,0.895375933762699,0.8112934028833043,0.7609570861248596,0.5796584246129852,0.01800174941029474,0.014733589980824425,0.1625198545020117,0.4672798646469377,0.048990531612533104,0.031969128553331394,0.22036722301253392,0.07491449261717531,0.9433893868531862,0.0819388415584817,0.11724653142952858,0.7676326656757724,0.022788725816000093,0.03174399618994344,0.7960798624493495,0.15508036113432278,0.4588844099456991,1.0711714599318e-4,0.4289057858481173,0.05416810103596878,0.5466328920276053,0.5108707961050403,0.37143170292338756,0.6452178885566457,0.021727071407531103,0.08945590478795985,0.19090968491804808,0.8584986528692123,0.13002503089931614,0.9971594802223032,0.2349026105891304,0.9870080594302382,0.11278223543610279,0.2837252918585733,0.12305684192602553,0.17426448035896608,0.08255816811688765,0.4038016307577473,0.9572785504000237,0.28058414243953766,0.7783093927955536,0.7736494618273804,0.14003203165150324,0.32732049832534205,0.4780049579956917,0.1377967955372818,0.06686077390322238,0.17830453343353866,0.0018117465392903397,0.6045525802619093,0.37015020893608125,0.04037615301161077,0.6564225637805821,0.7217883133630055,0.0017821772584470047,0.009160070949631666,0.6242625399898323,0.9920050540858771,0.7184764754702558,0.12363367105525114,0.5418062251806548,0.5342854459997476,0.22335846681177834,0.7820037248874583,0.020512194295493256,0.592322346859679,0.6474229192494843,0.7227870759072583,0.19765257255994723,0.2889611523065363,NA,0.7420527465811786,0.5335700426833808,0.470589032326478,1.4385871056538934e-4,0.35260496302724653,0.369370840687662,0.004941642590697639,0.07748162022792206,0.1449237925691059,0.43914423897439936,0.26293952195685455,0.1309211072881073,0.09026012875350344,0.23281249460011275,0.28873393380601914,9.657729405475957e-4,0.002654916840873581,0.007521384740858655,9.38754647835191e-4,0.6994038149006622,0.0976070310009487,0.0018990951749028458,0.20830481490210637,0.06533915309888397,0.17388338076070173
786-O,79.89,20.11,0.9286707741131517,0.7071379903398917,0.007104192832642852,0.7369775305370955,0.8290409244485107,0.3745729868854254,0.7302601500664428,0.8903214458293481,0.9845803658146631,0.2454030555228545,0.025079205225589603,0.17134969506910147,0.5363223137765076,0.15711843029332095,0.35457559778581915,0.011637002472676442,0.018503887214495227,0.9915207062123828,0.8472537032199199,0.5779522647487882,0.05895368409482176,0.1323273430545796,0.9994389058012569,0.9431570373586416,0.40753583173963503,0.005942531618581443,0.18759212908554757,0.01281828589666905,0.9978855183596876,0.06998516664395818,0.28119851375771043,0.18578957929593626,0.02277996432163867,0.1832263779188259,0.0011845953241155143,0.3128506577184287,0.0171261332345968,0.07103658099771977,0.21087038156185278,0.9958415475256902,0.8270147964816393,0.0952797974372149,0.18499704313911627,0.029343437389882727,0.4504333018106659,0.5303266816215532,0.005552026247822214,0.5484049366691528,0.4448628091812161,0.9018220405571176,0.3523576210066051,0.021387670508927804,0.20771213783083692,0.01167048153519529,0.01414449511358195,0.1311302447726717,0.25589260373996425,0.47163316697633534,0.309421936502547,0.026016069054144213,0.34287398717268974,0.022551641247547626,0.9980218112648799,0.31850606474537524,0.9234845262170651,0.76129702939355,0.8059872986894377,0.6673815832494364,0.0033355470831946355,0.6319297398758429,0.25613570491459814,0.27821630538780284,0.1530449601075847,0.14572964408550917,0.020256337088812987,0.8555706569465025,0.055141732667493476,0.2802773820735128,0.18245514080877837,0.08520867432717426,0.13481839340344376,0.05747958229590213,0.07617683620119149,0.0674224591394413,0.5334205169150154,0.3992865742226727,0.0021422172229378796,0.2781236313128358,0.1303956425162147,0.413414669164938,0.0028651923300127323,0.0028073863206853657,0.3000990938687047,0.4232961836022373,0.23542298826382457,0.33790471112243414,0.7214991904010578,0.2929283847407299,0.28855364420966234,0.023640184966475606,0.40003251794244515,0.7602532144539811,0.17222395868794876,0.3447407551915568,0.13341546612418717,0.011312975215756504,0.103144474592909,0.11183391352740084,0.25096758002958447,0.09530737843958105,0.9432341876519633,0.037896165409852904,0.0964657916364033,0.6197301303993448,0.20569263544811972,0.36517332649921386,0.11949494893575653,0.12307834962990909,0.4141635409879528,0.14220406679268763,0.5225249442048959,0.2661294326294825,0.021308890716969286,0.16559102530353534,0.826992104173434,0.65213334494653,0.4076317199692536,0.026432511695283625,0.430117745231717,0.7663621281809607,0.5210222909709276,0.49585722542749316,0.015742515367580583,0.5328826938168546,0.021163555447871043,0.43555069122639745,0.22640172081625418,0.6019576963945168,0.13667987343989055,0.012922076436242505,0.6098156857893614,0.9385172383888278,0.0590383429884521,0.68737269627873,0.2730522826001007,0.29953697005692714,0.3064473168655988,0.0183728405858325,0.34734160545460757,0.3006367667166322,0.10081824229284511,0.3688092450650573,0.05000126378757023,0.18467154414024384,0.4729764520153569,0.9992584305513389,0.9037846312359308,0.006006393508555975,0.8233954336387674,0.42525690303001024,0.0054674300989228375,0.9992442574459721,0.07625462356499874,0.025318005227667428,0.9569734555309124,0.9844329707188655,0.32866987807345793,0.9043606338124355,0.9346055879420615,0.3024377287810608,0.44554770984909625,0.40873645419000004,0.009351889597046194,0.3797273968593903,0.8915944859981354,0.2683912484096489,0.6494209235877191,0.07854294638776424,0.005863891216584329,0.039300607565626255,0.01566218307871535,0.5313747044416943
786-M1A,83.70,16.30,0.14415968365164886,0.26209586017370956,0.8251166190505298,0.8879969125509423,0.3050906559553693,0.6586752410465109,0.0073552797017795365,0.7623678666674683,0.2291779737562069,0.5119152876826744,0.3050408331025964,0.0022045070958652394,0.013621237118312122,0.028698791752999005,0.8859941755810548,0.08245765663063216,0.04209460566727468,0.30587166725404213,0.11444608636867205,0.2323923807356397,0.300753533178881,0.30873782791575966,0.8291207660464742,0.33214055978577917,0.898610486082536,0.029540232025580666,0.5974519921551347,0.17008710346527764,0.24920117183209206,0.2114850804786944,0.07329378099388228,0.1905309725961469,0.522154022337999,0.636113669865901,0.0077470673252657855,0.2861641205563982,0.39077539516209336,0.2838938150508069,0.30152269323962694,0.06094185125666756,0.5868979790716926,0.40854368694151894,0.442988668082539,0.8042938346120987,0.02881041144894833,0.9334095331376951,0.01062884969260063,0.41252594562359723,0.4196137323898823,0.03869239042839442,0.11950252963698751,0.17879836088296752,0.051363770880713,0.2013619274338782,0.14589337056848242,0.5199515452896153,0.18652078744427306,0.6695397082169419,0.10673964905208788,0.28098897812998946,0.9456336758192678,0.04181689108445981,0.35729510053853186,0.687316990488051,0.4282260105993879,0.5749490252863017,0.18721303274004295,0.7720319890024614,0.038689862391788656,0.3210236576113422,0.7815849547363334,0.18433749616171521,0.7843650472858948,0.01880288734841669,0.002146245225698629,0.15778033224686372,0.011679511761730415,0.012505992919402057,0.9796045403575578,0.35643630348139643,0.16495387459047298,0.1385266141949287,0.5429454752296505,0.013657071626246922,0.5912961444842156,0.17473910066137474,0.00894377738878239,0.35669697710484316,0.8323664474339205,0.9400668997234568,0.0066596218828112105,0.038811480736122894,0.8923231151357296,0.009516210650869753,0.6508013332354076,0.7173163884105569,0.0923003769213041,0.9540847445851237,0.37546207745142685,6.838633567243614e-5,0.7655171678896774,0.6614640808054452,0.7304562554721632,0.4398474483345726,0.5892400999127766,0.21892264034691405,0.3386741931741215,0.6320985794080942,0.0424570644203013,0.4020785981287593,0.5465690551285276,0.007147220831594854,0.6182322495519238,0.29976005017711804,0.11947151674868059,0.052602324801778955,0.879331318344133,0.22206848294043355,0.19078168113045804,0.7682060049380083,0.13265892433281784,0.6171580150532625,0.2987273817530937,0.8379843872365983,0.06000422400123539,0.22112305616287972,0.849397219492034,0.30060738954871696,0.6127310959079635,0.14621342952846988,0.4675884450573386,0.167543246638798,0.46427241544687903,0.8998381633912008,0.17156843413067485,0.512856619876703,0.049324519176159126,0.6298441370764729,0.08209967610786312,0.11531725810128983,0.4837481155961489,0.04880535699426501,0.24999959032508393,0.6858590279619343,0.05403609757513891,0.022219798442482962,0.21237534362162125,0.6875072934059886,0.12897624520900522,0.998228132523332,0.005952460786519229,0.4499773899654364,0.09438115873950029,0.4635059249053562,0.6672396696640361,0.23579648862214045,0.5017543006935682,0.5486558472042742,0.3469516423718816,0.08634844239918045,0.3945394408771905,0.4083962344981894,0.13049113536961893,0.6273554693595382,0.3399864535755429,0.16588499660099149,0.37969438278444734,0.3834995274759015,0.8757893361243207,0.1311933889029288,0.40956564521910954,0.04710967369021742,0.09246861839394596,0.016943567980353316,0.455573876021003,0.6699152748990173,0.4570325349082998,0.008114937539791964,0.05138041149534718,0.6340940853591697,0.06818623495460359,0.05402866870613055
786-M2A,81.52,18.48,0.09364447427955133,0.527549641416099,0.2813388097948292,0.6931637672323787,0.9944882048717727,0.2933688897450023,3.310861861553288e-5,0.3959922777056625,0.26645131829374,0.4366224629412218,0.25181266154026904,0.160134344075219,0.3341929422227611,0.3444464121130023,0.07566573443464533,0.1300318374405497,0.9055839619994626,0.4390175077912819,0.07341654842953488,0.8309398029358471,0.3147412884749104,0.02084072733737874,0.8638315525367342,0.863191705182557,0.15424195635859397,0.3657813236267988,0.12084433892616482,0.7864551277078828,0.1925301688151179,0.026400349422260484,0.21909034795561266,0.16213175959623333,0.1227004668698802,8.12945767872341e-4,0.3656627526103885,0.4742148893223073,0.18711619325562362,0.6392969099386312,0.28849501927541216,0.8760754262715389,0.12496865094791132,0.03336212957704365,0.45449005225850053,0.891188177588231,0.41703848840057495,0.06734996925655594,0.44976527697245194,0.29952002974528624,0.4561178706685378,0.2775248191080809,0.40045072743808807,0.7668715626069768,0.5066616964832918,0.990248684449606,0.9816186988045992,0.423893175220874,0.5556142249589564,0.2225190824863893,0.12385070359725259,0.9471591233610911,0.045535446756026124,0.011413606495821245,0.11551251291644304,0.11503275410742174,0.9424629103285798,0.49507072986437195,0.8336148265726266,0.7975497112479693,0.048274146250121094,0.7367074103556999,0.09797213406382976,0.0026580317773218466,0.07602796664467541,0.7634587441685305,0.5864075568486096,0.5158571236972862,0.05403516745599373,0.11491737731162452,0.03987459531740338,0.24938723177824404,0.23552950863051536,0.3169471783302075,0.6408828238945463,0.020077333465935748,0.25710605750865645,0.13525853280912564,0.23251300248473067,0.04010001614363014,0.23888260748655293,0.8881480978439371,0.25170334473866995,0.12440491376554919,0.7342123643824143,0.7118274990852261,0.3859861192980082,0.7633482657914188,0.023007681611551645,0.0138929596719247,0.9912789023776034,0.11541298209345628,0.6457592830141907,0.9649852847879398,0.024423624348690606,0.4390411054068578,0.013226673837925015,0.1425768424304735,0.4371960893219902,0.32485376712677166,0.0655121425182546,0.006791429584993092,0.9040880055852567,0.15518441417766168,0.09205363980971028,0.3287384463784099,0.08429601873554515,0.6763846860930706,0.07596111974135676,0.6349114065738298,0.14841053111370836,0.7542599396083474,0.08972571811455234,0.8729738542427509,0.4183607361816319,0.1036426077958079,0.5663304028327567,0.12720339183069967,0.7972423100058524,0.036304088876561634,0.0028292524537641586,0.05753252234446018,0.9184593200991454,0.023470982958015366,0.7480980314455261,0.03156001001120365,0.0813841468366756,0.14617993832928555,0.9961194245403902,0.06847694819592831,0.0037164000959790146,0.36659895448829843,0.008930297817042252,0.17226844519028842,0.020689705701523394,0.0028675024447914446,0.12403344324851559,0.06711069698580809,0.7380602394236866,0.012122707271102139,0.23754059126621208,0.03976143881401348,0.004036985073699458,0.26478816299415286,0.010518914548638444,0.30204276505378985,0.7316203111941906,0.1484734993769331,2.9778053056039253e-4,0.07778798859665356,0.6109765998851907,0.5895893135031606,0.7174744018995014,0.25277063851854353,0.031139288558239997,0.15397354148391484,0.8502072791865221,0.025573445574031985,0.20255397981207726,0.20649085593817723,0.9663200828748344,0.14425905218631455,0.12808945856923526,0.3189571028652487,0.46563694708021974,0.21956691806820794,0.08658443834886852,0.09393360541208515,0.03632693011774028,0.25249746704297016,0.6811918307453575,0.04126059673612615,0.5308664377750614,0.021724724696740045
