HMDB,PotentialAdditionalIDs,AllIDs
HMDB0000001,"HMDB0000479, HMDB0004935, HMDB0006703, HMDB0006704","HMDB0000001, HMDB0000479, HMDB0004935, HMDB0006703, HMDB0006704"
HMDB0000008,NA,HMDB0000008
HMDB0000011,HMDB0000357,"HMDB0000011, HMDB0000357"
HMDB0000017,NA,HMDB0000017
HMDB0000020,NA,HMDB0000020
HMDB0000026,HMDB0062812,"HMDB0000026, HMDB0062812"
HMDB0000034,NA,HMDB0000034
HMDB0000043,HMDB0059606,"HMDB0000043, HMDB0059606"
HMDB0000044,"HMDB0014273, HMDB0029945","HMDB0000044, HMDB0014273, HMDB0029945"
HMDB0000045,NA,HMDB0000045
HMDB0000049,HMDB0000086,"HMDB0000086, HMDB0000049"
HMDB0000050,"HMDB0004401, HMDB0004402, HMDB0004421","HMDB0000050, HMDB0004401, HMDB0004402, HMDB0004421"
HMDB0000052,HMDB0001006,"HMDB0000052, HMDB0001006"
HMDB0000054,"HMDB0000488, HMDB0240584","HMDB0000054, HMDB0000488, HMDB0240584"
HMDB0000056,NA,HMDB0000056
HMDB0000062,HMDB0001467,"HMDB0000062, HMDB0001467"
HMDB0000063,HMDB0014879,"HMDB0000063, HMDB0014879"
HMDB0000064,NA,HMDB0000064
HMDB0000067,"HMDB0000507, HMDB0062453","HMDB0000067, HMDB0000507, HMDB0062453"
HMDB0000068,HMDB0000615,"HMDB0000068, HMDB0000615"
HMDB0000070,HMDB0000716,"HMDB0000070, HMDB0000716"
HMDB0000071,NA,HMDB0000071
HMDB0000072,HMDB0000461,"HMDB0000072, HMDB0000461"
HMDB0000076,NA,HMDB0000076
HMDB0000078,HMDB0028775,"HMDB0000078, HMDB0028775"
HMDB0000085,NA,HMDB0000085
HMDB0000086,HMDB0000049,"HMDB0000086, HMDB0000049"
HMDB0000089,NA,HMDB0000089
HMDB0000092,NA,HMDB0000092
HMDB0000094,NA,HMDB0000094
HMDB0000095,NA,HMDB0000095
HMDB0000098,"HMDB0003763, HMDB0060254","HMDB0000098, HMDB0003763, HMDB0060254"
HMDB0000112,NA,HMDB0000112
HMDB0000114,NA,HMDB0000114
HMDB0000115,HMDB0003035,"HMDB0000115, HMDB0003035"
HMDB0000122,"HMDB0304632, HMDB0000516, HMDB0003340, HMDB0006564, HMDB0062170","HMDB0000122, HMDB0304632, HMDB0000516, HMDB0003340, HMDB0006564, HMDB0062170"
HMDB0000123,NA,HMDB0000123
HMDB0000125,"HMDB0001463, HMDB0006960","HMDB0000125, HMDB0001463, HMDB0006960"
HMDB0000126,HMDB0002722,"HMDB0000126, HMDB0002722"
HMDB0000127,NA,HMDB0000127
HMDB0000128,NA,HMDB0000128
HMDB0000131,NA,HMDB0000131
HMDB0000132,NA,HMDB0000132
HMDB0000133,NA,HMDB0000133
HMDB0000134,NA,HMDB0000134
HMDB0000138,"HMDB0032596, HMDB0031818","HMDB0000138, HMDB0032596, HMDB0031818"
HMDB0000139,HMDB0031818,"HMDB0000139, HMDB0031818"
HMDB0000148,HMDB0003339,"HMDB0000148, HMDB0003339"
HMDB0000149,"HMDB0060149, HMDB0062693","HMDB0000149, HMDB0060149, HMDB0062693"
