feature,term,UniqueGene
HMDB0000302,Sphingolipid Metabolism,Unique
HMDB0000304,O-Glycan Biosynthesis,Unique
HMDB0000302,O-Glycan Biosynthesis,Unique
HMDB0001484,Ketone Bodies Metabolism,In multiple Pathways
HMDB0001484,Fatty Acid Biosynthesis,In multiple Pathways
HMDB0000237,Ketone Bodies Metabolism,In multiple Pathways
HMDB0000237,Fatty Acid Biosynthesis,In multiple Pathways
HMDB0000060,Ketone Bodies Metabolism,In multiple Pathways
HMDB0000060,Fatty Acid Biosynthesis,In multiple Pathways
HMDB0001275,Ketone Bodies Metabolism,In multiple Pathways
HMDB0001275,Fatty Acid Biosynthesis,In multiple Pathways
HMDB0000208,Tryptophan metabolism,In multiple Pathways
HMDB0000208,Lysine Metabolism,In multiple Pathways
HMDB0000732,Tryptophan metabolism,In multiple Pathways
HMDB0000732,Lysine Metabolism,In multiple Pathways
HMDB0000978,Tryptophan metabolism,In multiple Pathways
HMDB0000978,Lysine Metabolism,In multiple Pathways
HMDB0000225,Tryptophan metabolism,In multiple Pathways
HMDB0000225,Lysine Metabolism,In multiple Pathways
HMDB0000148,Tryptophan metabolism,In multiple Pathways
HMDB0000148,Lysine Metabolism,In multiple Pathways
HMDB0000510,Tryptophan metabolism,In multiple Pathways
HMDB0000510,Lysine Metabolism,In multiple Pathways
HMDB0000684,Tryptophan metabolism,In multiple Pathways
HMDB0000684,Lysine Metabolism,In multiple Pathways
HMDB0000148,Lysine Metabolism,Unique
HMDB0000182,Lysine Metabolism,Unique
HMDB0001263,Lysine Metabolism,Unique
HMDB0000208,Lysine Metabolism,Unique
HMDB0000279,Lysine Metabolism,Unique
HMDB0000208,GABA shunt,Unique
HMDB0001172,GABA shunt,Unique
HMDB0000112,GABA shunt,Unique
HMDB0002166,GABA shunt,Unique
HMDB0000148,GABA shunt,Unique
HMDB0011111,GABA shunt,Unique
HMDB0000056,GABA shunt,Unique
HMDB0001259,GABA shunt,Unique
HMDB0006528,Cholesterol Metabolism,Unique
HMDB0001999,Cholesterol Metabolism,Unique
HMDB0002884,Cholesterol Metabolism,Unique
HMDB0006547,Cholesterol Metabolism,Unique
HMDB0010378,Cholesterol Metabolism,Unique
HMDB02815  ,Cholesterol Metabolism,Unique
HMDB0000806,Cholesterol Metabolism,Unique
HMDB0013123,Cholesterol Metabolism,Unique
HMDB0002356,Cholesterol Metabolism,Unique
HMDB0002212,Cholesterol Metabolism,Unique
HMDB0013025,Cholesterol Metabolism,Unique
HMDB10384 ,Cholesterol Metabolism,Unique
HMDB0000207,Cholesterol Metabolism,Unique
HMDB0002003,Cholesterol Metabolism,Unique
HMDB0001043,Cholesterol Metabolism,Unique
HMDB0010405,Cholesterol Metabolism,Unique
HMDB0002925,Cholesterol Metabolism,Unique
HMDB0012108,Cholesterol Metabolism,Unique
HMDB0000910,Cholesterol Metabolism,Unique
HMDB0000826,Cholesterol Metabolism,Unique
HMDB0001893,Cholesterol Metabolism,Unique
HMDB0000772,Cholesterol Metabolism,Unique
HMDB0001160,Cholesterol Metabolism,Unique
HMDB0000511,Cholesterol Metabolism,Unique
HMDB0000220,Cholesterol Metabolism,Unique
HMDB0003229,Cholesterol Metabolism,Unique
HMDB0003073,Cholesterol Metabolism,Unique
HMDB0000827,Cholesterol Metabolism,Unique
HMDB0000067,Cholesterol Metabolism,Unique
HMDB0010396,Cholesterol Metabolism,Unique
HMDB0002226,Cholesterol Metabolism,Unique
HMDB0002823,Cholesterol Metabolism,Unique
HMDB0001388,Cholesterol Metabolism,Unique
HMDB0000573,Cholesterol Metabolism,Unique
HMDB0000673,Cholesterol Metabolism,Unique
HMDB0000521,Cholesterol Metabolism,Unique
HMDB0002068,Cholesterol Metabolism,Unique
HMDB0010385,Cholesterol Metabolism,Unique
HMDB0000944,Cholesterol Metabolism,Unique
HMDB0002259,Cholesterol Metabolism,Unique
HMDB0003231,Cholesterol Metabolism,Unique
HMDB0002177,Cholesterol Metabolism,Unique
HMDB0002345,Cholesterol Metabolism,Unique
HMDB0000874,Bile Acid Biosynthesis,Unique
HMDB0000761,Bile Acid Biosynthesis,Unique
HMDB0000619,Bile Acid Biosynthesis,Unique
HMDB0000626,Bile Acid Biosynthesis,Unique
HMDB0000951,Bile Acid Biosynthesis,Unique
HMDB0011637,Bile Acid Biosynthesis,Unique
HMDB0000359,Bile Acid Biosynthesis,Unique
HMDB0000946,Bile Acid Biosynthesis,Unique
HMDB0012455,Bile Acid Biosynthesis,Unique
HMDB0000036,Bile Acid Biosynthesis,Unique
HMDB0000637,Bile Acid Biosynthesis,Unique
HMDB0001993,Bile Acid Biosynthesis,Unique
HMDB0002596,Bile Acid Biosynthesis,Unique
HMDB0000601,Bile Acid Biosynthesis,Unique
HMDB0000760,Bile Acid Biosynthesis,Unique
HMDB0000896,Bile Acid Biosynthesis,Unique
HMDB0002208,Bile Acid Biosynthesis,Unique
HMDB0000138,Bile Acid Biosynthesis,Unique
HMDB0000708,Bile Acid Biosynthesis,Unique
HMDB02815  ,Glycerophospholipid Metabolism,In multiple Pathways
HMDB02815  ,Multidrug resistance,In multiple Pathways
HMDB10384 ,Glycerophospholipid Metabolism,In multiple Pathways
HMDB10384 ,Multidrug resistance,In multiple Pathways
HMDB0012108,Glycerophospholipid Metabolism,In multiple Pathways
HMDB0012108,Multidrug resistance,In multiple Pathways
HMDB0010385,Glycerophospholipid Metabolism,In multiple Pathways
HMDB0010385,Multidrug resistance,In multiple Pathways
HMDB0000121,Glycerophospholipid Metabolism,In multiple Pathways
HMDB0000121,Multidrug resistance,In multiple Pathways
HMDB0010405,Glycerophospholipid Metabolism,In multiple Pathways
HMDB0010405,Multidrug resistance,In multiple Pathways
HMDB0010396,Glycerophospholipid Metabolism,In multiple Pathways
HMDB0010396,Multidrug resistance,In multiple Pathways
HMDB0004242,Steroid Metabolism,In multiple Pathways
HMDB0004242,Multidrug resistance,In multiple Pathways
HMDB0002829,Steroid Metabolism,In multiple Pathways
HMDB0002829,Multidrug resistance,In multiple Pathways
HMDB0062222,Steroid Metabolism,In multiple Pathways
HMDB0062222,Multidrug resistance,In multiple Pathways
HMDB0006203,Steroid Metabolism,In multiple Pathways
HMDB0006203,Multidrug resistance,In multiple Pathways
HMDB0010216,Steroid Metabolism,In multiple Pathways
HMDB0010216,Multidrug resistance,In multiple Pathways
HMDB0003193,Steroid Metabolism,In multiple Pathways
HMDB0003193,Multidrug resistance,In multiple Pathways
HMDB0062425,Steroid Metabolism,In multiple Pathways
HMDB0062425,Multidrug resistance,In multiple Pathways
HMDB0004362,Steroid Metabolism,In multiple Pathways
HMDB0004362,Multidrug resistance,In multiple Pathways
HMDB0000121,Steroid Metabolism,In multiple Pathways
HMDB0006766,Steroid Metabolism,In multiple Pathways
HMDB0006766,Multidrug resistance,In multiple Pathways
HMDB0004484,Steroid Metabolism,In multiple Pathways
HMDB0004484,Multidrug resistance,In multiple Pathways
HMDB0000138,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000138,Multidrug resistance,In multiple Pathways
HMDB0002596,Bile Acid Biosynthesis,In multiple Pathways
HMDB0002596,Multidrug resistance,In multiple Pathways
HMDB0000626,Bile Acid Biosynthesis,In multiple Pathways
