Code,Conditions,Biological_Replicates,n_AnalyticalReplicates_Summed,valine-d8,hippuric acid-d5,2/3-phosphoglycerate,2-aminoadipic acid,2-hydroxyglutarate,2-ketoglutarate,4-guanidinobutanoate,4-hydroxyphenyllactate,5-aminolevulinic acid,5-aminovaleric acid*,5-methylthioadenosine (MTA),6-phosphogluconate,acetylcarnitine,acetylcholine,acetyl-CoA,adenosine,ADP,ADP-ribose,AICAR,alanine,AMP,arginine,argininosuccinate,asparagine,aspartate,ATP,beta-alanine,beta-citrylglutamic acid,betaine,butyrylcarnitine C4,cAMP,carnitinamide,carnitine,carnosine,CDP,CDP-ethanolamine,choline,aconitate,citicoline,citrate,citrulline,CMP,CMP-2-aminoethylphosphonate,CMP-acetylneuraminic acid,creatine,creatinine,CTP,cyclic ADP-ribose,cystathionine,cysteic acid,cysteinylglycine,cytidine,cytosine,dATP,dCTP,deoxyadenosine,deoxycytidine,deoxyribose 5-phosphate,dihydroorotate,dihydroxyacetone phosphate,dimethylarginine (ADMA+SDMA),dTTP,FAD,FAICAR,fructose,"fructose 1,6-bisphosphate",fructose 6-Phosphate,fumarate,GDP,GDP-hexose,gluconate,glucose,glucose 1-phosphate,glucose 6-phosphate,glucuronic acid,glutamate,glutamine,glutamylcysteine,glutamylglutamate,glutamyllysine,glutamylthreonine,glutathione,glutathione oxidized,glyceraldehyde 3-phosphate,glycerol 3-phosphate,glycerophosphocholine,glycerophosphoethanolamine,glycerophosphoinositol,glycine,Gly-Gly,GMP,GTP,guanosine,hexanoylcarnitine C6,hexenoylcarnitine C6:1,hexosamine phosphate,histidine,homoarginine,hypotaurine,hypoxanthine,IMP,indole,indole-3-lactate,inosine,isoleucine,isovalerylcarnitine,KMV,lactate,leucine,lysine,malate,malonate,malonylcarnitine C3-DC,mesaconate,methionine,methionine sulfoxide,methylhistidine,methylindole,methylmalonylcarnitine C3-DC-M/succinylcarnitine C4-DC,mevalonic acid 5-pyrophosphate,myo-inositol,N-acetylalanine,N-acetylarginine,N-acetylaspartate,N-acetylaspartylglutamate,N-acetylglutamate,N-acetylglutamine,N-acetylhexosamine phosphate,N-acetylhistidine,N-acetylmethionine,N-acetylneuramic acid,N-acetylornithine,N-acetylserine,NAD,NADH,NADP,NADPH,N-carbamoylaspartate,ophthalmate,ornithine,orotate,orotidine,pantothenate,pentose phosphates,phenylalanine,phosphocreatine,phosphoenolpyruvate,phosphoethanolamine,phosphorylcholine,proline,propionylcarnitine,pyroglutamic acid,pyruvate,S-(2-succinyl)cysteine,S-adenosylhomocysteine,S-adenosylmethionine,SAICAR,sedoheptulose 7-phosphate,serine,S-lactoylglutathione,stearoylcarnitine C18,succinate,succinylglutathione,taurine,tetradecanoylcarnitine C14,tetradecenoylcarnitine C14:1,thiamine,threonine,trans-4-hydroxyproline,trimethyllysine,tryptophan,tyrosine,UDP,UDP-GlcNac,UDP-hexose,UMP,uric acid,uridine,UTP,valine,Val-Lys,xanthine
786-M1A_1,786-M1A,1,4,2137465580.25,4136150996.5,50850159.7175,6721719.05425,379604789.875,858143799.575,1715178.53225,1969111.577,3376016.71125,61948152.3775,12045388.1225,869786.30445,3600275269.5,25309252.2725,2617174.9074999997,10374687.269,44692708.3125,1481721.07575,1966228.0905,234469773.025,14808551.55,121031842.20500001,406799.892525,26929616.2975,1419203938.5,178861763.05,41636772.9125,178673976.175,3244026365.5,539501038.8,248280.573475,2988458.04,15422753717.25,10564549.4305,5133537.2115,972081.6156,532039025.275,78588506.31,4868594.2915,1798783589.25,246451317.92499998,1144046.03545,1111429.0315,5916894.49575,47054247036,1750866208.5,11622586.42,15976766.165000001,301625.932775,278248.4234,11624303.635,2684728.32575,3294157.41725,183857.363025,375653.778125,398934.316675,4071754.564,2008200.03575,15871273.4025,34635389.72,6978407.44025,2797024.5685,558795.887075,35418.3770475,9281936.195,16232701.0375,4030206.272,105071056.6,5675082.1185,1223438.38225,334806211.25,49811676.050000004,1060436.1235500001,7134635.776500001,8981555.0185,8814032049.25,1249860809.75,541288.5499,3109601.5065,504904.71297500003,4288313.53325,1775323169,3409995.9155,15454236.86,12645296.5,8911039953.5,144521272.125,28958966.0325,3126126.4915,931435.41195,1642113.78275,7726797.367000001,647449.797375,3336984.885,1798563.44625,4333382.034,431983091.925,1802082.35775,1314318.1782499999,5804189.45925,693317.846975,549342.6635,297549.09635,537944.3721,376336236.875,26524759.6575,4006063.47475,646231010.325,405216616.975,35681987.9425,2007517509.25,6672052.12425,1390665.739,29461093.1075,76317399.6875,483318.62955,33291292.924999997,1736725.3372499999,42972643.2325,382062.699525,239911714.775,10863701.5875,442440.640175,53393485.78,250366.89905,31397801.3475,2985539.851,3125014.0655,12175554.67275,16852055.13,17157974.215,11147524.8225,265058676.125,164317833.575,1308309.74035,937702.4538,2675607.8605,6321651.70675,65621015.03,2085717.399,30144988.177500002,1141846786.75,1153742758.5,6373619.17225,220497091.325,4261142.19875,15681225.6875,1294531.283,5315895503,10594514099,345317349.725,339791344.67499995,20458293.8325,81318.368145,6067503.22775,80084844.42,141078.002025,518586.37405,8241673.44025,787431.221775,1062680.9632,28198088.3375,1077810.12425,3636481203.25,304516.965875,588204.8992999999,56388430.4225,154832479.45,25134241.5475,5123773.70175,229824134.775,106578807.9925,32558449.025,106612776.7,74412351.3875,5013596.37275,301683349.775,968907.78305,81144078.65,282195727.47499996,21147059.625,13785957.5
786-M1A_2,786-M1A,2,4,2036814893.75,3969389969,44221377.832499996,7128513.4285,395801304.2,895427572.35,1724506.9605,1864289.88625,3601619.933,61251285.2,17825919.96,647289.3819,3262198171.25,25884700.995,1999152.1632500002,9798809.2745,32311060.314999998,1847404.21575,3378726.548,244500122.4,13125354.870000001,116087929.375,406215.292825,27046471.4925,1455149193.25,109239785.9,42953416.45,170262893.75,2895097008.75,606982706.675,313538.221875,3223880.7962499997,16027724703.5,7910713.764,2965130.0045,1428221.30775,450998086.4,85887118.3075,5234516.75325,1810888483.25,254275521.25,631838.9453,1591172.16125,6375931.70775,46876236375.5,1622969060,6201397.2385,17305605.3925,523944.87272499996,369591.994,11908098.322500002,2188428.471,3034635.5439999998,78029.7924475,81514.54677,339540.087375,4335317.644,2298425.3305,18839317.335,48754112.644999996,6942038.939,1857935.3090000001,490992.4443,70871.43935,8657587.9405,14405357.25,4202473.2845,113343466.675,3311563.2815,902922.682725,384634402.925,34893258.0825,1315903.88475,6466020.068,8606432.82175,9730150721.5,1084871224.5,396126.13142499997,3257887.38525,414804.222925,4486342.77975,1706288143.5,3240340.321,15956899.445,13737965.6,10682258474,171519329.39999998,36166241.567499995,3226173.73525,995204.2831,1047601.464725,4374057.4705,503510.49065,3561746.5300000003,1840377.118,4958737.9265,407484254,1952196.091,1343521.5485,2361192.34625,923006.201225,567404.188275,233023.60145000002,714334.396075,367650473.125,27999558.975,4342571.72675,598497533.55,379084810.1,34596533.6425,2082175846.75,7617391.28,1545176.09425,32016695.369999997,70569596.92750001,386135.64852499997,33223776.0925,1890076.21425,41050247.245,229214.1305,237845936.02499998,12084360.9125,333738.9883,57129712.13,210980.624125,35196506.36,3251393.66325,2836909.92425,8843197.12625,18393739.8925,14034074.01,10951365.325000001,289473675.45,178532821.6,1082445.90545,791939.161875,1339329.5302249999,8708727.257,73253110.265,2023209.2495,41306897.555,1228537775.75,1273380707.5,7418146.859,218551582.025,2565763.4635,13667035.15,1692377.1172500001,5767607533.5,11344755742.25,352859344.3,302848023.125,21675230.1875,111422.18072,6829494.10575,84224128.115,161291.64649,633181.98085,7396588.81,1044407.402375,1025753.510275,26082162.515,982913.088425,3448986258,411367.987075,474585.959,56108729.4075,156502196.775,25152619.3,4709743.51825,232183604.625,112277979.3,25197716.335,106746256.42500001,77940391.55000001,4649519.197,278117292.5,557034.47245,52128876.9875,267351751.3,19888407.7325,10639686.15
786-M1A_3,786-M1A,3,4,2041921709,4093277482.5,44414883.900000006,7038812.01825,405519260.475,975020701.425,1936262.702,2144432.2199999997,4178624.9735,54074756.505,19570650.935000002,1417722.798225,5463784449.25,27729066.17,2853138.8855,10180243.75225,47837455.8225,1896113.19025,2165764.774,251273095.675,15090330.129999999,132011209.525,497732.2466,27573495.38,1398129198.5,201309620.325,40747871,170908838.875,3683354211.25,700471608.85,375762.13505000004,3671394.674,15749942959,9931257.210749999,5354609.919749999,1328266.70725,527153842.25,112168378.275,5984195.21225,2354707229.5,257242164.6,1051968.21815,1297170.2155,6495361.83075,50183532987,1737402267.25,12929357.77,18964391.955,532812.40805,444284.81094999996,10567189.337,3389794.4557499997,3680640.87775,259886.5011,383050.6626,506942.53575000004,4553773.04425,1988921.661,20232830.4,48423533.165,8015917.52725,3074713.93,971678.03475,102974.69619,8840795.0985,17004291.6375,5267659.68675,107832233.875,6272086.42525,1353844.1705,423986256,44517390.7675,1361966.2425,10490882.98525,9408544.93925,9471119591.5,1118329733.75,411661.38242499996,2878686.52275,542457.58155,4151004.217,1649053057,3149128.167,21080704.5775,15275894.1175,11013839168.75,167627371.775,21559912.5925,3336928.7605,1038339.02275,1708210.6505,8745785.20475,957561.1765000001,3246171.98625,1451207.65825,5309352.22625,443751292.55,2204890.134,1481883.58025,1964405.426,778509.9899500001,600547.676825,358099.813575,669541.263525,392592697.075,31411149.4525,4908533.6375,741876295.25,421797179.9,39439412.807500005,1999735337.25,6054143.58825,1441363.15,32175566.8375,77897994.2425,321814.41585,35393705.89,2044785.24875,44526211.4225,286062.9467,244769891.05,12782830.9575,609790.9447999999,62850613.057500005,212232.82145,37033226.555,2990929.1550000003,3478526.306,11572547.7525,22534275.060000002,17719795.9225,12091864.11,310770138.725,191770958.925,1407888.5310499999,993605.78105,2989725.75325,7710288.171,72569985.9325,2006022.37925,44127227.3525,1156780996.25,1318855248.5,7456966.78775,234394463.825,2291752.00675,12672047.75525,1698473.6552499998,5664928989,12109866588,432068170.3,337059059.35,26264542.5225,112676.1737875,7416325.74325,94043453.1675,88266.907085,622306.1246249999,7421956.54025,804946.1485,1165317.74365,31091179.307499997,815085.1437250001,3659285081.75,377876.36555,588948.202175,59896162.19,163029244.8,23989625.4675,5744344.58275,246712508.775,105139574.63499999,34815225.4625,122329791.175,83765955.1825,5077376.64075,330983152.9,688581.878375,91573969.83,287579313.875,24077262.5125,13331871.6
786-M2A_1,786-M2A,1,4,2259731930,4455887528.75,42554387.3175,5703156.34475,407514351.65,784946898.775,2448414.5870000003,2095186.7995,3819645.38875,59779405.395,12873028.595,653625.605575,3644251303.25,25176009.939999998,2887687.541,16705119.41,53580335.22,1641051.428,1130450.568825,242237525.05,17264867.5925,109437940.2325,337853.372725,27865954.2125,1575743763,223112307.4,47723425.1075,208877889.3,2925485170.5,449043112.85,391320.5289,2919546.9837499997,15613826558.75,8401128.02325,6362610.41075,3277028.0765,725787245.225,96519792.24,9749665.07,1840983041.5,256887084.85,1402991.96925,2822447.6624999996,6681827.5005,41783142893,1655518344,14857014.725,17509105.52,218822.04495,348228.00195,12081353.61,3196536.2335,3517111.17625,243600.87487499998,368061.022075,550997.8321,5131322.4255,2585533.71525,17632370.5575,53923035.965,6664729.4775,3315742.8279999997,1141219.443,41761.8381125,11092322.935,16356284.78,5426992.88975,113001884.05,7752900.318,1283008.045,259137796.025,41199558.0325,1196772.8685,10019947.1405,6971508.6545,9414466052.75,1071862423.25,409382.2018,3513134.13275,579595.697175,5230324.1285,1722926530,3024688.093,14354738.379999999,16546774.245000001,18021952305.75,244757622.225,30536588.985,3243274.1615,867378.693675,2155069.53775,10370851.35625,966266.118675,3348396.01725,1832975.6800000002,4789726.9595,412036119.6,1528752.517,1350028.66025,2914871.9945,631595.42365,588733.705175,251956.998075,891875.212925,387178265.325,34935940.7475,4188989.94975,617690615.775,425591857.7,30505521.775,2089669463.25,6558686.13425,1490292.6805,31268329.1175,82960344.925,320977.327625,35139259.1875,1938067.7695,48204639.6925,378315.31614999997,265419457.3,11829769.2925,305714.36605,67340597.025,322104.5616,31912671.0375,2920838.34375,2848871.017,9857670.3705,16586950.8025,14329686.06,11415157.7875,261776054.5,178491853.225,1039427.7468999999,1347793.74175,3148227.975,6450409.0907499995,95708941.0425,1437807.513,33151818.887500003,948108472.65,1103702577.5,6365584.720000001,240218698.775,702410.723025,13614850.7575,6972737.81525,6297780422.5,10107300629.5,388627446.125,298078463.225,24730944.475,81656.78652,6263896.382999999,82850409.27250001,41603.72652,453898.801675,8343121.34975,884613.495625,1634348.1985,28785251.6125,959827.3773,3486171114,189229.4869175,377253.279825,55355498.3275,167557211.025,28479727.1,4643819.23,245000514.8,113985255.69999999,37602762.8475,135375218.175,82829966.6125,5713146.9965,276092538.775,985094.6381249999,95891625.0025,290833988.92499995,22481158.7075,12097554.4285
786-M2A_2,786-M2A,2,4,2088808527.75,3933648100,42495320.02,6072885.23375,427430322.825,870565485.85,5137854.82025,2418241.927,4018103.87175,61355945.5225,18364595.8275,1811640.3856249999,4268933390.75,23990385.4825,3198611.7845,10234488.5245,49991656.3925,1926906.34425,405920.207875,258125029.95,15690190.32,157857718.5,279534.053075,35107450.685,1662168906,199292807.8,48540444.7625,205522263.75,3634378202.25,512591324.6,435828.9801,3140090.70275,14884919629.75,13987052.793,4214320.68675,3567473.76175,637298809.9250001,84151134.17,11719784.1495,1896995890.5,316605117.625,654416.252575,3145195.6015,7322369.1095,42254716730.5,2050304407.25,10513645.99525,19277597.745,337146.3974,438971.488525,11760531.2275,3502034.097,3496173.43475,187494.1575525,272410.7352,445204.94704999996,4303818.86875,2876209.47725,84376678.63250001,56804830.730000004,8081117.7145,3032796.19125,863187.577425,88100.2818075,12143081.075,20223406.3125,8103776.77875,93886583.4675,5605003.595,1354525.25225,336532017.95,76425278.595,1593839.9045,19828960.3975,7283609.444,9911258095.25,1463961347.25,362815.21405,3541485.58475,578232.71085,4766318.888,1726455544.75,3196567.1845,14006603.145,23970371.2425,20184394026.75,252273829.775,18596017.5725,4525488.9795,991758.152025,1448637.365975,7847296.6595,775543.607875,3837381.91525,1842789.14075,5571752.33775,511707466.2,2232377.75725,1242543.36475,2073436.32375,481454.010825,748519.2099250001,434466.093175,714339.8411,496851327.175,32252510.2225,5555764.100500001,758912992.7,561415310.45,44433921.8075,1723354891,6857656.2405,1459749.0215,33800343.785,113117087.1425,372741.889575,44564079.155,2373776.81425,48576518.525000006,475367.7366,265753941.075,12883600.53,255226.454875,66749308.15,323157.472975,34658387.065,3033917.4025,2590933.06825,19074495.5175,17986700.8325,14092772.625,14150261.82,279754393.65,201467682.325,472610.029475,2003461.71475,2013484.4555000002,36764121.1675,90121138.9025,2174604.0665,342954701.525,752613520.775,1290995342.25,7372826.46725,307591551.575,806738.8963,10276560.25825,11933155.2575,7451099801.25,11504449971.25,378667158.6,339631506.95,32292003.6675,108636.4403825,6543330.85525,97451185.645,0,562875.728225,11095128.605,794544.76445,1316327.764625,31337884.89,898312.496825,3512744912,323769.810425,1337305.35425,68525369.4425,199469188.60000002,29981809.3625,5553012.80625,297717295.2,119889930.1775,30163319.65,124482399.0525,79071417.6075,4609620.3395,333202971.2,1018971.799475,76271316.14,366031294.65,22287833.895,18124927.9625
786-M2A_3,786-M2A,3,4,2133079813.25,4130482377.75,42633260.7025,6333761.2835,459442664.125,878316599.575,1472702.6514,2209553.79275,4728160.552,52616370.725,21612351.7275,1178498.16245,4787966307.25,25478232.0375,3430230.5039999997,16391883.045,62870558.515,1836866.851,0,237339417.675,17924199.68,109376499.875,322957.806225,30045068.39,1589559538.25,274885570.275,47311767.9125,202922217.3,3157602339.75,547905843.475,404842.655825,3097542.6867500003,13891143937,7452102.42475,4454599.3237499995,2576654.599,735816598,107678530.45,10985241.3025,2090380802,256850302.575,685655.595875,2263635.66425,7374754.6192499995,43452961642.5,1603114399.75,11516553.725,20216396.052500002,281994.092075,518015.90304999996,9906001.8745,4546186.824,4069709.2145,416105.5632,370401.22405,665618.5155249999,4672945.0915,2582223.58675,62389382.19,54750949.13,6351243.54125,3287979.27575,1269207.9545,53076.7917825,9195920.9285,17631499.1325,6723014.256,108562453.32499999,7892708.1422500005,1511654.194,331394016.275,36447516.045,1705390.8305,13716156.5975,7205692.18525,9836866947.5,1118899111.25,220990.856,3068891.15625,578506.56335,4582039.52775,1515115612.5,2847734.39625,19867307.2325,21261161.23,22945209810.75,269856415.175,15457661.059999999,4453732.372,1010331.3200000001,2202374.6405,10682155.851750001,1280946.69835,3071211.2305,1823236.0917500001,5136571.908,391640749.675,1468424.85125,1364134.849,2658778.5867500002,296013.681875,620673.9064249999,301113.4487,612099.1915,388461942.42499995,33380887.7025,4045293.7989999996,630736219.725,441625411.15,29785188.747500002,1982358225.5,6194280.84875,1281169.7449999999,37372168.265,87553075.985,367743.27885,33622984.615,2083853.5805000002,48787204.2675,136775.17779,306005006.85,13155952.455,317000.236975,71565272.7925,334287.52167499997,38095231.98,3200260.02675,2899677.53075,8281383.76575,23606501.8,12166722.7,11151520.225,278397682.9,208988852.65,591240.917975,2079829.7005,2747279.886,31311056.8475,94027074.225,2001101.942,353737224.15,646553640.175,1335357559.25,6514019.48575,247603313.825,522198.568975,11512528.546,6655258.58325,7192643164.75,11924441574.75,421769424.225,279147949.825,23807871.8975,30535.8393375,6652958.51525,108621928.065,0,550177.320425,9366156.6695,539305.957725,1958475.59525,33539308.285,634686.767325,3263404654,414364.079425,506247.684225,64312380.587500006,163763035.45,22540139.9075,4144183.10225,247727828.85,94777049.08,27830323.7075,122407232.19999999,68928040.515,4076237.89225,289467976.75,726608.34185,70819865.11,283827053.275,24134138.6475,11351990.8925
786-O_1,786-O,1,4,2139084559.75,4238409507.25,40174979.057500005,9756883.32475,424055946.95,965656241.325,2600128.0765,2175019.6662500002,3560558.31625,81670320.84,21583701.37,1066859.625425,5950485804.5,47494458.417500004,3789518.41175,26383483.697499998,60417748.355000004,1699469.762,1874516.2895,254996131.1,17030873.1575,119273943.025,122029.9315775,25791432.315,1423126878.75,301131049.325,52303808.27,192354944.825,5268730918.75,710180510.45,507418.281375,3634295.00925,26232727188.25,7625083.388,8038424.85075,812484.826525,420016050.1,108976787.61,3493690.2934999997,2168941127.75,257043493.825,1805843.22775,672038.077225,8694818.665000001,50802897741,1785471762,20297277.52,18141353.88,808461.8878,350529.525975,18850151.1675,3581849.5855,3936127.1755,439507.14875,529684.0058,860700.85665,6614739.904,2209906.124,30653201.8875,49618136.629999995,10172991.868,4447630.3780000005,1349607.7935000001,161379.6389275,7979391.32575,16927891.240000002,5059667.292,110770916.875,10321456.169750001,1247092.49725,501231131.84999996,41368581.475,1245785.91775,10622433.185,16108252.685,9765716012.75,1054075794.075,947775.88885,4166732.421,605105.26435,4711765.24875,2728881731.5,5937400.12075,24537837.83,7655413.6095,6919613495.5,133076493.4,22686682.53,2820221.61175,1030906.044525,2867691.7145,14702162.9925,1220425.3597499998,5638181.85975,2323949.511,5921585.035,453677333.625,2072766.81225,2269039.19325,7272975.007499999,577261.078925,551853.9814,349371.99607500003,1193779.85625,361758361.3,36845502.195,4477601.33525,570027200.125,397798400.775,36448792.72,2020980821,6961162.41825,2693053.23525,33343594.192500003,70267883.42750001,471639.69810000004,34076557.7,2011619.332,40225191.1325,853151.40735,207207495.1,13226987.0875,651623.70425,323278263.45,1470568.81025,35732141.4,2886794.46275,4161326.55325,9549602.66875,18922042.802500002,13695020.5025,11629816.49,325568004.525,185166992.85,709629.84045,2177807.96675,3016472.14375,6848477.54025,66258967.8725,1868060.625425,29930718.71,1260032266,1614520448,8036214.2155,226218618.85,1878713.0205,10873792.3325,1908309.47775,11046025047.75,11162863803.25,520026530.1,349926653,23468909.53,135987.4410825,8099729.316500001,85764041.2975,171608.797195,313407.461075,7233223.523,1089184.7444,1711634.82325,30716665.995,1366911.01525,5493929232.5,1079366.52485,1390049.90575,57871363.97,159678058.75,25957261.425,7948742.33775,240023168.875,93922302.485,46181214.935,152701347,96186466.985,5984013.69175,291209577.3,1652425.42325,138229364.375,272760628.775,32726174.127499998,12680123.945
786-O_2,786-O,2,4,2150188091.25,4212961340.75,28586708.5175,8538241.537,434602984.65,993329323.625,2177939.8295,1984349.70125,3427068.75425,69946365.5775,16033922.885,823325.772475,4953035185.75,35862463.715,3167006.7195,11374057.4325,38675718.777499996,1667894.956,3236857.9955,236268607.675,13975278.8125,100818538.72,86782.08294749999,20912065.5925,1143457298.25,139846429.05,43674412.0825,143066352.775,3552190122.5,666614257.675,420884.32605000003,3120430.89175,21337220696,5883202.41825,3572100.89675,438269.760125,217099548.7,87998731.59,2152007.3675,1921616756,222743635.52499998,896290.0882,290409.07385,6618175.61525,47264688662.5,1472093292,7434200.3145,15698207.5425,712592.282375,313551.723575,16031311.4775,2422930.80925,3253359.542,132786.8398525,91249.8083725,479220.604875,3693982.69325,1868426.70725,46743463.160000004,30314495.36,7835616.9087499995,2391751.92075,674360.22435,57628.8717425,7099720.6115,12982842.985,4961450.893,110848401.725,3941464.77475,870267.9384999999,564720973.55,30024303.87,1153257.7954,10242573.55525,12788406.9975,8927193106,624856530.45,593271.97915,3496728.602,332265.548875,3908214.02675,2212607303.5,4332194.6235,22723037.88,6410070.69125,4749240153.25,94127052.6725,31590412.6975,2354969.4280000003,873147.302775,1059008.423325,5125091.16025,652202.754225,4509284.94775,1747094.8957500001,5056326.67225,396279658.125,1987646.44475,1782519.462,5504984.43125,753126.39825,421768.99715,351026.068325,1035910.6386,302238922.525,42821488.835,3488966.68375,429163619.725,318927020.125,31326141.115000002,2048358668.75,6790816.257,1956949.8687500001,34548081.2775,49616853.9225,458928.5818,28575103.52,1630726.77725,32458527.5075,434482.36305,210161396.625,12163205.6675,488137.92885,329625251.375,1191233.1572500002,37100867.447500005,2934817.2615,3141444.69025,5883979.518,17989776.355,13066712.72,9855823.14325,301756060.325,162203306.475,230626.79105,1830431.41825,1015210.737825,7922551.40725,51419095.6725,1330632.34975,35624178.0875,1282052471.25,1368608932.25,6370677.41025,185246927.225,1749212.79475,6847688.547,1012079.450775,8185923053.5,10281889509.25,462838751.225,288263394.475,15523627.3125,85823.0899125,7469971.75925,77395268.945,230128.79475,350883.3815,5522507.6477500005,1290771.091,2359589.90065,31011755.1,1009712.617125,4414210313.75,1027603.01075,1066932.16155,60986722.915,139050721.45,22505047.6375,5698935.23125,204663557.375,98096216.145,30108995.94,105626984.8075,80863363.95,5051397.9155,257061166.775,1119056.8172250001,67684132.7275,231117324.15,24097487.9025,6951786.56025
786-O_3,786-O,3,4,2116954180.75,4176094436.75,29570631.8375,9109016.87125,411783141.875,1021991068.55,1710715.20475,2214038.249,4158427.69525,61537194.3825,18736755.5025,815256.8328249999,6634768068.75,38809845.2825,2688210.476,9501754.7495,41792111.68,1649764.14675,2600534.04025,240309736.25,14937325.57,125013245.725,90549.1465425,22672084.42,1269037297.25,159605935.9,40694347.585,143957017.05,4405595063.75,721250367.825,465913.658275,3547310.69225,21942344120.75,8499842.17675,3850625.85275,585325.0755,262158208.75,121221436,3172673.81825,2066072439,245158890.375,752167.52275,539865.65715,6903741.848,49245717488.75,1689818147.75,8951265.15275,16509759.2825,774670.803325,379730.563275,13133812.885,1870885.53725,2894810.8564999998,118141.541725,136115.818795,303017.367675,4506654.59025,1655778.708,29758647.060000002,50082044.9075,8308913.53475,2744636.81775,1046452.858075,169501.23995000002,9013029.61825,15395186.7375,4879053.4505,120400980.725,4603507.6155,1084863.8905,589061654.925,41653945.8375,1300484.158,10554847.22525,12935295.385,9348902586.75,975693252.85,642864.996675,2998038.6025,230808.485475,4103216.68975,1975770859.5,3933705.1215,26049049.2075,8122061.90825,5659682196.75,95666550.92999999,27801747.8325,2714433.59675,1059217.513325,1293440.84675,5924535.292,346185.0237,4847798.8977500005,1706850.092,5543174.58375,418943473.975,2168293.46375,1877130.2140000002,1838185.71325,682108.18975,500818.29720000003,348312.725025,944610.972125,360442151.325,35183675.3875,4857337.8395,623251884.45,368210019.925,37292750.4525,2212195049.25,3818146.6114999996,1892175.31225,33144614.835,67084199.93,410062.123075,32236511.54,1816099.02675,31881906.3,301612.122,212172162.875,13040723.875,517882.49165,383016582.275,1335816.651,38716095.24,2936636.01475,3237395.6415,9157830.931,21915038.7325,11463090.2575,10441310.8475,320437496.95,173562452.475,159057.8583,1508810.7525,1664890.1835,7583172.309,49941257.7575,1818432.32675,32643908.8125,1233187793,1571635801,7039424.681,212216224.325,1781833.8715,8250264.28675,1054160.192525,9169722634.25,11712765840,516000125.7,316163828.25,25433230.25,61884.56911,7441562.982,79967369.8575,130691.72427,321774.0007,6607655.58,671819.951,1551771.29625,33516383.355,695243.4380000001,4383010557.75,858582.86725,1390338.8585,73616897.8625,146005963.85,23586832.9025,6654535.992249999,223847180.575,109668911,31626572.47,120581094.175,86832805.005,5397359.658,329018578.325,681298.67375,73987049.81,268429590.875,23323218.674999997,11245390.282499999
HK2_1,HK2,1,4,1978628088.5,4228305220,41311915.6875,7752803.57575,251431037.975,435626442.2,5920044.473999999,5291633.74275,5374236.23125,53273242.0325,33280355.5375,1419762.4985,7946217616.5,58562780.125,3869640.36975,18631287.0225,75608601.43,2248281.656,209298.25995,1335483084,18579539.79,119084471.94999999,823595.9492500001,134528104.32500002,1286742845.75,374706952.075,157364415.275,297868485.65000004,9609152453.75,1142418497.5,587034.2379000001,3659834.3109999998,18905363235.25,9512136.602,9236294.7955,12838565.3425,939969970.075,88763872.88,26592741.384999998,2135390278.25,514070092,1792582.858,3855250.32675,8852667,42077665432,2002170654.75,23105071.6375,24439796.747500002,10025927.0855,147119.46965,31170230.0825,4531856.77475,4039130.58775,748266.3448,828950.125875,642313.28255,7915795.19375,1014567.324175,25810014.1275,47752826.3775,10572328.179,5997991.85975,823864.84175,1633114.938,6812150.757,19665532.1525,5890833.11775,142286486.15,9473616.86575,1158330.87675,3986201570.75,24601672.7975,2756515.60175,9971325.694,12229842.0625,9296261640.25,1333070996,1239048.546,3119127.681,664545.0012,4109784.391,3992608525.25,10279969.06275,23842533.66,26472859.0925,11831801827.5,458500710.35,142376723.55,32578619.322499998,2317092.14425,2696894.58675,13581742.2675,865128.122,6689606.450999999,1982789.833,21731879.6025,985049763.725,2133888.0442500003,1372120.3595,3092098.6755,652303.7017999999,1324626.38075,849814.399375,961263.1281,629328918.15,26380487.09,4824955.45625,755039006.7,770872875.075,37313321.69,2590086639,7916796.478,355820.64280000003,19871674.03,192770966.75,823880.5659,62144706.0725,3640093.056,12582315.2,461121.19947500003,121679991.15,24624750.615000002,3777384.0605,3627829945.75,88904010.945,151779481.925,16537294.4725,2646935.28675,15723498.5725,64658344.9625,7572612.035,21311347.177500002,756109561.325,238347972.875,3552298.4405000005,1526756.152,2825881.5475,8624199.4975,232390440.425,7052463.337499999,47990961.71,429418470.85,1047143110.625,8216704.3495000005,433712314.975,543371115.4,10235738.133,167722942.375,26428091349,26124815325,661816605.65,366503872.8,22079266.57,920782.692725,14408770.684999999,52508323.519999996,0,696106.3018,70555893.9925,1625370.163,2408724.0670499997,52762176.26,5279843.8747499995,2782401964,3382556.724,1094464.32735,115633416.85,981801717.1,192839677.4,8340622.097750001,458185503.85,188602965.6,51555616.83,236311239.15,131894221.25,5521902.143,313306699.35,1114984.4753999999,143158847.65,419553918.775,57263411.265,16234392.125
