"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB"
"161";"adenosine 5'-monophosphate (AMP)";"149022-20-8";"Nucleotide";"Purine metabolism, adenine containing";"32342";"LC/MS Pos";"1210";"348.1";"15938965";"C00020";"HMDB00045"
"162";"adenylosuccinate";"19046-78-7";"Nucleotide";"Purine metabolism, adenine containing";"18360";"LC/MS Neg";"569";"462.1";"195";"C03794";"HMDB00536"
"163";"adipate";"124-04-9";"Lipid";"Fatty acid, dicarboxylate";"21134";"GC/MS";"1520";"110.9";"196";"C06104";"HMDB00448"
"164";"adrenate (22:4n6)";"2091-25-0";"Lipid";"Long chain fatty acid";"32980";"LC/MS Neg";"5684";"331.3";"5282844";"C16527";"HMDB02226"
"165";"agmatine";"2482-00-0";"Amino acid";"Polyamine metabolism";"15496";"GC/MS";"1526";"174";"199";"C00179";"HMDB01432"
"166";"alanine";"56-41-7";"Amino acid";"Alanine and aspartate metabolism";"1126";"GC/MS";"1147.5999999999999";"115.9";"5950";"C00041";"HMDB00161"
"167";"alanylalanine";"1948-31-8";"Peptide";"Dipeptide";"15129";"LC/MS Pos";"757";"161.1";"5460362";"C00993";"HMDB03459"
"168";"alanylglutamate";NA;"Peptide";"Dipeptide";"37064";"LC/MS Pos";"766";"219";"656476";NA;NA
"169";"alanylglycine";NA;"Peptide";"Dipeptide";"37075";"GC/MS";"1412";"272.10000000000002";"6998028";NA;"HMDB06899"
"170";"alanylisoleucine";NA;"Peptide";"Dipeptide";"37118";"LC/MS Pos";"2011";"203.1";"7408079";NA;NA
"171";"alanylleucine";NA;"Peptide";"Dipeptide";"37093";"LC/MS Pos";"2150";"203";"259583";NA;NA
"172";"alanylmethionine";NA;"Peptide";"Dipeptide";"37065";"LC/MS Pos";"1596";"221";"98509, 5242543";NA;NA
"173";"alanylphenylalanine";"3061-90-3";"Peptide";"Dipeptide";"38679";"LC/MS Pos";"2422";"237.2";"96814";NA;NA
"174";"alanylthreonine";NA;"Peptide";"Dipeptide";"37085";"LC/MS Pos";"708";"191";"426318";NA;NA
"175";"alanyltryptophan";"16305-75-2";"Peptide";"Dipeptide";"42073";"LC/MS Pos";"2630";"276.2";"85362";NA;NA
"176";"alanyltyrosine";NA;"Peptide";"Dipeptide";"37098";"LC/MS Pos";"1713";"253";"572319";NA;NA
"177";"alanylvaline";NA;"Peptide";"Dipeptide";"37084";"LC/MS Pos";"1513";"189";"137276";NA;NA
