"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB"
"46";"2-arachidonoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"32815";"LC/MS Neg";"5674";"500.3";NA;NA;NA
"47";"2-docosahexaenoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35883";"LC/MS Pos";"5507";"568.29999999999995";NA;NA;NA
"48";"2-docosahexaenoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"34258";"LC/MS Pos";"5512";"526.20000000000005";NA;NA;NA
"49";"2-docosapentaenoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"37366";"LC/MS Pos";"5532";"570.29999999999995";NA;NA;NA
"50";"2-docosapentaenoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"34875";"LC/MS Pos";"5548";"528.20000000000005";NA;NA;NA
"51";"2-eicosatrienoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35884";"LC/MS Pos";"5565";"546.29999999999995";NA;NA;NA
"52";"2-ethylhexanoate";"149-57-5";"Xenobiotics";"Chemical";"1554";"GC/MS";"1210.5";"201.2";"8697";NA;NA
"53";"2-hydroxyacetaminophen sulfate*";NA;"Xenobiotics";"Drug";"33173";"LC/MS Neg";"1703";"246.1";NA;NA;NA
"54";"2-hydroxybutyrate (AHB)";"3347-90-8";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"21044";"GC/MS";"1169.4000000000001";"130.9";"440864";"C05984";"HMDB00008"
"55";"2-hydroxyglutarate";"40951-21-1";"Lipid";"Fatty acid, dicarboxylate";"37253";"GC/MS";"1576";"247";"43";"C02630";"HMDB00606"
"56";"2-hydroxyhippurate (salicylurate)";"487-54-7";"Xenobiotics";"Benzoate metabolism";"18281";"LC/MS Neg";"2252";"194.1";"10253";"C07588";"HMDB00840"
"57";"2-hydroxyisobutyrate";"594-61-6";"Xenobiotics";"Chemical";"22030";"GC/MS";"1107.5";"130.9";"11671";NA;"HMDB00729"
"58";"2-hydroxypalmitate";"764-67-0";"Lipid";"Fatty acid, monohydroxy";"35675";"LC/MS Neg";"5508";"271.3";"92836";NA;NA
"59";"2-isopropylmalate";"3237-44-3";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15667";"LC/MS Neg";"732";"175.2";"5280523";"C02504";"HMDB00402"
"60";"2-linoleoylglycerol (2-monolinolein)";"3443-82-1";"Lipid";"Monoacylglycerol";"32536";"GC/MS";"2169";"408.3";"5365676";NA;"HMDB11538"
"61";"2-linoleoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35257";"LC/MS Pos";"5544";"520.4";NA;NA;NA
"62";"2-linoleoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"36593";"LC/MS Neg";"5650";"476.4";NA;NA;NA
"63";"2-methoxyacetaminophen sulfate*";NA;"Xenobiotics";"Drug";"33178";"LC/MS Neg";"1977";"260.10000000000002";NA;NA;NA
