KEGG,found_match_in_PK,matches,match_overlap_percentage,original_count,matches_count,term,Count_FeatureIDs_to_GroupingVariable,Group_Conflict_Notes,Unique_GroupingVariable_count,ActionRequired,InputID_select,Action_Specific
C00003,TRUE,C00003,100,1,1,Alcoholic liver disease; Aldosterone synthesis and secretion; AMPK signaling pathway; Biosynthesis of cofactors; Chemical carcinogenesis - reactive oxygen species; Drug metabolism - other enzymes; Efferocytosis; Longevity regulating pathway; Longevity regulating pathway - worm; Metabolic pathways; Nicotinate and nicotinamide metabolism; Oxidative phosphorylation; Thiamine metabolism; Vitamin digestion and absorption,1,None,14,None,KEGG,None
C00004,TRUE,C00004,100,1,1,Aldosterone synthesis and secretion; Calcium signaling pathway; Metabolic pathways; Oxidative phosphorylation; Thermogenesis,1,None,5,None,KEGG,None
C00009,TRUE,C00009,100,1,1,"ABC transporters; Cell cycle - yeast; Mineral absorption; Oxidative phosphorylation; Parathyroid hormone synthesis, secretion and action; Parkinson disease; Pathways of neurodegeneration - multiple diseases; Photosynthesis; Quorum sensing; Two-component system",1,None,10,None,KEGG,None
C00013,FALSE,NA,0,1,0,,,None,0,None,KEGG,None
C00016,TRUE,C00016,100,1,1,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Riboflavin metabolism; Vitamin digestion and absorption,1,None,5,None,KEGG,None
C00020,TRUE,C00020,100,1,1,"Aldosterone synthesis and secretion; AMPK signaling pathway; Antifolate resistance; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of cofactors; Biosynthesis of plant hormones; Biosynthesis of plant secondary metabolites; Biosynthesis of secondary metabolites; cAMP signaling pathway; cGMP-PKG signaling pathway; Cortisol synthesis and secretion; Cushing syndrome; FoxO signaling pathway; Longevity regulating pathway; Metabolic pathways; Morphine addiction; mTOR signaling pathway; Nucleotide metabolism; Olfactory transduction; Parathyroid hormone synthesis, secretion and action; Parkinson disease; Pathways of neurodegeneration - multiple diseases; PI3K-Akt signaling pathway; Purine metabolism; Regulation of lipolysis in adipocytes; Renin secretion; Taste transduction; Zeatin biosynthesis",1,None,28,None,KEGG,None
C00021,TRUE,C00021,100,1,1,Biosynthesis of amino acids; Biosynthesis of cofactors; Chemical carcinogenesis - reactive oxygen species; Cysteine and methionine metabolism; Folate transport and metabolism; Metabolic pathways; One carbon pool by folate,1,None,7,None,KEGG,None
"C00025, C00217, C00302",TRUE,"C00025, C00217, C00302",100,3,3,"2-Oxocarboxylic acid metabolism; ABC transporters; Alanine, aspartate and glutamate metabolism; Alcoholism; Aminoacyl-tRNA biosynthesis; Amphetamine addiction; Amyotrophic lateral sclerosis; Arginine and proline metabolism; Arginine biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of amino acids; Biosynthesis of cofactors; Biosynthesis of plant secondary metabolites; Biosynthesis of secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of various other secondary metabolites; Butanoate metabolism; C5-Branched dibasic acid metabolism; Carbapenem biosynthesis; Carbon metabolism; Central carbon metabolism in cancer; Circadian entrainment; Cocaine addiction; Cyanoamino acid metabolism; D-Amino acid metabolism; Ferroptosis; FoxO signaling pathway; GABAergic synapse; Gap junction; Glutamatergic synapse; Glutathione metabolism; Glyoxylate and dicarboxylate metabolism; Histidine metabolism; Huntington disease; Long-term depression; Long-term potentiation; Metabolic pathways; Microbial metabolism in diverse environments; Neomycin, kanamycin and gentamicin biosynthesis; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling; Nicotine addiction; Nitrogen metabolism; Pathways of neurodegeneration - multiple diseases; Phospholipase D signaling pathway; Porphyrin metabolism; Prostate cancer; Protein digestion and absorption; Proximal tubule bicarbonate reclamation; Retrograde endocannabinoid signaling; Spinocerebellar ataxia; Synaptic vesicle cycle; Taste transduction; Taurine and hypotaurine metabolism; Two-component system",1; 2; 3,None || Metabolic pathways || D-Amino acid metabolism,55,Check,NA,KeepOneID
C00032,TRUE,C00032,100,1,1,ABC transporters; Biosynthesis of cofactors; Biosynthesis of plant secondary metabolites; Biosynthesis of secondary metabolites; Ferroptosis; Metabolic pathways; Mineral absorption; Porphyrin metabolism,1,None,8,None,KEGG,None
C00037,TRUE,C00037,100,1,1,"ABC transporters; Aminoacyl-tRNA biosynthesis; Biofilm formation - Escherichia coli; Biosynthesis of amino acids; Biosynthesis of cofactors; Biosynthesis of plant secondary metabolites; Biosynthesis of secondary metabolites; Carbon metabolism; Central carbon metabolism in cancer; Cyanoamino acid metabolism; D-Amino acid metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Lipoic acid metabolism; Lysine degradation; Metabolic pathways; Methane metabolism; Microbial metabolism in diverse environments; Mineral absorption; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling; One carbon pool by folate; Phosphonate and phosphinate metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Protein digestion and absorption; Purine metabolism; Synaptic vesicle cycle; Thiamine metabolism; Vancomycin resistance",1,None,31,None,KEGG,None
