"V1","2-Oxocarboxylic acid metabolism","ABC transporters","Aminoacyl-tRNA biosynthesis","Biosynthesis of alkaloids derived from histidine and purine","Biosynthesis of amino acids","Biosynthesis of plant secondary metabolites","Biosynthesis of secondary metabolites","Central carbon metabolism in cancer","Cyanoamino acid metabolism","Glucosinolate biosynthesis","Mineral absorption","Protein digestion and absorption"
"2-Oxocarboxylic acid metabolism","1.0000000","0.2222222","0.5000000","0.27272727","0.5833333","0.6153846","0.3809524","0.6363636","0.4444444","0.75000000","0.45454545","0.5000000"
"ABC transporters","0.2222222","1.0000000","0.5000000","0.17647059","0.4705882","0.3500000","0.5217391","0.4117647","0.2666667","0.25000000","0.46666667","0.5000000"
"Aminoacyl-tRNA biosynthesis","0.5000000","0.5000000","1.0000000","0.14285714","0.9090909","0.6428571","0.4761905","0.8181818","0.5000000","0.60000000","0.80000000","1.0000000"
"Biosynthesis of alkaloids derived from histidine and purine","0.2727273","0.1764706","0.1428571","1.00000000","0.2142857","0.3571429","0.2857143","0.2307692","0.0000000","0.09090909","0.07692308","0.1428571"
"Biosynthesis of amino acids","0.5833333","0.4705882","0.9090909","0.21428571","1.0000000","0.7142857","0.5238095","0.9090909","0.4545455","0.54545455","0.72727273","0.9090909"
"Biosynthesis of plant secondary metabolites","0.6153846","0.3500000","0.6428571","0.35714286","0.7142857","1.0000000","0.6190476","0.6428571","0.3846154","0.46153846","0.50000000","0.6428571"
"Biosynthesis of secondary metabolites","0.3809524","0.5217391","0.4761905","0.28571429","0.5238095","0.6190476","1.0000000","0.4761905","0.2380952","0.28571429","0.38095238","0.4761905"
"Central carbon metabolism in cancer","0.6363636","0.4117647","0.8181818","0.23076923","0.9090909","0.6428571","0.4761905","1.0000000","0.5000000","0.60000000","0.63636364","0.8181818"
"Cyanoamino acid metabolism","0.4444444","0.2666667","0.5000000","0.00000000","0.4545455","0.3846154","0.2380952","0.5000000","1.0000000","0.57142857","0.44444444","0.5000000"
"Glucosinolate biosynthesis","0.7500000","0.2500000","0.6000000","0.09090909","0.5454545","0.4615385","0.2857143","0.6000000","0.5714286","1.00000000","0.55555556","0.6000000"
"Mineral absorption","0.4545455","0.4666667","0.8000000","0.07692308","0.7272727","0.5000000","0.3809524","0.6363636","0.4444444","0.55555556","1.00000000","0.8000000"
"Protein digestion and absorption","0.5000000","0.5000000","1.0000000","0.14285714","0.9090909","0.6428571","0.4761905","0.8181818","0.5000000","0.60000000","0.80000000","1.0000000"
